dataset,policy,blocks,positive_blocks,coverage_pass_blocks,positive_coverage_pass_blocks,positive_block_rate,positive_coverage_pass_rate,net_pnl_cents,net_roi_on_cost,selected_markets,base_markets,coverage,worst_block_index,worst_block_net_pnl_cents,worst_block_coverage
current,frontier_v2,14,9,14,9,0.6428571428571429,0.6428571428571429,370.0,0.021150108608665827,278,280,0.9928571428571429,4,-460.0,1.0
current,book_margin,14,9,14,9,0.6428571428571429,0.6428571428571429,1201.0,0.06366961777023804,278,280,0.9928571428571429,10,-164.0,1.0
current,book_margin_early,14,10,14,10,0.7142857142857143,0.7142857142857143,1231.0,0.06714667539409808,270,280,0.9642857142857143,10,-199.0,0.95
current,book_margin_gap015,14,9,14,9,0.6428571428571429,0.6428571428571429,1480.0,0.08870774394629585,249,280,0.8892857142857142,4,-133.0,0.95
current,score_min60,14,10,14,10,0.7142857142857143,0.7142857142857143,1400.0,0.07041545116185495,277,280,0.9892857142857143,0,-197.0,1.0
current,score_min60_gap020,14,10,14,10,0.7142857142857143,0.7142857142857143,1567.0,0.07948262744103475,275,280,0.9821428571428571,0,-197.0,1.0
current,v2_wait_score_min60_early,14,10,14,10,0.7142857142857143,0.7142857142857143,1419.0,0.07143935961335146,277,280,0.9892857142857143,0,-197.0,1.0
current,v2_wait_score_min60_brownian70_early,14,10,14,10,0.7142857142857143,0.7142857142857143,1492.0,0.07539161192521475,277,280,0.9892857142857143,11,-147.0,1.0
v21,frontier_v2,11,9,11,9,0.8181818181818182,0.8181818181818182,1246.0,0.0915032679738562,218,220,0.990909090909091,7,-124.0,1.0
v21,book_margin,11,7,11,7,0.6363636363636364,0.6363636363636364,388.0,0.02556836902800659,218,220,0.990909090909091,8,-332.0,1.0
v21,book_margin_early,11,7,11,7,0.6363636363636364,0.6363636363636364,682.0,0.047423684027536335,207,220,0.9409090909090909,1,-315.0,0.95
v21,book_margin_gap015,11,6,11,6,0.5454545454545454,0.5454545454545454,269.0,0.018183047181289713,213,220,0.9681818181818181,8,-332.0,1.0
v21,score_min60,11,7,11,7,0.6363636363636364,0.6363636363636364,497.0,0.03192856225106,217,220,0.9863636363636363,3,-228.0,1.0
v21,score_min60_gap020,11,7,11,7,0.6363636363636364,0.6363636363636364,497.0,0.03192856225106,217,220,0.9863636363636363,3,-228.0,1.0
v21,v2_wait_score_min60_early,11,7,11,7,0.6363636363636364,0.6363636363636364,521.0,0.033522069231759107,217,220,0.9863636363636363,3,-228.0,1.0
v21,v2_wait_score_min60_brownian70_early,11,7,11,7,0.6363636363636364,0.6363636363636364,718.0,0.046487536419553256,217,220,0.9863636363636363,8,-193.0,1.0
