market,decision_key,dataset,entry_key,entry_dt,entry_minute,side,outcome,outcome_available,win,qty,ask_cents,bid_cents,book_mid_cents,book_p_side,book_other_mid_cents,book_margin_cents,spread_cents,spot,strike,seconds_to_close,v28_sigma_t_dollars,source_line_no,position_open_logged,pending_logged,trust_state,outcome_method,outcome_source,side_sign,margin_dollars,margin_per_sqrt_sec,margin_per_sqrt_min,margin_per_v28_sigma,brownian_p_v28_sigma,rv_sigma_t_5m,margin_per_rv_sigma_5m,brownian_p_rv_5m,rv_sigma_t_15m,margin_per_rv_sigma_15m,brownian_p_rv_15m,rv_sigma_t_30m,margin_per_rv_sigma_30m,brownian_p_rv_30m,rv_sigma_t_60m,margin_per_rv_sigma_60m,brownian_p_rv_60m,btc_close_lag_1m,signed_move_1m,signed_velocity_dps_1m,adverse_move_1m,drift_projected_margin_1m,drift_p_1m_rv_15m,drift_p_1m_rv_30m,drift_p_1m_rv_60m,btc_close_lag_3m,signed_move_3m,signed_velocity_dps_3m,adverse_move_3m,drift_projected_margin_3m,drift_p_3m_rv_15m,drift_p_3m_rv_30m,drift_p_3m_rv_60m,btc_close_lag_5m,signed_move_5m,signed_velocity_dps_5m,adverse_move_5m,drift_projected_margin_5m,drift_p_5m_rv_15m,drift_p_5m_rv_30m,drift_p_5m_rv_60m,btc_close_lag_10m,signed_move_10m,signed_velocity_dps_10m,adverse_move_10m,drift_projected_margin_10m,drift_p_10m_rv_15m,drift_p_10m_rv_30m,drift_p_10m_rv_60m,btc_close_lag_15m,signed_move_15m,signed_velocity_dps_15m,adverse_move_15m,drift_projected_margin_15m,drift_p_15m_rv_15m,drift_p_15m_rv_30m,drift_p_15m_rv_60m,btc_close_lag_30m,signed_move_30m,signed_velocity_dps_30m,adverse_move_30m,drift_projected_margin_30m,drift_p_30m_rv_15m,drift_p_30m_rv_30m,drift_p_30m_rv_60m,btc_close_lag_60m,signed_move_60m,signed_velocity_dps_60m,adverse_move_60m,drift_projected_margin_60m,drift_p_60m_rv_15m,drift_p_60m_rv_30m,drift_p_60m_rv_60m,book_minus_brownian_rv15,physics_confirmed_book,score_mean_book_rv15,score_mean_book_rv15_drift5,score_min_book_rv15,opportunity_key,two_side_mode,score_mean_book_rv30,score_min_book_rv15_drift5,score_regime_blend,abs_book_rv15_gap,abs_book_rv30_gap,close_dt,touch_loss_rv_15m,touch_survival_rv_15m,touch_loss_rv_30m,touch_survival_rv_30m,touch_loss_rv_60m,touch_survival_rv_60m,touch_survival_min_15_30,touch_loss_max_15_30,adverse_norm_15m,touch_terminal_blend_15,touch_terminal_blend_30,book_touch_blend_15,book_touch_drift_15,hazard_discounted_book_15,hazard_discounted_mean_15,kinetic_touch_score_15,touch_margin_energy_15,split,entry_fee_cents,entry_cost_cents,gross_pnl_cents,net_pnl_cents,fee_aware_break_even_p
KXBTC15M-26APR302230-30,heartbeat:9,live_heartbeat_two_side,heartbeat:9:yes,2026-05-01 02:16:28.787000+00:00,2026-05-01 02:16:00+00:00,yes,no,True,False,1,66.0,64.0,65.0,0.65,35.0,30.0,2.0,76660.69,76652.0,811.213,,9,False,False,synced,bid>=98,latest_quote,1.0,8.690000000002328,0.3051071081080418,2.363349497023904,,,74.8140194477942,0.1161547002038338,0.5462350311691485,95.39841413162718,0.0910916609998588,0.536290120673107,94.0252484164196,0.0924219839496302,0.536818613243637,74.66367953227342,0.1163885848439343,0.5463277090579527,76643.39,17.30000000000291,0.2883333333333818,0.0,242.589748333375,0.994503350480156,0.9950606851759264,0.9994211457914426,76666.59,-5.899999999994179,-0.0327777777777454,5.899999999994179,-17.89975944441588,0.425582716767389,0.4245088817120417,0.4052664885080167,76651.64,9.05000000000291,0.0301666666666763,0.0,33.16159216667687,0.6359340406592369,0.6378388829103816,0.6715315696315138,76625.3,35.38999999999942,0.0589833333333323,0.0,56.53804678333487,0.7232929148467073,0.7261822598032398,0.7755458402575887,76654.17,6.5200000000040745,0.0072444444444489,0.0,14.566787511117113,0.5606802949052935,0.5615594671267744,0.5773421635184879,76583.98,76.7100000000064,0.0426166666666702,0.0,43.26119401667188,0.6748981317258351,0.6772784543639525,0.718845127926867,76584.68,76.01000000000931,0.0211138888888914,0.0,25.817861147226647,0.6066629493012955,0.6081822020448396,0.6352492634684582,0.113709879326893,True,0.5931450603365536,0.607408053777448,0.536290120673107,heartbeat:9,two_side_all_heartbeats,0.5934093066218185,0.536290120673107,0.6130738443337794,0.11370987932689303,0.11318138675636302,2026-05-01 02:30:00+00:00,0.927419758653786,0.07258024134621399,0.926362773512726,0.073637226487274,0.9073445818840948,0.09265541811590516,0.07258024134621399,0.927419758653786,0.0,0.3971771568750391,0.3978641972167281,0.5060885784375195,0.5046819825034433,0.4181450603365535,0.36129012067310706,0.5553318684684009,0.13617364541213767,train,2,68.0,-66.0,-68.0,0.68
KXBTC15M-26APR302245-45,heartbeat:116,live_heartbeat_two_side,heartbeat:116:yes,2026-05-01 02:30:30.014000+00:00,2026-05-01 02:30:00+00:00,yes,no,True,False,1,59.0,58.0,58.5,0.585,41.5,17.0,1.0,76597.08,76603.27,869.986,,116,False,False,synced,bid>=98,latest_quote,1.0,-6.190000000002328,-0.2098623429250995,-1.6255867182899613,,,31.66261418421634,-0.195498702791509,0.4225012765554704,76.91812820157548,-0.0804751772401494,0.4679296689419063,86.25114379413557,-0.0717671642103278,0.4713936022889678,81.215266493413,-0.0762171974219203,0.4696231504607046,76600.29,-3.209999999991851,-0.0534999999998641,3.209999999991851,-52.73425099988417,0.2464860435483275,0.2704662438140922,0.258067554313758,76597.17,-0.0899999999965075,-0.0004999999999805,0.0899999999965075,-6.624992999985448,0.4656813589551958,0.469387151028666,0.4674930380584207,76596.56,0.5200000000040745,0.0017333333333469,0.0,-4.682024266657179,0.4757312786636798,0.478354600048319,0.4770138866066666,76584.05,13.029999999998836,0.0217166666666647,0.0,12.703195966662651,0.5655878954214328,0.5585450744061803,0.5621466063595758,76643.39,-46.30999999999767,-0.0514555555555529,46.30999999999767,-50.95561295555564,0.2538364411642778,0.2773332884457737,0.2651938749518477,76651.2,-54.11999999999534,-0.030066666666664,54.11999999999534,-32.347579066666746,0.3370434685891752,0.353815574374189,0.3452066246791038,76505.58,91.5,0.0254166666666666,0.0,15.92214416666434,0.5819955359181748,0.5732294392699854,0.5777139601201575,0.1170703310580936,False,0.5264648344709532,0.5095536492018621,0.4679296689419063,heartbeat:116,two_side_all_heartbeats,0.5281968011444839,0.4679296689419063,0.5280251564153078,0.11707033105809367,0.11360639771103215,2026-05-01 02:45:00+00:00,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.9261999999999534,0.3275507682593344,0.32997552160227744,0.43873241723547657,0.42780554510184454,0.33499999999999996,0.27646483447095316,0.4232151564153101,-0.13766687213362272,train,2,61.0,-59.0,-61.0,0.61
KXBTC15M-26APR302300-00,heartbeat:199,live_heartbeat_two_side,heartbeat:199:no,2026-05-01 02:45:31.363000+00:00,2026-05-01 02:45:00+00:00,no,no,True,True,1,51.0,50.0,50.5,0.505,49.5,1.0,1.0,76563.28,76574.18,868.637,,199,False,False,synced,bid>=98,latest_quote,-1.0,10.89999999999418,0.3698344266635907,2.86472515064451,,,23.36652526520774,0.4664792850575882,0.6795637641331405,55.559760112925616,0.1961851523087905,0.5777673755095373,65.89432160093675,0.1654163778482427,0.565691868204953,82.553379163603,0.1320357823075022,0.5525220053432316,76571.35,8.070000000006985,0.1345000000001164,0.0,127.73167650009528,0.9892474220073691,0.973714744023259,0.9390999156666232,76575.99,12.710000000006405,0.0706111111111466,0.0,72.23542372224729,0.903223372873523,0.8635112369096284,0.8092170575988162,76577.63,14.35000000000582,0.0478333333333527,0.0,52.4498031666777,0.827421566333898,0.78697482262387,0.7373979943491533,76545.79,-17.49000000000524,-0.0291500000000087,17.49000000000524,-14.420768550013404,0.3976038381405024,0.4133846524935048,0.430663903369396,76597.08,33.80000000000291,0.0375555555555587,0.0,43.522145111108095,0.7832860626061852,0.7455283586158589,0.7009726608693243,76643.39,80.11000000000058,0.0445055555555558,0.0,49.55917226110557,0.813802888595729,0.7740047797819876,0.7258564405814129,76591.99,28.710000000006403,0.0079750000000017,0.0,17.827380074995723,0.6258449986913232,0.60662950380255,0.5854865343398751,-0.0727673755095372,True,0.5413836877547686,0.6367296472811451,0.505,heartbeat:199,two_side_all_heartbeats,0.5353459341024764,0.505,0.5913145259196407,0.07276737550953727,0.06069186820495298,2026-05-01 03:00:00+00:00,0.8444652489809255,0.15553475101907455,0.868616263590094,0.13138373640990597,0.8949559893135368,0.10504401068646319,0.13138373640990597,0.868616263590094,0.0,0.4510975881623984,0.4353994286664388,0.45329879408119933,0.485540950714589,0.29388368775476864,0.3302673755095373,0.5563680010215482,0.23827690765246434,train,2,53.0,49.0,47.0,0.53
KXBTC15M-26APR302315-15,heartbeat:266,live_heartbeat_two_side,heartbeat:266:no,2026-05-01 03:00:47.633000+00:00,2026-05-01 03:00:00+00:00,no,yes,True,False,1,53.0,52.0,52.5,0.525,47.5,5.0,1.0,76566.47,76566.01,852.367,,266,False,False,synced,bid>=98,latest_quote,-1.0,-0.4600000000064028,-0.0157559472452222,-0.1220450425689369,,,86.73545596505649,-0.0053034828132076,0.4978842263908031,62.66784991285678,-0.0073402869357423,0.4970716754873402,58.14364805179408,-0.0079114402934717,0.4968438248927305,72.41251838458423,-0.0063524927770545,0.4974657390899633,76542.98,-23.49000000000524,-0.3915000000000873,23.49000000000524,-334.1616805000808,4.849720836030969e-08,4.537358266887281e-09,1.968365819837725e-06,76509.68,-56.79000000000815,-0.3155000000000453,56.79000000000815,-269.381788500045,8.595397782029668e-06,1.8016831973555192e-06,9.95720711702841e-05,76543.95,-22.520000000004075,-0.0750666666666802,22.520000000004075,-64.44434946668464,0.1518931122975577,0.1338522369911381,0.1867432944757435,76570.94,4.470000000001164,0.0074500000000019,0.0,5.890134149995251,0.5374413416470515,0.5403450883837148,0.5324147666054009,76563.28,-3.1900000000023283,-0.003544444444447,3.1900000000023283,-3.4811674777863857,0.4778503493455944,0.4761288520868921,0.4808285892143227,76597.08,30.610000000000586,0.0170055555555558,0.0,14.034974372216093,0.5886050577888099,0.5953714306428466,0.5768414790688766,76651.2,84.72999999999593,0.0235361111111099,0.0,19.60140441943708,0.622777029906285,0.6319868947098701,0.6066855833907352,0.0279283245126597,False,0.5110358377436701,0.39132159592829935,0.4970716754873402,heartbeat:266,two_side_all_heartbeats,0.5109219124463653,0.1518931122975577,0.4420001251057136,0.027928324512659808,0.028156175107269532,2026-05-01 03:15:00+00:00,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.06380000000004657,0.3479501728411381,0.3477906774249113,0.41301791887183514,0.3757072301015908,0.275,0.2610358377436701,0.38631012510571133,0.002429311229746456,train,2,55.0,-53.0,-55.0,0.55
KXBTC15M-26APR302330-30,heartbeat:332,live_heartbeat_two_side,heartbeat:332:yes,2026-05-01 03:15:49.054000+00:00,2026-05-01 03:15:00+00:00,yes,yes,True,True,1,70.0,69.0,69.5,0.695,30.5,39.0,1.0,76665.0,76668.47,850.946,,332,False,False,synced,bid>=98,latest_quote,1.0,-3.470000000001164,-0.1189538421817621,-0.9214124994747004,,,73.0568641062024,-0.0474972481019284,0.4810584617793612,89.54056050189757,-0.0387533870745384,0.484543504309303,76.91889616011984,-0.0451124518580943,0.4820088381902304,71.6735312795111,-0.0484139673050142,0.4806931640293425,76664.51,0.4900000000052387,0.0081666666667539,0.0,3.4793923334064667,0.5154983111389906,0.5180398257648302,0.5193590532705626,76651.63,13.369999999995343,0.0742777777777519,0.0,59.73637788886571,0.74765967240411,0.7813070613326896,0.7977047952169903,76630.45,34.55000000000291,0.1151666666666763,0.0,94.53061433334042,0.8544541003354116,0.8904574943911261,0.9063996457582776,76523.2,141.8000000000029,0.2363333333333382,0.0,197.63690466666964,0.986351116928881,0.994906545822241,0.9970873841393582,76566.47,98.52999999999884,0.1094777777777764,0.0,89.68967708888663,0.8417473770539518,0.8781986752079429,0.894599148087901,76563.28,101.72000000000116,0.0565111111111117,0.0,44.617903955554944,0.6908630768857019,0.7190643639054832,0.7331986132904311,76643.39,21.610000000000586,0.0060027777777779,0.0,1.638039738887862,0.5072977749682325,0.5084951026565516,0.509116704792103,0.2104564956906969,False,0.5897717521546515,0.6779992015482382,0.484543504309303,heartbeat:332,two_side_all_heartbeats,0.5885044190951152,0.484543504309303,0.6637538713598732,0.21045649569069697,0.21299116180976957,2026-05-01 03:30:00+00:00,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.33918045301651206,0.33740618673316125,0.5033858760773258,0.5193312861108669,0.44499999999999995,0.3397717521546515,0.5942538713598732,0.08544541003354117,train,2,72.0,30.0,28.0,0.72
KXBTC15M-26APR302345-45,heartbeat:424,live_heartbeat_two_side,heartbeat:424:no,2026-05-01 03:30:19.960000+00:00,2026-05-01 03:30:00+00:00,no,no,True,True,1,53.0,52.0,52.5,0.525,47.5,5.0,1.0,77172.26,77219.61,880.04,,424,False,False,synced,bid>=98,latest_quote,-1.0,47.35000000000582,1.596131899069158,12.36358452689053,,,247.9986394887092,0.1909284667755669,0.5757091814242619,433.5767503122911,0.1092078852611473,0.5434811969073139,312.4722595701637,0.1515334515298746,0.5602225375014487,226.7748781764962,0.2087973781785206,0.5826967909302956,77264.72,92.4600000000064,1.5410000000001067,0.0,1403.4916400000998,0.999396050998199,0.9999964650297888,0.9999999996971114,77236.44,64.18000000000757,0.3565555555555976,0.0,361.1331511111539,0.7975540374718282,0.8761039227421448,0.944360906324764,77293.84,121.58000000000176,0.4052666666666725,0.0,404.00087733334425,0.8242765127582972,0.9019802165425054,0.9625851128365284,77200.0,27.74000000000524,0.046233333333342,0.0,88.03718266668017,0.5804515045024298,0.6109300912669834,0.6510711633955006,76665.0,-507.2599999999948,-0.5636222222222164,507.2599999999948,-448.6601004444335,0.1503839198791137,0.0755239687099078,0.0239396423120806,76566.47,-605.7899999999936,-0.3365499999999964,605.7899999999936,-248.82746199999104,0.2830194807640727,0.2129234481944661,0.1362672874124538,76597.08,-575.179999999993,-0.1597722222222203,575.179999999993,-93.25594644443692,0.4148504423386443,0.3826815750120899,0.340453056286779,-0.0184811969073138,True,0.5342405984536569,0.6309192365552037,0.525,heartbeat:424,two_side_all_heartbeats,0.5426112687507243,0.525,0.5903996616238536,0.018481196907313868,0.03522253750144866,2026-05-01 03:45:00+00:00,0.9130376061853722,0.08696239381462778,0.8795549249971029,0.12044507500289714,0.8346064181394088,0.16539358186059117,0.08696239381462778,0.9130376061853722,1.0,0.40652555597950807,0.4282892987518832,0.4420127779897541,0.47194042926558377,0.29674059845365697,0.30598119690731385,0.4965959010053164,-0.030609954909542506,train,2,55.0,47.0,45.0,0.55
KXBTC15M-26MAY010000-00,heartbeat:490,live_heartbeat_two_side,heartbeat:490:no,2026-05-01 03:45:21.259000+00:00,2026-05-01 03:45:00+00:00,no,no,True,True,1,50.0,48.0,49.0,0.49,51.0,-2.0,2.0,77126.0,77133.88,878.741,,490,False,False,synced,bid>=98,latest_quote,-1.0,7.880000000004657,0.2658249693475978,2.0590713585786866,,,117.08247364278876,0.0673029852789584,0.526829749814593,123.66432266135196,0.0637208843296187,0.525403762375758,321.05515481353694,0.0245440693969894,0.5097906840025156,232.89513231562373,0.033834970794175,0.5134956253797,77140.45,14.44999999999709,0.2408333333332848,0.0,219.51012416662869,0.9620550294178458,0.7529223258118487,0.8270387437263562,77131.59,5.589999999996508,0.0310555555555361,0.0,35.169789944432054,0.611947006532951,0.543614640854316,0.5600165875609251,77104.59,-21.41000000000349,-0.0713666666666783,21.41000000000349,-54.8328160333389,0.3287380560655432,0.43219468359325,0.4069336446740716,77195.82,69.82000000000698,0.1163666666666783,0.0,110.13616103334822,0.8134296524246737,0.6342174569647427,0.6818578186518855,77172.26,46.25999999999476,0.0513999999999941,0.0,53.04728739999954,0.6660245376034466,0.5656177195186041,0.5900887486001056,76665.0,-461.0,-0.2561111111111111,461.0,-217.17533388888424,0.0395298581549756,0.2493798882006026,0.1755384024348404,76563.28,-562.7200000000012,-0.1563111111111114,562.7200000000012,-129.4769820888845,0.1475489755649108,0.3433689966751131,0.2891240836332993,-0.035403762375758,True,0.5077018811878791,0.44804727281376716,0.49,heartbeat:490,two_side_all_heartbeats,0.4998953420012578,0.3287380560655432,0.468368739925836,0.03540376237575804,0.0197906840025156,2026-05-01 04:00:00+00:00,0.9491924752484839,0.050807524751516064,0.9804186319949688,0.019581368005031186,0.9730087492406001,0.0269912507593999,0.019581368005031186,0.9804186319949688,0.0,0.3830248910884854,0.36272788920327026,0.41101244554424277,0.39488625115079706,0.252701881187879,0.2704037623757581,0.42444949240098767,0.08368133035807038,train,2,52.0,50.0,48.0,0.52
KXBTC15M-26MAY010015-15,heartbeat:557,live_heartbeat_two_side,heartbeat:557:yes,2026-05-01 04:00:37.429000+00:00,2026-05-01 04:00:00+00:00,yes,yes,True,True,1,55.0,54.0,54.5,0.545,45.5,9.0,1.0,77091.85,77099.09,862.571,,557,False,False,synced,bid>=98,latest_quote,1.0,-7.239999999990687,-0.2465137451533731,-1.9094872591804668,,,109.27557489673576,-0.0662545130220766,0.4735875984794526,82.28567805023644,-0.0879861498567293,0.4649438421298836,102.52625165182684,-0.0706160606024816,0.4718516639056025,232.44337073744916,-0.0311473714093075,0.4875760055284165,77090.55,1.3000000000029104,0.0216666666667151,0.0,11.44903833338449,0.5553293232298054,0.5444572027961708,0.5196420283744714,77049.14,42.7100000000064,0.2372777777778133,0.0,197.42893005559557,0.9917870208176384,0.9729254996507792,0.8021604897460388,77109.41,-17.55999999999767,-0.0585333333333255,17.55999999999767,-57.729155866650665,0.2414737106434231,0.2866946077859794,0.4019287380471025,77126.09,-34.23999999999069,-0.0570666666666511,34.23999999999069,-56.46405173331063,0.2462949568500813,0.290910159879153,0.4040355054171399,77126.0,-34.14999999999418,-0.0379444444444379,34.14999999999418,-39.969777388874,0.313574328676212,0.3483240293045544,0.4317364912980167,77172.26,-80.40999999998894,-0.044672222222216,80.40999999998894,-45.77296339442983,0.2890135230412216,0.3276356943411916,0.4219447095577064,76566.47,525.3800000000047,0.1459388888888901,0.0,118.6426533277882,0.9253260214445164,0.8764032267485462,0.6951197306936208,0.0800561578701163,False,0.5049719210649418,0.4171391842577689,0.4649438421298836,heartbeat:557,two_side_all_heartbeats,0.5084258319528012,0.2414737106434231,0.46027789476764974,0.08005615787011644,0.07314833609439753,2026-05-01 04:15:00+00:00,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.6829999999998836,0.3254606894909185,0.33029616473392176,0.41598596053247094,0.38563333159681323,0.29500000000000004,0.2549719210649418,0.37162789476765556,-0.1124526289356344,train,2,57.0,45.0,43.0,0.57
KXBTC15M-26MAY010030-30,heartbeat:636,live_heartbeat_two_side,heartbeat:636:no,2026-05-01 04:15:38.601000+00:00,2026-05-01 04:15:00+00:00,no,no,True,True,1,60.0,59.0,59.5,0.595,40.5,19.0,1.0,77072.91,77131.71,861.399,,636,False,False,synced,bid>=98,latest_quote,-1.0,58.80000000000291,2.003434482516773,15.518536772010274,,,132.89398067566475,0.4424579631150309,0.6709210784700388,101.43966753469476,0.5796548966398369,0.7189263175258769,90.74183754634508,0.6479921675596625,0.7415049919059827,233.9228966919862,0.2513648763396888,0.5992339896533879,77134.51,61.59999999999127,1.0266666666665212,0.0,943.1696399998776,1.0,1.0,0.9999723441431312,77104.59,31.67999999999301,0.1759999999999612,0.0,210.40622399996948,0.9809696598957676,0.9897952800851352,0.8157983561994755,77091.96,19.05000000000291,0.0635000000000097,0.0,113.49883650001128,0.8684043765989885,0.894494153314821,0.6862319206260458,77080.79,7.879999999990105,0.0131333333333168,0.0,70.1130401999887,0.7552736941320284,0.7801396617333962,0.6178073514633764,77091.85,18.94000000000233,0.021044444444447,0.0,76.92766340000514,0.7758818889793027,0.8017152928535778,0.6288688891352812,77126.0,53.08999999999651,0.0294944444444425,0.0,84.20648495000124,0.7967628248290478,0.8232906693113871,0.6405672296122055,76665.0,-407.9100000000035,-0.1133083333333343,407.9100000000035,-38.80368502499792,0.3510342538086868,0.334461251300637,0.4341247601017459,-0.1239263175258769,True,0.6569631587629384,0.7274435647082885,0.595,heartbeat:636,two_side_all_heartbeats,0.6682524959529914,0.595,0.6868587705775607,0.1239263175258769,0.14650499190598276,2026-05-01 04:30:00+00:00,0.5621473649482462,0.43785263505175376,0.5169900161880345,0.48300998381196547,0.8015320206932242,0.19846797930677584,0.43785263505175376,0.5621473649482462,0.0,0.63460421278364,0.6639564894777775,0.5945521063918199,0.6218925440517189,0.4544631587629384,0.5164263175258769,0.6711440340827362,0.5246930727116526,train,2,62.0,40.0,38.0,0.62
KXBTC15M-26MAY010045-45,heartbeat:702,live_heartbeat_two_side,heartbeat:702:yes,2026-05-01 04:30:40.115000+00:00,2026-05-01 04:30:00+00:00,yes,yes,True,True,1,57.0,56.0,56.5,0.565,43.5,13.0,1.0,76992.02,76977.88,859.885,,702,False,False,synced,bid>=98,latest_quote,1.0,14.139999999999418,0.4822022393494796,3.7351224850089135,,,168.53450207119303,0.0838997346313477,0.5334319247241754,140.79434523021382,0.1004301698117137,0.5399985906016975,120.75338579235648,0.1170981658792913,0.546608868422747,110.9322913240165,0.1274651396021255,0.5507138686736253,76997.18,-5.1599999999889405,-0.0859999999998156,5.1599999999889405,-59.81010999984208,0.3354894986275274,0.3101913857601192,0.2948886774044537,77144.21,-152.19000000000233,-0.8455000000000129,152.19000000000233,-712.8927675000117,2.0596306682385546e-07,1.7771016880274715e-09,6.534034424632296e-11,77130.3,-138.27999999999884,-0.4609333333333295,138.27999999999884,-382.2096593333306,0.003317129450843,0.0007748589285687,0.000285073765867,77155.0,-162.97999999999593,-0.2716333333333265,162.97999999999593,-219.4334288333281,0.059552806587273,0.0345930090810119,0.0239595961606883,77072.91,-80.88999999999942,-0.0898777777777771,80.88999999999942,-63.14455294444447,0.3269005770689442,0.3005144084729612,0.284604421597517,77091.85,-99.83000000000176,-0.055461111111112,99.83000000000176,-33.55017752777919,0.4058272814341148,0.3905674113960067,0.3811589673756956,77172.26,-180.2399999999907,-0.050066666666664,180.2399999999907,-28.911575666665023,0.4186508478298405,0.405387393101751,0.3971913853127858,0.0250014093983024,True,0.5524992953008487,0.3694385733508468,0.5399985906016975,heartbeat:702,two_side_all_heartbeats,0.5558044342113735,0.003317129450843,0.44516300307067785,0.02500140939830242,0.018391131577252917,2026-05-01 04:45:00+00:00,0.920002818796605,0.07999718120339505,0.9067822631545062,0.09321773684549384,0.8985722626527495,0.10142773734725052,0.07999718120339505,0.920002818796605,1.0,0.40199816778220676,0.410591528949571,0.46174908389110336,0.40558079683618764,0.3349992953008487,0.3224985906016975,0.3466627211910174,-0.11967110585152066,train,2,59.0,43.0,41.0,0.59
