chooser,gate_family,gate,pass_80_retention,target_pass,min_test_accuracy,min_test_retention,all_rows,all_wins,all_losses,all_base_rows,all_accuracy,all_retention,train_rows,train_wins,train_losses,train_base_rows,train_accuracy,train_retention,validation_rows,validation_wins,validation_losses,validation_base_rows,validation_accuracy,validation_retention,holdout_rows,holdout_wins,holdout_losses,holdout_base_rows,holdout_accuracy,holdout_retention
score_min_book_rv15_drift5,physics_pair,book_p_side>=0.55 and margin_per_rv_sigma_15m>=0,True,False,0.8528610354223434,0.808584686774942,3507,2919,588,4310,0.8323353293413174,0.8136890951276102,2076,1693,383,2586,0.8155105973025049,0.802784222737819,697,600,97,862,0.860832137733142,0.808584686774942,734,626,108,862,0.8528610354223434,0.851508120649652
score_mean_book_rv15_drift5,physics_pair,book_p_side>=0.55 and margin_per_rv_sigma_15m>=0,True,False,0.8519021739130435,0.8132250580046404,3528,2930,598,4310,0.8304988662131519,0.8185614849187935,2091,1701,390,2586,0.8134863701578192,0.808584686774942,701,602,99,862,0.8587731811697575,0.8132250580046404,736,627,109,862,0.8519021739130435,0.8538283062645011
book_p_side,brownian_p_rv_30m,brownian_p_rv_30m>=0.55,True,False,0.8513888888888889,0.8248259860788864,3515,2905,610,4310,0.8264580369843528,0.8155452436194895,2084,1684,400,2586,0.8080614203454894,0.805877803557618,711,608,103,862,0.8551336146272855,0.8248259860788864,720,613,107,862,0.8513888888888889,0.8352668213457076
book_p_side,physics_pair,brownian_p_rv_30m>=0.55 and margin_per_rv_sigma_15m>=0,True,False,0.8513888888888889,0.8248259860788864,3515,2905,610,4310,0.8264580369843528,0.8155452436194895,2084,1684,400,2586,0.8080614203454894,0.805877803557618,711,608,103,862,0.8551336146272855,0.8248259860788864,720,613,107,862,0.8513888888888889,0.8352668213457076
book_p_side,physics_pair,brownian_p_rv_30m>=0.55 and spread_cents<=4,True,False,0.8513888888888889,0.8225058004640371,3511,2901,610,4310,0.8262603246938194,0.8146171693735499,2082,1682,400,2586,0.8078770413064361,0.8051044083526682,709,606,103,862,0.8547249647390691,0.8225058004640371,720,613,107,862,0.8513888888888889,0.8352668213457076
score_min_book_rv15_drift5,book_p_side,book_p_side>=0.55,True,False,0.851006711409396,0.8213457076566125,3565,2955,610,4310,0.8288920056100981,0.8271461716937355,2112,1713,399,2586,0.8110795454545454,0.8167053364269141,708,608,100,862,0.8587570621468926,0.8213457076566125,745,634,111,862,0.851006711409396,0.8642691415313225
score_min_book_rv15_drift5,physics_pair,book_p_side>=0.55 and spread_cents<=4,True,False,0.851006711409396,0.8190255220417634,3561,2951,610,4310,0.8286998034260039,0.8262180974477958,2110,1711,399,2586,0.8109004739336493,0.8159319412219644,706,606,100,862,0.8583569405099151,0.8190255220417634,745,634,111,862,0.851006711409396,0.8642691415313225
book_p_side,physics_pair,score_regime_blend>=0.58 and margin_per_rv_sigma_15m>=0,True,False,0.850974930362117,0.8120649651972158,3513,2917,596,4310,0.8303444349558782,0.8150812064965197,2095,1701,394,2586,0.8119331742243436,0.8101314771848415,700,605,95,862,0.8642857142857143,0.8120649651972158,718,611,107,862,0.850974930362117,0.8329466357308585
book_p_side,physics_pair,brownian_p_rv_30m>=0.55 and abs_book_rv30_gap<=0.3,True,False,0.850974930362117,0.8225058004640371,3507,2897,610,4310,0.8260621613915027,0.8136890951276102,2080,1680,400,2586,0.8076923076923077,0.8043310131477185,709,606,103,862,0.8547249647390691,0.8225058004640371,718,611,107,862,0.850974930362117,0.8329466357308585
book_p_side,physics_pair,brownian_p_rv_30m>=0.55 and abs_book_rv15_gap<=0.3,True,False,0.8507670850767085,0.8248259860788864,3510,2900,610,4310,0.8262108262108262,0.814385150812065,2082,1682,400,2586,0.8078770413064361,0.8051044083526682,711,608,103,862,0.8551336146272855,0.8248259860788864,717,610,107,862,0.8507670850767085,0.8317865429234339
score_min_book_rv15_drift5,physics_pair,book_p_side>=0.55 and abs_book_rv30_gap<=0.3,True,False,0.8504043126684636,0.8190255220417634,3553,2943,610,4310,0.8283141007599212,0.8243619489559165,2105,1706,399,2586,0.8104513064133017,0.8139984532095901,706,606,100,862,0.8583569405099151,0.8190255220417634,742,631,111,862,0.8504043126684636,0.8607888631090487
score_mean_book_rv15_drift5,book_p_side,book_p_side>=0.55,True,False,0.8500669344042838,0.8259860788863109,3585,2965,620,4310,0.8270571827057183,0.8317865429234339,2126,1720,406,2586,0.8090310442144873,0.8221191028615623,712,610,102,862,0.8567415730337079,0.8259860788863109,747,635,112,862,0.8500669344042838,0.8665893271461717
score_mean_book_rv15_drift5,physics_pair,book_p_side>=0.55 and spread_cents<=4,True,False,0.8500669344042838,0.8236658932714617,3581,2961,620,4310,0.8268640044680257,0.8308584686774942,2124,1718,406,2586,0.8088512241054614,0.8213457076566125,710,608,102,862,0.856338028169014,0.8236658932714617,747,635,112,862,0.8500669344042838,0.8665893271461717
score_min_book_rv15_drift5,physics_pair,book_p_side>=0.55 and abs_book_rv15_gap<=0.3,True,False,0.85,0.8213457076566125,3554,2945,609,4310,0.8286437816544738,0.8245939675174014,2106,1708,398,2586,0.8110161443494777,0.814385150812065,708,608,100,862,0.8587570621468926,0.8213457076566125,740,629,111,862,0.85,0.8584686774941995
score_mean_book_rv15_drift5,physics_pair,book_p_side>=0.55 and abs_book_rv30_gap<=0.3,True,False,0.8494623655913979,0.8236658932714617,3573,2953,620,4310,0.8264763504058215,0.8290023201856148,2119,1713,406,2586,0.8084001887682869,0.8194122196442382,710,608,102,862,0.856338028169014,0.8236658932714617,744,632,112,862,0.8494623655913979,0.8631090487238979
score_min_book_rv15_drift5,brownian_p_rv_30m,brownian_p_rv_30m>=0.55,True,False,0.8491620111731844,0.8109048723897911,3486,2888,598,4310,0.8284566838783706,0.8088167053364269,2071,1675,396,2586,0.8087880251086431,0.8008507347254447,699,605,94,862,0.8655221745350501,0.8109048723897911,716,608,108,862,0.8491620111731844,0.8306264501160093
score_min_book_rv15_drift5,physics_pair,brownian_p_rv_30m>=0.55 and margin_per_rv_sigma_15m>=0,True,False,0.8491620111731844,0.8109048723897911,3486,2888,598,4310,0.8284566838783706,0.8088167053364269,2071,1675,396,2586,0.8087880251086431,0.8008507347254447,699,605,94,862,0.8655221745350501,0.8109048723897911,716,608,108,862,0.8491620111731844,0.8306264501160093
score_min_book_rv15_drift5,physics_pair,brownian_p_rv_30m>=0.55 and spread_cents<=4,True,False,0.8491620111731844,0.808584686774942,3482,2884,598,4310,0.8282596209075244,0.8078886310904873,2069,1673,396,2586,0.8086031899468342,0.800077339520495,697,603,94,862,0.8651362984218077,0.808584686774942,716,608,108,862,0.8491620111731844,0.8306264501160093
score_mean_book_rv15_drift5,physics_pair,book_p_side>=0.55 and abs_book_rv15_gap<=0.3,True,False,0.8490566037735849,0.8259860788863109,3574,2955,619,4310,0.8268047006155568,0.8292343387470997,2120,1715,405,2586,0.8089622641509434,0.819798917246713,712,610,102,862,0.8567415730337079,0.8259860788863109,742,630,112,862,0.8490566037735849,0.8607888631090487
score_mean_book_rv15,physics_pair,score_regime_blend>=0.58 and margin_per_rv_sigma_15m>=0,True,False,0.8490304709141274,0.8167053364269141,3541,2931,610,4310,0.8277322790172268,0.8215777262180974,2115,1711,404,2586,0.808983451536643,0.8178654292343387,704,607,97,862,0.8622159090909091,0.8167053364269141,722,613,109,862,0.8490304709141274,0.8375870069605569
score_mean_book_rv30,physics_pair,score_regime_blend>=0.58 and margin_per_rv_sigma_15m>=0,True,False,0.8490304709141274,0.8167053364269141,3541,2931,610,4310,0.8277322790172268,0.8215777262180974,2115,1711,404,2586,0.808983451536643,0.8178654292343387,704,607,97,862,0.8622159090909091,0.8167053364269141,722,613,109,862,0.8490304709141274,0.8375870069605569
score_min_book_rv15,physics_pair,score_regime_blend>=0.58 and margin_per_rv_sigma_15m>=0,True,False,0.8490304709141274,0.8167053364269141,3541,2931,610,4310,0.8277322790172268,0.8215777262180974,2115,1711,404,2586,0.808983451536643,0.8178654292343387,704,607,97,862,0.8622159090909091,0.8167053364269141,722,613,109,862,0.8490304709141274,0.8375870069605569
brownian_p_rv_15m,score_regime_blend,score_regime_blend>=0.58,True,False,0.8490304709141274,0.8213457076566125,3545,2933,612,4310,0.8273624823695346,0.8225058004640371,2115,1711,404,2586,0.808983451536643,0.8178654292343387,708,609,99,862,0.8601694915254238,0.8213457076566125,722,613,109,862,0.8490304709141274,0.8375870069605569
brownian_p_rv_15m,physics_pair,score_regime_blend>=0.58 and margin_per_rv_sigma_15m>=0,True,False,0.8490304709141274,0.8213457076566125,3545,2933,612,4310,0.8273624823695346,0.8225058004640371,2115,1711,404,2586,0.808983451536643,0.8178654292343387,708,609,99,862,0.8601694915254238,0.8213457076566125,722,613,109,862,0.8490304709141274,0.8375870069605569
brownian_p_rv_30m,score_regime_blend,score_regime_blend>=0.58,True,False,0.8490304709141274,0.8213457076566125,3545,2933,612,4310,0.8273624823695346,0.8225058004640371,2115,1711,404,2586,0.808983451536643,0.8178654292343387,708,609,99,862,0.8601694915254238,0.8213457076566125,722,613,109,862,0.8490304709141274,0.8375870069605569
brownian_p_rv_30m,physics_pair,score_regime_blend>=0.58 and margin_per_rv_sigma_15m>=0,True,False,0.8490304709141274,0.8213457076566125,3545,2933,612,4310,0.8273624823695346,0.8225058004640371,2115,1711,404,2586,0.808983451536643,0.8178654292343387,708,609,99,862,0.8601694915254238,0.8213457076566125,722,613,109,862,0.8490304709141274,0.8375870069605569
brownian_p_rv_60m,score_regime_blend,score_regime_blend>=0.58,True,False,0.8490304709141274,0.8213457076566125,3545,2933,612,4310,0.8273624823695346,0.8225058004640371,2115,1711,404,2586,0.808983451536643,0.8178654292343387,708,609,99,862,0.8601694915254238,0.8213457076566125,722,613,109,862,0.8490304709141274,0.8375870069605569
brownian_p_rv_60m,physics_pair,score_regime_blend>=0.58 and margin_per_rv_sigma_15m>=0,True,False,0.8490304709141274,0.8213457076566125,3545,2933,612,4310,0.8273624823695346,0.8225058004640371,2115,1711,404,2586,0.808983451536643,0.8178654292343387,708,609,99,862,0.8601694915254238,0.8213457076566125,722,613,109,862,0.8490304709141274,0.8375870069605569
score_mean_book_rv15_drift5,physics_pair,score_regime_blend>=0.58 and margin_per_rv_sigma_15m>=0,True,False,0.8490304709141274,0.8213457076566125,3545,2933,612,4310,0.8273624823695346,0.8225058004640371,2115,1711,404,2586,0.808983451536643,0.8178654292343387,708,609,99,862,0.8601694915254238,0.8213457076566125,722,613,109,862,0.8490304709141274,0.8375870069605569
score_regime_blend,physics_pair,score_regime_blend>=0.58 and margin_per_rv_sigma_15m>=0,True,False,0.8490304709141274,0.8213457076566125,3545,2933,612,4310,0.8273624823695346,0.8225058004640371,2115,1711,404,2586,0.808983451536643,0.8178654292343387,708,609,99,862,0.8601694915254238,0.8213457076566125,722,613,109,862,0.8490304709141274,0.8375870069605569
score_min_book_rv15_drift5,physics_pair,score_regime_blend>=0.58 and margin_per_rv_sigma_15m>=0,True,False,0.8490304709141274,0.820185614849188,3543,2932,611,4310,0.8275472763195032,0.8220417633410673,2114,1711,403,2586,0.8093661305581835,0.8174787316318639,707,608,99,862,0.85997171145686,0.820185614849188,722,613,109,862,0.8490304709141274,0.8375870069605569
brownian_p_rv_15m,physics_pair,score_regime_blend>=0.58 and spread_cents<=4,True,False,0.8490304709141274,0.8190255220417634,3541,2929,612,4310,0.8271674668172833,0.8215777262180974,2113,1709,404,2586,0.8088026502602934,0.817092034029389,706,607,99,862,0.8597733711048159,0.8190255220417634,722,613,109,862,0.8490304709141274,0.8375870069605569
brownian_p_rv_30m,physics_pair,score_regime_blend>=0.58 and spread_cents<=4,True,False,0.8490304709141274,0.8190255220417634,3541,2929,612,4310,0.8271674668172833,0.8215777262180974,2113,1709,404,2586,0.8088026502602934,0.817092034029389,706,607,99,862,0.8597733711048159,0.8190255220417634,722,613,109,862,0.8490304709141274,0.8375870069605569
brownian_p_rv_60m,physics_pair,score_regime_blend>=0.58 and spread_cents<=4,True,False,0.8490304709141274,0.8190255220417634,3541,2929,612,4310,0.8271674668172833,0.8215777262180974,2113,1709,404,2586,0.8088026502602934,0.817092034029389,706,607,99,862,0.8597733711048159,0.8190255220417634,722,613,109,862,0.8490304709141274,0.8375870069605569
score_mean_book_rv30,physics_pair,brownian_p_rv_15m>=0.55 and brownian_p_rv_30m>=0.55,True,False,0.8490304709141274,0.8317865429234339,3534,2911,623,4310,0.8237125070741369,0.819953596287703,2095,1683,412,2586,0.8033412887828162,0.8101314771848415,717,615,102,862,0.8577405857740585,0.8317865429234339,722,613,109,862,0.8490304709141274,0.8375870069605569
score_mean_book_rv15,physics_pair,brownian_p_rv_15m>=0.55 and brownian_p_rv_30m>=0.55,True,False,0.8490304709141274,0.8317865429234339,3536,2911,625,4310,0.8232466063348416,0.8204176334106729,2097,1683,414,2586,0.8025751072961373,0.8109048723897911,717,615,102,862,0.8577405857740585,0.8317865429234339,722,613,109,862,0.8490304709141274,0.8375870069605569
score_min_book_rv15,physics_pair,brownian_p_rv_15m>=0.55 and brownian_p_rv_30m>=0.55,True,False,0.8490304709141274,0.8317865429234339,3536,2911,625,4310,0.8232466063348416,0.8204176334106729,2097,1683,414,2586,0.8025751072961373,0.8109048723897911,717,615,102,862,0.8577405857740585,0.8317865429234339,722,613,109,862,0.8490304709141274,0.8375870069605569
book_p_side,physics_pair,book_p_side>=0.55 and margin_per_rv_sigma_15m>=0,True,False,0.8490066225165563,0.839907192575406,3630,2993,637,4310,0.8245179063360881,0.8422273781902552,2151,1737,414,2586,0.8075313807531381,0.8317865429234339,724,615,109,862,0.8494475138121547,0.839907192575406,755,641,114,862,0.8490066225165563,0.8758700696055685
brownian_p_rv_15m,book_p_side,book_p_side>=0.55,True,False,0.8490066225165563,0.839907192575406,3630,2993,637,4310,0.8245179063360881,0.8422273781902552,2151,1737,414,2586,0.8075313807531381,0.8317865429234339,724,615,109,862,0.8494475138121547,0.839907192575406,755,641,114,862,0.8490066225165563,0.8758700696055685
brownian_p_rv_15m,physics_pair,book_p_side>=0.55 and margin_per_rv_sigma_15m>=0,True,False,0.8490066225165563,0.839907192575406,3630,2993,637,4310,0.8245179063360881,0.8422273781902552,2151,1737,414,2586,0.8075313807531381,0.8317865429234339,724,615,109,862,0.8494475138121547,0.839907192575406,755,641,114,862,0.8490066225165563,0.8758700696055685
brownian_p_rv_30m,book_p_side,book_p_side>=0.55,True,False,0.8490066225165563,0.839907192575406,3630,2993,637,4310,0.8245179063360881,0.8422273781902552,2151,1737,414,2586,0.8075313807531381,0.8317865429234339,724,615,109,862,0.8494475138121547,0.839907192575406,755,641,114,862,0.8490066225165563,0.8758700696055685
