dataset,candidate,block_index,base_markets,selected_markets,coverage,wins,losses,accuracy,net_pnl_cents,net_roi_on_cost,positive_net,coverage_pass
current,book_margin_baseline,0,20,20,1.0,12,8,0.6,-123.0,-0.09297052154195011,False,True
current,book_margin_baseline,1,20,20,1.0,14,6,0.7,59.0,0.04399701715137957,True,True
current,book_margin_baseline,2,20,20,1.0,15,5,0.75,139.0,0.10213078618662748,True,True
current,book_margin_baseline,3,20,20,1.0,16,4,0.8,274.0,0.2066365007541478,True,True
current,book_margin_baseline,4,20,20,1.0,12,8,0.6,-117.0,-0.0888382687927107,False,True
current,book_margin_baseline,5,20,20,1.0,12,8,0.6,-129.0,-0.09706546275395034,False,True
current,book_margin_baseline,6,20,20,1.0,16,4,0.8,220.0,0.15942028985507245,True,True
current,book_margin_baseline,7,20,19,0.95,16,3,0.8421052631578947,297.0,0.22793553338449732,True,True
current,book_margin_baseline,8,20,20,1.0,14,6,0.7,75.0,0.05660377358490566,True,True
current,book_margin_baseline,9,20,19,0.95,15,4,0.7894736842105263,200.0,0.15384615384615385,True,True
current,book_margin_baseline,10,20,20,1.0,12,8,0.6,-164.0,-0.12023460410557185,False,True
current,book_margin_baseline,11,20,20,1.0,13,7,0.65,-73.0,-0.05316824471959213,False,True
current,book_margin_baseline,12,20,20,1.0,16,4,0.8,258.0,0.19225037257824143,True,True
current,book_margin_baseline,13,20,20,1.0,17,3,0.85,285.0,0.20141342756183744,True,True
current,book_margin_baseline,14,20,20,1.0,11,9,0.55,-260.0,-0.19117647058823528,False,True
current,book_margin_baseline,15,13,13,1.0,10,3,0.7692307692307693,108.0,0.1210762331838565,True,True
v21,book_margin_baseline,0,20,19,0.95,16,3,0.8421052631578947,223.0,0.16194625998547568,True,True
v21,book_margin_baseline,1,20,20,1.0,11,9,0.55,-283.0,-0.20462762111352134,False,True
v21,book_margin_baseline,2,20,20,1.0,13,7,0.65,-104.0,-0.07407407407407407,False,True
v21,book_margin_baseline,3,20,20,1.0,13,7,0.65,-84.0,-0.06069364161849711,False,True
v21,book_margin_baseline,4,20,20,1.0,14,6,0.7,32.0,0.023391812865497075,True,True
v21,book_margin_baseline,5,20,20,1.0,14,6,0.7,40.0,0.029411764705882353,True,True
v21,book_margin_baseline,6,20,20,1.0,17,3,0.85,343.0,0.2527634487840825,True,True
v21,book_margin_baseline,7,20,20,1.0,16,4,0.8,230.0,0.1678832116788321,True,True
v21,book_margin_baseline,8,20,20,1.0,10,10,0.5,-332.0,-0.24924924924924924,False,True
v21,book_margin_baseline,9,20,20,1.0,17,3,0.85,292.0,0.20738636363636365,True,True
v21,book_margin_baseline,10,20,19,0.95,14,5,0.7368421052631579,31.0,0.022644265887509132,True,True
v21,book_margin_baseline,11,1,1,1.0,1,0,1.0,37.0,0.5873015873015873,True,True
current,ridge_physics_fv; p>=0.5; fee_edge>=-2c; ask<=90; sec>=120,0,20,19,0.95,12,7,0.631578947368421,90.0,0.08108108108108109,True,True
current,ridge_physics_fv; p>=0.5; fee_edge>=-2c; ask<=90; sec>=120,1,20,20,1.0,13,7,0.65,119.0,0.10076206604572396,True,True
current,ridge_physics_fv; p>=0.5; fee_edge>=-2c; ask<=90; sec>=120,2,20,20,1.0,10,10,0.5,-189.0,-0.15895710681244743,False,True
current,ridge_physics_fv; p>=0.5; fee_edge>=-2c; ask<=90; sec>=120,3,20,20,1.0,16,4,0.8,392.0,0.32450331125827814,True,True
current,ridge_physics_fv; p>=0.5; fee_edge>=-2c; ask<=90; sec>=120,4,20,20,1.0,7,13,0.35,-412.0,-0.37050359712230213,False,True
current,ridge_physics_fv; p>=0.5; fee_edge>=-2c; ask<=90; sec>=120,5,20,20,1.0,7,13,0.35,-453.0,-0.39288811795316564,False,True
current,ridge_physics_fv; p>=0.5; fee_edge>=-2c; ask<=90; sec>=120,6,20,20,1.0,14,6,0.7,218.0,0.1844331641285956,True,True
current,ridge_physics_fv; p>=0.5; fee_edge>=-2c; ask<=90; sec>=120,7,20,19,0.95,10,9,0.5263157894736842,-85.0,-0.07834101382488479,False,True
current,ridge_physics_fv; p>=0.5; fee_edge>=-2c; ask<=90; sec>=120,8,20,20,1.0,10,10,0.5,-224.0,-0.1830065359477124,False,True
current,ridge_physics_fv; p>=0.5; fee_edge>=-2c; ask<=90; sec>=120,9,20,19,0.95,13,6,0.6842105263157895,170.0,0.1504424778761062,True,True
current,ridge_physics_fv; p>=0.5; fee_edge>=-2c; ask<=90; sec>=120,10,20,20,1.0,8,12,0.4,-396.0,-0.3311036789297659,False,True
current,ridge_physics_fv; p>=0.5; fee_edge>=-2c; ask<=90; sec>=120,11,20,20,1.0,12,8,0.6,-35.0,-0.02834008097165992,False,True
current,ridge_physics_fv; p>=0.5; fee_edge>=-2c; ask<=90; sec>=120,12,20,20,1.0,14,6,0.7,213.0,0.17944397641112048,True,True
current,ridge_physics_fv; p>=0.5; fee_edge>=-2c; ask<=90; sec>=120,13,20,19,0.95,13,6,0.6842105263157895,87.0,0.0717230008244023,True,True
current,ridge_physics_fv; p>=0.5; fee_edge>=-2c; ask<=90; sec>=120,14,20,20,1.0,7,13,0.35,-494.0,-0.4137353433835846,False,True
current,ridge_physics_fv; p>=0.5; fee_edge>=-2c; ask<=90; sec>=120,15,13,13,1.0,5,8,0.38461538461538464,-225.0,-0.3103448275862069,False,True
v21,ridge_physics_fv; p>=0.5; fee_edge>=-2c; ask<=90; sec>=120,0,20,18,0.9,11,7,0.6111111111111112,130.0,0.13402061855670103,True,True
v21,ridge_physics_fv; p>=0.5; fee_edge>=-2c; ask<=90; sec>=120,1,20,19,0.95,13,6,0.6842105263157895,198.0,0.17967332123411978,True,True
v21,ridge_physics_fv; p>=0.5; fee_edge>=-2c; ask<=90; sec>=120,2,20,20,1.0,13,7,0.65,94.0,0.0779436152570481,True,True
