dataset,candidate,label,filter_count,all_base_markets,all_markets,all_wins,all_losses,all_accuracy,all_coverage,all_wilson95_lower,all_median_ask,all_mean_ask,all_p75_ask,all_ask_ge_95,all_ask_eq_100,all_median_seconds_to_close,all_entry_fee_cents,all_ask_cost_cents,all_entry_cost_cents,all_gross_pnl_cents,all_net_pnl_cents,all_gross_roi_on_ask,all_net_roi_on_cost,all_net_edge_per_selected_cents,all_net_edge_per_base_market_cents,all_fee_aware_break_even_accuracy,all_accuracy_minus_break_even,train_base_markets,train_markets,train_wins,train_losses,train_accuracy,train_coverage,train_wilson95_lower,train_median_ask,train_mean_ask,train_p75_ask,train_ask_ge_95,train_ask_eq_100,train_median_seconds_to_close,train_entry_fee_cents,train_ask_cost_cents,train_entry_cost_cents,train_gross_pnl_cents,train_net_pnl_cents,train_gross_roi_on_ask,train_net_roi_on_cost,train_net_edge_per_selected_cents,train_net_edge_per_base_market_cents,train_fee_aware_break_even_accuracy,train_accuracy_minus_break_even,validation_base_markets,validation_markets,validation_wins,validation_losses,validation_accuracy,validation_coverage,validation_wilson95_lower,validation_median_ask,validation_mean_ask,validation_p75_ask,validation_ask_ge_95,validation_ask_eq_100,validation_median_seconds_to_close,validation_entry_fee_cents,validation_ask_cost_cents,validation_entry_cost_cents,validation_gross_pnl_cents,validation_net_pnl_cents,validation_gross_roi_on_ask,validation_net_roi_on_cost,validation_net_edge_per_selected_cents,validation_net_edge_per_base_market_cents,validation_fee_aware_break_even_accuracy,validation_accuracy_minus_break_even,holdout_base_markets,holdout_markets,holdout_wins,holdout_losses,holdout_accuracy,holdout_coverage,holdout_wilson95_lower,holdout_median_ask,holdout_mean_ask,holdout_p75_ask,holdout_ask_ge_95,holdout_ask_eq_100,holdout_median_seconds_to_close,holdout_entry_fee_cents,holdout_ask_cost_cents,holdout_entry_cost_cents,holdout_gross_pnl_cents,holdout_net_pnl_cents,holdout_gross_roi_on_ask,holdout_net_roi_on_cost,holdout_net_edge_per_selected_cents,holdout_net_edge_per_base_market_cents,holdout_fee_aware_break_even_accuracy,holdout_accuracy_minus_break_even,coverage_pass,all_splits_positive,oos_positive,all_median_edge
current,score_m60_edge_m5,choose=score_min_book_rv15; score_min_book_rv15>=0.6; fee_edge>=-5c; ask<=95; sec>=120,0,319,305,232,73,0.760655737704918,0.9561128526645768,0.7097165796336651,67.0,69.44590163934426,73.0,2,0,713.751,580.0,21181.0,21761.0,2019.0,1439.0,0.09532127850431991,0.06612747575938606,4.718032786885246,4.5109717868338555,0.7134754098360656,0.0471803278688524,191,183,142,41,0.7759562841530054,0.9581151832460733,0.7102284290930444,67.0,69.48633879781421,73.0,0,0,715.78,345.0,12716.0,13061.0,1484.0,1139.0,0.11670336583831394,0.087206186356328,6.224043715846994,5.963350785340314,0.7137158469945354,0.06224043715847005,64,63,47,16,0.746031746031746,0.984375,0.6265881256339354,68.0,69.65079365079364,73.5,0,0,698.49,120.0,4388.0,4508.0,312.0,192.0,0.07110300820419325,0.04259094942324756,3.0476190476190474,3.0,0.7155555555555556,0.030476190476190435,64,59,43,16,0.7288135593220338,0.921875,0.6040223703245484,68.0,69.10169491525424,71.5,2,0,718.343,115.0,4077.0,4192.0,223.0,108.0,0.05469708118714741,0.025763358778625955,1.8305084745762712,1.6875,0.7105084745762711,0.018305084745762756,True,True,True,-2.682294027349073
current,score_m60_edge_m5__touch_loss_rv_15m_le_0p95,choose=score_min_book_rv15; score_min_book_rv15>=0.6; fee_edge>=-5c; ask<=95; sec>=120; touch_loss_rv_15m<=0.95,1,319,305,232,73,0.760655737704918,0.9561128526645768,0.7097165796336651,67.0,69.44590163934426,73.0,2,0,713.751,580.0,21181.0,21761.0,2019.0,1439.0,0.09532127850431991,0.06612747575938606,4.718032786885246,4.5109717868338555,0.7134754098360656,0.0471803278688524,191,183,142,41,0.7759562841530054,0.9581151832460733,0.7102284290930444,67.0,69.48633879781421,73.0,0,0,715.78,345.0,12716.0,13061.0,1484.0,1139.0,0.11670336583831394,0.087206186356328,6.224043715846994,5.963350785340314,0.7137158469945354,0.06224043715847005,64,63,47,16,0.746031746031746,0.984375,0.6265881256339354,68.0,69.65079365079364,73.5,0,0,698.49,120.0,4388.0,4508.0,312.0,192.0,0.07110300820419325,0.04259094942324756,3.0476190476190474,3.0,0.7155555555555556,0.030476190476190435,64,59,43,16,0.7288135593220338,0.921875,0.6040223703245484,68.0,69.10169491525424,71.5,2,0,718.343,115.0,4077.0,4192.0,223.0,108.0,0.05469708118714741,0.025763358778625955,1.8305084745762712,1.6875,0.7105084745762711,0.018305084745762756,True,True,True,-2.682294027349073
current,score_m60_edge_m5__touch_loss_rv_15m_le_0p9,choose=score_min_book_rv15; score_min_book_rv15>=0.6; fee_edge>=-5c; ask<=95; sec>=120; touch_loss_rv_15m<=0.9,1,319,305,232,73,0.760655737704918,0.9561128526645768,0.7097165796336651,67.0,69.44590163934426,73.0,2,0,713.751,580.0,21181.0,21761.0,2019.0,1439.0,0.09532127850431991,0.06612747575938606,4.718032786885246,4.5109717868338555,0.7134754098360656,0.0471803278688524,191,183,142,41,0.7759562841530054,0.9581151832460733,0.7102284290930444,67.0,69.48633879781421,73.0,0,0,715.78,345.0,12716.0,13061.0,1484.0,1139.0,0.11670336583831394,0.087206186356328,6.224043715846994,5.963350785340314,0.7137158469945354,0.06224043715847005,64,63,47,16,0.746031746031746,0.984375,0.6265881256339354,68.0,69.65079365079364,73.5,0,0,698.49,120.0,4388.0,4508.0,312.0,192.0,0.07110300820419325,0.04259094942324756,3.0476190476190474,3.0,0.7155555555555556,0.030476190476190435,64,59,43,16,0.7288135593220338,0.921875,0.6040223703245484,68.0,69.10169491525424,71.5,2,0,718.343,115.0,4077.0,4192.0,223.0,108.0,0.05469708118714741,0.025763358778625955,1.8305084745762712,1.6875,0.7105084745762711,0.018305084745762756,True,True,True,-2.682294027349073
current,score_m60_edge_m5__touch_loss_rv_15m_le_0p85,choose=score_min_book_rv15; score_min_book_rv15>=0.6; fee_edge>=-5c; ask<=95; sec>=120; touch_loss_rv_15m<=0.85,1,319,305,232,73,0.760655737704918,0.9561128526645768,0.7097165796336651,67.0,69.44590163934426,73.0,2,0,713.751,580.0,21181.0,21761.0,2019.0,1439.0,0.09532127850431991,0.06612747575938606,4.718032786885246,4.5109717868338555,0.7134754098360656,0.0471803278688524,191,183,142,41,0.7759562841530054,0.9581151832460733,0.7102284290930444,67.0,69.48633879781421,73.0,0,0,715.78,345.0,12716.0,13061.0,1484.0,1139.0,0.11670336583831394,0.087206186356328,6.224043715846994,5.963350785340314,0.7137158469945354,0.06224043715847005,64,63,47,16,0.746031746031746,0.984375,0.6265881256339354,68.0,69.65079365079364,73.5,0,0,698.49,120.0,4388.0,4508.0,312.0,192.0,0.07110300820419325,0.04259094942324756,3.0476190476190474,3.0,0.7155555555555556,0.030476190476190435,64,59,43,16,0.7288135593220338,0.921875,0.6040223703245484,68.0,69.10169491525424,71.5,2,0,718.343,115.0,4077.0,4192.0,223.0,108.0,0.05469708118714741,0.025763358778625955,1.8305084745762712,1.6875,0.7105084745762711,0.018305084745762756,True,True,True,-2.682294027349073
current,score_m60_edge_m5__touch_loss_rv_15m_le_0p8,choose=score_min_book_rv15; score_min_book_rv15>=0.6; fee_edge>=-5c; ask<=95; sec>=120; touch_loss_rv_15m<=0.8,1,319,305,232,73,0.760655737704918,0.9561128526645768,0.7097165796336651,67.0,69.44590163934426,73.0,2,0,713.751,580.0,21181.0,21761.0,2019.0,1439.0,0.09532127850431991,0.06612747575938606,4.718032786885246,4.5109717868338555,0.7134754098360656,0.0471803278688524,191,183,142,41,0.7759562841530054,0.9581151832460733,0.7102284290930444,67.0,69.48633879781421,73.0,0,0,715.78,345.0,12716.0,13061.0,1484.0,1139.0,0.11670336583831394,0.087206186356328,6.224043715846994,5.963350785340314,0.7137158469945354,0.06224043715847005,64,63,47,16,0.746031746031746,0.984375,0.6265881256339354,68.0,69.65079365079364,73.5,0,0,698.49,120.0,4388.0,4508.0,312.0,192.0,0.07110300820419325,0.04259094942324756,3.0476190476190474,3.0,0.7155555555555556,0.030476190476190435,64,59,43,16,0.7288135593220338,0.921875,0.6040223703245484,68.0,69.10169491525424,71.5,2,0,718.343,115.0,4077.0,4192.0,223.0,108.0,0.05469708118714741,0.025763358778625955,1.8305084745762712,1.6875,0.7105084745762711,0.018305084745762756,True,True,True,-2.682294027349073
current,score_m60_edge_m5__touch_loss_rv_15m_ge_0p8,choose=score_min_book_rv15; score_min_book_rv15>=0.6; fee_edge>=-5c; ask<=95; sec>=120; touch_loss_rv_15m>=0.8,1,319,0,0,0,,0.0,,,,,0,0,,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,191,0,0,0,,0.0,,,,,0,0,,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,64,0,0,0,,0.0,,,,,0,0,,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,64,0,0,0,,0.0,,,,,0,0,,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,False,False,False,
current,score_m60_edge_m5__touch_loss_rv_15m_ge_0p9,choose=score_min_book_rv15; score_min_book_rv15>=0.6; fee_edge>=-5c; ask<=95; sec>=120; touch_loss_rv_15m>=0.9,1,319,0,0,0,,0.0,,,,,0,0,,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,191,0,0,0,,0.0,,,,,0,0,,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,64,0,0,0,,0.0,,,,,0,0,,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,64,0,0,0,,0.0,,,,,0,0,,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,False,False,False,
current,score_m60_edge_m5__margin_per_rv_sigma_15m_ge_0p1,choose=score_min_book_rv15; score_min_book_rv15>=0.6; fee_edge>=-5c; ask<=95; sec>=120; margin_per_rv_sigma_15m>=0.1,1,319,305,232,73,0.760655737704918,0.9561128526645768,0.7097165796336651,67.0,69.44590163934426,73.0,2,0,713.751,580.0,21181.0,21761.0,2019.0,1439.0,0.09532127850431991,0.06612747575938606,4.718032786885246,4.5109717868338555,0.7134754098360656,0.0471803278688524,191,183,142,41,0.7759562841530054,0.9581151832460733,0.7102284290930444,67.0,69.48633879781421,73.0,0,0,715.78,345.0,12716.0,13061.0,1484.0,1139.0,0.11670336583831394,0.087206186356328,6.224043715846994,5.963350785340314,0.7137158469945354,0.06224043715847005,64,63,47,16,0.746031746031746,0.984375,0.6265881256339354,68.0,69.65079365079364,73.5,0,0,698.49,120.0,4388.0,4508.0,312.0,192.0,0.07110300820419325,0.04259094942324756,3.0476190476190474,3.0,0.7155555555555556,0.030476190476190435,64,59,43,16,0.7288135593220338,0.921875,0.6040223703245484,68.0,69.10169491525424,71.5,2,0,718.343,115.0,4077.0,4192.0,223.0,108.0,0.05469708118714741,0.025763358778625955,1.8305084745762712,1.6875,0.7105084745762711,0.018305084745762756,True,True,True,-2.682294027349073
current,score_m60_edge_m5__margin_per_rv_sigma_15m_ge_0p25,choose=score_min_book_rv15; score_min_book_rv15>=0.6; fee_edge>=-5c; ask<=95; sec>=120; margin_per_rv_sigma_15m>=0.25,1,319,305,232,73,0.760655737704918,0.9561128526645768,0.7097165796336651,67.0,69.44590163934426,73.0,2,0,713.751,580.0,21181.0,21761.0,2019.0,1439.0,0.09532127850431991,0.06612747575938606,4.718032786885246,4.5109717868338555,0.7134754098360656,0.0471803278688524,191,183,142,41,0.7759562841530054,0.9581151832460733,0.7102284290930444,67.0,69.48633879781421,73.0,0,0,715.78,345.0,12716.0,13061.0,1484.0,1139.0,0.11670336583831394,0.087206186356328,6.224043715846994,5.963350785340314,0.7137158469945354,0.06224043715847005,64,63,47,16,0.746031746031746,0.984375,0.6265881256339354,68.0,69.65079365079364,73.5,0,0,698.49,120.0,4388.0,4508.0,312.0,192.0,0.07110300820419325,0.04259094942324756,3.0476190476190474,3.0,0.7155555555555556,0.030476190476190435,64,59,43,16,0.7288135593220338,0.921875,0.6040223703245484,68.0,69.10169491525424,71.5,2,0,718.343,115.0,4077.0,4192.0,223.0,108.0,0.05469708118714741,0.025763358778625955,1.8305084745762712,1.6875,0.7105084745762711,0.018305084745762756,True,True,True,-2.682294027349073
current,score_m60_edge_m5__margin_per_rv_sigma_15m_ge_0p5,choose=score_min_book_rv15; score_min_book_rv15>=0.6; fee_edge>=-5c; ask<=95; sec>=120; margin_per_rv_sigma_15m>=0.5,1,319,279,225,54,0.8064516129032258,0.8746081504702194,0.7560590804031257,74.0,76.30465949820788,81.0,9,0,621.195,495.0,21289.0,21784.0,1211.0,716.0,0.05688383672319038,0.03286816011751744,2.5663082437275984,2.2445141065830723,0.7807885304659499,0.025663082437275886,191,168,134,34,0.7976190476190477,0.8795811518324608,0.7305273071092123,74.0,76.26190476190476,81.0,2,0,628.855,298.0,12812.0,13110.0,588.0,290.0,0.04589447393068998,0.02212051868802441,1.7261904761904763,1.5183246073298429,0.780357142857143,0.0172619047619047,64,60,48,12,0.8,0.9375,0.6821819419437211,73.5,75.66666666666667,80.5,2,0,624.407,106.0,4540.0,4646.0,260.0,154.0,0.05726872246696035,0.03314679294016358,2.566666666666667,2.40625,0.7743333333333334,0.025666666666666615,64,51,43,8,0.8431372549019608,0.796875,0.7198955322701224,74.0,77.19607843137256,80.5,5,0,595.372,91.0,3937.0,4028.0,363.0,272.0,0.09220218440436881,0.06752730883813307,5.333333333333333,4.25,0.7898039215686274,0.053333333333333344,False,True,True,-2.5
