stage1,fallback,target_pass,less_degenerate_pass,stage1_markets,fallback_markets,min_test_accuracy,min_test_coverage,all_markets,all_wins,all_losses,all_base_markets,all_accuracy,all_coverage,all_wilson_low,all_median_ask,all_p75_ask,all_ask_ge_95,all_ask_eq_100,all_median_seconds_to_close,all_gross_pnl_cents,all_stake_cents,all_gross_roi,train_markets,train_wins,train_losses,train_base_markets,train_accuracy,train_coverage,train_wilson_low,train_median_ask,train_p75_ask,train_ask_ge_95,train_ask_eq_100,train_median_seconds_to_close,train_gross_pnl_cents,train_stake_cents,train_gross_roi,validation_markets,validation_wins,validation_losses,validation_base_markets,validation_accuracy,validation_coverage,validation_wilson_low,validation_median_ask,validation_p75_ask,validation_ask_ge_95,validation_ask_eq_100,validation_median_seconds_to_close,validation_gross_pnl_cents,validation_stake_cents,validation_gross_roi,holdout_markets,holdout_wins,holdout_losses,holdout_base_markets,holdout_accuracy,holdout_coverage,holdout_wilson_low,holdout_median_ask,holdout_p75_ask,holdout_ask_ge_95,holdout_ask_eq_100,holdout_median_seconds_to_close,holdout_gross_pnl_cents,holdout_stake_cents,holdout_gross_roi
economical; choose=score_min_book_rv15; score_min_book_rv15>=0.9; ask<=90; sec>=60,fallback; choose=score_min_book_rv15; score_min_book_rv15>=0.9; ask<=100; sec>=0; sec<=300,True,False,8,134,1.0,0.875,142,142,0,156,1.0,0.9102564102564102,0.9736590931531194,97.0,99.0,116,22,233.3895,453.0,13747.0,0.0329526442132829,86,86,0,93,1.0,0.9247311827956989,0.9572402984808818,98.0,99.0,74,16,234.72199999999998,246.0,8354.0,0.02944697151065358,28,28,0,31,1.0,0.9032258064516129,0.8793527963418923,96.0,98.0,20,3,203.723,124.0,2676.0,0.04633781763826607,28,28,0,32,1.0,0.875,0.8793527963418923,97.5,99.0,22,3,231.5465,83.0,2717.0,0.0305483989694516
economical; choose=score_min_book_rv15; score_min_book_rv15>=0.9; ask<=90; sec>=60; adverse15<=10_or_margin_rv15>=0.5,fallback; choose=score_min_book_rv15; score_min_book_rv15>=0.9; ask<=100; sec>=0; sec<=300,True,False,8,134,1.0,0.875,142,142,0,156,1.0,0.9102564102564102,0.9736590931531194,97.0,99.0,116,22,233.3895,453.0,13747.0,0.0329526442132829,86,86,0,93,1.0,0.9247311827956989,0.9572402984808818,98.0,99.0,74,16,234.72199999999998,246.0,8354.0,0.02944697151065358,28,28,0,31,1.0,0.9032258064516129,0.8793527963418923,96.0,98.0,20,3,203.723,124.0,2676.0,0.04633781763826607,28,28,0,32,1.0,0.875,0.8793527963418923,97.5,99.0,22,3,231.5465,83.0,2717.0,0.0305483989694516
economical; choose=score_min_book_rv15; score_min_book_rv15>=0.9; ask<=90; sec>=120,fallback; choose=score_min_book_rv15; score_min_book_rv15>=0.9; ask<=100; sec>=0; sec<=300,True,False,8,134,1.0,0.875,142,142,0,156,1.0,0.9102564102564102,0.9736590931531194,97.0,99.0,116,22,233.3895,453.0,13747.0,0.0329526442132829,86,86,0,93,1.0,0.9247311827956989,0.9572402984808818,98.0,99.0,74,16,234.72199999999998,246.0,8354.0,0.02944697151065358,28,28,0,31,1.0,0.9032258064516129,0.8793527963418923,96.0,98.0,20,3,203.723,124.0,2676.0,0.04633781763826607,28,28,0,32,1.0,0.875,0.8793527963418923,97.5,99.0,22,3,231.5465,83.0,2717.0,0.0305483989694516
economical; choose=score_min_book_rv15; score_min_book_rv15>=0.9; ask<=90; sec>=120; adverse15<=10_or_margin_rv15>=0.5,fallback; choose=score_min_book_rv15; score_min_book_rv15>=0.9; ask<=100; sec>=0; sec<=300,True,False,8,134,1.0,0.875,142,142,0,156,1.0,0.9102564102564102,0.9736590931531194,97.0,99.0,116,22,233.3895,453.0,13747.0,0.0329526442132829,86,86,0,93,1.0,0.9247311827956989,0.9572402984808818,98.0,99.0,74,16,234.72199999999998,246.0,8354.0,0.02944697151065358,28,28,0,31,1.0,0.9032258064516129,0.8793527963418923,96.0,98.0,20,3,203.723,124.0,2676.0,0.04633781763826607,28,28,0,32,1.0,0.875,0.8793527963418923,97.5,99.0,22,3,231.5465,83.0,2717.0,0.0305483989694516
economical; choose=score_min_book_rv15; score_min_book_rv15>=0.9; ask<=90; sec>=60,fallback; choose=score_min_book_rv15; score_min_book_rv15>=0.95; ask<=100; sec>=0; sec<=300,True,False,10,128,1.0,0.8387096774193549,138,138,0,156,1.0,0.8846153846153846,0.9729162671599869,98.0,99.0,128,32,170.7105,324.0,13476.0,0.02404274265360641,85,85,0,93,1.0,0.9139784946236559,0.9567589957857581,99.0,100.0,81,25,177.607,170.0,8330.0,0.02040816326530612,26,26,0,31,1.0,0.8387096774193549,0.8712669561953783,97.5,99.0,22,2,176.96699999999998,89.0,2511.0,0.03544404619673437,27,27,0,32,1.0,0.84375,0.8754409628553642,98.0,99.0,25,5,138.481,65.0,2635.0,0.024667931688804556
economical; choose=score_min_book_rv15; score_min_book_rv15>=0.9; ask<=90; sec>=60; adverse15<=10_or_margin_rv15>=0.5,fallback; choose=score_min_book_rv15; score_min_book_rv15>=0.95; ask<=100; sec>=0; sec<=300,True,False,10,128,1.0,0.8387096774193549,138,138,0,156,1.0,0.8846153846153846,0.9729162671599869,98.0,99.0,128,32,170.7105,324.0,13476.0,0.02404274265360641,85,85,0,93,1.0,0.9139784946236559,0.9567589957857581,99.0,100.0,81,25,177.607,170.0,8330.0,0.02040816326530612,26,26,0,31,1.0,0.8387096774193549,0.8712669561953783,97.5,99.0,22,2,176.96699999999998,89.0,2511.0,0.03544404619673437,27,27,0,32,1.0,0.84375,0.8754409628553642,98.0,99.0,25,5,138.481,65.0,2635.0,0.024667931688804556
economical; choose=score_min_book_rv15; score_min_book_rv15>=0.9; ask<=90; sec>=120,fallback; choose=score_min_book_rv15; score_min_book_rv15>=0.95; ask<=100; sec>=0; sec<=300,True,False,9,129,1.0,0.8387096774193549,138,138,0,156,1.0,0.8846153846153846,0.9729162671599869,98.0,99.0,129,33,170.7105,314.0,13486.0,0.023283405012605667,85,85,0,93,1.0,0.9139784946236559,0.9567589957857581,99.0,100.0,81,25,177.607,170.0,8330.0,0.02040816326530612,26,26,0,31,1.0,0.8387096774193549,0.8712669561953783,97.5,99.0,22,2,176.96699999999998,89.0,2511.0,0.03544404619673437,27,27,0,32,1.0,0.84375,0.8754409628553642,99.0,99.0,26,6,138.481,55.0,2645.0,0.020793950850661626
economical; choose=score_min_book_rv15; score_min_book_rv15>=0.9; ask<=90; sec>=120; adverse15<=10_or_margin_rv15>=0.5,fallback; choose=score_min_book_rv15; score_min_book_rv15>=0.95; ask<=100; sec>=0; sec<=300,True,False,9,129,1.0,0.8387096774193549,138,138,0,156,1.0,0.8846153846153846,0.9729162671599869,98.0,99.0,129,33,170.7105,314.0,13486.0,0.023283405012605667,85,85,0,93,1.0,0.9139784946236559,0.9567589957857581,99.0,100.0,81,25,177.607,170.0,8330.0,0.02040816326530612,26,26,0,31,1.0,0.8387096774193549,0.8712669561953783,97.5,99.0,22,2,176.96699999999998,89.0,2511.0,0.03544404619673437,27,27,0,32,1.0,0.84375,0.8754409628553642,99.0,99.0,26,6,138.481,55.0,2645.0,0.020793950850661626
economical; choose=score_min_book_rv15; score_min_book_rv15>=0.9; ask<=90; sec>=60,fallback; choose=score_min_book_rv15; score_min_book_rv15>=0.95; ask<=100; sec>=0,True,False,10,128,1.0,0.8387096774193549,138,137,1,156,0.9927536231884058,0.8846153846153846,0.9600963092363003,98.0,99.0,128,26,172.5335,271.0,13429.0,0.020180207014669743,85,84,1,93,0.9882352941176471,0.9139784946236559,0.9363267530020379,98.0,99.0,81,19,182.415,106.0,8294.0,0.01278032312515071,26,26,0,31,1.0,0.8387096774193549,0.8712669561953783,97.0,99.0,22,2,176.96699999999998,92.0,2508.0,0.03668261562998405,27,27,0,32,1.0,0.84375,0.8754409628553642,98.0,99.0,25,5,138.481,73.0,2627.0,0.027788351732013702
economical; choose=score_min_book_rv15; score_min_book_rv15>=0.9; ask<=90; sec>=60; adverse15<=10_or_margin_rv15>=0.5,fallback; choose=score_min_book_rv15; score_min_book_rv15>=0.95; ask<=100; sec>=0,True,False,10,128,1.0,0.8387096774193549,138,137,1,156,0.9927536231884058,0.8846153846153846,0.9600963092363003,98.0,99.0,128,26,172.5335,271.0,13429.0,0.020180207014669743,85,84,1,93,0.9882352941176471,0.9139784946236559,0.9363267530020379,98.0,99.0,81,19,182.415,106.0,8294.0,0.01278032312515071,26,26,0,31,1.0,0.8387096774193549,0.8712669561953783,97.0,99.0,22,2,176.96699999999998,92.0,2508.0,0.03668261562998405,27,27,0,32,1.0,0.84375,0.8754409628553642,98.0,99.0,25,5,138.481,73.0,2627.0,0.027788351732013702
