dataset,anchor,reference,bucket,pairs,anchor_wins,reference_wins,anchor_accuracy,reference_accuracy,anchor_net_pnl_cents,reference_net_pnl_cents,anchor_minus_reference_cents,mean_anchor_minus_reference_cents,median_reference_minus_anchor_seconds
current,book_margin,frontier_v2,all_pairs,303,215,190,0.7095709570957096,0.6270627062706271,982.0,-17.0,999.0,3.297029702970297,0.0
current,book_margin,frontier_v2,anchor_earlier_same_side,68,45,45,0.6617647058823529,0.6617647058823529,-67.0,-156.0,89.0,1.3088235294117647,30.0295
current,book_margin,frontier_v2,anchor_earlier_side_flip,7,3,4,0.42857142857142855,0.5714285714285714,-165.0,-16.0,-149.0,-21.285714285714285,90.105
current,book_margin,frontier_v2,anchor_later_same_side,68,50,50,0.7352941176470589,0.7352941176470589,462.0,1121.0,-659.0,-9.691176470588236,-45.1025
current,book_margin,frontier_v2,anchor_later_side_flip,66,46,20,0.696969696969697,0.30303030303030304,171.0,-1547.0,1718.0,26.03030303030303,-113.413
current,book_margin,score_min60,all_pairs,302,214,228,0.7086092715231788,0.7549668874172185,945.0,1213.0,-268.0,-0.8874172185430463,30.0215
current,book_margin,score_min60,anchor_earlier_same_side,174,126,126,0.7241379310344828,0.7241379310344828,976.0,-11.0,987.0,5.672413793103448,45.06
current,book_margin,score_min60,anchor_earlier_side_flip,24,5,19,0.20833333333333334,0.7916666666666666,-1051.0,204.0,-1255.0,-52.291666666666664,232.7585
current,book_margin,score_min60,anchor_later_same_side,0,0,0,,,0.0,0.0,0.0,,
current,book_margin,score_min60,anchor_later_side_flip,0,0,0,,,0.0,0.0,0.0,,
current,book_margin_early,frontier_v2,all_pairs,295,210,186,0.711864406779661,0.6305084745762712,1012.0,49.0,963.0,3.2644067796610168,0.0
current,book_margin_early,frontier_v2,anchor_earlier_same_side,68,45,45,0.6617647058823529,0.6617647058823529,-67.0,-156.0,89.0,1.3088235294117647,30.0295
current,book_margin_early,frontier_v2,anchor_earlier_side_flip,7,3,4,0.42857142857142855,0.5714285714285714,-165.0,-16.0,-149.0,-21.285714285714285,90.105
current,book_margin_early,frontier_v2,anchor_later_same_side,66,49,49,0.7424242424242424,0.7424242424242424,491.0,1132.0,-641.0,-9.712121212121213,-45.1025
current,book_margin_early,frontier_v2,anchor_later_side_flip,61,43,18,0.7049180327868853,0.29508196721311475,208.0,-1456.0,1664.0,27.278688524590162,-105.126
current,book_margin_early,score_min60,all_pairs,294,209,223,0.7108843537414966,0.7585034013605442,975.0,1305.0,-330.0,-1.1224489795918366,30.0175
