entries,wins_if_held,losses_if_held,win_rate_if_held,early_exits,early_exited_winners,early_exited_losers,left_censored_entries,net_pnl_cents,avg_pnl_cents,median_pnl_cents,max_drawdown_cents,lcb_avg_pnl_cents,source_tier,threshold,entry_mode,exit_gate,markets_with_joined_log_observations,markets_with_threshold_touch
630,506,124,0.803175,0,0,0,0,-1060.000000,-1.682540,18.000000,1856.000000,-4.789790,broad_execution_log_derived,80.000000,strict_cross,hold,729,630
630,506,124,0.803175,200,109,91,0,-830.000000,-1.317460,18.000000,1363.000000,-3.738436,broad_execution_log_derived,80.000000,strict_cross,v28_fair_lt_60,729,630
630,506,124,0.803175,296,195,101,0,-767.000000,-1.217460,10.000000,1199.000000,-3.280653,broad_execution_log_derived,80.000000,strict_cross,v28_fair_lt_70,729,630
630,506,124,0.803175,364,257,107,0,-912.000000,-1.447619,1.000000,1116.000000,-3.300114,broad_execution_log_derived,80.000000,strict_cross,v28_fair_lt_75,729,630
630,506,124,0.803175,413,302,111,0,-948.000000,-1.504762,-3.000000,1180.000000,-3.146986,broad_execution_log_derived,80.000000,strict_cross,v28_fair_lt_80,729,630
630,506,124,0.803175,449,335,114,0,-968.000000,-1.536508,-3.000000,1139.000000,-3.039200,broad_execution_log_derived,80.000000,strict_cross,v28_fair_lt_85,729,630
687,556,131,0.809316,0,0,0,87,-734.000000,-1.068413,18.000000,1602.000000,-4.008163,broad_execution_log_derived,80.000000,include_left_censored,hold,729,687
687,556,131,0.809316,217,121,96,87,-554.000000,-0.806405,18.000000,1159.000000,-3.097929,broad_execution_log_derived,80.000000,include_left_censored,v28_fair_lt_60,729,687
687,556,131,0.809316,333,226,107,87,-762.000000,-1.109170,5.000000,1227.000000,-3.050992,broad_execution_log_derived,80.000000,include_left_censored,v28_fair_lt_70,729,687
687,556,131,0.809316,408,297,111,87,-1229.000000,-1.788937,1.000000,1469.000000,-3.565485,broad_execution_log_derived,80.000000,include_left_censored,v28_fair_lt_75,729,687
687,556,131,0.809316,462,345,117,87,-1095.000000,-1.593886,-3.000000,1364.000000,-3.135271,broad_execution_log_derived,80.000000,include_left_censored,v28_fair_lt_80,729,687
687,556,131,0.809316,504,383,121,87,-987.000000,-1.436681,-3.000000,1254.000000,-2.809681,broad_execution_log_derived,80.000000,include_left_censored,v28_fair_lt_85,729,687
575,530,45,0.921739,0,0,0,0,675.000000,1.173913,9.000000,475.000000,-1.023322,broad_execution_log_derived,90.000000,strict_cross,hold,729,575
575,530,45,0.921739,63,37,26,0,525.000000,0.913043,9.000000,388.000000,-1.031903,broad_execution_log_derived,90.000000,strict_cross,v28_fair_lt_60,729,575
575,530,45,0.921739,98,70,28,0,465.000000,0.808696,9.000000,355.000000,-1.016602,broad_execution_log_derived,90.000000,strict_cross,v28_fair_lt_70,729,575
575,530,45,0.921739,126,97,29,0,359.000000,0.624348,9.000000,363.000000,-1.127769,broad_execution_log_derived,90.000000,strict_cross,v28_fair_lt_75,729,575
575,530,45,0.921739,162,130,32,0,468.000000,0.813913,9.000000,316.000000,-0.752576,broad_execution_log_derived,90.000000,strict_cross,v28_fair_lt_80,729,575
575,530,45,0.921739,205,171,34,0,337.000000,0.586087,9.000000,231.000000,-0.893299,broad_execution_log_derived,90.000000,strict_cross,v28_fair_lt_85,729,575
579,534,45,0.922280,0,0,0,6,711.000000,1.227979,9.000000,475.000000,-0.954703,broad_execution_log_derived,90.000000,include_left_censored,hold,729,579
579,534,45,0.922280,63,37,26,6,561.000000,0.968912,9.000000,388.000000,-0.963358,broad_execution_log_derived,90.000000,include_left_censored,v28_fair_lt_60,729,579
579,534,45,0.922280,98,70,28,6,501.000000,0.865285,9.000000,355.000000,-0.948235,broad_execution_log_derived,90.000000,include_left_censored,v28_fair_lt_70,729,579
579,534,45,0.922280,126,97,29,6,395.000000,0.682211,9.000000,354.000000,-1.058711,broad_execution_log_derived,90.000000,include_left_censored,v28_fair_lt_75,729,579
579,534,45,0.922280,162,130,32,6,504.000000,0.870466,9.000000,307.000000,-0.686173,broad_execution_log_derived,90.000000,include_left_censored,v28_fair_lt_80,729,579
579,534,45,0.922280,205,171,34,6,373.000000,0.644214,9.000000,213.000000,-0.826041,broad_execution_log_derived,90.000000,include_left_censored,v28_fair_lt_85,729,579
