entries,wins_if_held,losses_if_held,win_rate_if_held,early_exits,early_exited_winners,early_exited_losers,left_censored_entries,rows_with_post_entry_predictor,net_pnl_cents,avg_pnl_cents,median_pnl_cents,max_drawdown_cents,lcb_avg_pnl_cents,entry_fee_cents,threshold,entry_mode,exit_gate,markets_considered,markets_with_raw_ticker,markets_with_threshold_touch
64,50,14,0.781250,0,0,0,0,27,-248.000000,-3.875000,18.000000,586.000000,-14.083333,2,80.000000,strict_cross,hold,188,79,64
64,50,14,0.781250,6,3,3,0,27,-206.000000,-3.218750,18.000000,586.000000,-12.700776,2,80.000000,strict_cross,candidate_fair_lt_60,188,79,64
64,50,14,0.781250,10,7,3,0,27,-281.000000,-4.390625,18.000000,657.000000,-13.722971,2,80.000000,strict_cross,candidate_fair_lt_70,188,79,64
64,50,14,0.781250,13,9,4,0,27,-257.000000,-4.015625,18.000000,618.000000,-12.988080,2,80.000000,strict_cross,candidate_fair_lt_75,188,79,64
64,50,14,0.781250,18,13,5,0,27,-215.000000,-3.359375,18.000000,579.000000,-11.756970,2,80.000000,strict_cross,candidate_fair_lt_80,188,79,64
64,50,14,0.781250,20,15,5,0,27,-239.000000,-3.734375,18.000000,579.000000,-12.089984,2,80.000000,strict_cross,candidate_fair_lt_85,188,79,64
64,50,14,0.781250,21,16,5,0,27,-247.100000,-3.860937,18.000000,579.000000,-12.200138,2,80.000000,strict_cross,candidate_fair_lt_90,188,79,64
64,50,14,0.781250,14,5,9,0,50,-162.800000,-2.543750,18.000000,529.800000,-11.137902,2,80.000000,strict_cross,v28_fair_lt_60,188,79,64
64,50,14,0.781250,20,11,9,0,50,-186.000000,-2.906250,18.000000,511.000000,-10.656747,2,80.000000,strict_cross,v28_fair_lt_70,188,79,64
64,50,14,0.781250,25,15,10,0,50,-202.000000,-3.156250,18.000000,472.000000,-10.409193,2,80.000000,strict_cross,v28_fair_lt_75,188,79,64
64,50,14,0.781250,31,20,11,0,50,-186.000000,-2.906250,3.000000,444.000000,-9.399461,2,80.000000,strict_cross,v28_fair_lt_80,188,79,64
64,50,14,0.781250,33,22,11,0,50,-246.000000,-3.843750,1.000000,472.000000,-10.316606,2,80.000000,strict_cross,v28_fair_lt_85,188,79,64
64,50,14,0.781250,13,9,4,0,27,-257.000000,-4.015625,18.000000,618.000000,-12.988080,2,80.000000,strict_cross,candidate_fair_lt_entry_minus_5,188,79,64
64,50,14,0.781250,10,7,3,0,27,-281.000000,-4.390625,18.000000,657.000000,-13.722971,2,80.000000,strict_cross,candidate_fair_lt_entry_minus_10,188,79,64
64,50,14,0.781250,19,10,9,0,50,-212.000000,-3.312500,18.000000,560.000000,-11.136914,2,80.000000,strict_cross,bid_lt_entry_minus_5,188,79,64
