threshold,entry_mode,exit_gate,market_ticker,entry_side,settlement_side,side_win_if_held,entry_ts_utc,market_close_ts_utc,entry_seconds_to_close,entry_price_cents,entry_fee_cents,entry_observed_ask_cents,entry_observed_bid_cents,entry_observed_ask_size,entry_left_censored,entry_same_tick_candidate_count,post_entry_predictor_rows,exit_row_source,outcome,exit_ts_utc,exit_price_cents,exit_fee_cents,exit_reason,net_pnl_cents,settlement_price,settlement_ts_utc,entry_source_file,entry_source_line,entry_dataset_tag
80.000000,strict_cross,hold,KXBTC15M-26MAY110600-00,yes,yes,True,2026-05-11T09:48:41.642Z,2026-05-11T10:00:00.000Z,678.357436,80.000000,2,80.000000,79.000000,6.000000,False,1,0,selected_candidate,settlement_win,,100.000000,0,,18.000000,80952.28,2026-05-11T10:00:15.850Z,research_data\particle_dynamic600_oos_20260511TLOCKEDNEXT2\raw_events\type=ticker\day=2026-05-11\hour=09\part-native-passive-20260511TLOCKEDNEXT2-DYN600.ndjson,1101,particle_dynamic600_oos_20260511TLOCKEDNEXT2
80.000000,strict_cross,hold,KXBTC15M-26MAY110615-15,yes,yes,True,2026-05-11T10:08:16.695Z,2026-05-11T10:15:00.000Z,403.304275,80.000000,2,81.000000,80.000000,571.000000,False,1,0,selected_candidate,settlement_win,,100.000000,0,,18.000000,81023.99,2026-05-11T10:15:15.849Z,research_data\particle_dynamic600_oos_20260511TLOCKEDNEXT2\raw_events\type=ticker\day=2026-05-11\hour=10\part-native-passive-20260511TLOCKEDNEXT2-DYN600.ndjson,469,particle_dynamic600_oos_20260511TLOCKEDNEXT2
80.000000,strict_cross,hold,KXBTC15M-26MAY110630-30,yes,yes,True,2026-05-11T10:18:56.503Z,2026-05-11T10:30:00.000Z,663.496987,80.000000,2,80.000000,78.000000,1241.870000,False,1,0,selected_candidate,settlement_win,,100.000000,0,,18.000000,81174.1,2026-05-11T10:30:15.853Z,research_data\particle_dynamic600_oos_20260511TLOCKEDNEXT2\raw_events\type=ticker\day=2026-05-11\hour=10\part-native-passive-20260511TLOCKEDNEXT2-DYN600.ndjson,1018,particle_dynamic600_oos_20260511TLOCKEDNEXT2
80.000000,strict_cross,hold,KXBTC15M-26MAY110645-45,no,no,True,2026-05-11T10:34:33.631Z,2026-05-11T10:45:00.000Z,626.368839,80.000000,2,81.000000,80.000000,2.000000,False,1,0,selected_candidate,settlement_win,,100.000000,0,,18.000000,81063.03,2026-05-11T10:45:15.844Z,research_data\particle_dynamic600_oos_20260511TLOCKEDNEXT2\raw_events\type=ticker\day=2026-05-11\hour=10\part-native-passive-20260511TLOCKEDNEXT2-DYN600.ndjson,1763,particle_dynamic600_oos_20260511TLOCKEDNEXT2
80.000000,strict_cross,hold,KXBTC15M-26MAY110830-30,yes,yes,True,2026-05-11T12:18:50.016Z,2026-05-11T12:30:00.000Z,669.983394,80.000000,2,80.000000,79.000000,162.200000,False,1,0,selected_candidate,settlement_win,,100.000000,0,,18.000000,81281.83,2026-05-11T12:30:15.849Z,research_data\particle_shadow_spotmerge_oos_20260511T121730Z\raw_events\type=ticker\day=2026-05-11\hour=12\part-native-passive-20260511T121730Z.ndjson,78,particle_shadow_spotmerge_oos_20260511T121730Z
80.000000,strict_cross,hold,KXBTC15M-26MAY110915-15,yes,yes,True,2026-05-11T13:02:00.884Z,2026-05-11T13:15:00.000Z,779.115766,80.000000,2,82.000000,81.000000,945.720000,False,1,0,selected_candidate,settlement_win,,100.000000,0,,18.000000,81264.62,2026-05-11T13:15:15.851Z,research_data\particle_side_consensus_oos_CONSENSUSLOCK001\raw_events\type=ticker\day=2026-05-11\hour=13\part-native-passive-CONSENSUSLOCK001.ndjson,83,particle_side_consensus_oos_CONSENSUSLOCK001
80.000000,strict_cross,hold,KXBTC15M-26MAY110930-30,no,no,True,2026-05-11T13:25:03.564Z,2026-05-11T13:30:00.000Z,296.435574,80.000000,2,86.000000,84.000000,1412.600000,False,1,0,selected_candidate,settlement_win,,100.000000,0,,18.000000,81138.48,2026-05-11T13:30:15.850Z,research_data\particle_side_consensus_oos_CONSENSUSLOCK001\raw_events\type=ticker\day=2026-05-11\hour=13\part-native-passive-CONSENSUSLOCK001.ndjson,1251,particle_side_consensus_oos_CONSENSUSLOCK001
80.000000,strict_cross,hold,KXBTC15M-26MAY110945-45,no,no,True,2026-05-11T13:33:50.907Z,2026-05-11T13:45:00.000Z,669.092441,80.000000,2,80.000000,79.000000,55.000000,False,1,0,selected_candidate,settlement_win,,100.000000,0,,18.000000,81087.32,2026-05-11T13:45:15.855Z,research_data\particle_side_consensus_oos_CONSENSUSLOCK001\raw_events\type=ticker\day=2026-05-11\hour=13\part-native-passive-CONSENSUSLOCK001.ndjson,1672,particle_side_consensus_oos_CONSENSUSLOCK001
80.000000,strict_cross,hold,KXBTC15M-26MAY111000-00,no,no,True,2026-05-11T13:48:19.779Z,2026-05-11T14:00:00.000Z,700.220189,80.000000,2,80.000000,79.000000,92.840000,False,1,0,selected_candidate,settlement_win,,100.000000,0,,18.000000,81032.13,2026-05-11T14:00:15.852Z,research_data\particle_side_consensus_oos_CONSENSUSLOCK001\raw_events\type=ticker\day=2026-05-11\hour=13\part-native-passive-CONSENSUSLOCK001.ndjson,2488,particle_side_consensus_oos_CONSENSUSLOCK001
80.000000,strict_cross,hold,KXBTC15M-26MAY111015-15,yes,yes,True,2026-05-11T14:01:18.576Z,2026-05-11T14:15:00.000Z,821.423117,80.000000,2,80.000000,79.000000,771.000000,False,1,0,selected_candidate,settlement_win,,100.000000,0,,18.000000,81107,2026-05-11T14:15:15.855Z,research_data\particle_side_consensus_oos_CONSENSUSLOCK001\raw_events\type=ticker\day=2026-05-11\hour=14\part-native-passive-CONSENSUSLOCK001.ndjson,60,particle_side_consensus_oos_CONSENSUSLOCK001
