policy,label,current_all_net_pnl_cents,v21_all_net_pnl_cents,combined_all_net_pnl_cents,combined_oos_net_pnl_cents,min_split_coverage,current_all_accuracy,v21_all_accuracy,current_touch_preempts,v21_touch_preempts,all_splits_positive,oos_positive,min_positive_block_rate,worst_block_net_cents,strict_pass
touch_preempt_book0.65_touch0.5_ask55_age600,"choose=book_p_side; book_p_side>=0.6; ask<=95; sec_to_close>=120; margin_rv15>=0; preempt earlier opposite touch if book<=0.65, touch>= 0.5, touch_ask<=55, age<=600s",805.0,443.0,1248.0,732.0,0.9777777777777777,0.7003154574132492,0.7123287671232876,5,2,False,True,0.5925925925925926,-296.0,False
touch_preempt_book0.7_touch0.5_ask55_age600,"choose=book_p_side; book_p_side>=0.6; ask<=95; sec_to_close>=120; margin_rv15>=0; preempt earlier opposite touch if book<=0.7, touch>= 0.5, touch_ask<=55, age<=600s",720.0,443.0,1163.0,732.0,0.9777777777777777,0.6971608832807571,0.7123287671232876,6,2,False,True,0.5925925925925926,-296.0,False
book_margin_baseline,choose=book_p_side; book_p_side>=0.6; ask<=95; sec_to_close>=120; margin_rv15>=0,1040.0,425.0,1465.0,714.0,0.9777777777777777,0.7097791798107256,0.7123287671232876,0,0,False,True,0.6296296296296297,-330.0,False
touch_preempt_book0.8_touch0.5_ask55_age600,"choose=book_p_side; book_p_side>=0.6; ask<=95; sec_to_close>=120; margin_rv15>=0; preempt earlier opposite touch if book<=0.8, touch>= 0.5, touch_ask<=55, age<=600s",762.0,573.0,1335.0,658.0,0.9777777777777777,0.6971608832807571,0.7168949771689498,8,3,False,False,0.5925925925925926,-296.0,False
touch_preempt_book1_touch0.5_ask55_age600,"choose=book_p_side; book_p_side>=0.6; ask<=95; sec_to_close>=120; margin_rv15>=0; preempt earlier opposite touch if book<=1, touch>= 0.5, touch_ask<=55, age<=600s",762.0,573.0,1335.0,658.0,0.9777777777777777,0.6971608832807571,0.7168949771689498,8,3,False,False,0.5925925925925926,-296.0,False
touch_preempt_book0.8_touch0.5_ask55_age180,"choose=book_p_side; book_p_side>=0.6; ask<=95; sec_to_close>=120; margin_rv15>=0; preempt earlier opposite touch if book<=0.8, touch>= 0.5, touch_ask<=55, age<=180s",1012.0,463.0,1475.0,622.0,0.9777777777777777,0.7066246056782335,0.7123287671232876,5,2,True,True,0.6296296296296297,-330.0,False
touch_preempt_book1_touch0.5_ask55_age180,"choose=book_p_side; book_p_side>=0.6; ask<=95; sec_to_close>=120; margin_rv15>=0; preempt earlier opposite touch if book<=1, touch>= 0.5, touch_ask<=55, age<=180s",1012.0,463.0,1475.0,622.0,0.9777777777777777,0.7066246056782335,0.7123287671232876,5,2,True,True,0.6296296296296297,-330.0,False
touch_preempt_book0.65_touch0.5_ask55_age180,"choose=book_p_side; book_p_side>=0.6; ask<=95; sec_to_close>=120; margin_rv15>=0; preempt earlier opposite touch if book<=0.65, touch>= 0.5, touch_ask<=55, age<=180s",981.0,333.0,1314.0,622.0,0.9777777777777777,0.7066246056782335,0.7077625570776256,3,1,False,True,0.6296296296296297,-330.0,False
touch_preempt_book0.7_touch0.5_ask55_age180,"choose=book_p_side; book_p_side>=0.6; ask<=95; sec_to_close>=120; margin_rv15>=0; preempt earlier opposite touch if book<=0.7, touch>= 0.5, touch_ask<=55, age<=180s",896.0,333.0,1229.0,622.0,0.9777777777777777,0.7034700315457413,0.7077625570776256,4,1,False,True,0.6296296296296297,-330.0,False
touch_preempt_book0.65_touch0.5_ask55_age300,"choose=book_p_side; book_p_side>=0.6; ask<=95; sec_to_close>=120; margin_rv15>=0; preempt earlier opposite touch if book<=0.65, touch>= 0.5, touch_ask<=55, age<=300s",893.0,333.0,1226.0,622.0,0.9777777777777777,0.7034700315457413,0.7077625570776256,4,1,False,True,0.5925925925925926,-330.0,False
touch_preempt_book0.7_touch0.5_ask55_age300,"choose=book_p_side; book_p_side>=0.6; ask<=95; sec_to_close>=120; margin_rv15>=0; preempt earlier opposite touch if book<=0.7, touch>= 0.5, touch_ask<=55, age<=300s",808.0,333.0,1141.0,622.0,0.9777777777777777,0.7003154574132492,0.7077625570776256,5,1,False,True,0.5925925925925926,-330.0,False
touch_preempt_book0.8_touch0.5_ask55_age300,"choose=book_p_side; book_p_side>=0.6; ask<=95; sec_to_close>=120; margin_rv15>=0; preempt earlier opposite touch if book<=0.8, touch>= 0.5, touch_ask<=55, age<=300s",850.0,463.0,1313.0,548.0,0.9777777777777777,0.7003154574132492,0.7123287671232876,7,2,False,False,0.5925925925925926,-330.0,False
