threshold_cents,max_entry_ask_cents,window,exit_gate,entries,wins,losses,win_rate,wrong_side,exits,settlement_losses,net_pnl_cents,avg_pnl_cents,max_drawdown_cents,remove_best_market_net_cents,market_lcb_cents,worst_trade_cents,best_trade_cents
80.000000,95.000000,1_to_15_min,hold,68,54,14,0.794118,14,0,14,-269.000000,-3.955882,606.000000,-287.000000,-12.060545,-91.000000,18.000000
80.000000,95.000000,1_to_15_min,fair_lt_70,68,47,21,0.691176,14,10,11,-293.000000,-4.308824,675.000000,-311.000000,-11.724713,-91.000000,18.000000
80.000000,95.000000,1_to_15_min,fair_lt_75,68,45,23,0.661765,14,13,10,-267.000000,-3.926471,634.000000,-285.000000,-11.068729,-91.000000,18.000000
80.000000,95.000000,1_to_15_min,fair_lt_80,68,41,26,0.602941,14,18,9,-222.000000,-3.264706,593.000000,-240.000000,-9.978025,-91.000000,18.000000
80.000000,95.000000,1_to_15_min,v28_fair_lt_75,68,45,23,0.661765,14,13,10,-267.000000,-3.926471,634.000000,-285.000000,-11.068729,-91.000000,18.000000
80.000000,95.000000,1_to_15_min,bid_lt_entry_minus_10,68,50,18,0.735294,14,7,11,-256.000000,-3.764706,712.000000,-274.000000,-11.239339,-91.000000,18.000000
80.000000,95.000000,1_to_15_min,edge_lt_0,68,42,25,0.617647,14,25,9,-223.400000,-3.285294,545.000000,-241.400000,-9.923722,-91.000000,18.000000
80.000000,95.000000,1_to_15_min,fair_lt_75_or_bid_lt_entry_minus_10,68,45,23,0.661765,14,13,10,-267.000000,-3.926471,634.000000,-285.000000,-11.068729,-91.000000,18.000000
80.000000,95.000000,5_to_15_min,hold,61,48,13,0.786885,13,0,13,-272.000000,-4.459016,614.000000,-290.000000,-13.135944,-91.000000,18.000000
80.000000,95.000000,5_to_15_min,fair_lt_70,61,41,20,0.672131,13,10,10,-296.000000,-4.852459,675.000000,-314.000000,-12.724145,-91.000000,18.000000
80.000000,95.000000,5_to_15_min,fair_lt_75,61,39,22,0.639344,13,13,9,-270.000000,-4.426230,634.000000,-288.000000,-11.977693,-91.000000,18.000000
80.000000,95.000000,5_to_15_min,fair_lt_80,61,36,25,0.590164,13,17,8,-207.000000,-3.393443,593.000000,-225.000000,-10.463715,-91.000000,18.000000
80.000000,95.000000,5_to_15_min,v28_fair_lt_75,61,39,22,0.639344,13,13,9,-270.000000,-4.426230,634.000000,-288.000000,-11.977693,-91.000000,18.000000
80.000000,95.000000,5_to_15_min,bid_lt_entry_minus_10,61,44,17,0.721311,13,7,10,-259.000000,-4.245902,712.000000,-277.000000,-12.188204,-91.000000,18.000000
80.000000,95.000000,5_to_15_min,edge_lt_0,61,37,24,0.606557,13,24,8,-208.400000,-3.416393,545.000000,-226.400000,-10.398067,-91.000000,18.000000
80.000000,95.000000,5_to_15_min,fair_lt_75_or_bid_lt_entry_minus_10,61,39,22,0.639344,13,13,9,-270.000000,-4.426230,634.000000,-288.000000,-11.977693,-91.000000,18.000000
80.000000,95.000000,last_5_min,hold,43,38,5,0.883721,5,0,5,8.000000,0.186047,247.000000,-10.000000,-7.972304,-92.000000,18.000000
80.000000,95.000000,last_5_min,fair_lt_70,43,37,6,0.860465,5,2,5,-26.000000,-0.604651,247.000000,-44.000000,-8.720336,-92.000000,18.000000
80.000000,95.000000,last_5_min,fair_lt_75,43,36,7,0.837209,5,3,5,-34.800000,-0.809302,247.000000,-52.800000,-8.919645,-92.000000,18.000000
80.000000,95.000000,last_5_min,fair_lt_80,43,34,8,0.790698,5,5,5,-80.800000,-1.879070,247.000000,-98.800000,-9.932689,-92.000000,18.000000
80.000000,95.000000,last_5_min,v28_fair_lt_75,43,36,7,0.837209,5,3,5,-34.800000,-0.809302,247.000000,-52.800000,-8.919645,-92.000000,18.000000
80.000000,95.000000,last_5_min,bid_lt_entry_minus_10,43,38,5,0.883721,5,0,5,8.000000,0.186047,247.000000,-10.000000,-7.972304,-92.000000,18.000000
80.000000,95.000000,last_5_min,edge_lt_0,43,34,8,0.790698,5,7,5,-82.600000,-1.920930,247.000000,-100.600000,-9.950845,-92.000000,18.000000
80.000000,95.000000,last_5_min,fair_lt_75_or_bid_lt_entry_minus_10,43,36,7,0.837209,5,3,5,-34.800000,-0.809302,247.000000,-52.800000,-8.919645,-92.000000,18.000000
80.000000,95.000000,all_recorded_preclose,hold,68,54,14,0.794118,14,0,14,-269.000000,-3.955882,606.000000,-287.000000,-12.060545,-91.000000,18.000000
80.000000,95.000000,all_recorded_preclose,fair_lt_70,68,47,21,0.691176,14,10,11,-293.000000,-4.308824,675.000000,-311.000000,-11.724713,-91.000000,18.000000
80.000000,95.000000,all_recorded_preclose,fair_lt_75,68,45,23,0.661765,14,13,10,-267.000000,-3.926471,634.000000,-285.000000,-11.068729,-91.000000,18.000000
80.000000,95.000000,all_recorded_preclose,fair_lt_80,68,41,26,0.602941,14,18,9,-222.000000,-3.264706,593.000000,-240.000000,-9.978025,-91.000000,18.000000
80.000000,95.000000,all_recorded_preclose,v28_fair_lt_75,68,45,23,0.661765,14,13,10,-267.000000,-3.926471,634.000000,-285.000000,-11.068729,-91.000000,18.000000
80.000000,95.000000,all_recorded_preclose,bid_lt_entry_minus_10,68,50,18,0.735294,14,7,11,-256.000000,-3.764706,712.000000,-274.000000,-11.239339,-91.000000,18.000000
80.000000,95.000000,all_recorded_preclose,edge_lt_0,68,42,25,0.617647,14,25,9,-223.400000,-3.285294,545.000000,-241.400000,-9.923722,-91.000000,18.000000
80.000000,95.000000,all_recorded_preclose,fair_lt_75_or_bid_lt_entry_minus_10,68,45,23,0.661765,14,13,10,-267.000000,-3.926471,634.000000,-285.000000,-11.068729,-91.000000,18.000000
80.000000,98.000000,1_to_15_min,hold,68,54,14,0.794118,14,0,14,-271.000000,-3.985294,606.000000,-289.000000,-12.088941,-91.000000,18.000000
80.000000,98.000000,1_to_15_min,fair_lt_70,68,47,21,0.691176,14,10,11,-295.000000,-4.338235,675.000000,-313.000000,-11.752959,-91.000000,18.000000
80.000000,98.000000,1_to_15_min,fair_lt_75,68,45,23,0.661765,14,13,10,-269.000000,-3.955882,634.000000,-287.000000,-11.096994,-91.000000,18.000000
80.000000,98.000000,1_to_15_min,fair_lt_80,68,41,26,0.602941,14,18,9,-224.000000,-3.294118,593.000000,-242.000000,-10.006332,-91.000000,18.000000
80.000000,98.000000,1_to_15_min,v28_fair_lt_75,68,45,23,0.661765,14,13,10,-269.000000,-3.955882,634.000000,-287.000000,-11.096994,-91.000000,18.000000
80.000000,98.000000,1_to_15_min,bid_lt_entry_minus_10,68,50,18,0.735294,14,7,11,-258.000000,-3.794118,712.000000,-276.000000,-11.267680,-91.000000,18.000000
80.000000,98.000000,1_to_15_min,edge_lt_0,68,42,25,0.617647,14,25,9,-225.400000,-3.314706,545.000000,-243.400000,-9.952013,-91.000000,18.000000
80.000000,98.000000,1_to_15_min,fair_lt_75_or_bid_lt_entry_minus_10,68,45,23,0.661765,14,13,10,-269.000000,-3.955882,634.000000,-287.000000,-11.096994,-91.000000,18.000000
80.000000,98.000000,5_to_15_min,hold,61,48,13,0.786885,13,0,13,-272.000000,-4.459016,614.000000,-290.000000,-13.135944,-91.000000,18.000000
80.000000,98.000000,5_to_15_min,fair_lt_70,61,41,20,0.672131,13,10,10,-296.000000,-4.852459,675.000000,-314.000000,-12.724145,-91.000000,18.000000
80.000000,98.000000,5_to_15_min,fair_lt_75,61,39,22,0.639344,13,13,9,-270.000000,-4.426230,634.000000,-288.000000,-11.977693,-91.000000,18.000000
80.000000,98.000000,5_to_15_min,fair_lt_80,61,36,25,0.590164,13,17,8,-207.000000,-3.393443,593.000000,-225.000000,-10.463715,-91.000000,18.000000
80.000000,98.000000,5_to_15_min,v28_fair_lt_75,61,39,22,0.639344,13,13,9,-270.000000,-4.426230,634.000000,-288.000000,-11.977693,-91.000000,18.000000
80.000000,98.000000,5_to_15_min,bid_lt_entry_minus_10,61,44,17,0.721311,13,7,10,-259.000000,-4.245902,712.000000,-277.000000,-12.188204,-91.000000,18.000000
80.000000,98.000000,5_to_15_min,edge_lt_0,61,37,24,0.606557,13,24,8,-208.400000,-3.416393,545.000000,-226.400000,-10.398067,-91.000000,18.000000
80.000000,98.000000,5_to_15_min,fair_lt_75_or_bid_lt_entry_minus_10,61,39,22,0.639344,13,13,9,-270.000000,-4.426230,634.000000,-288.000000,-11.977693,-91.000000,18.000000
80.000000,98.000000,last_5_min,hold,50,45,5,0.900000,5,0,5,10.000000,0.200000,248.000000,-8.000000,-6.801028,-92.000000,18.000000
80.000000,98.000000,last_5_min,fair_lt_70,50,44,6,0.880000,5,2,5,-24.000000,-0.480000,248.000000,-42.000000,-7.444750,-92.000000,18.000000
80.000000,98.000000,last_5_min,fair_lt_75,50,43,7,0.860000,5,3,5,-32.800000,-0.656000,248.000000,-50.800000,-7.616354,-92.000000,18.000000
80.000000,98.000000,last_5_min,fair_lt_80,50,41,8,0.820000,5,5,5,-78.800000,-1.576000,248.000000,-96.800000,-8.489299,-92.000000,18.000000
80.000000,98.000000,last_5_min,v28_fair_lt_75,50,43,7,0.860000,5,3,5,-32.800000,-0.656000,248.000000,-50.800000,-7.616354,-92.000000,18.000000
80.000000,98.000000,last_5_min,bid_lt_entry_minus_10,50,45,5,0.900000,5,0,5,10.000000,0.200000,248.000000,-8.000000,-6.801028,-92.000000,18.000000
80.000000,98.000000,last_5_min,edge_lt_0,50,40,9,0.800000,5,8,5,-83.000000,-1.660000,248.000000,-101.000000,-8.552482,-92.000000,18.000000
