market,entry_ts,side,status,result,entry_cents,exit_cents,actual_gross_cents,hold_gross_cents,exit_value_cents,exit_reason,side_won,p_side,p_yes,probability_error,brier,ask_cents,fair_side_cents,edge_cents,raw_edge_cents,net_edge_cents,seconds_to_close,d_sigma,abs_d_sigma,sigma_t_dollars,recross_hazard_score,btc_age_ms,book_age_ms,eligible_depth,btc_price,strike,volshock,old_v22_best_side,old_v22_p_yes,old_v22_side_p,v28_minus_v22_side_p,h1_feed_fresh,h2_thin_touch_depth,h2_crowded_depth,h4_large_model_disagreement,h4_old_model_opposes_side,h5_late_high_sigma,h6_recross_hazard_high
KXBTC15M-26MAY051300-00,2026-05-05T16:50:05.755107+00:00,yes,finalized,yes,81,99,36,38,-2,exit_trigger,True,0.867375,0.867375,0.132625,0.017589390625,81,86.73752,2.23752,4.23752,2.23752,594.247,-0.93606,0.93606,115.035336,0.36657919808610573,31.0,578.0,65.0,81187.11,81079.43,-0.098688,,,,,True,False,False,False,False,False,True
KXBTC15M-26MAY051330-30,2026-05-05T17:21:10.942716+00:00,yes,finalized,yes,82,82,0,36,-36,exit_trigger,True,0.879391,0.879391,0.12060899999999997,0.014546530880999992,82,87.939055,2.439055,4.439055,2.439055,529.068,-0.992205,0.992205,106.389306,0.30242891547156237,0.0,469.0,7.02,81423.9,81318.34,-0.208099,,,,,True,True,False,False,False,False,True
KXBTC15M-26MAY051545-45,2026-05-05T19:33:58.979974+00:00,yes,finalized,yes,75,83,16,50,-34,exit_trigger,True,0.851935,0.851935,0.148065,0.021923244225,75,85.193536,6.693536,8.693536,6.693536,661.031,-0.878899,0.878899,107.31608,0.38190335478068066,188.0,563.0,318.78,81648.39,81554.07,-0.96521,,,,,True,False,False,False,False,False,True
KXBTC15M-26MAY051615-15,2026-05-05T20:07:14.784265+00:00,no,finalized,yes,76,64,-24,-152,128,exit_trigger,False,0.855253,0.144747,-0.855253,0.7314576940090001,76,85.52531,6.02531,8.02531,6.02531,465.231,0.878092,0.878092,91.135075,0.2723002958536802,15.0,312.0,7.0,81532.35,81612.38,-0.773538,,,,,True,True,False,False,False,False,True
KXBTC15M-26MAY051615-15,2026-05-05T20:08:29.202085+00:00,yes,finalized,yes,56,72,32,88,-56,exit_trigger,True,0.92219,0.92219,0.07781000000000005,0.0060543961000000075,56,92.218966,32.218966,34.218966,32.218966,390.813,-1.242605,1.242605,84.845931,0.1613755631733708,0.0,719.0,718.38,81717.81,81612.38,-0.689367,,,,,True,False,False,False,False,False,False
KXBTC15M-26MAY051715-15,2026-05-05T21:03:37.881802+00:00,yes,finalized,no,82,68,-28,-164,136,exit_trigger,False,0.877551,0.877551,-0.877551,0.7700957576009999,82,87.755072,2.255072,4.255072,2.255072,682.131,-0.960247,0.960247,97.818587,0.3259898292285944,15.0,906.0,27.0,81746.94,81653.01,-0.740284,,,,,True,False,False,False,False,False,True
KXBTC15M-26MAY051715-15,2026-05-05T21:12:23.873470+00:00,yes,finalized,no,69,45,-48,-138,90,exit_trigger,False,0.880552,0.880552,-0.880552,0.775371824704,69,88.055165,15.555165,17.555165,15.555165,156.131,-0.971196,0.971196,47.477547,0.07487322238906284,0.0,906.0,333.0,81699.12,81653.01,-0.481124,,,,,True,False,False,False,False,False,False
KXBTC15M-26MAY051715-15,2026-05-05T21:13:06.201042+00:00,yes,finalized,no,40,29,-22,-80,58,exit_trigger,False,0.868759,0.868759,-0.868759,0.7547422000809999,40,86.87586,42.87586,44.87586,42.87586,113.807,-0.91115,0.91115,39.730028,0.05680344649000784,562.0,203.0,670.95,81645.63,81653.01,-0.477902,,,,,True,False,False,False,False,False,False
KXBTC15M-26MAY051745-45,2026-05-05T21:31:47.677253+00:00,no,finalized,no,77,72,-10,46,-56,exit_trigger,True,0.861462,0.138538,0.13853800000000005,0.019192777444000015,77,86.146183,5.646183,7.646183,5.646183,792.338,0.887172,0.887172,103.356534,0.3993723747635055,31.0,422.0,167.26,81396.86,81488.55,-0.032663,,,,,True,False,False,False,False,False,True
KXBTC15M-26MAY051745-45,2026-05-05T21:32:54.550010+00:00,no,finalized,no,80,79,-2,40,-42,exit_trigger,True,0.86177,0.13823,0.13822999999999996,0.01910753289999999,80,86.176999,2.676999,4.676999,2.676999,725.465,0.90628,0.90628,99.180164,0.3597654028345304,0.0,297.0,1763.3,81398.67,81488.55,-0.003738,,,,,True,False,True,False,False,False,True
KXBTC15M-26MAY051800-00,2026-05-05T21:48:07.452299+00:00,yes,finalized,yes,78,66,-24,44,-68,exit_trigger,True,0.85382,0.85382,0.14617999999999998,0.021368592399999994,78,85.382043,3.882043,5.882043,3.882043,712.553,-0.877954,0.877954,94.543639,0.3496464060083165,15.0,359.0,326.6,81451.48,81368.47,0.082495,,,,,True,False,False,False,False,False,True
KXBTC15M-26MAY051800-00,2026-05-05T21:50:18.478455+00:00,yes,finalized,yes,80,100,40,40,0,exit_trigger,True,0.858155,0.858155,0.141845,0.020120004025,80,85.815549,2.315549,4.315549,2.315549,581.532,-0.889147,0.889147,85.666357,0.28302462076710433,0.0,375.0,611.66,81444.64,81368.47,0.101632,,,,,True,False,False,False,False,False,True
KXBTC15M-26MAY051815-15,2026-05-05T22:02:42.367335+00:00,yes,finalized,no,81,93,24,-162,186,exit_trigger,False,0.865481,0.865481,-0.865481,0.7490573613609999,81,86.548056,2.048056,4.048056,2.048056,737.648,-0.918368,0.918368,96.28496,0.3479522342160163,0.0,16.0,93.0,81521.32,81432.89,0.171888,,,,,True,False,False,False,False,False,True
KXBTC15M-26MAY051830-30,2026-05-05T22:23:23.870507+00:00,no,finalized,yes,80,34,-92,-160,68,exit_trigger,False,0.865344,0.134656,-0.865344,0.748820238336,80,86.534397,3.034397,5.034397,3.034397,396.139,0.920757,0.920757,69.953296,0.18481237302914516,15.0,312.0,82.79,81333.77,81398.18,0.076883,,,,,True,False,False,False,False,False,False
KXBTC15M-26MAY051845-45,2026-05-05T22:30:45.039013+00:00,no,finalized,no,79,,42,42,0,,True,0.864024,0.135976,0.13597599999999999,0.018489472575999998,79,86.402414,3.902414,5.902414,3.902414,854.974,0.885262,0.885262,103.506064,0.4162522477382457,0.0,968.0,97.0,81404.67,81496.3,0.17053,,,,,True,False,False,False,False,False,True
KXBTC15M-26MAY051900-00,2026-05-05T22:50:29.738719+00:00,yes,finalized,yes,80,,40,40,0,,True,0.876273,0.876273,0.12372700000000003,0.015308370529000007,80,87.627337,4.127337,6.127337,4.127337,570.274,-0.9639,0.9639,99.512422,0.3021213220864653,63.0,719.0,254.05,81093.4,80997.48,0.518144,,,,,True,False,False,False,False,False,True
