dataset,window,band,lo,hi,filter,one_per,entries,markets,yes_entries,no_entries,wins,losses,wrong_side,win_rate,wrong_side_rate,net_pnl_cents,avg_pnl_cents,max_drawdown_cents,remove_best_market_net_cents,market_lcb_cents,worst_trade_cents,best_trade_cents
all_unique_price_only,5_to_15_min,80_plus,80,99.900000,none,market,74,74,34,40,63,11,11,0.851351,0.148649,-165.300000,-2.233784,459.200000,-183.300000,-8.977799,-94.800000,18.000000
all_unique_price_only,5_to_15_min,80_plus,80,99.900000,none,market_side,76,74,35,41,65,11,11,0.855263,0.144737,-135.300000,-1.780263,459.200000,-153.300000,-8.406981,-94.800000,18.000000
all_unique_price_only,5_to_15_min,80_95,80,95,none,market,71,71,33,38,60,11,11,0.845070,0.154930,-172.600000,-2.430986,460.600000,-190.600000,-9.459254,-94.800000,18.000000
all_unique_price_only,5_to_15_min,80_95,80,95,none,market_side,73,71,34,39,62,11,11,0.849315,0.150685,-142.600000,-1.953425,459.200000,-160.600000,-8.864645,-94.800000,18.000000
all_unique_price_only,5_to_15_min,80_90,80,90,none,market,57,57,25,32,47,10,10,0.824561,0.175439,-164.000000,-2.877193,427.000000,-182.000000,-11.171198,-90.000000,18.000000
all_unique_price_only,5_to_15_min,80_90,80,90,none,market_side,59,57,26,33,49,10,10,0.830508,0.169492,-134.000000,-2.271186,415.000000,-152.000000,-10.418745,-90.000000,18.000000
all_unique_price_only,5_to_15_min,85_95,85,95,none,market,53,53,25,28,48,5,5,0.905660,0.094340,32.900000,0.620755,325.500000,18.900000,-5.988394,-94.800000,14.000000
all_unique_price_only,5_to_15_min,85_95,85,95,none,market_side,53,53,25,28,48,5,5,0.905660,0.094340,32.900000,0.620755,325.500000,18.900000,-5.988394,-94.800000,14.000000
all_unique_price_only,5_to_15_min,88_95,88,95,none,market,42,42,19,23,40,2,2,0.952381,0.047619,146.500000,3.488095,129.100000,135.500000,-2.024608,-94.800000,11.000000
all_unique_price_only,5_to_15_min,88_95,88,95,none,market_side,42,42,19,23,40,2,2,0.952381,0.047619,146.500000,3.488095,129.100000,135.500000,-2.024608,-94.800000,11.000000
all_unique_price_only,5_to_15_min,90_plus,90,99.900000,none,market,39,39,19,20,38,1,1,0.974359,0.025641,157.800000,4.046154,94.800000,148.800000,-0.260623,-94.800000,9.000000
all_unique_price_only,5_to_15_min,90_plus,90,99.900000,none,market_side,39,39,19,20,38,1,1,0.974359,0.025641,157.800000,4.046154,94.800000,148.800000,-0.260623,-94.800000,9.000000
all_unique_price_only,5_to_15_min,90_95,90,95,none,market,34,34,17,17,33,1,1,0.970588,0.029412,145.700000,4.285294,94.800000,136.700000,-0.660026,-94.800000,9.000000
all_unique_price_only,5_to_15_min,90_95,90,95,none,market_side,34,34,17,17,33,1,1,0.970588,0.029412,145.700000,4.285294,94.800000,136.700000,-0.660026,-94.800000,9.000000
all_unique_price_only,5_to_15_min,90_98,90,98,none,market,39,39,19,20,38,1,1,0.974359,0.025641,157.800000,4.046154,94.800000,148.800000,-0.260623,-94.800000,9.000000
all_unique_price_only,5_to_15_min,90_98,90,98,none,market_side,39,39,19,20,38,1,1,0.974359,0.025641,157.800000,4.046154,94.800000,148.800000,-0.260623,-94.800000,9.000000
all_unique_price_only,1_to_15_min,80_plus,80,99.900000,none,market,100,100,47,53,83,16,12,0.830000,0.120000,-129.200000,-1.292000,487.300000,-147.200000,-6.551916,-94.800000,18.000000
all_unique_price_only,1_to_15_min,80_plus,80,99.900000,none,market_side,104,100,50,54,86,16,12,0.826923,0.115385,-92.300000,-0.887500,480.200000,-110.300000,-6.035372,-94.800000,18.000000
all_unique_price_only,1_to_15_min,80_95,80,95,none,market,83,83,38,45,71,12,12,0.855422,0.144578,-148.500000,-1.789157,491.900000,-166.500000,-8.128165,-94.800000,18.000000
all_unique_price_only,1_to_15_min,80_95,80,95,none,market_side,86,83,40,46,74,12,12,0.860465,0.139535,-111.600000,-1.297674,485.000000,-129.600000,-7.506587,-94.800000,18.000000
all_unique_price_only,1_to_15_min,80_90,80,90,none,market,64,64,28,36,54,10,10,0.843750,0.156250,-68.000000,-1.062500,358.000000,-86.000000,-8.520712,-90.000000,18.000000
