policy,market,ts_wall,side,source,mode,p_eff,ask_prob,eff_edge_prob,side_won,net_gross_cents_after_entry_fee,base_side,base_p,base_ask,base_edge,delay_seconds
v28_raw_p52_edge0_base,KXBTC15M-26MAY051300-00,2026-05-05T16:50:05.755107+00:00,yes,approved_entry,base,0.867375,0.81,0.057374999999999954,True,33.0,yes,0.867375,0.81,0.057374999999999954,0.0
v28_raw_p52_edge0_base,KXBTC15M-26MAY051330-30,2026-05-05T17:21:10.942716+00:00,yes,approved_entry,base,0.879391,0.82,0.05939100000000008,True,-2.0,yes,0.879391,0.82,0.05939100000000008,0.0
v28_raw_p52_edge0_base,KXBTC15M-26MAY051430-30,2026-05-05T18:18:35.665800+00:00,no,rejected_actionable,base,0.541007,0.52,0.021006999999999998,True,92.0,no,0.541007,0.52,0.021006999999999998,0.0
v28_raw_p52_edge0_base,KXBTC15M-26MAY051500-00,2026-05-05T18:49:36.415132+00:00,yes,rejected_actionable,base,0.529972,0.52,0.009971999999999981,False,-108.0,yes,0.529972,0.52,0.009971999999999981,0.0
v28_raw_p52_edge0_base,KXBTC15M-26MAY051530-30,2026-05-05T19:15:50.519398+00:00,yes,rejected_actionable,base,0.527782,0.5,0.027781999999999973,True,96.0,yes,0.527782,0.5,0.027781999999999973,0.0
v28_raw_p52_edge0_base,KXBTC15M-26MAY051545-45,2026-05-05T19:31:16.377250+00:00,yes,rejected_actionable,base,0.539324,0.53,0.009323999999999999,True,90.0,yes,0.539324,0.53,0.009323999999999999,0.0
v28_raw_p52_edge0_base,KXBTC15M-26MAY051600-00,2026-05-05T19:45:43.657471+00:00,no,rejected_actionable,base,0.547953,0.46,0.087953,True,104.0,no,0.547953,0.46,0.087953,0.0
v28_raw_p52_edge0_base,KXBTC15M-26MAY051615-15,2026-05-05T20:03:58.425282+00:00,yes,rejected_actionable,base,0.852179,0.83,0.02217900000000006,True,32.0,yes,0.852179,0.83,0.02217900000000006,0.0
v28_raw_p52_edge0_base,KXBTC15M-26MAY051630-30,2026-05-05T20:16:12.620319+00:00,no,rejected_actionable,base,0.767185,0.76,0.007184999999999997,True,45.0,no,0.767185,0.76,0.007184999999999997,0.0
v28_raw_p52_edge0_base,KXBTC15M-26MAY051645-45,2026-05-05T20:31:53.937446+00:00,yes,rejected_actionable,base,0.546658,0.54,0.006657999999999942,True,88.0,yes,0.546658,0.54,0.006657999999999942,0.0
v28_raw_p52_edge0_base,KXBTC15M-26MAY051700-00,2026-05-05T20:45:15.745239+00:00,no,rejected_actionable,base,0.570256,0.57,0.000256000000000034,True,82.0,no,0.570256,0.57,0.000256000000000034,0.0
v28_raw_p52_edge0_base,KXBTC15M-26MAY051715-15,2026-05-05T21:00:15.974920+00:00,no,rejected_actionable,base,0.520761,0.51,0.01076100000000002,True,94.0,no,0.520761,0.51,0.01076100000000002,0.0
v28_raw_p52_edge0_base,KXBTC15M-26MAY051730-30,2026-05-05T21:18:16.982507+00:00,no,rejected_actionable,base,0.681429,0.67,0.011428999999999911,True,62.0,no,0.681429,0.67,0.011428999999999911,0.0
v28_raw_p52_edge0_base,KXBTC15M-26MAY051745-45,2026-05-05T21:30:31.244987+00:00,no,rejected_actionable,base,0.78022,0.71,0.07022000000000006,True,55.0,no,0.78022,0.71,0.07022000000000006,0.0
v28_raw_p52_edge0_base,KXBTC15M-26MAY051800-00,2026-05-05T21:46:31.099223+00:00,yes,rejected_actionable,base,0.627961,0.61,0.017961000000000005,True,74.0,yes,0.627961,0.61,0.017961000000000005,0.0
v28_raw_p52_edge0_base,KXBTC15M-26MAY051815-15,2026-05-05T22:00:16.340721+00:00,yes,rejected_actionable,base,0.77913,0.74,0.03913,False,-151.0,yes,0.77913,0.74,0.03913,0.0
v28_raw_p52_edge0_base,KXBTC15M-26MAY051830-30,2026-05-05T22:17:00.468759+00:00,yes,rejected_actionable,base,0.58124,0.31,0.27124,True,135.0,yes,0.58124,0.31,0.27124,0.0
v28_raw_p52_edge0_base,KXBTC15M-26MAY051845-45,2026-05-05T22:30:45.039013+00:00,no,approved_entry,base,0.864024,0.79,0.07402399999999998,True,39.0,no,0.864024,0.79,0.07402399999999998,0.0
v28_raw_p52_edge0_base,KXBTC15M-26MAY051900-00,2026-05-05T22:46:08.719237+00:00,yes,rejected_actionable,base,0.639842,0.53,0.109842,True,90.0,yes,0.639842,0.53,0.109842,0.0
v28_raw_p52_edge0_base,KXBTC15M-26MAY051915-15,2026-05-05T23:02:46.175218+00:00,yes,rejected_actionable,base,0.533267,0.4,0.13326700000000002,True,116.0,yes,0.533267,0.4,0.13326700000000002,0.0
v28_raw_p52_edge0_base,KXBTC15M-26MAY051945-45,2026-05-05T23:33:23.957336+00:00,yes,rejected_actionable,base,0.613944,0.51,0.10394400000000004,True,94.0,yes,0.613944,0.51,0.10394400000000004,0.0
v28_raw_p52_edge0_base,KXBTC15M-26MAY052000-00,2026-05-05T23:48:56.586770+00:00,no,rejected_actionable,base,0.665463,0.63,0.03546300000000002,True,70.0,no,0.665463,0.63,0.03546300000000002,0.0
v28_raw_p52_edge0_base,KXBTC15M-26MAY052015-15,2026-05-06T00:00:26.952847+00:00,no,rejected_actionable,base,0.567861,0.49,0.07786099999999996,False,-102.0,no,0.567861,0.49,0.07786099999999996,0.0
v28_raw_p52_edge0_base,KXBTC15M-26MAY052030-30,2026-05-06T00:15:20.371177+00:00,yes,rejected_actionable,base,0.54078,0.47,0.07078000000000007,False,-98.0,yes,0.54078,0.47,0.07078000000000007,0.0
v28_raw_p52_edge0_base,KXBTC15M-26MAY052045-45,2026-05-06T00:32:06.202799+00:00,yes,rejected_actionable,base,0.590266,0.56,0.030265999999999904,False,-116.0,yes,0.590266,0.56,0.030265999999999904,0.0
v28_raw_p52_edge0_base,KXBTC15M-26MAY052100-00,2026-05-06T00:46:31.822373+00:00,yes,rejected_actionable,base,0.565554,0.46,0.10555399999999998,True,104.0,yes,0.565554,0.46,0.10555399999999998,0.0
v28_raw_p52_edge0_base,KXBTC15M-26MAY052115-15,2026-05-06T01:00:49.489174+00:00,yes,rejected_actionable,base,0.571476,0.53,0.04147599999999996,True,90.0,yes,0.571476,0.53,0.04147599999999996,0.0
v28_raw_p52_edge0_base,KXBTC15M-26MAY052130-30,2026-05-06T01:17:49.446399+00:00,yes,rejected_actionable,base,0.822836,0.8,0.022835999999999967,True,37.0,yes,0.822836,0.8,0.022835999999999967,0.0
v28_raw_p52_edge0_base,KXBTC15M-26MAY052145-45,2026-05-06T01:35:20.258067+00:00,yes,rejected_actionable,base,0.865417,0.83,0.03541700000000003,True,32.0,yes,0.865417,0.83,0.03541700000000003,0.0
v28_raw_p52_edge0_base,KXBTC15M-26MAY052200-00,2026-05-06T01:46:16.552084+00:00,no,rejected_actionable,base,0.551743,0.52,0.031742999999999966,False,-108.0,no,0.551743,0.52,0.031742999999999966,0.0
v28_raw_p52_edge0_base,KXBTC15M-26MAY052215-15,2026-05-06T02:01:20.642847+00:00,no,rejected_actionable,base,0.809232,0.77,0.039231999999999934,True,43.0,no,0.809232,0.77,0.039231999999999934,0.0
v28_raw_p52_edge0_base,KXBTC15M-26MAY052230-30,2026-05-06T02:23:49.063251+00:00,no,rejected_actionable,base,0.730624,0.65,0.08062400000000003,True,66.0,no,0.730624,0.65,0.08062400000000003,0.0
v28_raw_p52_edge0_base,KXBTC15M-26MAY052245-45,2026-05-06T02:32:27.510357+00:00,no,rejected_actionable,base,0.643789,0.57,0.073789,False,-118.0,no,0.643789,0.57,0.073789,0.0
v28_raw_p52_edge0_base,KXBTC15M-26MAY052300-00,2026-05-06T02:52:05.427121+00:00,yes,approved_entry,base,0.918967,0.85,0.068967,True,26.0,yes,0.918967,0.85,0.068967,0.0
