market,ts_wall,side,reason,status,result,side_won,ask_cents,qty,hypothetical_hold_gross_cents,verdict,actionable_shadow,p_side,brier,edge_cents,raw_edge_cents,fair_side_cents,seconds_to_close,sigma_t_dollars,abs_d_sigma,recross_hazard_score,btc_age_ms,book_age_ms,eligible_depth,p_ok,edge_ok,model_price_ok,ask_ok,book_ok,btc_ok,risk_ok,h6_recross_hazard_high
KXBTC15M-26MAY051415-15,2026-05-05T18:11:07.027077+00:00,yes,warming,finalized,yes,True,99,1,1,missed_profit,False,,,,,,232.973,,,,218.0,0.0,10.0,,,,False,True,True,,False
KXBTC15M-26MAY051415-15,2026-05-05T18:11:07.027077+00:00,no,warming,finalized,yes,False,1,1,-1,protected_loss,False,,,,,,232.973,,,,218.0,0.0,102.0,,,,True,True,True,,False
KXBTC15M-26MAY051415-15,2026-05-05T18:11:18.401926+00:00,yes,btc_stale,finalized,yes,True,99,2,2,missed_profit,False,0.989977,0.00010046052900000008,-2.502332,-0.502332,98.997668,230.005,68.268126,2.497066,0.028412103002974042,406.0,969.0,20.0,True,False,False,False,True,False,True,False
KXBTC15M-26MAY051415-15,2026-05-05T18:11:18.417662+00:00,no,btc_stale,finalized,yes,False,1,2,-2,protected_loss,False,0.010023,0.00010046052900000001,-2.497668,-0.497668,1.002332,230.005,68.268126,2.497066,0.028412103002974042,8828.0,969.0,828.83,False,False,True,True,True,False,True,False
KXBTC15M-26MAY051415-15,2026-05-05T18:11:18.433368+00:00,yes,ask_too_high,finalized,yes,True,99,2,2,missed_profit,True,0.996384,1.3075455999999658e-05,-1.861634,0.138366,99.638366,221.567,67.037052,3.139756,0.014400165595452295,16.0,16.0,10.0,True,False,False,False,True,True,True,False
KXBTC15M-26MAY051415-15,2026-05-05T18:11:18.433368+00:00,no,p_below_floor,finalized,yes,False,1,2,-2,protected_loss,True,0.003616,1.3075455999999998e-05,-3.138366,-1.138366,0.361634,221.567,67.037052,3.139756,0.014400165595452295,16.0,16.0,12688.0,False,False,True,True,True,True,True,False
KXBTC15M-26MAY051415-15,2026-05-05T18:11:28.046217+00:00,yes,book_stale,finalized,yes,True,100,1,0,neutral,False,0.996792,1.0291263999999928e-05,-2.820763,-0.820763,99.679237,211.954,65.566063,3.198148,0.012993933258336214,312.0,1016.0,48.43,True,False,False,False,False,True,True,False
KXBTC15M-26MAY051415-15,2026-05-05T18:11:28.046217+00:00,no,book_stale,finalized,yes,False,0,2,0,neutral,False,0.003208,1.0291263999999999e-05,-2.179237,-0.179237,0.320763,211.954,65.566063,3.198148,0.012993933258336214,312.0,1016.0,1832.6,False,False,True,True,False,True,True,False
KXBTC15M-26MAY051415-15,2026-05-05T18:13:50.031231+00:00,yes,time_window,finalized,yes,True,100,1,0,neutral,False,1.0,0.0,-2.500001,-0.500001,99.999999,69.969,37.879591,7.892905,3.943590141069465e-05,125.0,47.0,0.0,True,False,False,False,True,True,False,False
KXBTC15M-26MAY051415-15,2026-05-05T18:13:50.031231+00:00,no,time_window,finalized,yes,False,0,2,0,neutral,False,0.0,0.0,-2.499999,-0.499999,1e-06,69.969,37.879591,7.892905,3.943590141069465e-05,125.0,47.0,11919.93,False,False,True,True,True,True,True,False
