candidate_id,probability_source,bin,p_min,p_max,rows,avg_pred,win_rate,brier
v28s_boundary_monotonic_blend_v001,candidate,0,0.0,0.1,214,0.015214760868002301,0.018691588785046728,0.016553224347696488
v28s_boundary_monotonic_blend_v001,candidate,1,0.1,0.2,154,0.15666771722207792,0.05194805194805195,0.06259731713969231
v28s_boundary_monotonic_blend_v001,candidate,2,0.2,0.3,292,0.23342210999383564,0.1506849315068493,0.13370610505797137
v28s_boundary_monotonic_blend_v001,candidate,3,0.3,0.4,164,0.34833908429146343,0.2926829268292683,0.20948688997962792
v28s_boundary_monotonic_blend_v001,candidate,4,0.4,0.5,202,0.4511852186138614,0.5841584158415841,0.25967477974922737
v28s_boundary_monotonic_blend_v001,candidate,5,0.5,0.6,194,0.5496414117340206,0.7010309278350515,0.23237326646041961
v28s_boundary_monotonic_blend_v001,candidate,6,0.6,0.7,162,0.6500579152234568,0.8518518518518519,0.16591683130956442
v28s_boundary_monotonic_blend_v001,candidate,7,0.7,0.8,136,0.7521702962676471,0.8382352941176471,0.1432545075824113
v28s_boundary_monotonic_blend_v001,candidate,8,0.8,0.9,58,0.8151514308379311,1.0,0.034275299125809226
v28s_boundary_monotonic_blend_v001,candidate,9,0.9,1.0,184,0.9774710221695652,1.0,0.0008987718505057068
v28s_boundary_monotonic_blend_v001,v28,0,0.0,0.1,308,0.02840516377185874,0.025974025974025976,0.02548558040409773
v28s_boundary_monotonic_blend_v001,v28,1,0.1,0.2,172,0.15500421490116278,0.09302325581395349,0.08823579218309043
v28s_boundary_monotonic_blend_v001,v28,2,0.2,0.3,180,0.25241235306,0.17777777777777778,0.15178628471460415
v28s_boundary_monotonic_blend_v001,v28,3,0.3,0.4,164,0.3416954214731707,0.2926829268292683,0.2068627147801853
v28s_boundary_monotonic_blend_v001,v28,4,0.4,0.5,202,0.45592609309207915,0.5841584158415841,0.2553396527017153
v28s_boundary_monotonic_blend_v001,v28,5,0.5,0.6,194,0.5482070586587628,0.7010309278350515,0.2329611736671957
v28s_boundary_monotonic_blend_v001,v28,6,0.6,0.7,162,0.650289576119753,0.8518518518518519,0.16250243374091045
v28s_boundary_monotonic_blend_v001,v28,7,0.7,0.8,126,0.7423802620634921,0.8412698412698413,0.14309701167252661
v28s_boundary_monotonic_blend_v001,v28,8,0.8,0.9,68,0.8569693829294117,0.9705882352941176,0.03935258039856421
v28s_boundary_monotonic_blend_v001,v28,9,0.9,1.0,184,0.9708645634749999,1.0,0.001732159796505084
v28s_boundary_monotonic_light_v001,candidate,0,0.0,0.1,270,0.02565445877700923,0.02962962962962963,0.027743002832369967
v28s_boundary_monotonic_light_v001,candidate,1,0.1,0.2,208,0.15887173094903848,0.0673076923076923,0.07076442995143409
v28s_boundary_monotonic_light_v001,candidate,2,0.2,0.3,182,0.2512206346967033,0.18681318681318682,0.15687881377495858
v28s_boundary_monotonic_light_v001,candidate,3,0.3,0.4,158,0.3441784301392405,0.3037974683544304,0.21119635824634206
v28s_boundary_monotonic_light_v001,candidate,4,0.4,0.5,202,0.45436160451683166,0.5841584158415841,0.2566589658306516
v28s_boundary_monotonic_light_v001,candidate,5,0.5,0.6,194,0.5486803951721649,0.7010309278350515,0.23264644895367886
v28s_boundary_monotonic_light_v001,candidate,6,0.6,0.7,162,0.650213128028395,0.8518518518518519,0.16350606673325435
v28s_boundary_monotonic_light_v001,candidate,7,0.7,0.8,126,0.7443918728730159,0.8412698412698413,0.14258263666756377
v28s_boundary_monotonic_light_v001,candidate,8,0.8,0.9,68,0.8423719427882354,0.9705882352941176,0.04325731865349446
v28s_boundary_monotonic_light_v001,candidate,9,0.9,1.0,184,0.9730446948456521,1.0,0.0014182937270769869
v28s_boundary_monotonic_light_v001,v28,0,0.0,0.1,308,0.02840516377185874,0.025974025974025976,0.02548558040409773
v28s_boundary_monotonic_light_v001,v28,1,0.1,0.2,172,0.15500421490116278,0.09302325581395349,0.08823579218309043
v28s_boundary_monotonic_light_v001,v28,2,0.2,0.3,180,0.25241235306,0.17777777777777778,0.15178628471460415
v28s_boundary_monotonic_light_v001,v28,3,0.3,0.4,158,0.3420902583455696,0.3037974683544304,0.21053427507786573
v28s_boundary_monotonic_light_v001,v28,4,0.4,0.5,202,0.45592609309207915,0.5841584158415841,0.2553396527017153
v28s_boundary_monotonic_light_v001,v28,5,0.5,0.6,194,0.5482070586587628,0.7010309278350515,0.2329611736671957
v28s_boundary_monotonic_light_v001,v28,6,0.6,0.7,162,0.650289576119753,0.8518518518518519,0.16250243374091045
v28s_boundary_monotonic_light_v001,v28,7,0.7,0.8,126,0.7423802620634921,0.8412698412698413,0.14309701167252661
v28s_boundary_monotonic_light_v001,v28,8,0.8,0.9,68,0.8569693829294117,0.9705882352941176,0.03935258039856421
v28s_boundary_monotonic_light_v001,v28,9,0.9,1.0,184,0.9708645634749999,1.0,0.001732159796505084
v28s_boundary_monotonic_micro_time_safe_v001,candidate,0,0.0,0.1,296,0.0286763685221895,0.02702702702702703,0.026397054697275702
v28s_boundary_monotonic_micro_time_safe_v001,candidate,1,0.1,0.2,164,0.15548342727804879,0.0975609756097561,0.09141486517267039
v28s_boundary_monotonic_micro_time_safe_v001,candidate,2,0.2,0.3,168,0.2504311520869048,0.17857142857142858,0.15148552848399818
v28s_boundary_monotonic_micro_time_safe_v001,candidate,3,0.3,0.4,152,0.3417130465236842,0.3157894736842105,0.21394551890781174
v28s_boundary_monotonic_micro_time_safe_v001,candidate,4,0.4,0.5,176,0.4563700534238636,0.6136363636363636,0.25665757394461186
v28s_boundary_monotonic_micro_time_safe_v001,candidate,5,0.5,0.6,170,0.5457072735482352,0.7647058823529411,0.22536721760685988
v28s_boundary_monotonic_micro_time_safe_v001,candidate,6,0.6,0.7,150,0.650597580316,0.8666666666666667,0.15893224929427982
v28s_boundary_monotonic_micro_time_safe_v001,candidate,7,0.7,0.8,108,0.7440482310148148,0.9074074074074074,0.11199446763325163
v28s_boundary_monotonic_micro_time_safe_v001,candidate,8,0.8,0.9,64,0.854436137434375,0.96875,0.04117228440624383
v28s_boundary_monotonic_micro_time_safe_v001,candidate,9,0.9,1.0,172,0.9708809197325582,1.0,0.0017317725680547082
v28s_boundary_monotonic_micro_time_safe_v001,v28,0,0.0,0.1,296,0.028409258803405717,0.02702702702702703,0.026438931066169073
v28s_boundary_monotonic_micro_time_safe_v001,v28,1,0.1,0.2,164,0.15487737942317073,0.0975609756097561,0.09131627734474983
v28s_boundary_monotonic_micro_time_safe_v001,v28,2,0.2,0.3,168,0.2504192661619048,0.17857142857142858,0.15146185584456773
v28s_boundary_monotonic_micro_time_safe_v001,v28,3,0.3,0.4,152,0.34160912469210525,0.3157894736842105,0.2138779300742306
v28s_boundary_monotonic_micro_time_safe_v001,v28,4,0.4,0.5,176,0.4564940375863636,0.6136363636363636,0.25655338891482027
v28s_boundary_monotonic_micro_time_safe_v001,v28,5,0.5,0.6,170,0.5456522238941177,0.7647058823529411,0.22539983052894577
v28s_boundary_monotonic_micro_time_safe_v001,v28,6,0.6,0.7,150,0.6506372623973333,0.8666666666666667,0.15886862246353825
v28s_boundary_monotonic_micro_time_safe_v001,v28,7,0.7,0.8,108,0.7439149502944444,0.9074074074074074,0.1120732719741234
v28s_boundary_monotonic_micro_time_safe_v001,v28,8,0.8,0.9,64,0.854767574384375,0.96875,0.04108252879115789
v28s_boundary_monotonic_micro_time_safe_v001,v28,9,0.9,1.0,172,0.9707993978465116,1.0,0.001743387964042255
v28s_boundary_monotonic_time_safe_v001,candidate,0,0.0,0.1,302,0.027896062044610898,0.026490066225165563,0.025665354718873993
v28s_boundary_monotonic_time_safe_v001,candidate,1,0.1,0.2,178,0.15519138209101124,0.0898876404494382,0.08595839310915306
v28s_boundary_monotonic_time_safe_v001,candidate,2,0.2,0.3,180,0.25232443978,0.17777777777777778,0.1518210604262971
v28s_boundary_monotonic_time_safe_v001,candidate,3,0.3,0.4,158,0.3424178428670886,0.3037974683544304,0.21074732947459207
v28s_boundary_monotonic_time_safe_v001,candidate,4,0.4,0.5,200,0.455923208854,0.59,0.25639101075860266
v28s_boundary_monotonic_time_safe_v001,candidate,5,0.5,0.6,194,0.548287597927835,0.7010309278350515,0.23275768117373855
v28s_boundary_monotonic_time_safe_v001,candidate,6,0.6,0.7,162,0.6501911391061728,0.8518518518518519,0.1627828707519474
v28s_boundary_monotonic_time_safe_v001,candidate,7,0.7,0.8,126,0.7428944899825397,0.8412698412698413,0.14300148252161396
v28s_boundary_monotonic_time_safe_v001,candidate,8,0.8,0.9,68,0.8557386125617646,0.9705882352941176,0.03967653322311492
v28s_boundary_monotonic_time_safe_v001,candidate,9,0.9,1.0,184,0.9711483145141304,1.0,0.001691785158974998
v28s_boundary_monotonic_time_safe_v001,v28,0,0.0,0.1,308,0.02840516377185874,0.025974025974025976,0.02548558040409773
v28s_boundary_monotonic_time_safe_v001,v28,1,0.1,0.2,172,0.15500421490116278,0.09302325581395349,0.08823579218309043
v28s_boundary_monotonic_time_safe_v001,v28,2,0.2,0.3,180,0.25241235306,0.17777777777777778,0.15178628471460415
v28s_boundary_monotonic_time_safe_v001,v28,3,0.3,0.4,158,0.3420902583455696,0.3037974683544304,0.21053427507786573
v28s_boundary_monotonic_time_safe_v001,v28,4,0.4,0.5,200,0.456316263482,0.59,0.2561549176348269
v28s_boundary_monotonic_time_safe_v001,v28,5,0.5,0.6,194,0.5482070586587628,0.7010309278350515,0.2329611736671957
v28s_boundary_monotonic_time_safe_v001,v28,6,0.6,0.7,162,0.650289576119753,0.8518518518518519,0.16250243374091045
v28s_boundary_monotonic_time_safe_v001,v28,7,0.7,0.8,126,0.7423802620634921,0.8412698412698413,0.14309701167252661
v28s_boundary_monotonic_time_safe_v001,v28,8,0.8,0.9,68,0.8569693829294117,0.9705882352941176,0.03935258039856421
v28s_boundary_monotonic_time_safe_v001,v28,9,0.9,1.0,184,0.9708645634749999,1.0,0.001732159796505084
v28s_late_dsigma_residual_tilt_v001,candidate,0,0.0,0.1,312,0.027083881493415795,0.03205128205128205,0.030322005347252576
v28s_late_dsigma_residual_tilt_v001,candidate,1,0.1,0.2,156,0.15179016168589746,0.11538461538461539,0.10155299490054101
v28s_late_dsigma_residual_tilt_v001,candidate,2,0.2,0.3,166,0.25120280748674695,0.20481927710843373,0.16318404994640962
v28s_late_dsigma_residual_tilt_v001,candidate,3,0.3,0.4,130,0.3425622256292308,0.3076923076923077,0.20797839771540935
v28s_late_dsigma_residual_tilt_v001,candidate,4,0.4,0.5,158,0.4575177594455696,0.6582278481012658,0.26122514222779153
v28s_late_dsigma_residual_tilt_v001,candidate,5,0.5,0.6,148,0.5442855316432432,0.7567567567567568,0.22712515169151384
v28s_late_dsigma_residual_tilt_v001,candidate,6,0.6,0.7,146,0.6512053082219178,0.863013698630137,0.16009792687573346
v28s_late_dsigma_residual_tilt_v001,candidate,7,0.7,0.8,92,0.7444082667978261,0.8913043478260869,0.12022535915090168
v28s_late_dsigma_residual_tilt_v001,candidate,8,0.8,0.9,66,0.8529065476878788,0.9696969696969697,0.042675307301284014
v28s_late_dsigma_residual_tilt_v001,candidate,9,0.9,1.0,184,0.9710034961641305,1.0,0.001784475422244979
v28s_late_dsigma_residual_tilt_v001,v28,0,0.0,0.1,296,0.028409258803405717,0.02702702702702703,0.026438931066169073
v28s_late_dsigma_residual_tilt_v001,v28,1,0.1,0.2,158,0.15394267706455697,0.10126582278481013,0.09355515584615635
v28s_late_dsigma_residual_tilt_v001,v28,2,0.2,0.3,164,0.2503328528926829,0.18292682926829268,0.1535689990209623
v28s_late_dsigma_residual_tilt_v001,v28,3,0.3,0.4,144,0.3417907247041667,0.3194444444444444,0.21572163339314795
v28s_late_dsigma_residual_tilt_v001,v28,4,0.4,0.5,160,0.45821428986625,0.6625,0.2617941531823365
v28s_late_dsigma_residual_tilt_v001,v28,5,0.5,0.6,158,0.5459814354620253,0.7721518987341772,0.22366724894670095
v28s_late_dsigma_residual_tilt_v001,v28,6,0.6,0.7,144,0.6508892864472222,0.8611111111111112,0.16016381074675057
v28s_late_dsigma_residual_tilt_v001,v28,7,0.7,0.8,98,0.7463341939122449,0.8979591836734694,0.11549769751275112
v28s_late_dsigma_residual_tilt_v001,v28,8,0.8,0.9,64,0.854767574384375,0.96875,0.04108252879115789
v28s_late_dsigma_residual_tilt_v001,v28,9,0.9,1.0,172,0.9707993978465116,1.0,0.001743387964042255
v28s_logistic_book_reliability_diag_v001,candidate,0,0.0,0.1,0,,,
v28s_logistic_book_reliability_diag_v001,candidate,1,0.1,0.2,0,,,
v28s_logistic_book_reliability_diag_v001,candidate,2,0.2,0.3,0,,,
v28s_logistic_book_reliability_diag_v001,candidate,3,0.3,0.4,2,0.3681734812,0.0,0.13579169958096593
v28s_logistic_book_reliability_diag_v001,candidate,4,0.4,0.5,67,0.46434643801940295,0.34328358208955223,0.24539492218031858
v28s_logistic_book_reliability_diag_v001,candidate,5,0.5,0.6,146,0.5506714946075343,0.3904109589041096,0.2639040968195017
v28s_logistic_book_reliability_diag_v001,candidate,6,0.6,0.7,190,0.65154984811,0.3684210526315789,0.3102359826127926
v28s_logistic_book_reliability_diag_v001,candidate,7,0.7,0.8,274,0.7540474588514599,0.46715328467153283,0.32965577324562956
v28s_logistic_book_reliability_diag_v001,candidate,8,0.8,0.9,370,0.8545867465905406,0.46216216216216216,0.40233344858016695
v28s_logistic_book_reliability_diag_v001,candidate,9,0.9,1.0,1055,0.9568751391361138,0.5526066350710901,0.40679429600218925
v28s_logistic_book_reliability_diag_v001,v28,0,0.0,0.1,362,0.027740841088445083,0.022099447513812154,0.0218670049162773
v28s_logistic_book_reliability_diag_v001,v28,1,0.1,0.2,190,0.15362154385789475,0.09473684210526316,0.0887677299554086
v28s_logistic_book_reliability_diag_v001,v28,2,0.2,0.3,198,0.2533543367555556,0.1717171717171717,0.14866509771886977
v28s_logistic_book_reliability_diag_v001,v28,3,0.3,0.4,206,0.3439708797281554,0.3300970873786408,0.22033696711376427
v28s_logistic_book_reliability_diag_v001,v28,4,0.4,0.5,236,0.4555819031728814,0.6016949152542372,0.25874012926084916
v28s_logistic_book_reliability_diag_v001,v28,5,0.5,0.6,236,0.5482090102127118,0.6694915254237288,0.23629739614280984
v28s_logistic_book_reliability_diag_v001,v28,6,0.6,0.7,200,0.6478028330700001,0.8,0.17956444067868305
v28s_logistic_book_reliability_diag_v001,v28,7,0.7,0.8,144,0.7420312979638889,0.8194444444444444,0.15336479703878225
v28s_logistic_book_reliability_diag_v001,v28,8,0.8,0.9,88,0.8539877721363637,0.9318181818181818,0.06750449272681096
v28s_logistic_book_reliability_diag_v001,v28,9,0.9,1.0,244,0.9707685023737704,1.0,0.0018054116130340973
v28s_logistic_boundary_physics_v001,candidate,0,0.0,0.1,90,0.009436703050269592,0.2222222222222222,0.2165193833724641
v28s_logistic_boundary_physics_v001,candidate,1,0.1,0.2,14,0.15244016842142857,0.8571428571428571,0.6304152655143709
v28s_logistic_boundary_physics_v001,candidate,2,0.2,0.3,2,0.2473389948,0.0,0.06123376212310405
v28s_logistic_boundary_physics_v001,candidate,3,0.3,0.4,0,,,
v28s_logistic_boundary_physics_v001,candidate,4,0.4,0.5,4,0.43133089412500003,1.0,0.3241630568586959
v28s_logistic_boundary_physics_v001,candidate,5,0.5,0.6,7,0.5724143835857143,0.7142857142857143,0.23388579793940287
v28s_logistic_boundary_physics_v001,candidate,6,0.6,0.7,7,0.6726777096714286,0.14285714285714285,0.42156668592974267
v28s_logistic_boundary_physics_v001,candidate,7,0.7,0.8,2,0.7531918207499999,1.0,0.060982633356378504
v28s_logistic_boundary_physics_v001,candidate,8,0.8,0.9,10,0.84674594507,0.2,0.5907802573453328
v28s_logistic_boundary_physics_v001,candidate,9,0.9,1.0,1968,0.9899364836365345,0.5010162601626016,0.48828345409475393
v28s_logistic_boundary_physics_v001,v28,0,0.0,0.1,362,0.027740841088445083,0.022099447513812154,0.0218670049162773
v28s_logistic_boundary_physics_v001,v28,1,0.1,0.2,190,0.15362154385789475,0.09473684210526316,0.0887677299554086
v28s_logistic_boundary_physics_v001,v28,2,0.2,0.3,198,0.2533543367555556,0.1717171717171717,0.14866509771886977
v28s_logistic_boundary_physics_v001,v28,3,0.3,0.4,206,0.3439708797281554,0.3300970873786408,0.22033696711376427
v28s_logistic_boundary_physics_v001,v28,4,0.4,0.5,236,0.4555819031728814,0.6016949152542372,0.25874012926084916
v28s_logistic_boundary_physics_v001,v28,5,0.5,0.6,236,0.5482090102127118,0.6694915254237288,0.23629739614280984
v28s_logistic_boundary_physics_v001,v28,6,0.6,0.7,200,0.6478028330700001,0.8,0.17956444067868305
v28s_logistic_boundary_physics_v001,v28,7,0.7,0.8,144,0.7420312979638889,0.8194444444444444,0.15336479703878225
v28s_logistic_boundary_physics_v001,v28,8,0.8,0.9,88,0.8539877721363637,0.9318181818181818,0.06750449272681096
v28s_logistic_boundary_physics_v001,v28,9,0.9,1.0,244,0.9707685023737704,1.0,0.0018054116130340973
v28s_logistic_calibration_v001,candidate,0,0.0,0.1,84,0.02899459087507143,0.0,0.0017253847983009958
v28s_logistic_calibration_v001,candidate,1,0.1,0.2,54,0.15427798727777778,0.0,0.02466940841624241
v28s_logistic_calibration_v001,candidate,2,0.2,0.3,90,0.2491576960777778,0.0,0.06280651078578506
v28s_logistic_calibration_v001,candidate,3,0.3,0.4,168,0.35329661832261905,0.07142857142857142,0.14788532237120067
v28s_logistic_calibration_v001,candidate,4,0.4,0.5,456,0.456745086606579,0.17543859649122806,0.21999538193964077
v28s_logistic_calibration_v001,candidate,5,0.5,0.6,706,0.5505862046186969,0.6147308781869688,0.23512264220081608
v28s_logistic_calibration_v001,candidate,6,0.6,0.7,296,0.636020299247973,0.8648648648648649,0.1678979955859185
v28s_logistic_calibration_v001,candidate,7,0.7,0.8,118,0.7435334136440678,1.0,0.06649124641747232
v28s_logistic_calibration_v001,candidate,8,0.8,0.9,68,0.8444688187794118,1.0,0.025075556149819468
v28s_logistic_calibration_v001,candidate,9,0.9,1.0,64,0.97043329413125,1.0,0.001895040194146497
v28s_logistic_calibration_v001,v28,0,0.0,0.1,362,0.027740841088445083,0.022099447513812154,0.0218670049162773
v28s_logistic_calibration_v001,v28,1,0.1,0.2,190,0.15362154385789475,0.09473684210526316,0.0887677299554086
v28s_logistic_calibration_v001,v28,2,0.2,0.3,198,0.2533543367555556,0.1717171717171717,0.14866509771886977
v28s_logistic_calibration_v001,v28,3,0.3,0.4,206,0.3439708797281554,0.3300970873786408,0.22033696711376427
v28s_logistic_calibration_v001,v28,4,0.4,0.5,236,0.4555819031728814,0.6016949152542372,0.25874012926084916
v28s_logistic_calibration_v001,v28,5,0.5,0.6,236,0.5482090102127118,0.6694915254237288,0.23629739614280984
v28s_logistic_calibration_v001,v28,6,0.6,0.7,200,0.6478028330700001,0.8,0.17956444067868305
v28s_logistic_calibration_v001,v28,7,0.7,0.8,144,0.7420312979638889,0.8194444444444444,0.15336479703878225
v28s_logistic_calibration_v001,v28,8,0.8,0.9,88,0.8539877721363637,0.9318181818181818,0.06750449272681096
v28s_logistic_calibration_v001,v28,9,0.9,1.0,244,0.9707685023737704,1.0,0.0018054116130340973
v28s_monotonic_tabular_v001,candidate,0,0.0,0.1,0,,,
v28s_monotonic_tabular_v001,candidate,1,0.1,0.2,424,0.18013790784103775,0.02830188679245283,0.05033626987552063
v28s_monotonic_tabular_v001,candidate,2,0.2,0.3,326,0.23300060772638037,0.147239263803681,0.1319004000753349
v28s_monotonic_tabular_v001,candidate,3,0.3,0.4,206,0.34879417594368933,0.3300970873786408,0.22116474125745714
v28s_monotonic_tabular_v001,candidate,4,0.4,0.5,236,0.4511163806288136,0.6016949152542372,0.2617626911123006
v28s_monotonic_tabular_v001,candidate,5,0.5,0.6,236,0.5496418020440678,0.6694915254237288,0.23555873010528103
v28s_monotonic_tabular_v001,candidate,6,0.6,0.7,200,0.649560566613,0.8,0.18178413706182464
v28s_monotonic_tabular_v001,candidate,7,0.7,0.8,162,0.7540006732962963,0.8148148148148148,0.1550117010494116
v28s_monotonic_tabular_v001,candidate,8,0.8,0.9,70,0.8091901996285714,0.9714285714285714,0.0542260574856205
v28s_monotonic_tabular_v001,candidate,9,0.9,1.0,244,0.9735184830729509,1.0,0.0007393079851602268
v28s_monotonic_tabular_v001,v28,0,0.0,0.1,362,0.027740841088445083,0.022099447513812154,0.0218670049162773
v28s_monotonic_tabular_v001,v28,1,0.1,0.2,190,0.15362154385789475,0.09473684210526316,0.0887677299554086
v28s_monotonic_tabular_v001,v28,2,0.2,0.3,198,0.2533543367555556,0.1717171717171717,0.14866509771886977
v28s_monotonic_tabular_v001,v28,3,0.3,0.4,206,0.3439708797281554,0.3300970873786408,0.22033696711376427
v28s_monotonic_tabular_v001,v28,4,0.4,0.5,236,0.4555819031728814,0.6016949152542372,0.25874012926084916
v28s_monotonic_tabular_v001,v28,5,0.5,0.6,236,0.5482090102127118,0.6694915254237288,0.23629739614280984
v28s_monotonic_tabular_v001,v28,6,0.6,0.7,200,0.6478028330700001,0.8,0.17956444067868305
v28s_monotonic_tabular_v001,v28,7,0.7,0.8,144,0.7420312979638889,0.8194444444444444,0.15336479703878225
v28s_monotonic_tabular_v001,v28,8,0.8,0.9,88,0.8539877721363637,0.9318181818181818,0.06750449272681096
v28s_monotonic_tabular_v001,v28,9,0.9,1.0,244,0.9707685023737704,1.0,0.0018054116130340973
