policy,market,source,side,p_raw,p_eff,ask_prob_norm,eff_edge_prob_after_fee,n_eff,uncertainty_tags,side_won,net_gross_cents_after_entry_fee
ulb_z0.00_p50_edge0_fee0,KXBTC15M-26MAY051300-00,approved_entry,yes,0.867375,0.867375,0.81,0.057374999999999954,54.83891999999999,"first_observation,expensive_thin_edge,thin_depth",True,33.0
ulb_z0.00_p50_edge0_fee0,KXBTC15M-26MAY051330-30,approved_entry,yes,0.879391,0.879391,0.82,0.05939100000000008,56.87748000000001,"first_observation,expensive_thin_edge,thin_depth",True,-2.0
ulb_z0.00_p50_edge0_fee0,KXBTC15M-26MAY051430-30,rejected_actionable,yes,0.501306,0.501306,0.47,0.031306000000000056,8.381441640000004,"first_observation,weak_raw,near_boundary,high_recross,thin_depth",False,-98.0
ulb_z0.00_p50_edge0_fee0,KXBTC15M-26MAY051445-45,rejected_actionable,yes,0.503953,0.503953,0.48,0.023953000000000002,40.0533276,"weak_raw,near_boundary,thin_edge",True,100.0
ulb_z0.00_p50_edge0_fee0,KXBTC15M-26MAY051500-00,rejected_actionable,yes,0.513545,0.513545,0.49,0.023545000000000038,18.893763460000002,"weak_raw,near_boundary,high_recross,thin_edge,thin_depth",False,-102.0
ulb_z0.00_p50_edge0_fee0,KXBTC15M-26MAY051515-15,rejected_actionable,yes,0.510069,0.510069,0.49,0.020069000000000004,11.345205300000003,"weak_raw,near_boundary,high_recross,thin_edge",False,-102.0
ulb_z0.00_p50_edge0_fee0,KXBTC15M-26MAY051530-30,rejected_actionable,yes,0.514168,0.514168,0.49,0.024167999999999967,7.77217584,"first_observation,weak_raw,near_boundary,high_recross,thin_edge,thin_depth",True,98.0
ulb_z0.00_p50_edge0_fee0,KXBTC15M-26MAY051545-45,rejected_actionable,yes,0.539324,0.539324,0.53,0.009323999999999999,13.314749447999999,"weak_raw,near_boundary,high_recross,thin_edge,thin_depth",True,90.0
ulb_z0.00_p50_edge0_fee0,KXBTC15M-26MAY051600-00,rejected_actionable,no,0.547953,0.547953,0.46,0.087953,10.75636848,"first_observation,weak_raw,near_boundary,high_recross",True,104.0
ulb_z0.00_p50_edge0_fee0,KXBTC15M-26MAY051615-15,rejected_actionable,yes,0.852179,0.852179,0.83,0.02217900000000006,88.50452000000001,"thin_edge,expensive_thin_edge",True,32.0
ulb_z0.00_p50_edge0_fee0,KXBTC15M-26MAY051630-30,rejected_actionable,no,0.767185,0.767185,0.76,0.007184999999999997,40.860820000000004,"thin_edge,expensive_thin_edge,thin_depth",True,45.0
ulb_z0.00_p50_edge0_fee0,KXBTC15M-26MAY051645-45,rejected_actionable,yes,0.516843,0.516843,0.5,0.016843000000000052,6.0,"first_observation,weak_raw,near_boundary,high_recross,thin_edge,thin_depth",True,96.0
ulb_z0.00_p50_edge0_fee0,KXBTC15M-26MAY051700-00,rejected_actionable,no,0.570256,0.570256,0.57,0.000256000000000034,6.0,"first_observation,weak_raw,near_boundary,high_recross,thin_edge,thin_depth",True,82.0
ulb_z0.00_p50_edge0_fee0,KXBTC15M-26MAY051715-15,rejected_actionable,no,0.520761,0.520761,0.51,0.01076100000000002,6.0,"first_observation,weak_raw,near_boundary,high_recross,thin_edge",True,94.0
ulb_z0.00_p50_edge0_fee0,KXBTC15M-26MAY051730-30,rejected_actionable,no,0.502782,0.502782,0.48,0.02278199999999997,18.1406082,"weak_raw,near_boundary,high_recross,thin_edge,thin_depth",True,100.0
ulb_z0.00_p50_edge0_fee0,KXBTC15M-26MAY051745-45,rejected_actionable,no,0.78022,0.78022,0.71,0.07022000000000006,47.73593600000001,"first_observation,thin_depth",True,55.0
ulb_z0.00_p50_edge0_fee0,KXBTC15M-26MAY051800-00,rejected_actionable,yes,0.627961,0.627961,0.61,0.017961000000000005,41.6340904,thin_edge,True,74.0
ulb_z0.00_p50_edge0_fee0,KXBTC15M-26MAY051815-15,rejected_actionable,yes,0.77913,0.77913,0.74,0.03913,44.109232,first_observation,False,-151.0
ulb_z0.00_p50_edge0_fee0,KXBTC15M-26MAY051830-30,rejected_actionable,yes,0.58124,0.58124,0.31,0.27124,16.277274000000002,"first_observation,weak_raw,near_boundary",True,135.0
ulb_z0.00_p50_edge0_fee0,KXBTC15M-26MAY051845-45,approved_entry,no,0.864024,0.864024,0.79,0.07402399999999998,55.211264,"first_observation,thin_depth",True,39.0
ulb_z0.00_p50_edge0_fee0,KXBTC15M-26MAY051900-00,rejected_actionable,yes,0.639842,0.639842,0.53,0.109842,34.500912,high_recross,True,90.0
ulb_z0.00_p50_edge0_fee0,KXBTC15M-26MAY051915-15,rejected_actionable,yes,0.533267,0.533267,0.4,0.13326700000000002,11.05928824,"first_observation,weak_raw,near_boundary,high_recross",True,116.0
ulb_z0.00_p50_edge0_fee0,KXBTC15M-26MAY051945-45,rejected_actionable,yes,0.613944,0.613944,0.51,0.10394400000000004,44.285824,near_boundary,True,94.0
ulb_z0.00_p50_edge0_fee0,KXBTC15M-26MAY052000-00,rejected_actionable,no,0.665463,0.665463,0.63,0.03546300000000002,64.345032,thin_depth,True,70.0
ulb_z0.00_p50_edge0_fee0,KXBTC15M-26MAY052015-15,rejected_actionable,no,0.567861,0.567861,0.49,0.07786099999999996,11.4953553,"first_observation,weak_raw,near_boundary,high_recross",False,-102.0
ulb_z0.00_p50_edge0_fee0,KXBTC15M-26MAY052030-30,rejected_actionable,yes,0.54078,0.54078,0.47,0.07078000000000007,11.127161760000003,"first_observation,weak_raw,near_boundary,high_recross",False,-98.0
ulb_z0.00_p50_edge0_fee0,KXBTC15M-26MAY052045-45,rejected_actionable,yes,0.590266,0.590266,0.56,0.030265999999999904,13.159208919999998,"weak_raw,near_boundary,high_recross,thin_depth",False,-116.0
ulb_z0.00_p50_edge0_fee0,KXBTC15M-26MAY052100-00,rejected_actionable,yes,0.565554,0.565554,0.46,0.10555399999999998,11.649352,"first_observation,weak_raw,near_boundary,high_recross",True,104.0
ulb_z0.00_p50_edge0_fee0,KXBTC15M-26MAY052115-15,rejected_actionable,yes,0.571476,0.571476,0.53,0.04147599999999996,10.45407792,"first_observation,weak_raw,near_boundary,high_recross,thin_depth",True,90.0
ulb_z0.00_p50_edge0_fee0,KXBTC15M-26MAY052130-30,rejected_actionable,yes,0.822836,0.822836,0.8,0.022835999999999967,56.013312,"thin_edge,expensive_thin_edge,thin_depth",True,37.0
ulb_z0.00_p50_edge0_fee0,KXBTC15M-26MAY052145-45,rejected_actionable,yes,0.865417,0.865417,0.83,0.03541700000000003,62.393048,"expensive_thin_edge,thin_depth",True,32.0
ulb_z0.00_p50_edge0_fee0,KXBTC15M-26MAY052200-00,rejected_actionable,no,0.551743,0.551743,0.52,0.031742999999999966,8.995835419999999,"first_observation,weak_raw,near_boundary,high_recross",False,-108.0
ulb_z0.00_p50_edge0_fee0,KXBTC15M-26MAY052215-15,rejected_actionable,no,0.809232,0.809232,0.77,0.039231999999999934,56.40460799999999,"expensive_thin_edge,thin_depth",True,43.0
ulb_z0.00_p50_edge0_fee0,KXBTC15M-26MAY052230-30,rejected_actionable,no,0.730624,0.730624,0.65,0.08062400000000003,84.555936,thin_depth,True,66.0
ulb_z0.00_p50_edge0_fee0,KXBTC15M-26MAY052245-45,rejected_actionable,no,0.643789,0.643789,0.57,0.073789,68.441304,thin_depth,False,-118.0
ulb_z0.00_p50_edge0_fee0,KXBTC15M-26MAY052300-00,approved_entry,yes,0.918967,0.918967,0.85,0.068967,105.00106399999999,thin_depth,True,26.0
ulb_z0.00_p50_edge0_fee0,KXBTC15M-26MAY052315-15,approved_entry,yes,0.884999,0.884999,0.81,0.07499899999999993,99.96234399999999,thin_depth,True,-41.0
ulb_z0.00_p50_edge0_fee0,KXBTC15M-26MAY052330-30,rejected_actionable,no,0.659176,0.659176,0.63,0.02917599999999998,43.340064,"thin_edge,thin_depth",False,-130.0
ulb_z0.00_p50_edge0_fee0,KXBTC15M-26MAY052345-45,rejected_actionable,no,0.636767,0.636767,0.63,0.0067669999999999675,14.509508999999996,"first_observation,high_recross,thin_edge",True,70.0
ulb_z0.00_p50_edge0_fee0,KXBTC15M-26MAY060000-00,rejected_actionable,no,0.576655,0.576655,0.56,0.016654999999999975,15.67607769,"weak_raw,near_boundary,high_recross,thin_edge",False,-116.0
ulb_z0.00_p50_edge0_fee0,KXBTC15M-26MAY060015-15,rejected_actionable,yes,0.532782,0.532782,0.52,0.01278199999999996,7.7248571399999975,"first_observation,weak_raw,near_boundary,high_recross,thin_edge",False,-108.0
ulb_z0.00_p50_edge0_fee0,KXBTC15M-26MAY060030-30,rejected_actionable,yes,0.617077,0.617077,0.51,0.10707699999999998,27.193247999999997,"first_observation,high_recross,thin_depth",False,-106.0
ulb_z0.00_p50_edge0_fee0,KXBTC15M-26MAY060045-45,rejected_actionable,no,0.826505,0.826505,0.79,0.03650500000000001,58.057368,expensive_thin_edge,True,39.0
ulb_z0.00_p50_edge0_fee0,KXBTC15M-26MAY060100-00,rejected_actionable,yes,0.799928,0.799928,0.79,0.009927999999999937,56.99066239999999,"thin_edge,expensive_thin_edge,thin_depth",False,-161.0
ulb_z0.00_p50_edge0_fee0,KXBTC15M-26MAY060115-15,rejected_actionable,no,0.513971,0.513971,0.51,0.003970999999999947,7.579357785999999,"weak_raw,near_boundary,high_recross,thin_edge,thin_depth",True,94.0
ulb_z0.00_p50_edge0_fee0,KXBTC15M-26MAY060130-30,rejected_actionable,no,0.616779,0.616779,0.59,0.026778999999999997,30.489438,"thin_edge,thin_depth",True,78.0
ulb_z0.00_p50_edge0_fee0,KXBTC15M-26MAY060145-45,rejected_actionable,no,0.557282,0.557282,0.55,0.007282000000000011,8.09673774,"first_observation,weak_raw,near_boundary,high_recross,thin_edge",True,86.0
ulb_z0.00_p50_edge0_fee0,KXBTC15M-26MAY060200-00,rejected_actionable,yes,0.618277,0.618277,0.6,0.018276999999999988,20.029342199999995,"near_boundary,thin_edge",True,76.0
ulb_z0.00_p50_edge0_fee0,KXBTC15M-26MAY060215-15,rejected_actionable,yes,0.583024,0.583024,0.53,0.05302399999999996,15.439351199999999,"first_observation,weak_raw,near_boundary",False,-110.0
ulb_z0.00_p50_edge0_fee0,KXBTC15M-26MAY060230-30,rejected_actionable,no,0.574094,0.574094,0.54,0.03409399999999996,13.830484199999997,"first_observation,weak_raw,near_boundary",False,-112.0
ulb_z0.00_p50_edge0_fee0,KXBTC15M-26MAY060245-45,rejected_actionable,no,0.660829,0.660829,0.65,0.010828999999999978,21.265747999999995,"first_observation,thin_edge,thin_depth",False,-134.0
ulb_z0.00_p50_edge0_fee0,KXBTC15M-26MAY060300-00,rejected_actionable,yes,0.661141,0.661141,0.64,0.021140999999999965,33.212503999999996,"first_observation,thin_edge",True,68.0
ulb_z0.00_p50_edge0_fee0,KXBTC15M-26MAY060315-15,rejected_actionable,yes,0.512365,0.512365,0.5,0.01236499999999996,7.128322109999999,"first_observation,weak_raw,near_boundary,high_recross,thin_edge,thin_depth",True,96.0
ulb_z0.00_p50_edge0_fee0,KXBTC15M-26MAY060330-30,rejected_actionable,no,0.63088,0.63088,0.57,0.060880000000000045,34.502016000000005,first_observation,False,-118.0
ulb_z0.00_p50_edge0_fee0,KXBTC15M-26MAY060345-45,rejected_actionable,yes,0.515105,0.515105,0.38,0.13510500000000003,10.60158528,"first_observation,weak_raw,near_boundary,high_recross",False,-80.0
ulb_z0.00_p50_edge0_fee0,KXBTC15M-26MAY060400-00,rejected_actionable,yes,0.539723,0.539723,0.5,0.03972299999999995,16.8943983,"weak_raw,near_boundary,high_recross,thin_depth",False,-104.0
ulb_z0.00_p50_edge0_fee0,KXBTC15M-26MAY060415-15,rejected_actionable,yes,0.676831,0.676831,0.67,0.0068309999999999205,29.00511599999999,thin_edge,True,62.0
