model,split,n,brier,logloss,side_accuracy,mean_p_yes,yes_rate
v28_live_surface,all,19021,0.14719568906947586,0.4411537473875953,0.7765627464381473,0.5078122247425724,0.4958204090216077
v28_live_surface,train,11398,0.15021180768457804,0.45053443687975286,0.7742586418669942,0.5133149740047459,0.5092998771714335
v28_live_surface,validation,3818,0.1366720507095461,0.4104850288259039,0.785751702462022,0.5210804959207964,0.5188580408590885
v28_live_surface,holdout,3805,0.1487204016274989,0.44382708999913917,0.7742444152431012,0.4780149591844347,0.4323258869908016
v31_probability,all,19021,0.14636507140410496,0.4408385257607266,0.7762998790810157,0.5071252777811508,0.4958204090216077
v31_probability,train,11398,0.14953365060941645,0.45292648939044605,0.7740831724864011,0.5132699770392116,0.5092998771714335
v31_probability,validation,3818,0.13599565559248408,0.4068628352037104,0.785751702462022,0.5202567411599972,0.5188580408590885
v31_probability,holdout,3805,0.14727833389730557,0.43872041198809725,0.7734559789750328,0.47554230555413,0.4323258869908016
v32_probability,all,19021,0.14634996798161448,0.4413355875948192,0.7761421586667367,0.5069912476145157,0.4958204090216077
v32_probability,train,11398,0.14954655877638046,0.4538001002532664,0.773907703105808,0.5132522203038254,0.5092998771714335
v32_probability,validation,3818,0.13601740650460276,0.40697079771709804,0.785751702462022,0.5200953604766811,0.5188580408590885
v32_probability,holdout,3805,0.1471423406072355,0.43847993778461114,0.7731931668856767,0.4750874185421114,0.4323258869908016
v33_probability,all,19021,0.14619727080735515,0.44108139817200354,0.7752484096524893,0.5069106960198212,0.4958204090216077
v33_probability,train,11398,0.1495432249764075,0.4540996210067746,0.7741709071766977,0.5132847106461029,0.5092998771714335
v33_probability,validation,3818,0.13537996167719218,0.4049275807442162,0.787061288632792,0.5199449668990239,0.5188580408590885
v33_probability,holdout,3805,0.14702862445784223,0.43836223156716037,0.766622864651774,0.4747383267879797,0.4323258869908016
v34_probability,all,19021,0.14599261488331397,0.4403299700109672,0.7764050260238684,0.5066896373746772,0.4958204090216077
v34_probability,train,11398,0.14955452885766923,0.4539610719171577,0.7737322337252149,0.5131378394146238,0.5092998771714335
v34_probability,validation,3818,0.1343458670912287,0.401956131138985,0.7909900471451021,0.5196428404763468,0.5188580408590885
v34_probability,holdout,3805,0.14700932647082518,0.4380025106907226,0.7697766097240473,0.4743763821070073,0.4323258869908016
v35_probability,all,19021,0.14603435009611523,0.4410832881993967,0.776352452552442,0.5067038158037338,0.4958204090216077
v35_probability,train,11398,0.14969618587429717,0.45536893865011274,0.7737322337252149,0.5131982730743204,0.5092998771714335
v35_probability,validation,3818,0.13419778430491588,0.4015087661235607,0.7909900471451021,0.5196124914723877,0.5188580408590885
v35_probability,holdout,3805,0.14694220922649162,0.4379998930478278,0.7695137976346912,0.4742966810670541,0.4323258869908016
book_mid_probability,all,19021,0.13334377792976482,0.4001298250689712,0.7941748593659639,0.507785588717733,0.4958204090216077
book_mid_probability,train,11398,0.13620212098623863,0.4087412848657793,0.7909282330233375,0.5180465708018951,0.5092998771714335
book_mid_probability,validation,3818,0.12134192640136668,0.3648676110361702,0.8038239916186485,0.5173454447354636,0.5188580408590885
book_mid_probability,holdout,3805,0.13682437582141682,0.4097166094088441,0.7942181340341655,0.4674559687253614,0.4323258869908016
book_bias_only,all,19021,0.25016422708085556,0.6934756825821146,0.4958204090216077,0.5092998771714335,0.4958204090216077
book_bias_only,train,11398,0.24991351228459635,0.6929741951542575,0.5092998771714335,0.5092998771714335,0.5092998771714335
book_bias_only,validation,3818,0.24973573278803707,0.6926185951506459,0.5188580408590885,0.5092998771714337,0.5188580408590885
book_bias_only,holdout,3805,0.25134520959274637,0.6958379200370587,0.4323258869908016,0.5092998771714337,0.4323258869908016
book_platt,all,19021,0.13318113555307606,0.39905103331766767,0.795016034908785,0.4988205127675948,0.4958204090216077
book_platt,train,11398,0.13609922402843522,0.4075122114241027,0.7904895595718547,0.5092998659731834,0.5092998771714335
book_platt,validation,3818,0.1217045804387039,0.36377830646651543,0.8077527501309586,0.5090835931645015,0.5188580408590885
book_platt,holdout,3805,0.13595567299973296,0.40909854003529006,0.7957950065703022,0.45713112806517947,0.4323258869908016
book_v31_platt,all,19021,0.13302250514193736,0.39860265945689605,0.7945954471373745,0.49848149326920377,0.4958204090216077
book_v31_platt,train,11398,0.13601143905129717,0.40714904613627884,0.7897876820494824,0.5092998655224898,0.5092998771714335
book_v31_platt,validation,3818,0.1212756964423267,0.36272535689992585,0.8067050811943426,0.5080979649353788,0.5188580408590885
book_v31_platt,holdout,3805,0.13585599973227375,0.4090015624242827,0.7968462549277266,0.4564253840012898,0.4323258869908016
book_v32_platt,all,19021,0.13302218059793763,0.39861354619525896,0.7945954471373745,0.49847877617416536,0.4958204090216077
book_v32_platt,train,11398,0.136003933256238,0.4071345720005604,0.7897876820494824,0.5092998654914921,0.5092998771714335
book_v32_platt,validation,3818,0.12128337459810708,0.3627574135800289,0.8067050811943426,0.5080913771408007,0.5188580408590885
book_v32_platt,holdout,3805,0.13586915681555792,0.4090671762073803,0.7968462549277266,0.4564184117774494,0.4323258869908016
book_v33_platt,all,19021,0.1330382561206568,0.39865624981823955,0.7946480206088008,0.4984912086253185,0.4958204090216077
book_v33_platt,train,11398,0.13600359657121538,0.40713235852294416,0.7898754167397789,0.5092998655500953,0.5092998771714335
book_v33_platt,validation,3818,0.12135398870553459,0.3629514042661709,0.8067050811943426,0.5081161327532762,0.5188580408590885
book_v33_platt,holdout,3805,0.13587967071604984,0.40909262650722117,0.7968462549277266,0.4564557205966326,0.4323258869908016
book_v34_platt,all,19021,0.13305767708161648,0.3987071757223162,0.7945428736659481,0.4984946840918478,0.4958204090216077
book_v34_platt,train,11398,0.13600028008328044,0.40711995458095185,0.7896999473591858,0.5092998655069583,0.5092998771714335
book_v34_platt,validation,3818,0.12145055737170951,0.3631871972304039,0.8061812467260345,0.5081318252421189,0.5188580408590885
book_v34_platt,holdout,3805,0.13588979115243355,0.40914776033503447,0.7973718791064389,0.4564573483017916,0.4323258869908016
book_v35_platt,all,19021,0.1330667552820394,0.39874980892384404,0.7946480206088008,0.49853289362675135,0.4958204090216077
book_v35_platt,train,11398,0.13599818179716638,0.40715096130587564,0.7898754167397789,0.5092998655243353,0.5092998771714335
book_v35_platt,validation,3818,0.12147607924905297,0.3632590681057894,0.8061812467260345,0.508221908545861,0.5188580408590885
book_v35_platt,holdout,3805,0.13591584902041645,0.4091958834554965,0.7973718791064389,0.4565579646780466,0.4323258869908016
book_v31_time_platt,all,19021,0.13304013854283187,0.39841813203236265,0.7947531675516535,0.49870899560037607,0.4958204090216077
book_v31_time_platt,train,11398,0.13599490664783517,0.4069012671302323,0.7911037024039305,0.5092998716100722,0.5092998771714335
book_v31_time_platt,validation,3818,0.12122303293707411,0.36232087764193505,0.8059193294918806,0.5090077901556441,0.5188580408590885
book_v31_time_platt,holdout,3805,0.1360465149796138,0.4092272104599933,0.7944809461235217,0.45664970457001347,0.4323258869908016
book_v31_drift3_platt,all,19021,0.13299257247243357,0.39850995160297775,0.7947005940802271,0.49849526963381474,0.4958204090216077
book_v31_drift3_platt,train,11398,0.13600489691506018,0.4071452007523568,0.790050886120372,0.509299865559142,0.5092998771714335
book_v31_drift3_platt,validation,3818,0.12122669526972311,0.3626193021048203,0.8074908328968046,0.5081625241956459,0.5188580408590885
book_v31_drift3_platt,holdout,3805,0.1357751336190539,0.4086560567223846,0.7957950065703022,0.45642947140150153,0.4323258869908016
book_v32_drift3_platt,all,19021,0.13299069990843124,0.39851418953058193,0.7947531675516535,0.4984903118811705,0.4958204090216077
book_v32_drift3_platt,train,11398,0.13599782765880947,0.4071299822294189,0.7902263555009651,0.5092998655223441,0.5092998771714335
book_v32_drift3_platt,validation,3818,0.1212295369791729,0.3626365603854575,0.8072289156626506,0.508150798119456,0.5188580408590885
book_v32_drift3_platt,holdout,3805,0.1357840975339496,0.40870551223616464,0.7957950065703022,0.4564164540993391,0.4323258869908016
book_v33_drift3_platt,all,19021,0.1329966986402369,0.3985263472084273,0.7944377267230955,0.4984917454263726,0.4958204090216077
book_v33_drift3_platt,train,11398,0.13599617155387922,0.40712303866305577,0.7902263555009651,0.5092998655174045,0.5092998771714335
book_v33_drift3_platt,validation,3818,0.12127317503325004,0.3627531967941731,0.8067050811943426,0.5081573944446487,0.5188580408590885
book_v33_drift3_platt,holdout,3805,0.13577525865647355,0.4086700526175644,0.7947437582128778,0.4564170014712187,0.4323258869908016
book_v34_drift3_platt,all,19021,0.13300740079729964,0.39855167589037216,0.7944377267230955,0.4984875852622392,0.4958204090216077
book_v34_drift3_platt,train,11398,0.13599170668523564,0.4071070148657608,0.790050886120372,0.5092998654398161,0.5092998771714335
book_v34_drift3_platt,validation,3818,0.12134466060973605,0.3629222603793568,0.8069669984284966,0.5081582329019362,0.5188580408590885
book_v34_drift3_platt,holdout,3805,0.13577040303788404,0.40867502800064215,0.7950065703022339,0.45639536393441127,0.4323258869908016
book_v35_drift3_platt,all,19021,0.13301085601122237,0.39857245947879516,0.7947005940802271,0.49851378509810895,0.4958204090216077
book_v35_drift3_platt,train,11398,0.13599047521581722,0.4071328696359632,0.7904018248815582,0.5092998654102032,0.5092998771714335
book_v35_drift3_platt,validation,3818,0.12135449189248206,0.362946552027778,0.8074908328968046,0.5082257521849951,0.5188580408590885
book_v35_drift3_platt,holdout,3805,0.13578149950961355,0.40867710065529544,0.7947437582128778,0.4564585856933832,0.4323258869908016
book_time_v32drift85,all,19021,0.13298652652323495,0.39846804636367616,0.7948583144945061,0.4985234046188358,0.4958204090216077
book_time_v32drift85,train,11398,0.13598524853658597,0.4070623182122114,0.7901386208106685,0.5093001302579047,0.5092998771714335
book_time_v32drift85,validation,3818,0.1212193973000947,0.36256495192136956,0.8082765845992667,0.508281147337072,0.5188580408590885
book_time_v32drift85,holdout,3805,0.1358110904827026,0.40874938777001574,0.7955321944809461,0.45645029541191506,0.4323258869908016
book_time_v33drift85,all,19021,0.13299164508526035,0.398478256050699,0.7947531675516535,0.49852447151040924,0.4958204090216077
book_time_v33drift85,train,11398,0.1359838757968475,0.4070563942607793,0.790050886120372,0.5093000439686767,0.5092998771714335
book_time_v33drift85,validation,3818,0.1212566728492157,0.36266447417996367,0.8082765845992667,0.5082864528411043,0.5188580408590885
book_time_v33drift85,holdout,3805,0.13580338709486547,0.4087183085773673,0.7952693823915901,0.4564505635997847,0.4323258869908016
book_time_v34drift85,all,19021,0.13300073991194844,0.39849980989290057,0.7949108879659323,0.4985209027901509,0.4958204090216077
book_time_v34drift85,train,11398,0.13598004115858656,0.4070427757904837,0.7903140901912616,0.5093000313262743,0.5092998771714335
book_time_v34drift85,validation,3818,0.1213175506799719,0.3628084217080653,0.8082765845992667,0.5082871338377332,0.5188580408590885
book_time_v34drift85,holdout,3805,0.13579925262640455,0.40872241036308393,0.7952693823915901,0.45643207829753474,0.4323258869908016
book_time_v35drift85,all,19021,0.13300336049097827,0.39851625297369137,0.795016034908785,0.49854315054247167,0.4958204090216077
book_time_v35drift85,train,11398,0.13597887915832615,0.4070638215307802,0.7903140901912616,0.5092999484064509,0.5092998771714335
book_time_v35drift85,validation,3818,0.12132564837914372,0.3628280244184335,0.8088004190675746,0.5083447871065915,0.5188580408590885
book_time_v35drift85,holdout,3805,0.13580770821044028,0.4087218956045128,0.7952693823915901,0.45648569181567944,0.4323258869908016
book_v31_micro_platt,all,19021,0.13318598707853216,0.39891574024011134,0.7959623573944588,0.49820023999861507,0.4958204090216077
book_v31_micro_platt,train,11398,0.13579343773159433,0.4056098050163079,0.7947008247060888,0.5092999189714722,0.5092998771714335
