model,split,n,brier,logloss,side_accuracy,mean_p_yes,yes_rate
v28_live_surface,all,19021,0.14719568906947586,0.4411537473875953,0.7765627464381473,0.5078122247425724,0.4958204090216077
v28_live_surface,validation,3818,0.1366720507095461,0.4104850288259039,0.785751702462022,0.5210804959207964,0.5188580408590885
v28_live_surface,holdout,3805,0.1487204016274989,0.44382708999913917,0.7742444152431012,0.4780149591844347,0.4323258869908016
v31_avg90_final60_exact,all,19021,0.14636507140410496,0.4408385257607266,0.7762998790810157,0.5071252777811508,0.4958204090216077
v31_avg90_final60_exact,validation,3818,0.13599565559248408,0.4068628352037104,0.785751702462022,0.5202567411599972,0.5188580408590885
v31_avg90_final60_exact,holdout,3805,0.14727833389730557,0.43872041198809725,0.7734559789750328,0.47554230555413,0.4323258869908016
book_mid_probability,all,19021,0.13334377792976482,0.4001298250689712,0.7941748593659639,0.507785588717733,0.4958204090216077
book_mid_probability,validation,3818,0.12134192640136668,0.3648676110361702,0.8038239916186485,0.5173454447354636,0.5188580408590885
book_mid_probability,holdout,3805,0.13682437582141682,0.4097166094088441,0.7942181340341655,0.4674559687253614,0.4323258869908016
v31_book_logit_blend_w0.00,all,19021,0.14636507140410496,0.44083852576072685,0.7762998790810157,0.5071252777811508,0.4958204090216077
v31_book_logit_blend_w0.00,validation,3818,0.13599565559248408,0.4068628352037104,0.785751702462022,0.5202567411599972,0.5188580408590885
v31_book_logit_blend_w0.00,holdout,3805,0.14727833389730557,0.43872041198809725,0.7734559789750328,0.47554230555413,0.4323258869908016
v31_book_logit_blend_w0.05,all,19021,0.1452217420890178,0.43727512634853827,0.7778770832238052,0.5071677418013354,0.4958204090216077
v31_book_logit_blend_w0.05,validation,3818,0.13481137067456114,0.4034703210079437,0.7891566265060241,0.5201901401830838,0.5188580408590885
v31_book_logit_blend_w0.05,holdout,3805,0.14621424160137542,0.4356943318228492,0.7734559789750328,0.47497306895961866,0.4323258869908016
v31_book_logit_blend_w0.10,all,19021,0.14414417274831937,0.43391250875530196,0.7794017138951685,0.5072123303245264,0.4958204090216077
