feature,bucket,split,model,rows,mean_pred,realized,error,abs_error,brier,logloss
seconds_to_close,"(-0.001, 60.0]",all,v28_live_surface,2634,0.5,0.5,0.0,0.0,0.023658393984879424,0.08375967054040387
seconds_to_close,"(-0.001, 60.0]",all,v28_avg90,2634,0.5,0.5,0.0,0.0,0.022110470854625506,0.0769820508575018
seconds_to_close,"(-0.001, 60.0]",all,v31_avg90_final60_exact,2634,0.5,0.5,0.0,0.0,0.023414178068444754,0.11685109726127048
seconds_to_close,"(120.0, 180.0]",all,v28_live_surface,2618,0.5,0.5,0.0,0.0,0.06417442271092684,0.21771098855037554
seconds_to_close,"(120.0, 180.0]",all,v28_avg90,2618,0.5,0.5,0.0,0.0,0.060955414042271464,0.20473548807522035
seconds_to_close,"(120.0, 180.0]",all,v31_avg90_final60_exact,2618,0.5,0.5,0.0,0.0,0.060955414042271464,0.20473548807522035
seconds_to_close,"(180.0, 300.0]",all,v28_live_surface,5234,0.5,0.5,0.0,0.0,0.09397923178581893,0.3090131833796315
seconds_to_close,"(180.0, 300.0]",all,v28_avg90,5234,0.5,0.5,0.0,0.0,0.09171862945365321,0.3018238312305862
seconds_to_close,"(180.0, 300.0]",all,v31_avg90_final60_exact,5234,0.5,0.5,0.0,0.0,0.09171862945365321,0.3018238312305862
seconds_to_close,"(300.0, 600.0]",all,v28_live_surface,13024,0.5,0.5,0.0,0.0,0.160739447472517,0.4863841968656787
seconds_to_close,"(300.0, 600.0]",all,v28_avg90,13024,0.5,0.5,0.0,0.0,0.16055271638696575,0.4865308361704089
seconds_to_close,"(300.0, 600.0]",all,v31_avg90_final60_exact,13024,0.5,0.5,0.0,0.0,0.16055271638696575,0.4865308361704089
seconds_to_close,"(60.0, 90.0]",all,v28_live_surface,1314,0.5,0.5,0.0,0.0,0.042338843783989506,0.15091076311984425
seconds_to_close,"(60.0, 90.0]",all,v28_avg90,1314,0.5,0.5,0.0,0.0,0.04128586236335532,0.1459859302612246
seconds_to_close,"(60.0, 90.0]",all,v31_avg90_final60_exact,1314,0.5,0.5,0.0,0.0,0.04128586236335532,0.1459859302612246
seconds_to_close,"(600.0, 900.0]",all,v28_live_surface,11910,0.5,0.5,0.0,0.0,0.22416566282556075,0.6406187446335857
seconds_to_close,"(600.0, 900.0]",all,v28_avg90,11910,0.5,0.5,0.0,0.0,0.2242167928927436,0.6413483354344116
seconds_to_close,"(600.0, 900.0]",all,v31_avg90_final60_exact,11910,0.5,0.5,0.0,0.0,0.2242167928927436,0.6413483354344116
seconds_to_close,"(90.0, 120.0]",all,v28_live_surface,1308,0.5,0.5,0.0,0.0,0.04471667212079119,0.16182855105314825
seconds_to_close,"(90.0, 120.0]",all,v28_avg90,1308,0.5,0.5,0.0,0.0,0.038991067337709163,0.13760563355585612
seconds_to_close,"(90.0, 120.0]",all,v31_avg90_final60_exact,1308,0.5,0.5,0.0,0.0,0.038991067337709163,0.13760563355585612
seconds_to_close,"(-0.001, 60.0]",validation,v28_live_surface,528,0.5,0.5,0.0,0.0,0.0070665158488643545,0.033591704184211764
seconds_to_close,"(-0.001, 60.0]",validation,v28_avg90,528,0.5,0.5,0.0,0.0,0.0036326699789673038,0.01827090913081183
seconds_to_close,"(-0.001, 60.0]",validation,v31_avg90_final60_exact,528,0.5,0.5,0.0,0.0,0.0007387329758564683,0.004534641284420863
seconds_to_close,"(120.0, 180.0]",validation,v28_live_surface,526,0.5,0.5,0.0,0.0,0.04143606886490901,0.13994318928816987
seconds_to_close,"(120.0, 180.0]",validation,v28_avg90,526,0.5,0.5,0.0,0.0,0.04026273116685359,0.12772660457408228
seconds_to_close,"(120.0, 180.0]",validation,v31_avg90_final60_exact,526,0.5,0.5,0.0,0.0,0.04026273116685359,0.12772660457408228
seconds_to_close,"(180.0, 300.0]",validation,v28_live_surface,1054,0.5,0.5,0.0,0.0,0.0601449408903813,0.2190676157421394
seconds_to_close,"(180.0, 300.0]",validation,v28_avg90,1054,0.5,0.5,0.0,0.0,0.05753884591849738,0.2103578422382047
seconds_to_close,"(180.0, 300.0]",validation,v31_avg90_final60_exact,1054,0.5,0.5,0.0,0.0,0.05753884591849738,0.2103578422382047
seconds_to_close,"(300.0, 600.0]",validation,v28_live_surface,2606,0.5,0.5,0.0,0.0,0.14384573616431978,0.4367532113997264
seconds_to_close,"(300.0, 600.0]",validation,v28_avg90,2606,0.5,0.5,0.0,0.0,0.14400847770713868,0.4368190727797401
seconds_to_close,"(300.0, 600.0]",validation,v31_avg90_final60_exact,2606,0.5,0.5,0.0,0.0,0.14400847770713868,0.4368190727797401
seconds_to_close,"(60.0, 90.0]",validation,v28_live_surface,262,0.5,0.5,0.0,0.0,0.027413306689494092,0.09169941310567138
seconds_to_close,"(60.0, 90.0]",validation,v28_avg90,262,0.5,0.5,0.0,0.0,0.02698219132531577,0.08791088494930192
seconds_to_close,"(60.0, 90.0]",validation,v31_avg90_final60_exact,262,0.5,0.5,0.0,0.0,0.02698219132531577,0.08791088494930192
seconds_to_close,"(600.0, 900.0]",validation,v28_live_surface,2396,0.5,0.5,0.0,0.0,0.23586662090661614,0.6775446276440824
seconds_to_close,"(600.0, 900.0]",validation,v28_avg90,2396,0.5,0.5,0.0,0.0,0.23658244403671955,0.6812987145790508
seconds_to_close,"(600.0, 900.0]",validation,v31_avg90_final60_exact,2396,0.5,0.5,0.0,0.0,0.23658244403671955,0.6812987145790508
seconds_to_close,"(90.0, 120.0]",validation,v28_live_surface,264,0.5,0.5,0.0,0.0,0.02851447136126043,0.10082891201118045
seconds_to_close,"(90.0, 120.0]",validation,v28_avg90,264,0.5,0.5,0.0,0.0,0.026672999837419085,0.08232607439468935
seconds_to_close,"(90.0, 120.0]",validation,v31_avg90_final60_exact,264,0.5,0.5,0.0,0.0,0.026672999837419085,0.08232607439468935
seconds_to_close,"(-0.001, 60.0]",holdout,v28_live_surface,526,0.5,0.5,0.0,0.0,0.022314421921816693,0.08470847975352397
seconds_to_close,"(-0.001, 60.0]",holdout,v28_avg90,526,0.5,0.5,0.0,0.0,0.016274171186374402,0.05971088631595222
seconds_to_close,"(-0.001, 60.0]",holdout,v31_avg90_final60_exact,526,0.5,0.5,0.0,0.0,0.010927860412127297,0.035732451125785804
seconds_to_close,"(120.0, 180.0]",holdout,v28_live_surface,526,0.5,0.5,0.0,0.0,0.07107824447361637,0.23019931085708087
seconds_to_close,"(120.0, 180.0]",holdout,v28_avg90,526,0.5,0.5,0.0,0.0,0.06870207646472985,0.21925281896660642
seconds_to_close,"(120.0, 180.0]",holdout,v31_avg90_final60_exact,526,0.5,0.5,0.0,0.0,0.06870207646472985,0.21925281896660642
seconds_to_close,"(180.0, 300.0]",holdout,v28_live_surface,1054,0.5,0.5,0.0,0.0,0.1002604458512587,0.3327885402604578
seconds_to_close,"(180.0, 300.0]",holdout,v28_avg90,1054,0.5,0.5,0.0,0.0,0.09842694668427932,0.3292404003618435
seconds_to_close,"(180.0, 300.0]",holdout,v31_avg90_final60_exact,1054,0.5,0.5,0.0,0.0,0.09842694668427932,0.3292404003618435
seconds_to_close,"(300.0, 600.0]",holdout,v28_live_surface,2600,0.5,0.5,0.0,0.0,0.15839749556027383,0.4801105242851894
seconds_to_close,"(300.0, 600.0]",holdout,v28_avg90,2600,0.5,0.5,0.0,0.0,0.15766579149870616,0.47938681781876363
seconds_to_close,"(300.0, 600.0]",holdout,v31_avg90_final60_exact,2600,0.5,0.5,0.0,0.0,0.15766579149870616,0.47938681781876363
seconds_to_close,"(60.0, 90.0]",holdout,v28_live_surface,264,0.5,0.5,0.0,0.0,0.05411321070171763,0.17684115557934338
seconds_to_close,"(60.0, 90.0]",holdout,v28_avg90,264,0.5,0.5,0.0,0.0,0.05400263579314061,0.17523022775180236
seconds_to_close,"(60.0, 90.0]",holdout,v31_avg90_final60_exact,264,0.5,0.5,0.0,0.0,0.05400263579314061,0.17523022775180236
seconds_to_close,"(600.0, 900.0]",holdout,v28_live_surface,2378,0.5,0.5,0.0,0.0,0.22548118194931283,0.6380447824013741
seconds_to_close,"(600.0, 900.0]",holdout,v28_avg90,2378,0.5,0.5,0.0,0.0,0.2257162528098319,0.6388910159672864
seconds_to_close,"(600.0, 900.0]",holdout,v31_avg90_final60_exact,2378,0.5,0.5,0.0,0.0,0.2257162528098319,0.6388910159672864
seconds_to_close,"(90.0, 120.0]",holdout,v28_live_surface,262,0.5,0.5,0.0,0.0,0.05591441670462169,0.18656341539252258
seconds_to_close,"(90.0, 120.0]",holdout,v28_avg90,262,0.5,0.5,0.0,0.0,0.05427392911539206,0.17393648379377935
seconds_to_close,"(90.0, 120.0]",holdout,v31_avg90_final60_exact,262,0.5,0.5,0.0,0.0,0.05427392911539206,0.17393648379377935
book_minus_model_p_side,"(-0.05, 0.0]",all,v28_live_surface,11242,0.449437262227667,0.4269702899839886,0.022466972243678385,0.022466972243678385,0.11063207283370158,0.3377955349204974
book_minus_model_p_side,"(-0.05, 0.0]",all,v28_avg90,11242,0.44795798887454225,0.4269702899839886,0.02098769889055363,0.02098769889055363,0.10970519900436725,0.3328258250547767
book_minus_model_p_side,"(-0.05, 0.0]",all,v31_avg90_final60_exact,11242,0.44809599388702104,0.4269702899839886,0.021125703903032422,0.021125703903032422,0.10950200302420207,0.33175923482173714
book_minus_model_p_side,"(-0.1, -0.05]",all,v28_live_surface,3986,0.48496133102276295,0.3833416959357752,0.10161963508698774,0.10161963508698774,0.18344357965200966,0.5476057748092071
book_minus_model_p_side,"(-0.1, -0.05]",all,v28_avg90,3986,0.48060542851025967,0.3833416959357752,0.09726373257448445,0.09726373257448445,0.18181702347773482,0.543121370153748
book_minus_model_p_side,"(-0.1, -0.05]",all,v31_avg90_final60_exact,3986,0.48046526299834225,0.3833416959357752,0.09712356706256703,0.09712356706256703,0.18160396969519885,0.5427562008700495
book_minus_model_p_side,"(-0.2, -0.1]",all,v28_live_surface,2888,0.4845700108764632,0.29709141274238227,0.1874785981340809,0.1874785981340809,0.20586104848957154,0.6094501108376081
book_minus_model_p_side,"(-0.2, -0.1]",all,v28_avg90,2888,0.4801029310853428,0.29709141274238227,0.18301151834296053,0.18301151834296053,0.20410487500789687,0.6065040192834391
book_minus_model_p_side,"(-0.2, -0.1]",all,v31_avg90_final60_exact,2888,0.48052405989957836,0.29709141274238227,0.1834326471571961,0.1834326471571961,0.20430159744401788,0.6075932007786401
book_minus_model_p_side,"(-1.001, -0.2]",all,v28_live_surface,905,0.544092276370095,0.22209944751381216,0.3219928288562829,0.3219928288562829,0.2545310745450106,0.7191596541377949
book_minus_model_p_side,"(-1.001, -0.2]",all,v28_avg90,905,0.5492193308641637,0.22209944751381216,0.3271198833503516,0.3271198833503516,0.2594581867013555,0.7454019336926011
book_minus_model_p_side,"(-1.001, -0.2]",all,v31_avg90_final60_exact,905,0.5534252777569111,0.22209944751381216,0.3313258302430989,0.3313258302430989,0.26419013100112104,0.8148032045437054
book_minus_model_p_side,"(0.0, 0.05]",all,v28_live_surface,11242,0.550562737772333,0.5730297100160114,-0.02246697224367844,0.02246697224367844,0.11063207283370158,0.3377955349204974
book_minus_model_p_side,"(0.0, 0.05]",all,v28_avg90,11242,0.5520420111254577,0.5730297100160114,-0.02098769889055374,0.02098769889055374,0.10970519900436725,0.3328258250547767
book_minus_model_p_side,"(0.0, 0.05]",all,v31_avg90_final60_exact,11242,0.551904006112979,0.5730297100160114,-0.021125703903032478,0.021125703903032478,0.10950200302420207,0.33175923482173714
