dataset,split,feature,bucket,rows,brier_delta,logloss_delta,candidate_brier,candidate_logloss,candidate_side_accuracy,mean_p_yes,yes_rate
all_heartbeats,all,seconds_to_close,"(-0.001, 60.0]",1317,4.711444501997661e-05,0.0015177518349701463,0.023828464035722672,0.1242372571788212,0.9726651480637813,0.5089247482796295,0.49506454062262717
all_heartbeats,all,seconds_to_close,"(120.0, 180.0]",1309,-9.534167191146276e-05,-0.00024625633781669154,0.060316849699446194,0.2027561657577454,0.9266615737203973,0.5015965879865204,0.4965622612681436
all_heartbeats,all,seconds_to_close,"(180.0, 300.0]",2617,-0.0001760467913754088,-0.00038581023369105294,0.09110346322248057,0.3002289728534727,0.8784868169659916,0.5021527581563016,0.49636988918609093
all_heartbeats,all,seconds_to_close,"(300.0, 600.0]",6512,1.2475890317942273e-05,4.1938334310598346e-05,0.16056066441665398,0.4867688466222224,0.7612100737100738,0.510765146562832,0.4963144963144963
all_heartbeats,all,seconds_to_close,"(60.0, 90.0]",657,-0.00016343267011451057,-0.0007321468880074067,0.04007122344764617,0.14054774260218564,0.9421613394216134,0.5126345615420418,0.4946727549467275
all_heartbeats,all,seconds_to_close,"(600.0, 900.0]",5955,-0.001021421577435483,-0.00316585396946234,0.223212216022285,0.63838227512689,0.634928631402183,0.5034609591142449,0.4950461796809404
all_heartbeats,all,seconds_to_close,"(90.0, 120.0]",654,-0.0002523678060561696,-0.0011225349247629413,0.04135219289235433,0.14838502211849283,0.944954128440367,0.5133829424685858,0.4969418960244648
all_heartbeats,validation,seconds_to_close,"(-0.001, 60.0]",264,-2.0509785892890956e-05,-0.0001166124822983461,0.0004427413924711069,0.003063874087433257,1.0,0.5176709402786935,0.5151515151515151
all_heartbeats,validation,seconds_to_close,"(120.0, 180.0]",263,1.5870257744687866e-05,-0.0004284133176737648,0.04020433918355184,0.1251473502378505,0.9391634980988594,0.5268832396010398,0.5171102661596958
all_heartbeats,validation,seconds_to_close,"(180.0, 300.0]",527,-0.00025407764871099303,-0.0006295637903228901,0.05670581535200048,0.20798194522870492,0.9316888045540797,0.5349812969540412,0.5142314990512334
all_heartbeats,validation,seconds_to_close,"(300.0, 600.0]",1303,9.945050952739343e-05,-0.00030553895301854705,0.14417432091802249,0.4366695133537288,0.7851112816577129,0.5276464511086628,0.5203376822716808
