model,gate_kind,shift_scale,anchor_sigma_mult,max_weight,gate_center,gate_width,posterior_temperature,all_heartbeats_train_brier,all_heartbeats_train_logloss,all_heartbeats_train_brier_delta,all_heartbeats_train_logloss_delta,all_heartbeats_validation_brier,all_heartbeats_validation_logloss,all_heartbeats_validation_brier_delta,all_heartbeats_validation_logloss_delta,all_heartbeats_holdout_brier,all_heartbeats_holdout_logloss,all_heartbeats_holdout_brier_delta,all_heartbeats_holdout_logloss_delta,all_heartbeats_all_brier,all_heartbeats_all_logloss,all_heartbeats_all_brier_delta,all_heartbeats_all_logloss_delta,minute_bucket_train_brier,minute_bucket_train_logloss,minute_bucket_train_brier_delta,minute_bucket_train_logloss_delta,minute_bucket_validation_brier,minute_bucket_validation_logloss,minute_bucket_validation_brier_delta,minute_bucket_validation_logloss_delta,minute_bucket_holdout_brier,minute_bucket_holdout_logloss,minute_bucket_holdout_brier_delta,minute_bucket_holdout_logloss_delta,minute_bucket_all_brier,minute_bucket_all_logloss,minute_bucket_all_brier_delta,minute_bucket_all_logloss_delta,validation_mean_brier_delta,validation_mean_logloss_delta,holdout_mean_brier_delta,holdout_mean_logloss_delta,all_splits_mean_brier_delta,validation_both_datasets_brier_improved,holdout_both_datasets_brier_improved
sweep_sigma_ss1.25_asm0.90_w0.125_c0.650_gw0.050_t1.00,sigma,1.25,0.9,0.125,0.65,0.05,1.0,0.14978826290585565,0.45422899023552105,0.00024170412947518982,0.00042888998225465436,0.1332656101637563,0.3985589652915308,-0.002751796340846463,-0.008411832425567256,0.14734756999865972,0.43860474436271185,0.00020522939142422758,0.00012480657810071127,0.14598350370911437,0.4399290895582594,-0.0003664642725001166,-0.0014064980365598445,0.1525440981760151,0.45525629647461857,0.0003468842867969668,0.0006812142924208509,0.136349425111141,0.4065529146820123,-0.0032084991899978543,-0.009377380517625156,0.15111883957386651,0.44756121209700034,0.0005009120690320223,0.0007582108657187558,0.14901264209953333,0.4439552524889816,-0.00033517929082382825,-0.0013200591773177561,-0.0029801477654221586,-0.008894606471596206,0.00035307073022812496,0.00044150872190973356,-0.0007775942756859852,True,False
sweep_sigma_ss1.25_asm0.90_w0.125_c0.650_gw0.050_t0.99,sigma,1.25,0.9,0.125,0.65,0.05,0.99,0.1497465236781787,0.45427471464474667,0.0001999649017982441,0.00047461439148027695,0.1332806281364677,0.3986557501898442,-0.0027367783681350455,-0.008315047527253816,0.14733204711364903,0.4386698889240168,0.00018970650641353393,0.0001899511394056752,0.1459584014708138,0.43998894795760113,-0.0003915665108006894,-0.0013466396372180944,0.1524936504116165,0.45518303943881816,0.0002964365223983578,0.0006079572566204394,0.1363491452829732,0.4065694711868753,-0.0032087790181656584,-0.00936082401276217,0.1510932148344622,0.4475587427028861,0.0004752873296277049,0.0007557414716045097,0.1489772090006764,0.443914136574149,-0.0003706123896807523,-0.0013611750921503352,-0.002972778693150352,-0.008837935770007993,0.0003324969180206194,0.00047284630550509243,-0.0007973603543438105,True,False
sweep_sigma_ss1.25_asm0.90_w0.125_c0.650_gw0.050_t0.98,sigma,1.25,0.9,0.125,0.65,0.05,0.98,0.14970744535679303,0.4543374388838793,0.00016088658041257808,0.0005373386306128936,0.1332991040172077,0.3987717786171381,-0.0027183024873950468,-0.008199019099959959,0.14731938772146433,0.4387514593919879,0.00017704711422883435,0.0002715216073767568,0.14593616064321527,0.44006614174571285,-0.0004138073383992136,-0.0012694458491063765,0.1524458062620371,0.455124049876693,0.00024859237281896207,0.0005489676944953059,0.13635217468643607,0.4066034669388922,-0.0032057496147027964,-0.009326828260745268,0.1510703251684127,0.44757088954230956,0.0004523976635782134,0.0007678883110279755,0.14894454723451467,0.4438879936798887,-0.0004032741558424868,-0.0013873179864106744,-0.0029620260510489216,-0.008762923680352613,0.0003147223889035239,0.0005197049592023661,-0.0008141880618432092,True,False
sweep_sigma_ss1.25_asm0.90_w0.125_c0.650_gw0.100_t1.00,sigma,1.25,0.9,0.125,0.65,0.1,1.0,0.14978544232969707,0.45422343635684553,0.00023888355331661004,0.00042333610357914164,0.13335603431752618,0.3987990120772489,-0.0026613721870765716,-0.00817178563984916,0.1473267355080869,0.43854916844415587,0.00018439490085139787,6.923065954472785e-05,0.1459957961887636,0.43996282748731796,-0.0003541717928508825,-0.0013727601075012585,0.15254132719441965,0.4552519308234631,0.00034411330520150996,0.0006768486412653818,0.13644332847425714,0.4067947343035435,-0.0031145958268817275,-0.009135560896093964,0.151099341649149,0.4475116973070786,0.0004814141443145181,0.000708696075797044,0.14902591343237917,0.44399122944298425,-0.0003219079579779849,-0.0012840822233151084,-0.0028879840069791496,-0.008653673267971562,0.000332904522582958,0.0003889633676708859,-0.0007545270183790439,True,False
sweep_sigma_ss1.25_asm0.90_w0.125_c0.650_gw0.100_t0.99,sigma,1.25,0.9,0.125,0.65,0.1,0.99,0.14974352142067548,0.45426864122038874,0.00019696264429502897,0.00046854096712234394,0.13337153377938527,0.39889805340401613,-0.0026458727252174907,-0.008072744313081914,0.14731098265651,0.43861349947765416,0.00016864204927449777,0.00013356169304301613,0.14597063572528116,0.44002266474102303,-0.0003793322563333257,-0.0013129228537961946,0.1524906972136309,0.45517809187321084,0.0002934833244127577,0.0006030096910131233,0.13644367350758574,0.40681375597277036,-0.003114250793553125,-0.009116539226867115,0.1510734062819195,0.4475083505537969,0.0004554787770850166,0.000705349322515314,0.14899043428783465,0.4439500835300872,-0.00035738710252250505,-0.0013252281362121643,-0.002880061759385308,-0.008594641769974515,0.0003120604131797572,0.00041945550777916507,-0.0007742594539505524,True,False
sweep_sigma_ss1.25_asm0.90_w0.125_c0.650_gw0.100_t0.98,sigma,1.25,0.9,0.125,0.65,0.1,0.98,0.1497042573304089,0.45433082991145546,0.0001576985540284459,0.0005307296581890664,0.13339049391623778,0.399016379461326,-0.002626912588364977,-0.007954418255772033,0.14729809026437132,0.4386942338130441,0.00015574965713582856,0.0002142960284329809,0.14594833417171174,0.44009983154265003,-0.00040163380990274056,-0.0012357560521691902,0.15244266789504,0.4551185028593407,0.00024545400582184906,0.0005434206771429695,0.13644733497064082,0.40685026702174026,-0.0031105893304980425,-0.009080028177897215,0.15105019891931779,0.447519594949423,0.00043227141448329287,0.0007165937181414228,0.14895772473660465,0.4439239051606018,-0.000390096653752503,-0.0013514065056975388,-0.0028687509594315097,-0.008517223216834624,0.0002940105358095607,0.00046544487328720185,-0.0007910547145656005,True,False
sweep_sigma_ss1.25_asm1.00_w0.125_c0.650_gw0.050_t1.00,sigma,1.25,1.0,0.125,0.65,0.05,1.0,0.14974665846360738,0.45411885334933993,0.0002000996872269234,0.00031875309607354296,0.13341139022140625,0.3989171574493789,-0.0026060162831965106,-0.008053640267719153,0.14727613514325053,0.43841583100437076,0.00013379453601503055,-6.410678024038052e-05,0.14597354477964325,0.4398971996524439,-0.00037642320197123214,-0.0014383879423753299,0.15248839133568565,0.455127743786571,0.00029117744646750543,0.0005526616043732835,0.13650056446182907,0.4069279319327595,-0.003057359839309798,-0.009002363266877977,0.15099940727680258,0.44725663087608164,0.0003814797719680907,0.00045362964480005763,0.14898568157665854,0.4438925123315075,-0.0003621398136986198,-0.001382799334791851,-0.002831688061253154,-0.008528001767298565,0.0002576371539915606,0.00019476143227983855,-0.000776137446804793,True,False
sweep_sigma_ss1.25_asm1.00_w0.125_c0.650_gw0.050_t0.99,sigma,1.25,1.0,0.125,0.65,0.05,0.99,0.14970490610038467,0.4541639953948528,0.00015834732400421547,0.00036389514158641223,0.13342744656534453,0.39901720231370574,-0.0025899599392582295,-0.0079535954033923,0.14726070003393138,0.43848040566122043,0.0001183594266958854,4.6787660928915287e-07,0.1459486606565259,0.43995724943405734,-0.0004013073250885846,-0.0013783381607618828,0.15243775989215824,0.4550537579863716,0.00024054600294010076,0.0004786758041738781,0.13650151914947561,0.40694821553797306,-0.0030564051516632496,-0.008982079661664422,0.15097345999950185,0.44725235719043954,0.00035553249466735437,0.0004493559591579599,0.14895032140617778,0.4438513462544914,-0.0003974999841793725,-0.0014239654118079481,-0.0028231825454607395,-0.00846783753252836,0.00023694596068161988,0.00022491191788362452,-0.0007955966404356538,True,False
sweep_sigma_ss1.25_asm1.00_w0.125_c0.650_gw0.050_t0.98,sigma,1.25,1.0,0.125,0.65,0.05,0.98,0.14966581845884597,0.45422613820495145,0.00011925968246551122,0.0004260379516850543,0.13344697724701063,0.3991365667482136,-0.0025704292575921273,-0.00783423096888447,0.14724813691471433,0.4385614182294291,0.00010579630747883928,8.148044481798289e-05,0.14592664522809004,0.440034652829383,-0.00042332275352444104,-0.0013009347654362458,0.15238973228386832,0.4549940381179176,0.00019251839465017628,0.0004189559357198891,0.1365058050920044,0.4069860281196876,-0.0030521192091344518,-0.008944267079949886,0.15095024859530212,0.4472626817262425,0.0003323210904676299,0.00045968049496092345,0.14891773727573682,0.4438251666664435,-0.00043008411462033824,-0.0014501449998558513,-0.0028112742333632895,-0.008389249024417178,0.0002190586989732346,0.00027058046988945317,-0.0008121088319440704,True,False
sweep_dollar_ss1.25_asm1.00_w0.125_c40.000_gw5.000_t1.00,dollar,1.25,1.0,0.125,40.0,5.0,1.0,0.14983740670351983,0.4543008393959392,0.000290847927139376,0.0005007391426727903,0.13343491572142463,0.39904865599450634,-0.0025824907831781263,-0.007922141722591702,0.14722232889249748,0.4381372015795951,7.998828526198376e-05,-0.0003427362050160143,0.1460218827226261,0.439976909102166,-0.000328085258988392,-0.001358678492653198,0.15257385116464486,0.45530445477826026,0.0003766372754267222,0.0007293725960625386,0.13652618406426828,0.40701150003711783,-0.0030317402368705837,-0.008918795162519644,0.15089829005108454,0.44691500914873294,0.0002803625462500514,0.00011200791745136218,0.14902188957590828,0.443947051882899,-0.000325931814448871,-0.001328259783400343,-0.002807115510024355,-0.008420468442555673,0.0001801754157560176,-0.00011536414378232607,-0.0007643991643284295,True,False
sweep_dollar_ss1.25_asm1.00_w0.125_c40.000_gw5.000_t0.99,dollar,1.25,1.0,0.125,40.0,5.0,0.99,0.1497945208548158,0.454342650503586,0.000247962078435332,0.0005425502503196289,0.13345168655284867,0.39915391361468666,-0.0025657199517540863,-0.007816884102411381,0.14720230344298083,0.43818623993368666,5.996283574533079e-05,-0.0002936978509244792,0.14599554453301658,0.4400329012969047,-0.0003544234485979014,-0.0013026862979145237,0.15252202075908616,0.45522686014722485,0.00032480686986802176,0.0006517779650271338,0.1365280346059358,0.40703614537165905,-0.0030298896952030696,-0.008894149827978426,0.15086710699417538,0.44689434966475805,0.0002491794893408894,9.134843347646804e-05,0.14898494438822535,0.443901323772897,-0.0003628770021318062,-0.001373987893402373,-0.002797804823478578,-0.008355516965194904,0.0001545711625431101,-0.00010117470872400558,-0.000785616395594597,True,False
sweep_dollar_ss1.25_asm1.00_w0.125_c40.000_gw5.000_t0.98,dollar,1.25,1.0,0.125,40.0,5.0,0.98,0.1497542573797802,0.4544013266968447,0.000207698603399753,0.0006012264435782955,0.13347193114585562,0.3992786133750454,-0.0025454753587471346,-0.007692184342052655,0.14718502931053978,0.43825122353287776,4.2688703304288866e-05,-0.00022871425173337512,0.14597202540645687,0.4401060918510677,-0.0003779425751576082,-0.0012294957437515297,0.1524727529429226,0.4551633895804239,0.00027553905370444887,0.0005883073982261844,0.1365332232105818,0.4070784256166094,-0.0030247010905570526,-0.008851869583028082,0.15083852464335412,0.44688777912747285,0.00022059713851962925,8.477789619126819e-05,0.14895072487552027,0.4438704166046272,-0.000397096514836881,-0.001404895061672129,-0.0027850882246520936,-0.008272026962540369,0.00013164292091195906,-7.196817777105347e-05,-0.0008039421583960112,True,False
sweep_sigma_ss1.25_asm0.90_w0.125_c0.650_gw0.200_t1.00,sigma,1.25,0.9,0.125,0.65,0.2,1.0,0.1497800104178486,0.4542117869146753,0.000233451641468152,0.0004116866614088943,0.1334819404516847,0.3991171023463999,-0.002535466052918045,-0.007853695370698133,0.14728673949428922,0.438492050723657,0.00014439888705372605,1.2112939045849647e-05,0.14600981289958156,0.4400082696501519,-0.0003401550820329169,-0.0013273179446673389,0.15252504173099493,0.45521053856663335,0.0003278278417767899,0.0006354563844356287,0.13656153159110218,0.4070872850903831,-0.0029963927100366827,-0.008843010109254368,0.15106283670310852,0.4474611019761411,0.0004449091982740294,0.0006581007448595022,0.14903255429231638,0.44401495181710715,-0.0003152670980407779,-0.0012603598491922052,-0.002765929381477364,-0.00834835273997625,0.00029465404266387774,0.0003351068419526759,-0.0007302118657303384,True,False
sweep_dollar_ss1.25_asm1.00_w0.125_c60.000_gw5.000_t1.00,dollar,1.25,1.0,0.125,60.0,5.0,1.0,0.14973540210511505,0.4540676344818231,0.0001888433287345892,0.0002675342285566873,0.1335249145566826,0.3994494840559262,-0.0024924919479201446,-0.007521313661171869,0.14725016393980828,0.438241805316304,0.00010782333257278176,-0.00023813246830711732,0.14598439150215478,0.4399385467208813,-0.0003655764794597005,-0.001397040873937938,0.15244994878780224,0.4550200285052426,0.0002527348985841005,0.00044494632304487025,0.13652088187691325,0.40716767132131815,-0.0030370424242256167,-0.008762623878319331,0.15091939422189515,0.4469766951080887,0.0003014667170606611,0.0001736938768071017,0.14895071929169157,0.4438200703964164,-0.000397102098665586,-0.0014552412698829453,-0.0027647671860728806,-0.0081419687697456,0.00020464502481672142,-3.2219295750007815e-05,-0.0007797776825322714,True,False
