dataset,split,model,rows,brier,logloss,side_accuracy,mean_p_yes,yes_rate
all_heartbeats,all,v28_live_surface,19021,0.14719568906947586,0.4411537473875953,0.7765627464381473,0.5078122247425724,0.4958204090216077
all_heartbeats,all,v32_avg110_final60_exact,19021,0.14634996798161448,0.4413355875948192,0.7761421586667367,0.5069912476145157,0.4958204090216077
all_heartbeats,all,v34_material_antipersist3,19021,0.14599261488331397,0.4403299700109672,0.7764050260238684,0.5066896373746772,0.4958204090216077
all_heartbeats,all,v35_h150_t102_antipersist3,19021,0.14603435009611523,0.4410832881993967,0.776352452552442,0.5067038158037338,0.4958204090216077
all_heartbeats,train,v28_live_surface,11398,0.15021180768457804,0.45053443687975286,0.7742586418669942,0.5133149740047459,0.5092998771714335
all_heartbeats,train,v32_avg110_final60_exact,11398,0.14954655877638046,0.4538001002532664,0.773907703105808,0.5132522203038254,0.5092998771714335
all_heartbeats,train,v34_material_antipersist3,11398,0.14955452885766923,0.4539610719171577,0.7737322337252149,0.5131378394146238,0.5092998771714335
all_heartbeats,train,v35_h150_t102_antipersist3,11398,0.14969618587429717,0.45536893865011274,0.7737322337252149,0.5131982730743204,0.5092998771714335
all_heartbeats,validation,v28_live_surface,3818,0.1366720507095461,0.4104850288259039,0.785751702462022,0.5210804959207964,0.5188580408590885
all_heartbeats,validation,v32_avg110_final60_exact,3818,0.13601740650460276,0.40697079771709804,0.785751702462022,0.5200953604766811,0.5188580408590885
all_heartbeats,validation,v34_material_antipersist3,3818,0.1343458670912287,0.401956131138985,0.7909900471451021,0.5196428404763468,0.5188580408590885
all_heartbeats,validation,v35_h150_t102_antipersist3,3818,0.13419778430491588,0.4015087661235607,0.7909900471451021,0.5196124914723877,0.5188580408590885
all_heartbeats,holdout,v28_live_surface,3805,0.1487204016274989,0.44382708999913917,0.7742444152431012,0.4780149591844347,0.4323258869908016
all_heartbeats,holdout,v32_avg110_final60_exact,3805,0.1471423406072355,0.43847993778461114,0.7731931668856767,0.4750874185421114,0.4323258869908016
all_heartbeats,holdout,v34_material_antipersist3,3805,0.14700932647082518,0.4380025106907226,0.7697766097240473,0.4743763821070073,0.4323258869908016
all_heartbeats,holdout,v35_h150_t102_antipersist3,3805,0.14694220922649162,0.4379998930478278,0.7695137976346912,0.4742966810670541,0.4323258869908016
minute_bucket,all,v28_live_surface,4898,0.15081637420193264,0.4510374295628187,0.7676602694977542,0.507484784390018,0.4963250306247448
minute_bucket,all,v32_avg110_final60_exact,4898,0.14934782139035715,0.44527531166629936,0.7674561045324623,0.5068351574143115,0.4963250306247448
minute_bucket,all,v34_material_antipersist3,4898,0.14891426840145341,0.4439463638121554,0.7676602694977542,0.5064821349150697,0.4963250306247448
minute_bucket,all,v35_h150_t102_antipersist3,4898,0.14902512836114787,0.4445243462411638,0.7676602694977542,0.5065048350599037,0.4963250306247448
minute_bucket,train,v28_live_surface,2938,0.15367327731389033,0.45997936075678325,0.765146358066712,0.512482868239483,0.5098706603131382
minute_bucket,train,v32_avg110_final60_exact,2938,0.15219721388921814,0.4545750821821977,0.765146358066712,0.5126078232826634,0.5098706603131382
minute_bucket,train,v34_material_antipersist3,2938,0.1522124005530786,0.4545603078862842,0.7648059904697073,0.512501979161199,0.5098706603131382
minute_bucket,train,v35_h150_t102_antipersist3,2938,0.15254502641913903,0.4557992512868646,0.765146358066712,0.5125606553769348,0.5098706603131382
minute_bucket,validation,v28_live_surface,982,0.140475025497193,0.4210097007520474,0.7759674134419552,0.5201243025717217,0.5183299389002036
minute_bucket,validation,v32_avg110_final60_exact,982,0.13955792430113886,0.4159302951996375,0.7759674134419552,0.5193289521548895,0.5183299389002036
minute_bucket,validation,v34_material_antipersist3,982,0.137454508383908,0.40986760048345555,0.7820773930753564,0.5189123387684464,0.5183299389002036
minute_bucket,validation,v35_h150_t102_antipersist3,982,0.13718678034189316,0.4091543677366656,0.7820773930753564,0.5189448258214299,0.5183299389002036
minute_bucket,holdout,v28_live_surface,978,0.15261762480021762,0.45432560527274646,0.7668711656441718,0.4797788772282995,0.4335378323108384
minute_bucket,holdout,v32_avg110_final60_exact,978,0.1506179275048345,0.4468030012312816,0.7658486707566462,0.47694865561833477,0.4335378323108384
minute_bucket,holdout,v34_material_antipersist3,978,0.1505130128551903,0.4462792655493671,0.7617586912065439,0.4759169380038799,0.4335378323108384
minute_bucket,holdout,v35_h150_t102_antipersist3,978,0.15033780449665934,0.4461681579662643,0.7607361963190185,0.4758217358582102,0.4335378323108384
