model,family,horizon_seconds,two_side_all_heartbeats_train_brier,two_side_all_heartbeats_train_logloss,two_side_all_heartbeats_train_brier_delta_ref,two_side_all_heartbeats_train_logloss_delta_ref,two_side_all_heartbeats_validation_brier,two_side_all_heartbeats_validation_logloss,two_side_all_heartbeats_validation_brier_delta_ref,two_side_all_heartbeats_validation_logloss_delta_ref,two_side_all_heartbeats_holdout_brier,two_side_all_heartbeats_holdout_logloss,two_side_all_heartbeats_holdout_brier_delta_ref,two_side_all_heartbeats_holdout_logloss_delta_ref,two_side_all_heartbeats_all_brier,two_side_all_heartbeats_all_logloss,two_side_all_heartbeats_all_brier_delta_ref,two_side_all_heartbeats_all_logloss_delta_ref,two_side_minute_bucket_train_brier,two_side_minute_bucket_train_logloss,two_side_minute_bucket_train_brier_delta_ref,two_side_minute_bucket_train_logloss_delta_ref,two_side_minute_bucket_validation_brier,two_side_minute_bucket_validation_logloss,two_side_minute_bucket_validation_brier_delta_ref,two_side_minute_bucket_validation_logloss_delta_ref,two_side_minute_bucket_holdout_brier,two_side_minute_bucket_holdout_logloss,two_side_minute_bucket_holdout_brier_delta_ref,two_side_minute_bucket_holdout_logloss_delta_ref,two_side_minute_bucket_all_brier,two_side_minute_bucket_all_logloss,two_side_minute_bucket_all_brier_delta_ref,two_side_minute_bucket_all_logloss_delta_ref,validation_mean_brier_delta_ref,holdout_mean_brier_delta_ref,validation_mean_logloss_delta_ref,holdout_mean_logloss_delta_ref,beats_ref_all_validation_holdout_brier
v34_h150_antipersist,v34_antipersist,150,0.14958149716510497,0.45582591068778605,2.6968307435731864e-05,0.0018648387706280412,0.13434654520825076,0.40234070141971723,6.781170220626631e-07,0.00038457028073224375,0.14692420562704187,0.4384978581479377,-8.512084378331508e-05,0.0004953474572150784,0.14599188353419176,0.4416237252664302,-7.313491222071811e-07,0.0012937552554627696,0.15239729419541473,0.4558071659807315,0.00018489364233612027,0.0012468580944473007,0.13727315657315003,0.4096429697862866,-0.00018135181075795703,-0.00022463069716893713,0.1502611609345412,0.4463377756391003,-0.0002518519206491099,5.851008973328797e-05,0.14893852705082547,0.44466092171428395,2.4258649372055352e-05,0.0007145579021285431,-9.033684686794718e-05,-0.00016848638221621248,7.996979178165331e-05,0.0002769287734741832,False
v34_h140_antipersist,v34_antipersist,140,0.1495603056472357,0.45555915176302336,5.776789566452889e-06,0.0015980798458653522,0.13436472404989327,0.40229000946779614,1.885695866457593e-05,0.00033387832881115465,0.14687309409521596,0.4382708458713364,-0.0001362323756092243,0.0002683351806138101,0.14597260939077766,0.4414082874971569,-2.00054925363069e-05,0.0010783174861894729,0.15247778540592424,0.45577574434645735,0.00026538485284563484,0.001215436460173136,0.13731249840809065,0.40990762148294724,-0.0001420099758173421,4.002099949168558e-05,0.15034126104235807,0.44656620304011985,-0.00017175181283224372,0.0002869374907528144,0.14901069013041585,0.4447407447446679,9.64217289624314e-05,0.0007943809325124951,-6.157650857638308e-05,-0.000153992094220734,0.00018694966415142011,0.00027763633568331225,False
v34_h120_antipersist,v34_antipersist,120,0.14960902681188668,0.45481819899259734,5.4497954217441746e-05,0.0008571270754393345,0.13432970131603528,0.4020369596888216,-1.6165775193421883e-05,8.082854983659793e-05,0.1469789404468211,0.43822127682923384,-3.0386024004069867e-05,0.00021876613851123938,0.1460159484583703,0.44090357512984485,2.3333575056322386e-05,0.0005736051188774405,0.15263995440214806,0.45590323286016227,0.0004275538490694508,0.0013429249738780569,0.1373813945525734,0.41035972774762014,-7.311383133459803e-05,0.000492127264164588,0.1505405074715311,0.4471542298431554,2.7494616340800748e-05,0.0008749642937883606,0.14916156222770424,0.4450252730865508,0.0002472938262508273,0.001078909274395412,-4.463980326400996e-05,-1.4457038316345594e-06,0.00028647790700059295,0.0005468652161498,False
v34_h100_antipersist,v34_antipersist,100,0.14954832340060797,0.4536139220823228,-6.205457061259079e-06,-0.000347149834835192,0.13436605510053662,0.4019717122531821,2.0188009307919863e-05,1.558111419713848e-05,0.14706124775090276,0.4380483306694691,5.1921280077582566e-05,4.5819978746475254e-05,0.14600333506052068,0.4401342400228324,1.0720177206713366e-05,-0.0001957299881349961,0.15214184412763795,0.45375824694458805,-7.055642544065432e-05,-0.0008020609416961588,0.13736199336064167,0.4095491174173792,-9.251502326632077e-05,-0.00031848306607634713,0.15062278524073014,0.4467851022246024,0.00010977238553983026,0.0005058366752353494,0.14887531635209972,0.4435024076771594,-3.895204935369656e-05,-0.00044395613499598197,-3.6163506979200455e-05,8.084683280870641e-05,-0.00015145097593960433,0.0002758283269909123,False
v34_h90_antipersist,v34_antipersist,90,0.14953526373549864,0.45302071510131664,-1.9265122170597504e-05,-0.00094035681584137,0.1343282694653328,0.4018620539003482,-1.759762589589875e-05,-9.407723863680273e-05,0.14714430267519668,0.4382309080551569,0.00013497620437150082,0.00022839736443430736,0.1460045392227,0.439793283090595,1.1924339386043536e-05,-0.0005366869203723978,0.15223000255735133,0.45398610948560464,1.7602004272726512e-05,-0.0005741984006795708,0.1374087185493183,0.4099422747379061,-4.5789834589693434e-05,7.467425445056852e-05,0.15074687692050334,0.44713081036562624,0.00023386406531303305,0.0008515448162592087,0.14896234274340164,0.4437869407919381,4.8074341948228794e-05,-0.0001594230202173197,-3.169373024279609e-05,0.00018442013484226694,-9.701492093117103e-06,0.000539971090346758,False
v34_h130_antipersist,v34_antipersist,130,0.14960737196790685,0.45527963516844877,5.284311023762145e-05,0.0013185632512907608,0.13439443176260088,0.40230758210691847,4.856467137218101e-05,0.0003514509679334865,0.14690234378104283,0.4381514062181205,-0.00010698268978234782,0.00014889552739788536,0.1460126273196299,0.4412204264126041,2.0012436315941518e-05,0.0008904564016367078,0.1525505786882608,0.4558063583651125,0.0003381781351821933,0.0012460504788283089,0.1373484851407399,0.4101097873430951,-0.00010602324316807965,0.00024218685963955933,0.15043035329940355,0.4467975686682266,-8.265955578676265e-05,0.0005183031188595866,0.14907935853841028,0.4448458379349011,0.00016509013695686914,0.0008994741227457137,-2.872928589794932e-05,-9.482112278455523e-05,0.0002968189137865229,0.00033359932312873597,False
v34_h110_antipersist,v34_antipersist,110,0.14955452885766923,0.453961071917158,0.0,0.0,0.1343458670912287,0.401956131138985,0.0,0.0,0.14700932647082518,0.4380025106907226,0.0,0.0,0.14599261488331397,0.4403299700109674,0.0,0.0,0.1522124005530786,0.4545603078862842,0.0,0.0,0.137454508383908,0.40986760048345555,0.0,0.0,0.1505130128551903,0.44627926554936703,0.0,0.0,0.14891426840145341,0.4439463638121554,0.0,0.0,0.0,0.0,0.0,0.0,False
v32_h150_settle,v32_settle,150,0.1495639662278658,0.4555784868140275,9.437370196568873e-06,0.0016174148968695068,0.13603004811074038,0.4074102643815439,0.0016841810195116769,0.0054541332425588895,0.14705672096389688,0.43894498999442005,4.739449307170074e-05,0.0009424793036974521,0.1463458090541848,0.44258249666388666,0.0003531941708708186,0.002252526652919251,0.15237231704574544,0.4557225182867327,0.00015991649266683394,0.0011622104004485045,0.13940018854276132,0.41579775162151017,0.0019456801588533246,0.005930151138054618,0.15037028682193607,0.4468520840257609,-0.00014272603325424238,0.0005728184763938438,0.1493717830014792,0.4459468127798975,0.000457514600025799,0.0020004489677420967,0.0018149305891825007,-4.766577009127082e-05,0.005692142190306754,0.000757648890045648,False
v32_h140_settle,v32_settle,140,0.14954545829802776,0.4553353541428317,-9.070559641471965e-06,0.0013742822256737064,0.13604428119986356,0.40734354375720067,0.0016984141086348603,0.005387412618215681,0.14700705755897073,0.43872257840783874,-2.268911854452771e-06,0.0007200677171161352,0.14632764067682472,0.44237891947988084,0.0003350257935107459,0.00204894946891343,0.15245826888475522,0.45573569288910654,0.00024586833167661304,0.0011753850028223267,0.13943551543537952,0.41605472478861383,0.0019810070514715283,0.006187124305158276,0.15045381784334655,0.44709929986768393,-5.919501184376008e-05,0.0008200343183168979,0.14944710167246764,0.44605559835059383,0.0005328332710142214,0.0021092345384384203,0.0018397105800531943,-3.0731961849106426e-05,0.0057872684616869785,0.0007700510177165165,False
v32_h100_settle,v32_settle,100,0.1495435858354986,0.45348260381860844,-1.0943022170639694e-05,-0.00047846809854956707,0.1360345861122569,0.4069781457345376,0.0016887190210282121,0.005022014595552626,0.14719506278476224,0.4385371214009359,0.0001857363139370627,0.0005346107102133235,0.1463621815375443,0.44115824749852933,0.0003695666542303244,0.0008282774875619237,0.1521269195329822,0.45378915325506286,-8.548102009639513e-05,-0.0007711546312213491,0.13945847351944932,0.4155976103704063,0.0020039651355413246,0.005730009886950771,0.15072660389512638,0.4472852657351248,0.00021359103993606743,0.0010060001857577494,0.14930741714851664,0.4448334780596296,0.00039314874706322667,0.0008871142474741744,0.0018463420782847684,0.00019966367693656506,0.005376012241251699,0.0007703054479855365,False
