mode,split,model,horizon_seconds,family,side_rows,opportunities,brier,logloss,ece10,side_choice_wins,side_choice_accuracy
two_side_all_heartbeats,all,v32_h90_settle,90,v32_settle,38042,19021,0.14636507140410496,0.4408385257607264,0.01638474181235842,14766,0.7762998790810157
two_side_all_heartbeats,train,v32_h90_settle,90,v32_settle,22796,11398,0.14953365060941645,0.4529264893904457,0.022509115367492526,8823,0.7740831724864011
two_side_all_heartbeats,validation,v32_h90_settle,90,v32_settle,7636,3818,0.13599565559248408,0.40686283520371036,0.01087331652781774,3000,0.785751702462022
two_side_all_heartbeats,holdout,v32_h90_settle,90,v32_settle,7610,3805,0.14727833389730557,0.43872041198809725,0.013348700378739057,2943,0.7734559789750328
two_side_all_heartbeats,all,v34_h90_antipersist,90,v34_antipersist,38042,19021,0.1460045392227,0.439793283090595,0.01734478880948354,14769,0.7764575994952947
two_side_all_heartbeats,train,v34_h90_antipersist,90,v34_antipersist,22796,11398,0.14953526373549864,0.45302071510131664,0.022353725544412662,8820,0.7738199684155115
two_side_all_heartbeats,validation,v34_h90_antipersist,90,v34_antipersist,7636,3818,0.1343282694653328,0.4018620539003482,0.009193245684921546,3020,0.7909900471451021
two_side_all_heartbeats,holdout,v34_h90_antipersist,90,v34_antipersist,7610,3805,0.14714430267519668,0.4382309080551569,0.012388997120524273,2929,0.7697766097240473
two_side_all_heartbeats,all,v32_h100_settle,100,v32_settle,38042,19021,0.1463621815375443,0.44115824749852933,0.01614468434272515,14764,0.776194732138163
two_side_all_heartbeats,train,v32_h100_settle,100,v32_settle,22796,11398,0.1495435858354986,0.45348260381860844,0.022827939116242767,8821,0.773907703105808
two_side_all_heartbeats,validation,v32_h100_settle,100,v32_settle,7636,3818,0.1360345861122569,0.4069781457345376,0.011902241900882056,3000,0.785751702462022
two_side_all_heartbeats,holdout,v32_h100_settle,100,v32_settle,7610,3805,0.14719506278476224,0.4385371214009359,0.012124608441183023,2943,0.7734559789750328
two_side_all_heartbeats,all,v34_h100_antipersist,100,v34_antipersist,38042,19021,0.14600333506052068,0.4401342400228324,0.016614643428922472,14769,0.7764575994952947
two_side_all_heartbeats,train,v34_h100_antipersist,100,v34_antipersist,22796,11398,0.14954832340060797,0.4536139220823228,0.02169879645982626,8820,0.7738199684155115
two_side_all_heartbeats,validation,v34_h100_antipersist,100,v34_antipersist,7636,3818,0.13436605510053662,0.4019717122531821,0.008699148648383549,3020,0.7909900471451021
two_side_all_heartbeats,holdout,v34_h100_antipersist,100,v34_antipersist,7610,3805,0.14706124775090276,0.4380483306694691,0.01118769676429958,2929,0.7697766097240473
two_side_all_heartbeats,all,v32_h110_settle,110,v32_settle,38042,19021,0.14634996798161448,0.4413355875948192,0.015146367349109959,14763,0.7761421586667367
two_side_all_heartbeats,train,v32_h110_settle,110,v32_settle,22796,11398,0.14954655877638046,0.4538001002532664,0.022356858014902156,8821,0.773907703105808
two_side_all_heartbeats,validation,v32_h110_settle,110,v32_settle,7636,3818,0.13601740650460276,0.40697079771709804,0.012900000853291495,3000,0.785751702462022
two_side_all_heartbeats,holdout,v32_h110_settle,110,v32_settle,7610,3805,0.14714234060723552,0.43847993778461114,0.011437588247128674,2942,0.7731931668856767
two_side_all_heartbeats,all,v34_h110_antipersist,110,v34_antipersist,38042,19021,0.14599261488331397,0.4403299700109674,0.01699718435756122,14768,0.7764050260238684
two_side_all_heartbeats,train,v34_h110_antipersist,110,v34_antipersist,22796,11398,0.14955452885766923,0.453961071917158,0.022654240384018632,8819,0.7737322337252149
two_side_all_heartbeats,validation,v34_h110_antipersist,110,v34_antipersist,7636,3818,0.1343458670912287,0.401956131138985,0.010299188715663567,3020,0.7909900471451021
two_side_all_heartbeats,holdout,v34_h110_antipersist,110,v34_antipersist,7610,3805,0.14700932647082518,0.4380025106907226,0.010774877522259902,2929,0.7697766097240473
two_side_all_heartbeats,all,v32_h120_settle,120,v32_settle,38042,19021,0.14637234680071226,0.44190117336971924,0.014876943396419104,14762,0.7760895851953105
two_side_all_heartbeats,train,v32_h120_settle,120,v32_settle,22796,11398,0.14959820990408573,0.45464331504240524,0.022168819999697872,8820,0.7738199684155115
two_side_all_heartbeats,validation,v32_h120_settle,120,v32_settle,7636,3818,0.13600421931589632,0.40706417084335267,0.013875778816997784,3000,0.785751702462022
two_side_all_heartbeats,holdout,v32_h120_settle,120,v32_settle,7610,3805,0.14711272080459595,0.43868770289938863,0.011359436356604129,2942,0.7731931668856767
two_side_all_heartbeats,all,v34_h120_antipersist,120,v34_antipersist,38042,19021,0.1460159484583703,0.44090357512984485,0.016251760549480854,14767,0.776352452552442
two_side_all_heartbeats,train,v34_h120_antipersist,120,v34_antipersist,22796,11398,0.14960902681188668,0.45481819899259734,0.021981057094857218,8818,0.7736444990349184
two_side_all_heartbeats,validation,v34_h120_antipersist,120,v34_antipersist,7636,3818,0.13432970131603528,0.4020369596888216,0.009949622398326306,3020,0.7909900471451021
two_side_all_heartbeats,holdout,v34_h120_antipersist,120,v34_antipersist,7610,3805,0.1469789404468211,0.43822127682923384,0.009933481985646348,2929,0.7697766097240473
two_side_all_heartbeats,all,v32_h130_settle,130,v32_settle,38042,19021,0.14636790465529348,0.44220054455568486,0.014700731948460876,14762,0.7760895851953105
two_side_all_heartbeats,train,v32_h130_settle,130,v32_settle,22796,11398,0.14959393598146192,0.4550752820423313,0.021684300578397868,8820,0.7738199684155115
two_side_all_heartbeats,validation,v32_h130_settle,130,v32_settle,7636,3818,0.13607177456697184,0.407341974450727,0.014860576182721675,3000,0.785751702462022
two_side_all_heartbeats,holdout,v32_h130_settle,130,v32_settle,7610,3805,0.1470355313626638,0.43861152032123896,0.009782291138101716,2942,0.7731931668856767
two_side_all_heartbeats,all,v34_h130_antipersist,130,v34_antipersist,38042,19021,0.1460126273196299,0.4412204264126041,0.01659121441871223,14767,0.776352452552442
two_side_all_heartbeats,train,v34_h130_antipersist,130,v34_antipersist,22796,11398,0.14960737196790685,0.45527963516844877,0.02252309744685708,8818,0.7736444990349184
two_side_all_heartbeats,validation,v34_h130_antipersist,130,v34_antipersist,7636,3818,0.13439443176260088,0.40230758210691847,0.010886822810328102,3020,0.7909900471451021
two_side_all_heartbeats,holdout,v34_h130_antipersist,130,v34_antipersist,7610,3805,0.14690234378104283,0.4381514062181205,0.009203703419728709,2929,0.7697766097240473
two_side_all_heartbeats,all,v32_h140_settle,140,v32_settle,38042,19021,0.14632764067682472,0.44237891947988084,0.01442943676206255,14763,0.7761421586667367
two_side_all_heartbeats,train,v32_h140_settle,140,v32_settle,22796,11398,0.14954545829802776,0.4553353541428317,0.02180926006449449,8821,0.773907703105808
two_side_all_heartbeats,validation,v32_h140_settle,140,v32_settle,7636,3818,0.13604428119986356,0.40734354375720067,0.015779216110155564,3000,0.785751702462022
two_side_all_heartbeats,holdout,v32_h140_settle,140,v32_settle,7610,3805,0.14700705755897073,0.43872257840783874,0.009358774289761037,2942,0.7731931668856767
two_side_all_heartbeats,all,v34_h140_antipersist,140,v34_antipersist,38042,19021,0.14597260939077766,0.4414082874971569,0.015881550918160788,14768,0.7764050260238684
two_side_all_heartbeats,train,v34_h140_antipersist,140,v34_antipersist,22796,11398,0.1495603056472357,0.45555915176302336,0.021505068935474526,8819,0.7737322337252149
two_side_all_heartbeats,validation,v34_h140_antipersist,140,v34_antipersist,7636,3818,0.13436472404989327,0.40229000946779614,0.010963014385324689,3020,0.7909900471451021
two_side_all_heartbeats,holdout,v34_h140_antipersist,140,v34_antipersist,7610,3805,0.14687309409521596,0.4382708458713364,0.009448991559498325,2929,0.7697766097240473
two_side_all_heartbeats,all,v32_h150_settle,150,v32_settle,38042,19021,0.1463458090541848,0.44258249666388666,0.015461305202063192,14763,0.7761421586667367
two_side_all_heartbeats,train,v32_h150_settle,150,v32_settle,22796,11398,0.1495639662278658,0.4555784868140275,0.021436256538655864,8821,0.773907703105808
two_side_all_heartbeats,validation,v32_h150_settle,150,v32_settle,7636,3818,0.13603004811074038,0.4074102643815439,0.016685879434552648,3000,0.785751702462022
two_side_all_heartbeats,holdout,v32_h150_settle,150,v32_settle,7610,3805,0.14705672096389688,0.43894498999442005,0.008304074688135167,2942,0.7731931668856767
two_side_all_heartbeats,all,v34_h150_antipersist,150,v34_antipersist,38042,19021,0.14599188353419176,0.4416237252664302,0.016228986015407718,14767,0.776352452552442
two_side_all_heartbeats,train,v34_h150_antipersist,150,v34_antipersist,22796,11398,0.14958149716510497,0.45582591068778605,0.021679820423283924,8819,0.7737322337252149
two_side_all_heartbeats,validation,v34_h150_antipersist,150,v34_antipersist,7636,3818,0.13434654520825076,0.40234070141971723,0.011866752061590123,3020,0.7909900471451021
two_side_all_heartbeats,holdout,v34_h150_antipersist,150,v34_antipersist,7610,3805,0.14692420562704187,0.4384978581479377,0.009810459434842857,2928,0.7695137976346912
two_side_minute_bucket,all,v32_h90_settle,90,v32_settle,9796,4898,0.14939803747129013,0.445146968412642,0.01609347317123138,3759,0.7674561045324623
two_side_minute_bucket,train,v32_h90_settle,90,v32_settle,5876,2938,0.15222067041170692,0.4540597151956917,0.020184557889878593,2248,0.765146358066712
two_side_minute_bucket,validation,v32_h90_settle,90,v32_settle,1964,982,0.13950419717322157,0.4159845736695305,0.01595885165398997,762,0.7759674134419552
two_side_minute_bucket,holdout,v32_h90_settle,90,v32_settle,1956,978,0.15085290004159574,0.447653943452658,0.01604212575221729,749,0.7658486707566462
two_side_minute_bucket,all,v34_h90_antipersist,90,v34_antipersist,9796,4898,0.14896234274340164,0.4437869407919381,0.015008829175698067,3759,0.7674561045324623
two_side_minute_bucket,train,v34_h90_antipersist,90,v34_antipersist,5876,2938,0.15223000255735133,0.45398610948560464,0.019989699551656862,2247,0.7648059904697073
two_side_minute_bucket,validation,v34_h90_antipersist,90,v34_antipersist,1964,982,0.1374087185493183,0.4099422747379061,0.013892532379616171,768,0.7820773930753564
two_side_minute_bucket,holdout,v34_h90_antipersist,90,v34_antipersist,1956,978,0.15074687692050334,0.44713081036562624,0.014333268531637121,744,0.7607361963190185
two_side_minute_bucket,all,v32_h100_settle,100,v32_settle,9796,4898,0.14930741714851664,0.4448334780596296,0.015301565224157414,3759,0.7674561045324623
two_side_minute_bucket,train,v32_h100_settle,100,v32_settle,5876,2938,0.1521269195329822,0.45378915325506286,0.02025587360433948,2248,0.765146358066712
two_side_minute_bucket,validation,v32_h100_settle,100,v32_settle,1964,982,0.13945847351944932,0.4155976103704063,0.01603333748692134,762,0.7759674134419552
two_side_minute_bucket,holdout,v32_h100_settle,100,v32_settle,1956,978,0.15072660389512638,0.4472852657351248,0.014731896329641206,749,0.7658486707566462
two_side_minute_bucket,all,v34_h100_antipersist,100,v34_antipersist,9796,4898,0.14887531635209972,0.4435024076771594,0.014856752977612447,3759,0.7674561045324623
