model,horizon_seconds,posterior_temperature,two_side_all_heartbeats_train_brier,two_side_all_heartbeats_train_logloss,two_side_all_heartbeats_train_brier_delta_ref,two_side_all_heartbeats_train_logloss_delta_ref,two_side_all_heartbeats_validation_brier,two_side_all_heartbeats_validation_logloss,two_side_all_heartbeats_validation_brier_delta_ref,two_side_all_heartbeats_validation_logloss_delta_ref,two_side_all_heartbeats_holdout_brier,two_side_all_heartbeats_holdout_logloss,two_side_all_heartbeats_holdout_brier_delta_ref,two_side_all_heartbeats_holdout_logloss_delta_ref,two_side_all_heartbeats_all_brier,two_side_all_heartbeats_all_logloss,two_side_all_heartbeats_all_brier_delta_ref,two_side_all_heartbeats_all_logloss_delta_ref,two_side_minute_bucket_train_brier,two_side_minute_bucket_train_logloss,two_side_minute_bucket_train_brier_delta_ref,two_side_minute_bucket_train_logloss_delta_ref,two_side_minute_bucket_validation_brier,two_side_minute_bucket_validation_logloss,two_side_minute_bucket_validation_brier_delta_ref,two_side_minute_bucket_validation_logloss_delta_ref,two_side_minute_bucket_holdout_brier,two_side_minute_bucket_holdout_logloss,two_side_minute_bucket_holdout_brier_delta_ref,two_side_minute_bucket_holdout_logloss_delta_ref,two_side_minute_bucket_all_brier,two_side_minute_bucket_all_logloss,two_side_minute_bucket_all_brier_delta_ref,two_side_minute_bucket_all_logloss_delta_ref,validation_mean_brier_delta_ref,holdout_mean_brier_delta_ref,validation_mean_logloss_delta_ref,holdout_mean_logloss_delta_ref,beats_ref_all_validation_holdout_brier,beats_ref_all_validation_holdout_logloss
v34_h150_t102,150,1.02,0.14969618587429717,0.4553689386501138,0.0001416570166279385,0.001407866732955787,0.13419778430491588,0.40150876612356073,-0.00014808278631281424,-0.00044736501542425033,0.14694220922649162,0.4379998930478279,-6.711724433355881e-05,-2.617642894719996e-06,0.14603435009611523,0.44108328819939735,4.17352128012638e-05,0.0007533181884299411,0.15254502641913903,0.4557992512868646,0.0003326258660604209,0.0012389434005803945,0.13718678034189316,0.4091543677366657,-0.0002677280420148309,-0.0007132327467898603,0.15033780449665932,0.44616815796626436,-0.0001752083585309927,-0.00011110758310267643,0.14902512836114787,0.4445243462411638,0.00011085995969445372,0.0005779824290084168,-0.00020790541416382258,-0.00012116280143227576,-0.0005802988811070553,-5.6862612998698214e-05,True,True
v34_h140_t102,140,1.02,0.14968767746594053,0.455174783281931,0.00013314860827129404,0.0012137113647729958,0.13422775596669698,0.40152072054686594,-0.00011811112453172234,-0.0004354105921190454,0.14690517491669033,0.43783577903174,-0.00010415155413484589,-0.00016673165898262177,0.14602785923955872,0.4409365138589535,3.5244356244745756e-05,0.0006065438479860852,0.15264373800907136,0.4558751680178095,0.0004313374559927474,0.001314860131525264,0.137244039901529,0.4095049888004241,-0.0002104684823789893,-0.0003626116830314774,0.15043638264056594,0.44648394958448945,-7.663021462436803e-05,0.0002046840351224155,0.14911550258808223,0.44470323506165194,0.0002012341866288181,0.0007568712494965268,-0.00016428980345535582,-9.039088437960696e-05,-0.0003990111375752614,1.897618806989687e-05,True,False
v34_h150_t100,150,1.0,0.1496334053778775,0.4555613710023321,7.887652020827085e-05,0.0016002990851741172,0.13426496894403622,0.4018827026430006,-8.089814719247634e-05,-7.34284959844067e-05,0.14692739617360978,0.4382143994233094,-8.193029721539902e-05,0.00021188873258681795,0.14600725242447626,0.44131656880191633,1.4637541162293433e-05,0.0009865987909489227,0.15246586351934424,0.45577221078913166,0.0002534629662656329,0.0012119029028474504,0.13722304417113296,0.4093603154807943,-0.00023146421277503437,-0.0005072850026612286,0.15029402752011561,0.4462224785886922,-0.0002189853350746951,-5.678696067484834e-05,0.14897617299113086,0.4445602632013781,6.190458967744727e-05,0.0006138993892226829,-0.00015618117998375536,-0.00015045781614504705,-0.00029035674932281763,7.75508859559848e-05,True,False
v34_h140_t100,140,1.0,0.14961858852733745,0.45533168006008085,6.405966966821497e-05,0.0013706081429228356,0.13428909295543046,0.4018639179758859,-5.67741357982432e-05,-9.221316309909744e-05,0.14688340051013762,0.4380194785266756,-0.00012592596068755624,1.696783595300788e-05,0.1459944150086483,0.4411361676016368,1.8001253343224999e-06,0.0008061975906694108,0.1525555160511858,0.4557954597506838,0.0003431154981071993,0.0012351518643995973,0.13727139215550727,0.4096685781752632,-0.00018311622840072594,-0.00019902230819235367,0.1503834417611856,0.4464954313369375,-0.00012957109400471567,0.0002161657875704437,0.1490574967941061,0.44469051375319363,0.0001432283926526834,0.0007441499410382191,-0.00011994518209948457,-0.00012774852734613595,-0.00014561773564572555,0.00011656681176172579,True,False
v34_h130_t102,130,1.02,0.14974456765332037,0.4549610690467996,0.0001900387956511318,0.0009999971296416055,0.13427021692587027,0.401600516704458,-7.565016535843183e-05,-0.00035561443452697405,0.14694597996542744,0.43778072073383434,-6.334650539774334e-05,-0.00022178995688826308,0.14607863540844168,0.4408134525085581,8.60205251277113e-05,0.0004834824975906704,0.1527356912045793,0.4560116394168451,0.0005232906515006963,0.0014513315305608732,0.13729733435781274,0.40979906256742615,-0.000157174026095247,-6.853791602939863e-05,0.15054349717053753,0.44680273526464176,3.048431534721785e-05,0.000523469715274727,0.14920273240735235,0.4449077074595188,0.0002884640058989363,0.0009613436473633885,-0.00011641209572683942,-1.6431095025262743e-05,-0.00021207617527818634,0.00015083987919323194,False,False
v34_h120_t102,120,1.02,0.1497580983417519,0.4545817707231,0.0002035694840826774,0.0006206988059420104,0.134219569784257,0.4014061064827966,-0.0001262973069716955,-0.0005500246561883637,0.14703495690085047,0.43790927470278307,2.563043002529186e-05,-9.32359879395328e-05,0.14609437639153136,0.4405728577623312,0.0001017615082173906,0.00024288775136377394,0.15284381202199082,0.456211462036388,0.000631411468912213,0.0016511541501038063,0.1373482939554069,0.41013849717623646,-0.00010621442850108909,0.00027089669278090867,0.15067203035640478,0.4472422436698274,0.00015901750121447011,0.0009629781204603671,0.14930346877774245,0.4451833797466442,0.0003892003762890339,0.0012370159344887721,-0.00011625586773639229,9.232396561988099e-05,-0.00013956398170372752,0.00043487106626041716,False,False
v34_h150_t098,150,0.98,0.14958149716510497,0.45582591068778605,2.6968307435731864e-05,0.0018648387706280412,0.13434654520825076,0.40234070141971723,6.781170220626631e-07,0.00038457028073224375,0.14692420562704187,0.4384978581479377,-8.512084378331508e-05,0.0004953474572150784,0.14599188353419176,0.4416237252664302,-7.313491222071811e-07,0.0012937552554627696,0.15239729419541473,0.4558071659807315,0.00018489364233612027,0.0012468580944473007,0.13727315657315003,0.4096429697862866,-0.00018135181075795703,-0.00022463069716893713,0.1502611609345412,0.4463377756391003,-0.0002518519206491099,5.851008973328797e-05,0.14893852705082547,0.44466092171428395,2.4258649372055352e-05,0.0007145579021285431,-9.033684686794718e-05,-0.00016848638221621248,7.996979178165331e-05,0.0002769287734741832,False,False
v34_h120_t100,120,1.0,0.14967826382809088,0.45466625243764186,0.00012373497042164616,0.0007051805204838502,0.13426758552079082,0.4016814143159652,-7.828157043787698e-05,-0.00027471682301977163,0.14700134782856125,0.4380327373534327,-7.978642263928304e-06,3.022666271007557e-05,0.14604945171750353,0.4407034409743131,5.683683418955532e-05,0.00037347096334566787,0.1527367562863673,0.45602927523838394,0.0005243557332886839,0.001468967352099726,0.13735803234156638,0.4102127081688063,-9.647604234161444e-05,0.0003451076853507318,0.15060104394698423,0.44717019410816117,8.803109179392199e-05,0.0008909285587941351,0.1492270311778105,0.44507458961002894,0.00031276277635708394,0.0011282257978735277,-8.737880638974571e-05,4.002622476499684e-05,3.519543116548007e-05,0.00046057761075210535,False,False
v34_h130_t100,130,1.0,0.1496706223150965,0.45508577835496034,0.00011609345742727428,0.0011247064378023253,0.1343252326127544,0.4019131907548592,-2.0634478474307327e-05,-4.294038412577805e-05,0.14691848563433724,0.4379328882107311,-9.084083648794317e-05,-6.962247999148241e-05,0.14603986799335575,0.44098138392480535,4.7253110041778346e-05,0.0006514139138379393,0.1526379475526071,0.45587998412083647,0.0004255469995284866,0.0013196762345522584,0.13731606174879074,0.40991736613611685,-0.00013844663511725086,4.976565266129329e-05,0.1504816195089124,0.4467713336973613,-3.139334627791368e-05,0.0004920681479942401,0.14913550151624919,0.44484618441174023,0.00022123311479577135,0.0008998205995848219,-7.95405567957791e-05,-6.111709138292842e-05,3.4126342677576194e-06,0.00021122283400137887,True,False
v34_h110_t102,110,1.02,0.14971658371741872,0.45377921589925674,0.00016205485974948863,-0.00018185601790127182,0.13424728700601848,0.40139276823931946,-9.858008521021477e-05,-0.0005633628996655204,0.14707575459447061,0.4377587244578221,6.642812364543449e-05,-0.00024378623290050028,0.14608322429063023,0.4400591471804565,9.060940731625555e-05,-0.0002708228305108862,0.15241029862739147,0.4548539452969956,0.00019789807431286333,0.00029363741071136706,0.1374131973541894,0.40961572268264007,-4.1311029718604786e-05,-0.00025187780081548095,0.15062809779684933,0.44632264499372437,0.00011508494165901606,4.337944435733876e-05,0.14904767186900952,0.44408066103731886,0.0001334034675561091,0.00013429722516344889,-6.994555746440978e-05,9.075653265222527e-05,-0.0004076203502405007,-0.00010020339427158076,False,False
