mode,split,model,family,blend_start_seconds,blend_end_seconds,posterior_temperature,side_rows,opportunities,brier,logloss,ece10,side_choice_wins,side_choice_accuracy
two_side_all_heartbeats,all,v34_h110_t098,v34_ref,0,0,0.98,38042,19021,0.14599261488331397,0.4403299700109674,0.01699718435756122,14768,0.7764050260238684
two_side_all_heartbeats,train,v34_h110_t098,v34_ref,0,0,0.98,22796,11398,0.14955452885766923,0.453961071917158,0.022654240384018632,8819,0.7737322337252149
two_side_all_heartbeats,validation,v34_h110_t098,v34_ref,0,0,0.98,7636,3818,0.1343458670912287,0.401956131138985,0.010299188715663567,3020,0.7909900471451021
two_side_all_heartbeats,holdout,v34_h110_t098,v34_ref,0,0,0.98,7610,3805,0.14700932647082518,0.4380025106907226,0.010774877522259902,2929,0.7697766097240473
two_side_all_heartbeats,all,v35_h150_t102,v35_ref,0,0,1.02,38042,19021,0.14603435009611523,0.44108328819939735,0.017141307930007805,14767,0.776352452552442
two_side_all_heartbeats,train,v35_h150_t102,v35_ref,0,0,1.02,22796,11398,0.14969618587429717,0.4553689386501138,0.02262325946827464,8819,0.7737322337252149
two_side_all_heartbeats,validation,v35_h150_t102,v35_ref,0,0,1.02,7636,3818,0.13419778430491588,0.40150876612356073,0.00939626406979691,3020,0.7909900471451021
two_side_all_heartbeats,holdout,v35_h150_t102,v35_ref,0,0,1.02,7610,3805,0.14694220922649162,0.4379998930478279,0.010787969546678093,2928,0.7695137976346912
two_side_all_heartbeats,all,v36_s120_e300_t100,v36_piecewise,120,300,1.0,38042,19021,0.14596615092082943,0.4402839708052959,0.016700813292131154,14767,0.776352452552442
two_side_all_heartbeats,train,v36_s120_e300_t100,v36_piecewise,120,300,1.0,22796,11398,0.14954811235885604,0.4538612397218461,0.022675051145424736,8819,0.7737322337252149
two_side_all_heartbeats,validation,v36_s120_e300_t100,v36_piecewise,120,300,1.0,7636,3818,0.13434750564405243,0.40205721764203817,0.009582589929876296,3020,0.7909900471451021
two_side_all_heartbeats,holdout,v36_s120_e300_t100,v36_piecewise,120,300,1.0,7610,3805,0.1468946111563373,0.43797018170318813,0.009459933361725783,2928,0.7695137976346912
two_side_all_heartbeats,all,v36_s120_e300_t102,v36_piecewise,120,300,1.02,38042,19021,0.14599471150064283,0.4400737854197958,0.01706427646854569,14767,0.776352452552442
two_side_all_heartbeats,train,v36_s120_e300_t102,v36_piecewise,120,300,1.02,22796,11398,0.1496116940165842,0.45369619683214,0.023567906439107486,8819,0.7737322337252149
two_side_all_heartbeats,validation,v36_s120_e300_t102,v36_piecewise,120,300,1.02,7636,3818,0.1342815563297668,0.4016905454071962,0.00916268806095142,3020,0.7909900471451021
