market,first_seen_dt,last_seen_dt,close_time,opportunity_rows,max_selected_p_side,max_selected_edge_cents,min_seconds_to_close,max_seconds_to_close,first_eligible_dt,selected_side,selected_ask_cents,selected_edge_cents,selected_p_side,first_eligible_stc,edge_hole_blocked,registered_entry_dt,status,fee_net_cents,fee_net_1c_entry_cents,outcome,win,classification
KXBTC15M-26MAY042300-00,2026-05-05 02:46:23.684000+00:00,2026-05-05 02:59:55.163000+00:00,2026-05-05 03:00:00+00:00,55,0.999916627194781,17.520999200111177,4.837,816.316,2026-05-05 02:50:09.031000+00:00,no,95.0,3.9149465926155926,0.9891494659261559,590.969,False,2026-05-05 02:50:09.031000+00:00,settled,9.0,7.0,no,True,registered
KXBTC15M-26MAY042315-15,2026-05-05 03:00:40.317000+00:00,2026-05-05 03:14:56.674000+00:00,2026-05-05 03:15:00+00:00,58,0.8314280714272575,36.8389507735998,3.326,859.683,2026-05-05 03:05:10.692000+00:00,no,74.0,1.0162800223429542,0.7501628002234295,589.308,False,2026-05-05 03:05:10.692000+00:00,exited,-129.0,-131.0,,,registered
KXBTC15M-26MAY042330-30,2026-05-05 03:15:26.720000+00:00,2026-05-05 03:29:57.810000+00:00,2026-05-05 03:30:00+00:00,59,0.9957983669514201,22.45965385147774,2.19,873.28,2026-05-05 03:21:12.092000+00:00,yes,95.0,0.5347460868516691,0.9553474608685167,527.908,False,2026-05-05 03:21:12.092000+00:00,settled,9.0,7.0,yes,True,registered
KXBTC15M-26MAY042345-45,2026-05-05 03:30:42.903000+00:00,2026-05-05 03:44:59.214000+00:00,2026-05-05 03:45:00+00:00,58,0.9995235185474144,23.26573967140834,0.786,857.097,2026-05-05 03:39:13.659000+00:00,yes,99.0,0.05286247718801462,0.9905286247718801,346.341,False,2026-05-05 03:39:13.659000+00:00,settled,1.0,-1.0,yes,True,registered
KXBTC15M-26MAY050000-00,2026-05-05 03:45:44.290000+00:00,2026-05-05 03:59:45.761000+00:00,2026-05-05 04:00:00+00:00,57,0.999999,20.382244940093358,14.239,855.71,2026-05-05 03:51:14.776000+00:00,no,79.0,0.014964375397482854,0.7901496437539749,525.224,False,2026-05-05 03:51:14.776000+00:00,settled,39.0,37.0,no,True,registered
KXBTC15M-26MAY050015-15,2026-05-05 04:00:45.936000+00:00,2026-05-05 04:14:46.971000+00:00,2026-05-05 04:15:00+00:00,57,0.9938622399600315,32.81729760073499,13.029,854.064,2026-05-05 04:06:16.314000+00:00,yes,81.0,2.9938015006976713,0.8399380150069767,523.686,False,2026-05-05 04:06:16.314000+00:00,exited,-114.0,-116.0,,,registered
KXBTC15M-26MAY050030-30,2026-05-05 04:15:17.012000+00:00,2026-05-05 04:29:48.379000+00:00,2026-05-05 04:30:00+00:00,59,0.999999,69.9999,11.621,882.988,2026-05-05 04:23:02.754000+00:00,yes,83.0,1.0787841213020357,0.8407878412130203,417.246,False,2026-05-05 04:23:02.754000+00:00,settled,-168.0,-170.0,no,False,registered
KXBTC15M-26MAY050045-45,2026-05-05 04:30:18.381000+00:00,2026-05-05 04:44:49.759000+00:00,2026-05-05 04:45:00+00:00,59,0.999999,26.910729561068017,10.241,881.619,2026-05-05 04:35:03.884000+00:00,no,69.0,2.065131232291918,0.7106513123229192,596.116,False,2026-05-05 04:35:03.884000+00:00,exited,-59.0,-61.0,,,registered
KXBTC15M-26MAY050100-00,2026-05-05 04:45:19.769000+00:00,2026-05-05 04:59:50.912000+00:00,2026-05-05 05:00:00+00:00,59,0.9993854587379157,22.501941412570133,9.088,880.231,2026-05-05 04:50:05.176000+00:00,yes,95.0,1.3431627680241007,0.963431627680241,594.824,False,2026-05-05 04:50:05.176000+00:00,settled,9.0,7.0,yes,True,registered
KXBTC15M-26MAY050115-15,2026-05-05 05:00:35.964000+00:00,2026-05-05 05:14:52.644000+00:00,2026-05-05 05:15:00+00:00,58,0.999999,98.9999,7.356,864.036,2026-05-05 05:05:21.396000+00:00,no,69.0,6.843344379469102,0.758433443794691,578.604,False,2026-05-05 05:05:21.396000+00:00,exited,-109.0,-111.0,,,registered
KXBTC15M-26MAY050130-30,2026-05-05 05:15:07.660000+00:00,2026-05-05 05:29:53.854000+00:00,2026-05-05 05:30:00+00:00,60,0.999999,21.42029949775089,6.146,892.34,2026-05-05 05:24:08.368000+00:00,yes,73.0,4.289778778097599,0.772897787780976,351.632,False,2026-05-05 05:24:08.368000+00:00,settled,51.0,49.0,yes,True,registered
KXBTC15M-26MAY050145-45,2026-05-05 05:30:23.924000+00:00,2026-05-05 05:44:55.016000+00:00,2026-05-05 05:45:00+00:00,59,0.999999,25.396448922592597,4.984,876.076,2026-05-05 05:35:09.349000+00:00,yes,81.0,0.6616182298801192,0.8166161822988012,590.651,False,2026-05-05 05:35:09.349000+00:00,settled,35.0,33.0,yes,True,registered
KXBTC15M-26MAY050200-00,2026-05-05 05:45:25.052000+00:00,2026-05-05 05:59:56.230000+00:00,2026-05-05 06:00:00+00:00,59,0.999999,20.84777031898185,3.77,874.948,2026-05-05 05:50:10.436000+00:00,no,81.0,11.942302125385993,0.9294230212538599,589.564,True,,,,,,,edge_hole_blocked
KXBTC15M-26MAY050215-15,2026-05-05 06:00:41.287000+00:00,2026-05-05 06:14:57.429000+00:00,2026-05-05 06:15:00+00:00,58,0.999999,39.9999,2.5709999999999997,858.713,2026-05-05 06:06:11.773000+00:00,no,81.0,7.061054890532546,0.8806105489053254,528.227,False,2026-05-05 06:06:11.773000+00:00,settled,35.0,33.0,no,True,registered
KXBTC15M-26MAY050230-30,2026-05-05 06:15:42.468000+00:00,2026-05-05 06:29:58.775000+00:00,2026-05-05 06:30:00+00:00,58,0.999999,11.690988443678087,1.225,857.532,2026-05-05 06:23:13.159000+00:00,no,95.0,1.611938877132303,0.966119388771323,406.841,False,2026-05-05 06:23:13.159000+00:00,settled,9.0,7.0,no,True,registered
KXBTC15M-26MAY050245-45,2026-05-05 06:30:28.809000+00:00,2026-05-05 06:44:44.996000+00:00,2026-05-05 06:45:00+00:00,58,0.9999812962477675,34.28976253441704,15.004,871.191,2026-05-05 06:36:29.305000+00:00,yes,68.0,3.7843950476357833,0.7178439504763579,510.695,False,2026-05-05 06:36:29.305000+00:00,exited,-40.0,-42.0,,,registered
KXBTC15M-26MAY050300-00,2026-05-05 06:45:30.009000+00:00,2026-05-05 06:59:46.467000+00:00,2026-05-05 07:00:00+00:00,58,0.9302230530901213,24.383758215697,13.533,869.991,2026-05-05 06:53:15.843000+00:00,yes,83.0,1.6461380473907354,0.8464613804739073,404.157,False,2026-05-05 06:53:15.843000+00:00,settled,32.0,30.0,yes,True,registered
KXBTC15M-26MAY050315-15,2026-05-05 07:00:46.613000+00:00,2026-05-05 07:14:47.814000+00:00,2026-05-05 07:15:00+00:00,57,0.999999,44.62953595541789,12.186,853.387,2026-05-05 07:06:02.008000+00:00,no,76.0,5.17472350238009,0.8117472350238009,537.992,False,2026-05-05 07:06:02.008000+00:00,exited,-131.0,-133.0,,,registered
KXBTC15M-26MAY050330-30,2026-05-05 07:15:32.903000+00:00,2026-05-05 07:17:48.120000+00:00,2026-05-05 07:30:00+00:00,10,0.6585578798345666,17.732226614561768,731.88,867.097,,,,,,,,,,,,,,no_entry_filters
