market,first_seen_dt,last_seen_dt,close_time,opportunity_rows,max_selected_p_side,max_selected_edge_cents,min_seconds_to_close,max_seconds_to_close,first_eligible_dt,selected_side,selected_ask_cents,selected_edge_cents,selected_p_side,first_eligible_stc,edge_hole_blocked,registered_entry_dt,status,fee_net_cents,fee_net_1c_entry_cents,outcome,win,classification
KXBTC15M-26MAY042100-00,2026-05-05 00:51:32.916000+00:00,2026-05-05 00:59:48.921000+00:00,2026-05-05 01:00:00+00:00,34,0.3026499224285514,21.740514656357185,11.079,507.084,,,,,,,,,,,,,,no_entry_filters
KXBTC15M-26MAY042115-15,2026-05-05 01:00:18.965000+00:00,2026-05-05 01:14:50.216000+00:00,2026-05-05 01:15:00+00:00,58,0.999999,30.63853301448909,9.784,881.035,2026-05-05 01:05:04.463000+00:00,no,70.0,1.2565241988330769,0.7125652419883308,595.537,False,2026-05-05 01:05:04.463000+00:00,exited,-51.0,-53.0,,,registered
KXBTC15M-26MAY042130-30,2026-05-05 01:15:35.987000+00:00,2026-05-05 01:29:46.601000+00:00,2026-05-05 01:30:00+00:00,56,0.9980903650121192,34.15746045215033,13.399000000000001,864.013,2026-05-05 01:25:31.269000+00:00,yes,72.0,0.6021044810997296,0.7260210448109973,268.731,False,2026-05-05 01:25:31.269000+00:00,settled,53.0,51.0,yes,True,registered
KXBTC15M-26MAY042145-45,2026-05-05 01:30:46.697000+00:00,2026-05-05 01:44:48.114000+00:00,2026-05-05 01:45:00+00:00,57,0.997895154791275,26.997203206167164,11.886,853.303,2026-05-05 01:35:32.116000+00:00,no,58.0,14.862179397248084,0.7286217939724808,567.884,True,,,,,,,edge_hole_blocked
KXBTC15M-26MAY042200-00,2026-05-05 01:45:48.348000+00:00,2026-05-05 01:59:49.653000+00:00,2026-05-05 02:00:00+00:00,57,0.9926826852327951,22.72378832099836,10.347,851.652,2026-05-05 01:52:33.922000+00:00,yes,93.0,1.7246611302572745,0.9472466113025727,446.078,False,2026-05-05 01:52:33.922000+00:00,settled,13.0,11.0,yes,True,registered
KXBTC15M-26MAY042215-15,2026-05-05 02:00:19.740000+00:00,2026-05-05 02:14:50.931000+00:00,2026-05-05 02:15:00+00:00,59,0.98590738415475,22.283472579894422,9.069,880.26,2026-05-05 02:05:20.208000+00:00,yes,93.0,1.6404812238563835,0.9464048122385639,579.792,False,2026-05-05 02:05:20.208000+00:00,settled,13.0,11.0,yes,True,registered
KXBTC15M-26MAY042230-30,2026-05-05 02:15:20.996000+00:00,2026-05-05 02:29:52.340000+00:00,2026-05-05 02:30:00+00:00,59,0.9965547416161007,28.443397083767834,7.66,879.004,2026-05-05 02:22:06.525000+00:00,no,65.0,2.1569308452971256,0.6715693084529712,473.475,False,2026-05-05 02:22:06.525000+00:00,exited,-72.0,-74.0,,,registered
KXBTC15M-26MAY042245-45,2026-05-05 02:30:37.444000+00:00,2026-05-05 02:44:53.538000+00:00,2026-05-05 02:45:00+00:00,58,0.9998600257772501,25.500914050504115,6.462,862.556,2026-05-05 02:37:08.036000+00:00,yes,86.0,2.469291737075224,0.8846929173707522,471.964,False,2026-05-05 02:37:08.036000+00:00,settled,26.0,24.0,yes,True,registered
KXBTC15M-26MAY042300-00,2026-05-05 02:45:38.617000+00:00,2026-05-05 02:59:55.163000+00:00,2026-05-05 03:00:00+00:00,58,0.9999166717596881,30.42479803466859,4.837,861.383,2026-05-05 02:50:09.031000+00:00,no,95.0,3.9149465926155926,0.9891494659261559,590.969,False,2026-05-05 02:50:09.031000+00:00,settled,9.0,7.0,no,True,registered
KXBTC15M-26MAY042315-15,2026-05-05 03:00:40.317000+00:00,2026-05-05 03:14:56.674000+00:00,2026-05-05 03:15:00+00:00,58,0.8314360950756114,28.581804819102175,3.326,859.683,2026-05-05 03:05:10.692000+00:00,no,74.0,1.017334309139855,0.7501733430913986,589.308,False,2026-05-05 03:05:10.692000+00:00,exited,-29.0,-31.0,,,registered
KXBTC15M-26MAY042330-30,2026-05-05 03:15:26.720000+00:00,2026-05-05 03:29:57.810000+00:00,2026-05-05 03:30:00+00:00,59,0.9994337725839552,22.457401154317928,2.19,873.28,2026-05-05 03:21:12.092000+00:00,yes,95.0,0.5359767181104331,0.9553597671811044,527.908,False,2026-05-05 03:21:12.092000+00:00,settled,9.0,7.0,yes,True,registered
KXBTC15M-26MAY042345-45,2026-05-05 03:30:42.903000+00:00,2026-05-05 03:44:59.214000+00:00,2026-05-05 03:45:00+00:00,58,0.5585794719629091,51.70826417041996,0.786,857.097,,,,,,,,,,,,,,no_entry_filters
KXBTC15M-26MAY050000-00,2026-05-05 03:45:44.290000+00:00,2026-05-05 03:56:30.356000+00:00,2026-05-05 04:00:00+00:00,44,0.992000603248226,43.68951973667913,209.644,855.71,2026-05-05 03:50:14.615000+00:00,no,63.0,31.051361125062954,0.9405136112506295,585.385,False,2026-05-05 03:50:14.615000+00:00,open,,,,,registered
