dataset,base_model,block_kind,block,rows,brier_delta,logloss_delta
all_heartbeats,v34_material_antipersist3,block10,0,1917,-0.00011389160834057721,-0.0004942371902278975
all_heartbeats,v34_material_antipersist3,block10,1,1919,9.630552271083781e-05,-0.00018067516276742968
all_heartbeats,v34_material_antipersist3,block10,2,1921,0.00015592582138257427,0.0004261080041266241
all_heartbeats,v34_material_antipersist3,block10,3,1921,-0.0002106011887427206,-0.0006761913520458296
all_heartbeats,v34_material_antipersist3,block10,4,1858,6.669742328360706e-05,0.00014740798149842638
all_heartbeats,v34_material_antipersist3,block10,5,1862,-0.00013632222319429066,-0.00023389608070045753
all_heartbeats,v34_material_antipersist3,block10,6,1919,-0.00026829011603035635,-0.0008027471925888263
all_heartbeats,v34_material_antipersist3,block10,7,1899,4.677103667827254e-05,-0.0002969873054970429
all_heartbeats,v34_material_antipersist3,block10,8,1922,0.00019502250638203655,0.00016408520343336175
all_heartbeats,v34_material_antipersist3,block10,9,1883,-0.0005919662150198624,-0.0011419602903042225
all_heartbeats,v34_material_antipersist3,block20,0,984,-0.00010996062374665772,-0.0004538330228930354
all_heartbeats,v34_material_antipersist3,block20,1,933,-0.000118037469905935,-0.0005368499454881381
all_heartbeats,v34_material_antipersist3,block20,2,989,0.00010743340507587962,-0.00010259038133852982
all_heartbeats,v34_material_antipersist3,block20,3,930,8.447167791622578e-05,-0.00026371370989985987
all_heartbeats,v34_material_antipersist3,block20,4,992,0.00010027382008806485,-9.52248768337216e-05
all_heartbeats,v34_material_antipersist3,block20,5,929,0.00021535185505766608,0.0009827949986507267
all_heartbeats,v34_material_antipersist3,block20,6,988,-0.00020145185427231094,-0.0005942544678871342
all_heartbeats,v34_material_antipersist3,block20,7,933,-0.00022028987304789638,-0.0007629583847882926
all_heartbeats,v34_material_antipersist3,block20,8,986,5.013906165596271e-05,7.711623015987934e-05
all_heartbeats,v34_material_antipersist3,block20,9,872,8.542052484880602e-05,0.00022688925078728772
all_heartbeats,v34_material_antipersist3,block20,10,930,-0.00022602055486786732,-0.0001286788794211402
all_heartbeats,v34_material_antipersist3,block20,11,932,-4.6816377210989746e-05,-0.00033888749399424434
all_heartbeats,v34_material_antipersist3,block20,12,931,-0.0004247840079807663,-0.001261671387917107
all_heartbeats,v34_material_antipersist3,block20,13,988,-0.00012082471784630178,-0.0003702993931450349
all_heartbeats,v34_material_antipersist3,block20,14,934,7.569097511109235e-05,-0.0005717659493225669
all_heartbeats,v34_material_antipersist3,block20,15,965,1.8780132537130068e-05,-3.103574763907435e-05
all_heartbeats,v34_material_antipersist3,block20,16,929,0.0006518607528651632,0.0013142421254553893
