policy,market,opportunity_key,entry_dt,close_time,source_line_no,selected_side,selected_ask_cents,selected_edge_cents,selected_p_side,p_yes,registered_utc,exit_dt,exit_bid_cents,exit_p_side,exit_fee_cents,outcome,resolved_utc,win,gross_pnl_cents,entry_fee_cents,total_fee_cents,fee_net_cents,fee_net_1c_entry_cents,status
v42_latent_hole_book_edge0_p64_stc0_600_prob52,KXBTC15M-26MAY050015-15,heartbeat:58906,2026-05-05 04:06:16.314000+00:00,2026-05-05 04:15:00+00:00,58906,yes,81.0,2.9938015006976713,0.8399380150069767,0.8399380150069767,2026-05-05 04:14:34.507271+00:00,2026-05-05 04:10:01.601000+00:00,27.0,0.2511882883870651,3.0,,,,-108.0,3.0,6.0,-114.0,-116.0,exited
v42_latent_hole_book_edge0_p64_stc0_600_prob52,KXBTC15M-26MAY050030-30,heartbeat:60061,2026-05-05 04:23:02.754000+00:00,2026-05-05 04:30:00+00:00,60061,yes,83.0,1.0787841213020357,0.8407878412130203,0.8407878412130203,2026-05-05 04:51:27.127744+00:00,,,,0.0,no,2026-05-05 07:17:16.488847+00:00,False,-166.0,2.0,2.0,-168.0,-170.0,settled
v42_latent_hole_book_edge0_p64_stc0_600_prob52,KXBTC15M-26MAY050045-45,heartbeat:60610,2026-05-05 04:35:03.884000+00:00,2026-05-05 04:45:00+00:00,60610,no,69.0,2.065131232291918,0.7106513123229192,0.2893486876770807,2026-05-05 07:17:15.881876+00:00,2026-05-05 04:37:04.067000+00:00,43.0,0.516162002911639,4.0,,,,-52.0,3.0,7.0,-59.0,-61.0,exited
v42_latent_hole_book_edge0_p64_stc0_600_prob52,KXBTC15M-26MAY050100-00,heartbeat:60676,2026-05-05 04:50:05.176000+00:00,2026-05-05 05:00:00+00:00,60676,yes,95.0,1.3431627680241007,0.963431627680241,0.963431627680241,2026-05-05 07:17:15.881876+00:00,,,,0.0,yes,2026-05-05 07:17:16.488847+00:00,True,10.0,1.0,1.0,9.0,7.0,settled
v42_latent_hole_book_edge0_p64_stc0_600_prob52,KXBTC15M-26MAY050115-15,heartbeat:60743,2026-05-05 05:05:21.396000+00:00,2026-05-05 05:15:00+00:00,60743,no,69.0,6.843344379469102,0.758433443794691,0.24156655620530895,2026-05-05 05:30:31.142407+00:00,2026-05-05 05:12:07.382000+00:00,17.0,0.10684778917928228,2.0,,,,-104.0,3.0,5.0,-109.0,-111.0,exited
v42_latent_hole_book_edge0_p64_stc0_600_prob52,KXBTC15M-26MAY050130-30,heartbeat:60841,2026-05-05 05:24:08.368000+00:00,2026-05-05 05:30:00+00:00,60841,yes,73.0,4.289778778097599,0.772897787780976,0.772897787780976,2026-05-05 05:30:31.142407+00:00,,,,0.0,yes,2026-05-05 07:17:16.488847+00:00,True,54.0,3.0,3.0,51.0,49.0,settled
v42_latent_hole_book_edge0_p64_stc0_600_prob52,KXBTC15M-26MAY050145-45,heartbeat:60897,2026-05-05 05:35:09.349000+00:00,2026-05-05 05:45:00+00:00,60897,yes,81.0,0.6616182298801192,0.8166161822988012,0.8166161822988012,2026-05-05 06:02:15.654508+00:00,,,,0.0,yes,2026-05-05 07:17:16.488847+00:00,True,38.0,3.0,3.0,35.0,33.0,settled
v42_latent_hole_book_edge0_p64_stc0_600_prob52,KXBTC15M-26MAY050215-15,heartbeat:61074,2026-05-05 06:06:11.773000+00:00,2026-05-05 06:15:00+00:00,61074,no,81.0,7.061054890532546,0.8806105489053254,0.11938945109467457,2026-05-05 07:17:15.881876+00:00,,,,0.0,no,2026-05-05 07:17:16.488847+00:00,True,38.0,3.0,3.0,35.0,33.0,settled
v42_latent_hole_book_edge0_p64_stc0_600_prob52,KXBTC15M-26MAY050230-30,heartbeat:61148,2026-05-05 06:23:13.159000+00:00,2026-05-05 06:30:00+00:00,61148,no,95.0,1.611938877132303,0.966119388771323,0.03388061122867699,2026-05-05 07:17:15.881876+00:00,,,,0.0,no,2026-05-05 07:17:16.488847+00:00,True,10.0,1.0,1.0,9.0,7.0,settled
v42_latent_hole_book_edge0_p64_stc0_600_prob52,KXBTC15M-26MAY050245-45,heartbeat:61207,2026-05-05 06:36:29.305000+00:00,2026-05-05 06:45:00+00:00,61207,yes,68.0,3.7843950476357833,0.7178439504763579,0.7178439504763579,2026-05-05 07:17:15.881876+00:00,2026-05-05 06:38:14.435000+00:00,52.0,0.44291088714582516,4.0,,,,-32.0,4.0,8.0,-40.0,-42.0,exited
v42_latent_hole_book_edge0_p64_stc0_600_prob52,KXBTC15M-26MAY050300-00,heartbeat:61280,2026-05-05 06:53:15.843000+00:00,2026-05-05 07:00:00+00:00,61280,yes,83.0,1.6461380473907354,0.8464613804739073,0.8464613804739073,2026-05-05 07:17:15.881876+00:00,,,,0.0,yes,2026-05-05 07:17:16.488847+00:00,True,34.0,2.0,2.0,32.0,30.0,settled
v42_latent_hole_book_edge0_p64_stc0_600_prob52,KXBTC15M-26MAY050315-15,heartbeat:61337,2026-05-05 07:06:02.008000+00:00,2026-05-05 07:15:00+00:00,61337,no,76.0,5.17472350238009,0.8117472350238009,0.18825276497619917,2026-05-05 07:17:15.881876+00:00,2026-05-05 07:13:02.646000+00:00,13.0,0.3914044276907682,2.0,,,,-126.0,3.0,5.0,-131.0,-133.0,exited
