market,first_seen_dt,last_seen_dt,close_time,opportunity_rows,latent_hole_active,max_selected_p_side,max_selected_edge_cents,min_seconds_to_close,max_seconds_to_close,first_eligible_dt,selected_side,selected_ask_cents,selected_edge_cents,selected_p_side,first_eligible_stc,first_eligible_latent_hole_active,registered_entry_dt,status,fee_net_cents,fee_net_1c_entry_cents,outcome,win,classification
KXBTC15M-26MAY050230-30,2026-05-05 06:19:27.956000+00:00,2026-05-05 06:29:58.775000+00:00,2026-05-05 06:30:00+00:00,43,False,0.999999,5.371264067022462,1.225,632.044,2026-05-05 06:23:13.159000+00:00,no,95.0,1.611938877132303,0.966119388771323,406.841,False,2026-05-05 06:23:13.159000+00:00,settled,9.0,7.0,no,True,registered
KXBTC15M-26MAY050245-45,2026-05-05 06:30:28.809000+00:00,2026-05-05 06:44:44.996000+00:00,2026-05-05 06:45:00+00:00,58,False,0.9999812962477675,34.28976253441704,15.004,871.191,2026-05-05 06:36:29.305000+00:00,yes,68.0,3.7843950476357833,0.7178439504763579,510.695,False,2026-05-05 06:36:29.305000+00:00,exited,-40.0,-42.0,,,registered
KXBTC15M-26MAY050300-00,2026-05-05 06:45:30.009000+00:00,2026-05-05 06:59:46.467000+00:00,2026-05-05 07:00:00+00:00,58,False,0.9302230530901213,24.383758215697,13.533,869.991,2026-05-05 06:53:15.843000+00:00,yes,83.0,1.6461380473907354,0.8464613804739073,404.157,False,2026-05-05 06:53:15.843000+00:00,settled,32.0,30.0,yes,True,registered
KXBTC15M-26MAY050315-15,2026-05-05 07:00:46.613000+00:00,2026-05-05 07:14:47.814000+00:00,2026-05-05 07:15:00+00:00,57,False,0.999999,44.62953595541789,12.186,853.387,2026-05-05 07:06:02.008000+00:00,no,76.0,5.17472350238009,0.8117472350238009,537.992,False,2026-05-05 07:06:02.008000+00:00,exited,-131.0,-133.0,,,registered
KXBTC15M-26MAY050330-30,2026-05-05 07:15:32.903000+00:00,2026-05-05 07:29:49.365000+00:00,2026-05-05 07:30:00+00:00,58,False,0.9998392003163179,21.854681132856363,10.635,867.097,2026-05-05 07:24:03.818000+00:00,yes,90.0,3.0873288841914643,0.9308732888419147,356.182,False,2026-05-05 07:24:03.818000+00:00,settled,18.0,16.0,yes,True,registered
KXBTC15M-26MAY050345-45,2026-05-05 07:30:34.438000+00:00,2026-05-05 07:44:50.392000+00:00,2026-05-05 07:45:00+00:00,58,False,0.9634388842863784,42.85615883383028,9.608,865.562,2026-05-05 07:36:19.786000+00:00,yes,70.0,5.570120373305997,0.7557012037330599,520.214,False,2026-05-05 07:36:19.786000+00:00,exited,-23.0,-25.0,,,registered
KXBTC15M-26MAY050400-00,2026-05-05 07:45:20.424000+00:00,2026-05-05 07:59:51.537000+00:00,2026-05-05 08:00:00+00:00,59,False,0.9999281728556024,14.591637211675206,8.463,879.576,2026-05-05 07:50:05.721000+00:00,no,81.0,6.00601696733014,0.8700601696733014,594.279,False,2026-05-05 07:50:05.721000+00:00,settled,35.0,33.0,no,True,registered
KXBTC15M-26MAY050415-15,2026-05-05 08:00:21.622000+00:00,2026-05-05 08:14:52.738000+00:00,2026-05-05 08:15:00+00:00,59,False,0.9999779525557804,15.948518833614102,7.2620000000000005,878.378,2026-05-05 08:07:07.076000+00:00,yes,65.0,1.233290727034472,0.6623329072703447,472.924,False,2026-05-05 08:07:07.076000+00:00,settled,66.0,64.0,yes,True,registered
KXBTC15M-26MAY050430-30,2026-05-05 08:15:22.770000+00:00,2026-05-05 08:29:54.339000+00:00,2026-05-05 08:30:00+00:00,59,False,0.9978840450293842,36.051963870966794,5.661,877.23,2026-05-05 08:20:23.385000+00:00,no,63.0,2.1364283215816613,0.6513642832158166,576.615,False,2026-05-05 08:20:23.385000+00:00,settled,70.0,68.0,no,True,registered
KXBTC15M-26MAY050445-45,2026-05-05 08:30:39.419000+00:00,2026-05-05 08:44:55.667000+00:00,2026-05-05 08:45:00+00:00,58,False,0.9961044316552067,23.777226547793,4.333,860.581,2026-05-05 08:40:25.268000+00:00,no,90.0,1.442201805775582,0.9144220180577558,274.732,False,2026-05-05 08:40:25.268000+00:00,settled,18.0,16.0,no,True,registered
KXBTC15M-26MAY050500-00,2026-05-05 08:45:40.742000+00:00,2026-05-05 08:59:57.279000+00:00,2026-05-05 09:00:00+00:00,58,False,0.9964897600301882,14.389149244219993,2.721,859.258,2026-05-05 08:50:26.336000+00:00,yes,88.0,0.8420294456064141,0.8884202944560641,573.664,False,2026-05-05 08:50:26.336000+00:00,settled,22.0,20.0,yes,True,registered
KXBTC15M-26MAY050515-15,2026-05-05 09:00:27.269000+00:00,2026-05-05 09:14:58.443000+00:00,2026-05-05 09:15:00+00:00,59,False,0.9941303011686764,34.79592863150072,1.557,872.731,2026-05-05 09:05:57.704000+00:00,no,90.0,1.3892961051482047,0.9138929610514821,542.296,False,2026-05-05 09:05:57.704000+00:00,settled,18.0,16.0,no,True,registered
KXBTC15M-26MAY050530-30,2026-05-05 09:15:28.453000+00:00,2026-05-05 09:29:59.489000+00:00,2026-05-05 09:30:00+00:00,59,False,0.9174098465540397,22.752530404633077,0.511,871.547,2026-05-05 09:20:13.787000+00:00,no,66.0,5.705549347751244,0.7170554934775124,586.213,False,2026-05-05 09:20:13.787000+00:00,settled,64.0,62.0,no,True,registered
KXBTC15M-26MAY050545-45,2026-05-05 09:30:29.528000+00:00,2026-05-05 09:44:45.834000+00:00,2026-05-05 09:45:00+00:00,58,False,0.9878500191737387,23.50156680761316,14.166,870.472,2026-05-05 09:35:59.916000+00:00,no,63.0,7.002425418962872,0.7000242541896287,540.084,False,2026-05-05 09:35:59.916000+00:00,settled,70.0,68.0,no,True,registered
KXBTC15M-26MAY050600-00,2026-05-05 09:45:45.965000+00:00,2026-05-05 09:59:47.445000+00:00,2026-05-05 10:00:00+00:00,57,False,0.999999,46.341818151002364,12.555,854.035,2026-05-05 09:53:46.687000+00:00,no,67.0,4.395718722278971,0.7139571872227897,373.313,False,2026-05-05 09:53:46.687000+00:00,exited,-56.0,-58.0,,,registered
KXBTC15M-26MAY050615-15,2026-05-05 10:00:47.566000+00:00,2026-05-05 10:14:49.032000+00:00,2026-05-05 10:15:00+00:00,57,False,0.9997364130076184,22.248784975801954,10.968,852.434,2026-05-05 10:07:18.068000+00:00,yes,95.0,0.6845205768581906,0.9568452057685819,461.932,False,2026-05-05 10:07:18.068000+00:00,settled,9.0,7.0,yes,True,registered
KXBTC15M-26MAY050630-30,2026-05-05 10:15:19.082000+00:00,2026-05-05 10:29:50.227000+00:00,2026-05-05 10:30:00+00:00,59,True,0.91,16.217951058365216,9.773,880.918,2026-05-05 10:24:49.831000+00:00,yes,91.0,0.0,0.91,310.169,True,2026-05-05 10:24:49.831000+00:00,settled,16.0,14.0,yes,True,registered
KXBTC15M-26MAY050645-45,2026-05-05 10:30:20.265000+00:00,2026-05-05 10:44:51.594000+00:00,2026-05-05 10:45:00+00:00,59,False,0.9984641255768135,24.786763608013963,8.406,879.735,2026-05-05 10:35:20.661000+00:00,yes,93.0,0.2687846564486165,0.9326878465644862,579.339,False,2026-05-05 10:35:20.661000+00:00,settled,13.0,11.0,yes,True,registered
KXBTC15M-26MAY050700-00,2026-05-05 10:45:36.670000+00:00,2026-05-05 10:59:52.817000+00:00,2026-05-05 11:00:00+00:00,58,False,0.999999,34.89246701139024,7.183,863.33,2026-05-05 10:55:22.582000+00:00,no,97.0,1.160910294197123,0.9816091029419712,277.418,False,2026-05-05 10:55:22.582000+00:00,exited,-109.0,-111.0,,,registered
KXBTC15M-26MAY050715-15,2026-05-05 11:00:37.827000+00:00,2026-05-05 11:14:54.101000+00:00,2026-05-05 11:15:00+00:00,58,False,0.9995804542656649,17.310058666897547,5.899,862.173,2026-05-05 11:09:08.649000+00:00,yes,63.0,2.4578497637202474,0.6545784976372024,351.351,False,2026-05-05 11:09:08.649000+00:00,settled,70.0,68.0,yes,True,registered
KXBTC15M-26MAY050730-30,2026-05-05 11:15:39.124000+00:00,2026-05-05 11:29:55.473000+00:00,2026-05-05 11:30:00+00:00,58,False,0.999999,48.587013584858376,4.527,860.876,2026-05-05 11:21:24.704000+00:00,no,79.0,8.31369150271901,0.87313691502719,515.296,False,2026-05-05 11:21:24.704000+00:00,exited,-148.0,-150.0,,,registered
KXBTC15M-26MAY050745-45,2026-05-05 11:30:25.513000+00:00,2026-05-05 11:44:56.668000+00:00,2026-05-05 11:45:00+00:00,59,True,0.9310205010907278,27.70519839356089,3.332,874.487,2026-05-05 11:35:11.058000+00:00,yes,67.0,0.471078258016675,0.6747107825801667,588.942,True,2026-05-05 11:35:11.058000+00:00,settled,62.0,60.0,yes,True,registered
KXBTC15M-26MAY050800-00,2026-05-05 11:45:26.732000+00:00,2026-05-05 11:59:57.867000+00:00,2026-05-05 12:00:00+00:00,59,False,0.999999,21.765252714774984,2.133,873.268,2026-05-05 11:51:12.163000+00:00,no,95.0,1.9553558830433957,0.9695535588304339,527.837,False,2026-05-05 11:51:12.163000+00:00,settled,9.0,7.0,no,True,registered
KXBTC15M-26MAY050815-15,2026-05-05 12:00:42.926000+00:00,2026-05-05 12:14:59.240000+00:00,2026-05-05 12:15:00+00:00,58,True,0.9262995944001763,35.361062544412114,0.76,857.074,2026-05-05 12:07:43.591000+00:00,yes,64.0,2.2713074186574715,0.6627130741865747,436.409,True,2026-05-05 12:07:43.591000+00:00,settled,68.0,66.0,yes,True,registered
KXBTC15M-26MAY050830-30,2026-05-05 12:15:44.343000+00:00,2026-05-05 12:29:30.437000+00:00,2026-05-05 12:30:00+00:00,56,True,0.9196352301512631,8.577515087027137,29.563,855.657,2026-05-05 12:26:00.241000+00:00,yes,91.0,0.963523015126313,0.9196352301512631,239.759,True,2026-05-05 12:26:00.241000+00:00,open,,,,,registered
