model,entry_policy,exit_policy,entry_edge_floor_cents,entry_ask_cap_cents,entry_min_p_side,entry_max_seconds_to_close,entry_min_seconds_to_close,train_markets,train_trades,train_coverage,train_pnl_dollars,train_cost_dollars,train_roi,train_fee_dollars,train_net_after_fees_dollars,train_net_roi_after_fees,train_net_after_fees_1c_entry_dollars,train_net_after_fees_1c_roundtrip_dollars,train_wins,train_losses,train_settled_count,train_exit_count,train_avg_entry_ask,train_avg_entry_edge,train_avg_entry_p_side,train_avg_entry_seconds_to_close,validation_markets,validation_trades,validation_coverage,validation_pnl_dollars,validation_cost_dollars,validation_roi,validation_fee_dollars,validation_net_after_fees_dollars,validation_net_roi_after_fees,validation_net_after_fees_1c_entry_dollars,validation_net_after_fees_1c_roundtrip_dollars,validation_wins,validation_losses,validation_settled_count,validation_exit_count,validation_avg_entry_ask,validation_avg_entry_edge,validation_avg_entry_p_side,validation_avg_entry_seconds_to_close,holdout_markets,holdout_trades,holdout_coverage,holdout_pnl_dollars,holdout_cost_dollars,holdout_roi,holdout_fee_dollars,holdout_net_after_fees_dollars,holdout_net_roi_after_fees,holdout_net_after_fees_1c_entry_dollars,holdout_net_after_fees_1c_roundtrip_dollars,holdout_wins,holdout_losses,holdout_settled_count,holdout_exit_count,holdout_avg_entry_ask,holdout_avg_entry_edge,holdout_avg_entry_p_side,holdout_avg_entry_seconds_to_close,all_markets,all_trades,all_coverage,all_pnl_dollars,all_cost_dollars,all_roi,all_fee_dollars,all_net_after_fees_dollars,all_net_roi_after_fees,all_net_after_fees_1c_entry_dollars,all_net_after_fees_1c_roundtrip_dollars,all_wins,all_losses,all_settled_count,all_exit_count,all_avg_entry_ask,all_avg_entry_edge,all_avg_entry_p_side,all_avg_entry_seconds_to_close,min_split_coverage,min_split_pnl_dollars,min_split_net_after_fees_dollars,min_split_net_after_fees_1c_roundtrip_dollars,all_splits_positive,all_splits_net_after_fees_positive,all_splits_net_after_fees_1c_roundtrip_positive,eligible_80,min_split_net_after_fees_1c_entry_dollars,all_splits_1c_entry_positive,positive_1c_days,total_days,worst_1c_day_cents,block10_positive,block10_worst_cents
v47_recross_sigma1_v3cap68,edge-2_ask100_p0.64_stc0-570,hold,-2.0,100.0,0.64,570.0,0.0,223,217,0.9730941704035875,12.84,345.16,0.03720013906594043,5.33,7.51,0.02175802526364584,3.17,3.17,179,38,217,0,79.52995391705069,3.579918355419298,0.8310987227246999,428.76831797235025,74,71,0.9594594594594594,-2.24,112.24,-0.01995723449750535,1.82,-4.0600000000000005,-0.03617248752672844,-5.48,-5.48,55,16,71,0,79.04225352112677,4.081648567136496,0.8312390208826326,477.1070140845071,75,65,0.8666666666666667,-5.24,107.24,-0.04886236478925774,1.49,-6.73,-0.06275643416635585,-8.030000000000001,-8.030000000000001,51,14,65,0,82.49230769230769,2.1562947054801698,0.8464860239778786,417.71767692307685,372,353,0.9489247311827957,5.36,564.64,0.009492774156984983,8.64,-3.2800000000000002,-0.005809011051289318,-10.34,-10.34,285,68,353,0,79.97733711048159,3.418692598438782,0.8339602970892037,436.45601133144476,0.8666666666666667,-5.24,-6.73,-8.030000000000001,False,False,False,True,-8.030000000000001,False,1,5,-630.0,4,-968.0
v47_recross_sigma1_v3cap68,edge-2_ask100_p0.64_stc0-570,prob50,-2.0,100.0,0.64,570.0,0.0,223,217,0.9730941704035875,13.64,345.16,0.0395179047398308,7.46,6.180000000000001,0.017904739830803106,1.8400000000000007,0.6600000000000008,179,38,158,59,79.52995391705069,3.579918355419298,0.8310987227246999,428.76831797235025,74,71,0.9594594594594594,5.36,112.24,0.047754811119030655,2.54,2.8200000000000003,0.025124732715609412,1.4000000000000004,1.0000000000000004,55,16,51,20,79.04225352112677,4.081648567136496,0.8312390208826326,477.1070140845071,75,65,0.8666666666666667,-0.54,107.24,-0.005035434539350989,2.19,-2.73,-0.02545691906005222,-4.03,-4.41,51,14,46,19,82.49230769230769,2.1562947054801698,0.8464860239778786,417.71767692307685,372,353,0.9489247311827957,18.46,564.64,0.03269339756304902,12.19,6.270000000000001,0.011104420515726838,-0.7899999999999983,-2.7499999999999982,285,68,255,98,79.97733711048159,3.418692598438782,0.8339602970892037,436.45601133144476,0.8666666666666667,-0.54,-2.73,-4.41,False,False,False,True,-4.03,False,3,5,-444.0,5,-448.0
v47_recross_sigma1_v3cap68,edge-2_ask100_p0.64_stc0-570,prob52,-2.0,100.0,0.64,570.0,0.0,223,217,0.9730941704035875,15.4,345.16,0.044616989222389616,7.59,7.8100000000000005,0.022627187391354733,3.4700000000000006,2.250000000000001,179,38,156,61,79.52995391705069,3.579918355419298,0.8310987227246999,428.76831797235025,74,71,0.9594594594594594,5.72,112.24,0.05096222380612972,2.54,3.1799999999999997,0.02833214540270848,1.7599999999999998,1.3599999999999999,55,16,51,20,79.04225352112677,4.081648567136496,0.8312390208826326,477.1070140845071,75,65,0.8666666666666667,1.28,107.24,0.011935844834017158,2.22,-0.9400000000000002,-0.008765386049981352,-2.24,-2.62,51,14,46,19,82.49230769230769,2.1562947054801698,0.8464860239778786,417.71767692307685,372,353,0.9489247311827957,22.4,564.64,0.039671294984414844,12.35,10.049999999999999,0.01779895154434684,2.9899999999999993,0.9899999999999993,285,68,253,100,79.97733711048159,3.418692598438782,0.8339602970892037,436.45601133144476,0.8666666666666667,1.28,-0.9400000000000002,-2.62,True,False,False,True,-2.24,False,4,5,-242.0,5,-347.0
v47_recross_sigma1_v3cap68,edge-2_ask100_p0.64_stc0-570,prob54,-2.0,100.0,0.64,570.0,0.0,223,217,0.9730941704035875,15.92,345.16,0.04612353691041835,7.63,8.29,0.02401784679568895,3.9499999999999993,2.709999999999999,179,38,155,62,79.52995391705069,3.579918355419298,0.8310987227246999,428.76831797235025,74,71,0.9594594594594594,5.88,112.24,0.05238774055595154,2.54,3.34,0.02975766215253029,1.92,1.52,55,16,51,20,79.04225352112677,4.081648567136496,0.8312390208826326,477.1070140845071,75,65,0.8666666666666667,2.32,107.24,0.0216337187616561,2.22,0.09999999999999964,0.0009324878776575872,-1.2000000000000004,-1.5800000000000005,51,14,46,19,82.49230769230769,2.1562947054801698,0.8464860239778786,417.71767692307685,372,353,0.9489247311827957,24.12,564.64,0.04271748370643242,12.39,11.73,0.020774298668177954,4.670000000000001,2.650000000000001,285,68,252,101,79.97733711048159,3.418692598438782,0.8339602970892037,436.45601133144476,0.8666666666666667,2.32,0.09999999999999964,-1.5800000000000005,True,True,False,True,-1.2000000000000004,False,4,5,-134.0,5,-327.0
v47_recross_sigma1_v3cap68,edge-2_ask100_p0.64_stc0-570,prob56,-2.0,100.0,0.64,570.0,0.0,223,217,0.9730941704035875,15.48,345.16,0.04484876578977865,7.72,7.760000000000001,0.022482327036736586,3.420000000000001,2.1400000000000006,179,38,153,64,79.52995391705069,3.579918355419298,0.8310987227246999,428.76831797235025,74,71,0.9594594594594594,3.3,112.24,0.02940128296507484,2.73,0.5699999999999998,0.0050784034212401985,-0.8500000000000001,-1.33,55,16,47,24,79.04225352112677,4.081648567136496,0.8312390208826326,477.1070140845071,75,65,0.8666666666666667,3.14,107.24,0.029280119358448344,2.26,0.8800000000000003,0.008205893323386799,-0.4199999999999997,-0.8199999999999997,51,14,45,20,82.49230769230769,2.1562947054801698,0.8464860239778786,417.71767692307685,372,353,0.9489247311827957,21.92,564.64,0.03882119580617739,12.71,9.21,0.016311277982431285,2.1500000000000012,-0.009999999999998899,285,68,245,108,79.97733711048159,3.418692598438782,0.8339602970892037,436.45601133144476,0.8666666666666667,3.14,0.5699999999999998,-1.33,True,True,False,True,-0.8500000000000001,False,4,5,-260.0,5,-482.0
v47_recross_sigma1_v3cap68,edge-2_ask100_p0.64_stc60-570,hold,-2.0,100.0,0.64,570.0,60.0,223,210,0.9417040358744395,12.48,331.52,0.037644787644787646,5.29,7.19,0.02168798262548263,2.99,2.99,172,38,210,0,78.93333333333334,3.6573845507705047,0.8259071788410384,441.6688571428572,74,69,0.9324324324324325,-2.24,108.24,-0.02069475240206948,1.82,-4.0600000000000005,-0.03750923872875093,-5.44,-5.44,53,16,69,0,78.43478260869566,4.201434593122935,0.8263621720181858,489.73540579710146,75,63,0.84,-5.36,103.36,-0.05185758513931889,1.48,-6.84,-0.0661764705882353,-8.1,-8.1,49,14,63,0,82.03174603174604,2.225631266837632,0.8425737729858367,429.57139682539685,372,342,0.9193548387096774,4.88,543.12,0.008985122993077035,8.59,-3.71,-0.006830902931212255,-10.55,-10.55,274,68,342,0,79.40350877192982,3.5034050070118687,0.829069137789417,449.13801461988305,0.84,-5.36,-6.84,-8.1,False,False,False,True,-8.1,False,1,5,-627.0,4,-984.0
v47_recross_sigma1_v3cap68,edge-2_ask100_p0.64_stc60-570,prob50,-2.0,100.0,0.64,570.0,60.0,223,210,0.9417040358744395,13.28,331.52,0.04005791505791506,7.42,5.859999999999999,0.0176761583011583,1.6599999999999993,0.4799999999999993,172,38,151,59,78.93333333333334,3.6573845507705047,0.8259071788410384,441.6688571428572,74,69,0.9324324324324325,5.36,108.24,0.04951958610495196,2.54,2.8200000000000003,0.026053215077605326,1.4400000000000004,1.0400000000000005,53,16,49,20,78.43478260869566,4.201434593122935,0.8263621720181858,489.73540579710146,75,63,0.84,-0.66,103.36,-0.006385448916408669,2.18,-2.8400000000000003,-0.027476780185758515,-4.1000000000000005,-4.48,49,14,44,19,82.03174603174604,2.225631266837632,0.8425737729858367,429.57139682539685,372,342,0.9193548387096774,17.98,543.12,0.033105022831050226,12.14,5.84,0.01075268817204301,-1.0,-2.96,274,68,244,98,79.40350877192982,3.5034050070118687,0.829069137789417,449.13801461988305,0.84,-0.66,-2.8400000000000003,-4.48,False,False,False,True,-4.1000000000000005,False,3,5,-441.0,5,-399.0
v47_recross_sigma1_v3cap68,edge-2_ask100_p0.64_stc60-570,prob52,-2.0,100.0,0.64,570.0,60.0,223,210,0.9417040358744395,15.04,331.52,0.045366795366795366,7.55,7.489999999999999,0.022592905405405404,3.289999999999999,2.0699999999999994,172,38,149,61,78.93333333333334,3.6573845507705047,0.8259071788410384,441.6688571428572,74,69,0.9324324324324325,5.72,108.24,0.052845528455284556,2.54,3.1799999999999997,0.029379157427937914,1.7999999999999998,1.4,53,16,49,20,78.43478260869566,4.201434593122935,0.8263621720181858,489.73540579710146,75,63,0.84,1.16,103.36,0.011222910216718266,2.21,-1.05,-0.010158668730650156,-2.31,-2.69,49,14,44,19,82.03174603174604,2.225631266837632,0.8425737729858367,429.57139682539685,372,342,0.9193548387096774,21.92,543.12,0.040359404919723084,12.3,9.620000000000001,0.017712476064221536,2.780000000000001,0.7800000000000011,274,68,242,100,79.40350877192982,3.5034050070118687,0.829069137789417,449.13801461988305,0.84,1.16,-1.05,-2.69,True,False,False,True,-2.31,False,4,5,-239.0,5,-363.0
v47_recross_sigma1_v3cap68,edge-2_ask100_p0.64_stc60-570,prob54,-2.0,100.0,0.64,570.0,60.0,223,210,0.9417040358744395,15.56,331.52,0.04693532818532819,7.59,7.970000000000001,0.024040781853281856,3.7700000000000005,2.5300000000000002,172,38,148,62,78.93333333333334,3.6573845507705047,0.8259071788410384,441.6688571428572,74,69,0.9324324324324325,5.88,108.24,0.05432372505543238,2.54,3.34,0.030857354028085735,1.96,1.56,53,16,49,20,78.43478260869566,4.201434593122935,0.8263621720181858,489.73540579710146,75,63,0.84,2.2,103.36,0.021284829721362232,2.21,-0.009999999999999787,-9.674922600618988e-05,-1.2699999999999998,-1.65,49,14,44,19,82.03174603174604,2.225631266837632,0.8425737729858367,429.57139682539685,372,342,0.9193548387096774,23.64,543.12,0.04352629253203712,12.34,11.3,0.02080571512741199,4.460000000000001,2.440000000000001,274,68,241,101,79.40350877192982,3.5034050070118687,0.829069137789417,449.13801461988305,0.84,2.2,-0.009999999999999787,-1.65,True,False,False,True,-1.2699999999999998,False,4,5,-131.0,5,-343.0
v47_recross_sigma1_v3cap68,edge-2_ask100_p0.64_stc60-570,prob56,-2.0,100.0,0.64,570.0,60.0,223,210,0.9417040358744395,15.12,331.52,0.04560810810810811,7.68,7.4399999999999995,0.022442084942084942,3.2399999999999993,1.9599999999999993,172,38,146,64,78.93333333333334,3.6573845507705047,0.8259071788410384,441.6688571428572,74,69,0.9324324324324325,3.3,108.24,0.03048780487804878,2.73,0.5699999999999998,0.005266075388026606,-0.81,-1.29,53,16,45,24,78.43478260869566,4.201434593122935,0.8263621720181858,489.73540579710146,75,63,0.84,3.02,103.36,0.02921826625386997,2.25,0.77,0.00744969040247678,-0.49,-0.89,49,14,43,20,82.03174603174604,2.225631266837632,0.8425737729858367,429.57139682539685,372,342,0.9193548387096774,21.44,543.12,0.039475622330240094,12.66,8.780000000000001,0.01616585653262631,1.9400000000000013,-0.21999999999999886,274,68,234,108,79.40350877192982,3.5034050070118687,0.829069137789417,449.13801461988305,0.84,3.02,0.5699999999999998,-1.29,True,True,False,True,-0.81,False,4,5,-257.0,5,-498.0
