model,entry_policy,exit_policy,trades,min_split_coverage,all_net_after_fees_1c_entry_dollars,min_split_net_after_fees_1c_entry_dollars,train_net_after_fees_1c_entry_dollars,validation_net_after_fees_1c_entry_dollars,holdout_net_after_fees_1c_entry_dollars,positive_1c_days,total_days,worst_1c_day_dollars,settled_count,exit_count,losses,block10_positive,block10_worst_dollars
v50_thinedge_ask90_edge1_stc450_cap75,edge0_ask100_p0.65_stc0-600,hold,333,0.8133333333333334,-0.08,-3.84,5.6,-1.84,-3.84,2,5,-3.39,333,0,57,6,-6.5
v50_thinedge_ask90_edge1_stc450_cap75,edge0_ask100_p0.65_stc0-600,prob50,333,0.8133333333333334,9.25,-1.44,6.7,3.99,-1.44,3,5,-1.33,253,80,57,7,-3.12
v50_thinedge_ask90_edge1_stc450_cap75,edge0_ask100_p0.65_stc0-600,prob52,333,0.8133333333333334,11.88,0.35,7.28,4.25,0.35,5,5,0.18,251,82,57,8,-2.15
v50_thinedge_ask90_edge1_stc450_cap75,edge0_ask100_p0.65_stc0-600,prob54,333,0.8133333333333334,12.54,0.99,7.3,4.25,0.99,5,5,0.18,250,83,57,8,-1.95
v50_thinedge_ask90_edge1_stc450_cap75,edge0_ask100_p0.65_stc0-600,prob56,333,0.8133333333333334,9.41,1.25,6.39,1.25,1.77,4,5,-0.67,243,90,57,7,-3.5
v50_thinedge_ask90_edge1_stc450_cap75,edge0_ask100_p0.65_stc0-600,prob57,333,0.8133333333333334,6.98,0.87,4.65,1.46,0.87,4,5,-1.18,236,97,57,7,-3.04
v50_thinedge_ask90_edge1_stc450_cap75,edge0_ask100_p0.65_stc0-600,prob60,333,0.8133333333333334,5.96,-0.79,5.64,1.11,-0.79,5,5,0.38,229,104,57,7,-3.35
v50_thinedge_ask90_edge1_stc450_cap75,edge0_ask100_p0.65_stc0-600,prob62,333,0.8133333333333334,1.12,-1.97,2.77,0.32,-1.97,2,5,-0.72,220,113,57,5,-3.07
v50_thinedge_ask90_edge1_stc450_cap75,edge0_ask100_p0.65_stc0-600,take3,333,0.8133333333333334,-14.99,-14.99,-3.76,-6.53,-4.7,1,5,-9.37,47,286,57,3,-6.62
v50_thinedge_ask90_edge1_stc450_cap75,edge0_ask100_p0.65_stc0-600,take3_or_prob52,333,0.8133333333333334,-8.89,-8.89,-3.02,-3.19,-2.68,1,5,-3.96,27,306,57,4,-3.52
