policy,slice,value,trades,fee_1c_dollars,avg_fee_1c_cents,exits,settled,wins,losses,win_rate
hold15_prob52,all,all,333,13.6,4.084084084084084,78,255,277,56,0.8318318318318318
hold15_prob52,side,no,162,4.47,2.759259259259259,42,120,135,27,0.8333333333333334
hold15_prob52,side,yes,171,9.13,5.3391812865497075,36,135,142,29,0.8304093567251462
hold15_prob52,split,holdout,61,0.93,1.5245901639344261,16,45,49,12,0.8032786885245902
hold15_prob52,split,train,205,7.45,3.6341463414634148,47,158,174,31,0.848780487804878
hold15_prob52,split,validation,67,5.22,7.791044776119403,15,52,54,13,0.8059701492537313
hold15_prob52_noside_marginlte0p25,all,all,333,21.26,6.384384384384385,68,265,277,56,0.8318318318318318
hold15_prob52_noside_marginlte0p25,side,no,162,12.13,7.487654320987654,32,130,135,27,0.8333333333333334
hold15_prob52_noside_marginlte0p25,side,yes,171,9.13,5.3391812865497075,36,135,142,29,0.8304093567251462
hold15_prob52_noside_marginlte0p25,split,holdout,61,0.87,1.4262295081967213,15,46,49,12,0.8032786885245902
hold15_prob52_noside_marginlte0p25,split,train,205,12.71,6.2,41,164,174,31,0.848780487804878
hold15_prob52_noside_marginlte0p25,split,validation,67,7.68,11.462686567164178,12,55,54,13,0.8059701492537313
hold15_prob56_noside_marginlte0p25,all,all,333,16.37,4.915915915915916,79,254,277,56,0.8318318318318318
hold15_prob56_noside_marginlte0p25,side,no,162,6.86,4.234567901234568,40,122,135,27,0.8333333333333334
hold15_prob56_noside_marginlte0p25,side,yes,171,9.51,5.56140350877193,39,132,142,29,0.8304093567251462
hold15_prob56_noside_marginlte0p25,split,holdout,61,0.99,1.6229508196721312,17,44,49,12,0.8032786885245902
hold15_prob56_noside_marginlte0p25,split,train,205,10.4,5.073170731707317,46,159,174,31,0.848780487804878
hold15_prob56_noside_marginlte0p25,split,validation,67,4.98,7.432835820895522,16,51,54,13,0.8059701492537313
hold15_prob54_heldmarginlte0p5,all,all,333,13.14,3.945945945945946,79,254,277,56,0.8318318318318318
hold15_prob54_heldmarginlte0p5,side,no,162,2.95,1.8209876543209877,43,119,135,27,0.8333333333333334
hold15_prob54_heldmarginlte0p5,side,yes,171,10.19,5.95906432748538,36,135,142,29,0.8304093567251462
hold15_prob54_heldmarginlte0p5,split,holdout,61,1.07,1.7540983606557377,16,45,49,12,0.8032786885245902
hold15_prob54_heldmarginlte0p5,split,train,205,6.95,3.3902439024390243,48,157,174,31,0.848780487804878
hold15_prob54_heldmarginlte0p5,split,validation,67,5.12,7.641791044776119,15,52,54,13,0.8059701492537313
