model,market,split,entry_dt,side,outcome,win,entry_ask_cents,entry_bid_cents,entry_p_side,entry_p_yes,entry_edge_cents,entry_seconds_to_close,exit_type,exit_dt,exit_seconds_to_close,exit_bid_cents,exit_p_side,exit_fair_edge_to_bid_cents,pnl_cents,settled,cost_cents,entry_fee_cents,exit_fee_cents,total_fee_cents,margin_per_rv_sigma_15m,signed_velocity_dps_1m,signed_velocity_dps_3m,fee_1c_cents
v55_bookanchor_m10_v20_g05_book_plus2,KXBTC15M-26MAY012315-15,train,2026-05-02 03:11:13.578000+00:00,no,no,True,99.0,99.0,0.995802141876227,0.004197858123773046,0.5802141876227012,226.422,settlement_win,,,,,,2.0,True,198.0,1.0,0.0,1.0,2.719699533495532,0.6206666666665115,0.3096111111110884,-1.0
v55_bookanchor_m10_v20_g05_book_plus2,KXBTC15M-26MAY030230-30,train,2026-05-03 06:27:50.664000+00:00,no,no,True,99.0,99.0,0.9918452111970484,0.008154788802951618,0.18452111970483998,129.336,settlement_win,,,,,,2.0,True,198.0,1.0,0.0,1.0,3.42578487271214,-0.1606666666666569,0.1512222222222287,-1.0
v55_bookanchor_m10_v20_g05_book_plus2,KXBTC15M-26MAY040615-15,holdout,2026-05-04 10:07:33.348000+00:00,no,no,True,99.0,99.0,0.999999,1.0000000000287557e-06,0.9998999999999967,446.652,settlement_win,,,,,,2.0,True,198.0,1.0,0.0,1.0,3.780246920076022,4.026666666666764,2.4833333333333334,-1.0
v55_bookanchor_m10_v20_g05_book_plus2,KXBTC15M-26MAY041530-30,holdout,2026-05-04 19:27:20.647000+00:00,no,no,True,99.0,99.0,0.9933270125601988,0.006672987439801159,0.3327012560198881,159.353,settlement_win,,,,,,2.0,True,198.0,1.0,0.0,1.0,4.570112181821721,0.43683333333344,0.4084444444444671,-1.0
v55_bookanchor_m10_v20_g05_book_plus2,KXBTC15M-26MAY030015-15,train,2026-05-03 04:10:37.270000+00:00,no,no,True,98.0,97.0,0.9897639667547616,0.010236033245238363,0.9763966754761668,262.73,settlement_win,,,,,,4.0,True,196.0,1.0,0.0,1.0,2.88299735031634,0.4983333333334788,0.3181666666666893,1.0
v55_bookanchor_m10_v20_g05_book_plus2,KXBTC15M-26MAY031445-45,validation,2026-05-03 18:40:00.137000+00:00,no,no,True,98.0,97.0,0.987011265910887,0.012988734089113052,0.7011265910886948,299.863,settlement_win,,,,,,4.0,True,196.0,1.0,0.0,1.0,2.54204979089688,0.4454999999999321,0.133277777777726,1.0
v55_bookanchor_m10_v20_g05_book_plus2,KXBTC15M-26MAY041945-45,holdout,2026-05-04 23:38:11.480000+00:00,no,no,True,98.0,98.0,0.980641831242815,0.01935816875718499,0.06418312428149875,408.52,settlement_win,,,,,,4.0,True,196.0,1.0,0.0,1.0,2.5870244582115247,0.8379999999999806,0.5265000000000226,1.0
v55_bookanchor_m10_v20_g05_book_plus2,KXBTC15M-26MAY010645-45,train,2026-05-01 10:40:00.627000+00:00,no,no,True,98.0,98.0,0.9866893547405267,0.013310645259473342,0.6689354740526596,299.373,settlement_win,,,,,,4.0,True,196.0,1.0,0.0,1.0,2.9956613529362284,0.4720000000001164,0.3232222222222642,1.0
v55_bookanchor_m10_v20_g05_book_plus2,KXBTC15M-26MAY040030-30,validation,2026-05-04 04:25:02.129000+00:00,no,no,True,97.0,97.0,0.9741462465606229,0.025853753439377125,0.41462465606228704,297.871,settlement_win,,,,,,6.0,True,194.0,1.0,0.0,1.0,1.6465759146038177,0.3796666666666473,0.5849999999999353,3.0
v55_bookanchor_m10_v20_g05_book_plus2,KXBTC15M-26MAY030215-15,train,2026-05-03 06:10:18.859000+00:00,no,no,True,97.0,97.0,0.9860108600806666,0.013989139919333371,1.601086008066659,281.141,settlement_win,,,,,,6.0,True,194.0,1.0,0.0,1.0,4.2391925661419085,-0.0001666666665793,0.1198888888888985,3.0
v55_bookanchor_m10_v20_g05_book_plus2,KXBTC15M-26MAY011700-00,train,2026-05-01 20:53:07.382000+00:00,no,no,True,97.0,97.0,0.9836015091731718,0.016398490826828205,1.3601509173171848,412.618,settlement_win,,,,,,6.0,True,194.0,1.0,0.0,1.0,1.4940355621709525,2.917333333333469,0.9290000000000064,3.0
v55_bookanchor_m10_v20_g05_book_plus2,KXBTC15M-26MAY010245-45,train,2026-05-01 06:40:07.380000+00:00,no,no,True,97.0,96.0,0.9836925262667541,0.016307473733245925,1.3692526266754044,292.62,settlement_win,,,,,,6.0,True,194.0,1.0,0.0,1.0,2.001413439984099,0.6741666666666182,0.522888888888863,3.0
v55_bookanchor_m10_v20_g05_book_plus2,KXBTC15M-26MAY020630-30,train,2026-05-02 10:23:06.698000+00:00,no,no,True,96.0,95.0,0.9762122127707673,0.023787787229232693,1.621221277076728,413.302,settlement_win,,,,,,8.0,True,192.0,1.0,0.0,1.0,1.9657295220011664,0.7411666666666861,0.3075555555555588,5.0
