model,entry_policy,exit_policy,entry_edge_floor_cents,entry_ask_cap_cents,entry_min_p_side,entry_max_seconds_to_close,entry_min_seconds_to_close,train_markets,train_trades,train_coverage,train_pnl_dollars,train_cost_dollars,train_roi,train_fee_dollars,train_net_after_fees_dollars,train_net_roi_after_fees,train_net_after_fees_1c_entry_dollars,train_net_after_fees_1c_roundtrip_dollars,train_wins,train_losses,train_settled_count,train_exit_count,train_avg_entry_ask,train_avg_entry_edge,train_avg_entry_p_side,train_avg_entry_seconds_to_close,validation_markets,validation_trades,validation_coverage,validation_pnl_dollars,validation_cost_dollars,validation_roi,validation_fee_dollars,validation_net_after_fees_dollars,validation_net_roi_after_fees,validation_net_after_fees_1c_entry_dollars,validation_net_after_fees_1c_roundtrip_dollars,validation_wins,validation_losses,validation_settled_count,validation_exit_count,validation_avg_entry_ask,validation_avg_entry_edge,validation_avg_entry_p_side,validation_avg_entry_seconds_to_close,holdout_markets,holdout_trades,holdout_coverage,holdout_pnl_dollars,holdout_cost_dollars,holdout_roi,holdout_fee_dollars,holdout_net_after_fees_dollars,holdout_net_roi_after_fees,holdout_net_after_fees_1c_entry_dollars,holdout_net_after_fees_1c_roundtrip_dollars,holdout_wins,holdout_losses,holdout_settled_count,holdout_exit_count,holdout_avg_entry_ask,holdout_avg_entry_edge,holdout_avg_entry_p_side,holdout_avg_entry_seconds_to_close,all_markets,all_trades,all_coverage,all_pnl_dollars,all_cost_dollars,all_roi,all_fee_dollars,all_net_after_fees_dollars,all_net_roi_after_fees,all_net_after_fees_1c_entry_dollars,all_net_after_fees_1c_roundtrip_dollars,all_wins,all_losses,all_settled_count,all_exit_count,all_avg_entry_ask,all_avg_entry_edge,all_avg_entry_p_side,all_avg_entry_seconds_to_close,min_split_coverage,min_split_pnl_dollars,min_split_net_after_fees_dollars,min_split_net_after_fees_1c_roundtrip_dollars,all_splits_positive,all_splits_net_after_fees_positive,all_splits_net_after_fees_1c_roundtrip_positive,eligible_80,exit_probability_floor,all_fee_1c_entry_dollars,all_fee_1c_roundtrip_dollars,min_fee_1c_entry_dollars,min_fee_1c_roundtrip_dollars
v55_bookanchor_m10_v20_g05_book_plus2,edge0_ask100_p0.65_stc0-600,hold15_prob40,0.0,100.0,0.65,600.0,0.0,223,205,0.9192825112107623,18.58,332.92,0.05580920341223116,5.84,12.739999999999998,0.03826745164003364,8.639999999999999,7.939999999999999,174,31,170,35,81.2,3.188820742138968,0.8438882074213896,419.12041463414636,74,67,0.9054054054054054,6.32,106.74,0.059209293610642685,2.24,4.08,0.03822372119168072,2.74,2.4400000000000004,54,13,52,15,79.65671641791045,2.9415902248011876,0.8259830664271163,504.48513432835824,75,61,0.8133333333333334,-0.2,99.14,-0.002017349203147065,1.91,-2.11,-0.021283034093201533,-3.33,-3.63,49,12,46,15,81.26229508196721,3.1480618005497627,0.8441035688251697,423.7884918032787,372,333,0.8951612903225806,24.7,538.8,0.045842613214550854,9.99,14.709999999999999,0.027301410541945063,8.049999999999999,6.749999999999999,277,56,268,65,80.90090090090091,3.131611312413524,0.8403251221331443,437.151012012012,0.8133333333333334,-0.2,-2.11,-3.63,False,False,False,True,0.4,8.049999999999999,6.749999999999999,-3.33,-3.63
v55_bookanchor_m10_v20_g05_book_plus2,edge0_ask100_p0.65_stc0-600,hold15_prob45,0.0,100.0,0.65,600.0,0.0,223,205,0.9192825112107623,20.72,332.92,0.06223717409587888,6.15,14.569999999999999,0.043764267691937996,10.469999999999999,9.69,174,31,166,39,81.2,3.188820742138968,0.8438882074213896,419.12041463414636,74,67,0.9054054054054054,7.3,106.74,0.06839048154393855,2.27,5.029999999999999,0.04712385235150834,3.6899999999999995,3.3899999999999997,54,13,52,15,79.65671641791045,2.9415902248011876,0.8259830664271163,504.48513432835824,75,61,0.8133333333333334,-0.42,99.14,-0.004236433326608836,2.0,-2.42,-0.02440992535807948,-3.6399999999999997,-3.9599999999999995,49,12,45,16,81.26229508196721,3.1480618005497627,0.8441035688251697,423.7884918032787,372,333,0.8951612903225806,27.6,538.8,0.0512249443207127,10.42,17.18,0.03188567186340015,10.52,9.12,277,56,263,70,80.90090090090091,3.131611312413524,0.8403251221331443,437.151012012012,0.8133333333333334,-0.42,-2.42,-3.9599999999999995,False,False,False,True,0.45,10.52,9.12,-3.6399999999999997,-3.9599999999999995
v55_bookanchor_m10_v20_g05_book_plus2,edge0_ask100_p0.65_stc0-600,hold15_prob50,0.0,100.0,0.65,600.0,0.0,223,205,0.9192825112107623,18.76,332.92,0.056349873843566024,6.42,12.340000000000002,0.03706596179262286,8.240000000000002,7.360000000000002,174,31,161,44,81.2,3.188820742138968,0.8438882074213896,419.12041463414636,74,67,0.9054054054054054,7.64,106.74,0.07157579164324528,2.27,5.369999999999999,0.050309162450815056,4.029999999999999,3.7299999999999995,54,13,52,15,79.65671641791045,2.9415902248011876,0.8259830664271163,504.48513432835824,75,61,0.8133333333333334,2.42,99.14,0.02440992535807948,2.06,0.3599999999999999,0.0036312285656647154,-0.8600000000000001,-1.1800000000000002,49,12,45,16,81.26229508196721,3.1480618005497627,0.8441035688251697,423.7884918032787,372,333,0.8951612903225806,28.82,538.8,0.05348923533778768,10.75,18.07,0.03353749072011879,11.41,9.91,277,56,258,75,80.90090090090091,3.131611312413524,0.8403251221331443,437.151012012012,0.8133333333333334,2.42,0.3599999999999999,-1.1800000000000002,True,True,False,True,0.5,11.41,9.91,-0.8600000000000001,-1.1800000000000002
v55_bookanchor_m10_v20_g05_book_plus2,edge0_ask100_p0.65_stc0-600,hold15_prob52,0.0,100.0,0.65,600.0,0.0,223,205,0.9192825112107623,18.12,332.92,0.05442749008770876,6.57,11.55,0.034693019343986546,7.450000000000001,6.510000000000002,174,31,158,47,81.2,3.188820742138968,0.8438882074213896,419.12041463414636,74,67,0.9054054054054054,8.86,106.74,0.08300543376428705,2.3,6.56,0.061457747798388605,5.22,4.92,54,13,52,15,79.65671641791045,2.9415902248011876,0.8259830664271163,504.48513432835824,75,61,0.8133333333333334,4.24,99.14,0.042767803106717774,2.09,2.1500000000000004,0.02168650393383095,0.9300000000000004,0.6100000000000003,49,12,45,16,81.26229508196721,3.1480618005497627,0.8441035688251697,423.7884918032787,372,333,0.8951612903225806,31.22,538.8,0.05794357832219748,10.96,20.259999999999998,0.03760207869339272,13.599999999999998,12.039999999999997,277,56,255,78,80.90090090090091,3.131611312413524,0.8403251221331443,437.151012012012,0.8133333333333334,4.24,2.1500000000000004,0.6100000000000003,True,True,True,True,0.52,13.599999999999998,12.039999999999997,0.9300000000000004,0.6100000000000003
v55_bookanchor_m10_v20_g05_book_plus2,edge0_ask100_p0.65_stc0-600,hold15_prob54,0.0,100.0,0.65,600.0,0.0,223,205,0.9192825112107623,18.26,332.92,0.054848011534302535,6.61,11.650000000000002,0.03499339180583925,7.5500000000000025,6.5900000000000025,174,31,157,48,81.2,3.188820742138968,0.8438882074213896,419.12041463414636,74,67,0.9054054054054054,8.86,106.74,0.08300543376428705,2.3,6.56,0.061457747798388605,5.22,4.92,54,13,52,15,79.65671641791045,2.9415902248011876,0.8259830664271163,504.48513432835824,75,61,0.8133333333333334,3.7,99.14,0.0373209602582207,2.13,1.5700000000000003,0.01583619124470446,0.3500000000000003,0.010000000000000286,49,12,44,17,81.26229508196721,3.1480618005497627,0.8441035688251697,423.7884918032787,372,333,0.8951612903225806,30.82,538.8,0.05720118782479585,11.04,19.78,0.03671121009651077,13.120000000000001,11.520000000000001,277,56,253,80,80.90090090090091,3.131611312413524,0.8403251221331443,437.151012012012,0.8133333333333334,3.7,1.5700000000000003,0.010000000000000286,True,True,True,True,0.54,13.120000000000001,11.520000000000001,0.3500000000000003,0.010000000000000286
v55_bookanchor_m10_v20_g05_book_plus2,edge0_ask100_p0.65_stc0-600,hold15_prob56,0.0,100.0,0.65,600.0,0.0,223,205,0.9192825112107623,16.88,332.92,0.05070287156073531,6.74,10.139999999999999,0.030457767631863506,6.039999999999999,5.02,174,31,154,51,81.2,3.188820742138968,0.8438882074213896,419.12041463414636,74,67,0.9054054054054054,7.2,106.74,0.06745362563237775,2.44,4.76,0.044594341390294175,3.42,3.06,54,13,49,18,79.65671641791045,2.9415902248011876,0.8259830664271163,504.48513432835824,75,61,0.8133333333333334,4.52,99.14,0.04559209199112366,2.17,2.3499999999999996,0.023703853136978006,1.1299999999999997,0.7699999999999997,49,12,43,18,81.26229508196721,3.1480618005497627,0.8441035688251697,423.7884918032787,372,333,0.8951612903225806,28.6,538.8,0.05308092056421679,11.35,17.25,0.032015590200445435,10.59,8.85,277,56,246,87,80.90090090090091,3.131611312413524,0.8403251221331443,437.151012012012,0.8133333333333334,4.52,2.3499999999999996,0.7699999999999997,True,True,True,True,0.56,10.59,8.85,1.1299999999999997,0.7699999999999997
v55_bookanchor_m10_v20_g05_book_plus2,edge0_ask100_p0.65_stc0-600,hold15_prob58,0.0,100.0,0.65,600.0,0.0,223,205,0.9192825112107623,15.4,332.92,0.04625735912531539,6.92,8.48,0.025471584765108735,4.380000000000001,3.2600000000000007,174,31,149,56,81.2,3.188820742138968,0.8438882074213896,419.12041463414636,74,67,0.9054054054054054,6.86,106.74,0.06426831553307102,2.48,4.380000000000001,0.041034288926363134,3.040000000000001,2.660000000000001,54,13,48,19,79.65671641791045,2.9415902248011876,0.8259830664271163,504.48513432835824,75,61,0.8133333333333334,2.0,99.14,0.020173492031470647,2.29,-0.29000000000000004,-0.002925156344563244,-1.51,-1.93,49,12,40,21,81.26229508196721,3.1480618005497627,0.8441035688251697,423.7884918032787,372,333,0.8951612903225806,24.26,538.8,0.045025983667409064,11.69,12.570000000000002,0.023329621380846332,5.910000000000002,3.990000000000002,277,56,237,96,80.90090090090091,3.131611312413524,0.8403251221331443,437.151012012012,0.8133333333333334,2.0,-0.29000000000000004,-1.93,True,False,False,True,0.58,5.910000000000002,3.990000000000002,-1.51,-1.93
v55_bookanchor_m10_v20_g05_book_plus2,edge0_ask100_p0.65_stc0-600,hold15_prob60,0.0,100.0,0.65,600.0,0.0,223,205,0.9192825112107623,15.8,332.92,0.04745884897272618,7.17,8.63,0.02592214345788778,4.530000000000001,3.3100000000000014,174,31,144,61,81.2,3.188820742138968,0.8438882074213896,419.12041463414636,74,67,0.9054054054054054,5.02,106.74,0.04703016676035226,2.61,2.4099999999999997,0.022578227468615326,1.0699999999999996,0.6299999999999997,54,13,45,22,79.65671641791045,2.9415902248011876,0.8259830664271163,504.48513432835824,75,61,0.8133333333333334,1.02,99.14,0.01028848093605003,2.34,-1.3199999999999998,-0.013314504740770625,-2.54,-2.98,49,12,39,22,81.26229508196721,3.1480618005497627,0.8441035688251697,423.7884918032787,372,333,0.8951612903225806,21.84,538.8,0.04053452115812918,12.12,9.72,0.018040089086859692,3.0600000000000005,0.9600000000000004,277,56,228,105,80.90090090090091,3.131611312413524,0.8403251221331443,437.151012012012,0.8133333333333334,1.02,-1.3199999999999998,-2.98,True,False,False,True,0.6,3.0600000000000005,0.9600000000000004,-2.54,-2.98
v55_bookanchor_m10_v20_g05_book_plus2,edge0_ask100_p0.65_stc0-600,hold15_prob62,0.0,100.0,0.65,600.0,0.0,223,205,0.9192825112107623,14.04,332.92,0.0421722936441187,7.29,6.749999999999999,0.020275141175057066,2.6499999999999995,1.3699999999999994,174,31,141,64,81.2,3.188820742138968,0.8438882074213896,419.12041463414636,74,67,0.9054054054054054,4.0,106.74,0.03747423646243208,2.69,1.31,0.012272812441446507,-0.030000000000000027,-0.51,54,13,43,24,79.65671641791045,2.9415902248011876,0.8259830664271163,504.48513432835824,75,61,0.8133333333333334,-0.18,99.14,-0.0018156142828323581,2.41,-2.5900000000000003,-0.026124672180754493,-3.8100000000000005,-4.290000000000001,49,12,37,24,81.26229508196721,3.1480618005497627,0.8441035688251697,423.7884918032787,372,333,0.8951612903225806,17.86,538.8,0.033147735708982926,12.39,5.469999999999999,0.010152190051967333,-1.1900000000000013,-3.4300000000000015,277,56,221,112,80.90090090090091,3.131611312413524,0.8403251221331443,437.151012012012,0.8133333333333334,-0.18,-2.5900000000000003,-4.290000000000001,False,False,False,True,0.62,-1.1900000000000013,-3.4300000000000015,-3.8100000000000005,-4.290000000000001
v55_bookanchor_m10_v20_g05_book_plus2,edge0_ask100_p0.65_stc0-600,hold15_prob65,0.0,100.0,0.65,600.0,0.0,223,205,0.9192825112107623,13.84,332.92,0.04157154872041331,7.5,6.34,0.019043614081461012,2.24,0.8600000000000003,174,31,136,69,81.2,3.188820742138968,0.8438882074213896,419.12041463414636,74,67,0.9054054054054054,3.46,106.74,0.03241521454000375,2.73,0.73,0.006839048154393854,-0.6100000000000001,-1.11,54,13,42,25,79.65671641791045,2.9415902248011876,0.8259830664271163,504.48513432835824,75,61,0.8133333333333334,-2.2,99.14,-0.022190841234617713,2.56,-4.76,-0.04801291103490014,-5.9799999999999995,-6.539999999999999,49,12,33,28,81.26229508196721,3.1480618005497627,0.8441035688251697,423.7884918032787,372,333,0.8951612903225806,15.1,538.8,0.028025241276911656,12.79,2.3100000000000005,0.004287305122494433,-4.35,-6.789999999999999,277,56,211,122,80.90090090090091,3.131611312413524,0.8403251221331443,437.151012012012,0.8133333333333334,-2.2,-4.76,-6.539999999999999,False,False,False,True,0.65,-4.35,-6.789999999999999,-5.9799999999999995,-6.539999999999999
