slice,trades,fee_1c_entry_dollars,settlement_fee_1c_entry_dollars,exit_over_hold_dollars,exits,wins,losses,avg_bid_drawdown,avg_p_drawdown,avg_w120_bid_drawdown,avg_w120_p_drawdown
all_v57_style,333,13.6,0.43,13.17,78,277,56,18.22222222222222,0.19915910174786403,6.5075075075075075,0.08133271512407986
YES_entries,171,9.13,-2.61,11.74,36,142,29,17.07017543859649,0.1949331869389711,5.16374269005848,0.08077074257224781
NO_entries,162,4.47,3.04,1.43,42,135,27,19.438271604938272,0.20361978960169544,7.925925925925926,0.08192590837323592
exited_by_prob52,78,-53.1,-66.27,13.17,78,23,55,59.743589743589745,0.626717805704687,16.897435897435898,0.1771306535191057
settlement_would_lose,56,-40.89,-82.38,41.49,55,0,56,69.08928571428571,0.709470447798475,16.857142857142858,0.17464898964701603
w120_pdrop_ge_20pp,39,-11.55,-16.02,4.47,25,21,18,37.35897435897436,0.4859906007315789,20.025641025641026,0.326287500027313
w120_pdrop_ge_35pp,12,-5.05,-7.65,2.6,12,3,9,49.0,0.6683778712836496,31.916666666666668,0.5040910073970074
w120_bid_drop_ge_20c,35,-17.04,-19.77,2.73,28,16,19,53.97142857142857,0.5331142313628953,30.771428571428572,0.2514747724744725
w120_bid_drop_ge_40c,6,-5.22,-5.39,0.17,6,2,4,67.0,0.5762383274395019,49.666666666666664,0.41989735465533345
full_pdrop_ge_35pp,67,-48.54,-72.49,23.95,66,13,54,65.2089552238806,0.6916588232754335,17.074626865671643,0.17867378324687888
full_bid_drop_ge_40c,69,-50.3,-74.26,23.96,64,16,53,67.43478260869566,0.6440752598544043,16.869565217391305,0.1433107941439097
NO_tail_highask_tinyedge,18,0.46,0.46,0.0,0,18,0,1.1666666666666667,0.010289150569578211,1.1111111111111112,0.010223201229191415
NO_tail_highask_tinyedge_w120_pdrop20,0,0.0,0.0,0.0,0,0,0,,,,
