model,market,split,entry_dt,side,outcome,win,entry_ask_cents,entry_bid_cents,entry_p_side,entry_p_yes,entry_edge_cents,entry_seconds_to_close,exit_type,exit_dt,exit_seconds_to_close,exit_bid_cents,exit_p_side,exit_fair_edge_to_bid_cents,pnl_cents,settled,cost_cents,entry_fee_cents,exit_fee_cents,total_fee_cents,entry_policy,exit_policy
v55_bookanchor_m10_v20_g05_book_plus2,KXBTC15M-26APR302230-30,train,2026-05-01 02:21:14.147000+00:00,no,no,True,87.0,86.0,0.885,0.11499999999999999,1.5,525.853,settlement_win,,,,,,26.0,True,174.0,2.0,0.0,2.0,edge0_ask100_p0.65_stc0-600,prob52
v55_bookanchor_m10_v20_g05_book_plus2,KXBTC15M-26APR302245-45,train,2026-05-01 02:35:00.329000+00:00,no,no,True,82.0,81.0,0.8602043425391457,0.13979565746085432,4.020434253914573,599.671,probability_reduce,2026-05-01 02:38:00.527000+00:00,419.473,42.0,0.4747220856778319,5.472208567783191,-80.0,False,164.0,3.0,4.0,7.0,edge0_ask100_p0.65_stc0-600,prob52
v55_bookanchor_m10_v20_g05_book_plus2,KXBTC15M-26APR302300-00,train,2026-05-01 02:54:02.084000+00:00,no,no,True,74.0,73.0,0.7633099059169901,0.2366900940830099,2.330990591699006,357.916,settlement_win,,,,,,52.0,True,148.0,3.0,0.0,3.0,edge0_ask100_p0.65_stc0-600,prob52
v55_bookanchor_m10_v20_g05_book_plus2,KXBTC15M-26APR302315-15,train,2026-05-01 03:05:03.069000+00:00,no,yes,False,75.0,74.0,0.800132664255314,0.19986733574468596,5.013266425531398,596.931,probability_reduce,2026-05-01 03:08:03.262000+00:00,416.738,10.0,0.1027587210906532,0.27587210906532,-130.0,False,150.0,3.0,2.0,5.0,edge0_ask100_p0.65_stc0-600,prob52
v55_bookanchor_m10_v20_g05_book_plus2,KXBTC15M-26APR302345-45,train,2026-05-01 03:40:05.880000+00:00,no,no,True,96.0,96.0,0.96,0.04,0.0,294.12,settlement_win,,,,,,8.0,True,192.0,1.0,0.0,1.0,edge0_ask100_p0.65_stc0-600,prob52
v55_bookanchor_m10_v20_g05_book_plus2,KXBTC15M-26MAY010000-00,train,2026-05-01 03:55:07.114000+00:00,no,no,True,64.0,63.0,0.6655875073561395,0.3344124926438605,2.558750735613941,292.886,settlement_win,,,,,,72.0,True,128.0,4.0,0.0,4.0,edge0_ask100_p0.65_stc0-600,prob52
v55_bookanchor_m10_v20_g05_book_plus2,KXBTC15M-26MAY010015-15,train,2026-05-01 04:14:08.446000+00:00,yes,yes,True,98.0,98.0,0.999326357099134,0.999326357099134,1.9326357099133986,51.554,settlement_win,,,,,,4.0,True,196.0,1.0,0.0,1.0,edge0_ask100_p0.65_stc0-600,prob52
v55_bookanchor_m10_v20_g05_book_plus2,KXBTC15M-26MAY010030-30,train,2026-05-01 04:21:24.257000+00:00,no,no,True,65.0,63.0,0.66,0.33999999999999997,1.0,515.743,probability_reduce,2026-05-01 04:22:54.413000+00:00,425.587,45.0,0.475,2.5,-40.0,False,130.0,4.0,4.0,8.0,edge0_ask100_p0.65_stc0-600,prob52
v55_bookanchor_m10_v20_g05_book_plus2,KXBTC15M-26MAY010045-45,train,2026-05-01 04:35:10.431000+00:00,yes,yes,True,79.0,78.0,0.864672124644804,0.864672124644804,7.467212464480397,589.569,settlement_win,,,,,,42.0,True,158.0,3.0,0.0,3.0,edge0_ask100_p0.65_stc0-600,prob52
v55_bookanchor_m10_v20_g05_book_plus2,KXBTC15M-26MAY010100-00,train,2026-05-01 04:55:27.515000+00:00,no,no,True,69.0,68.0,0.7050000000000001,0.29499999999999993,1.5,272.485,settlement_win,,,,,,62.0,True,138.0,3.0,0.0,3.0,edge0_ask100_p0.65_stc0-600,prob52
v55_bookanchor_m10_v20_g05_book_plus2,KXBTC15M-26MAY010115-15,train,2026-05-01 05:05:13.411000+00:00,yes,yes,True,80.0,79.0,0.8418310894361716,0.8418310894361716,4.183108943617157,586.589,settlement_win,,,,,,40.0,True,160.0,3.0,0.0,3.0,edge0_ask100_p0.65_stc0-600,prob52
v55_bookanchor_m10_v20_g05_book_plus2,KXBTC15M-26MAY010130-30,train,2026-05-01 05:20:14.982000+00:00,no,no,True,88.0,87.0,0.9014235490353865,0.09857645096461354,2.1423549035386458,585.018,settlement_win,,,,,,24.0,True,176.0,2.0,0.0,2.0,edge0_ask100_p0.65_stc0-600,prob52
v55_bookanchor_m10_v20_g05_book_plus2,KXBTC15M-26MAY010200-00,train,2026-05-01 05:51:17.698000+00:00,yes,yes,True,61.0,60.0,0.6809022013323286,0.6809022013323286,7.090220133232862,522.302,settlement_win,,,,,,78.0,True,122.0,4.0,0.0,4.0,edge0_ask100_p0.65_stc0-600,prob52
v55_bookanchor_m10_v20_g05_book_plus2,KXBTC15M-26MAY010215-15,train,2026-05-01 06:07:03.960000+00:00,yes,no,False,65.0,64.0,0.6668216070999833,0.6668216070999833,1.6821607099983282,476.04,probability_reduce,2026-05-01 06:09:04.135000+00:00,355.865,53.0,0.5092923446770948,-2.0707655322905154,-24.0,False,130.0,4.0,4.0,8.0,edge0_ask100_p0.65_stc0-600,prob52
v55_bookanchor_m10_v20_g05_book_plus2,KXBTC15M-26MAY010230-30,train,2026-05-01 06:29:21.118000+00:00,yes,yes,True,94.0,93.0,0.9579506212710257,0.9579506212710257,1.7950621271025682,38.882,settlement_win,,,,,,12.0,True,188.0,1.0,0.0,1.0,edge0_ask100_p0.65_stc0-600,prob52
