model,entry_policy,exit_policy,entry_edge_floor_cents,entry_ask_cap_cents,entry_min_p_side,entry_max_seconds_to_close,entry_min_seconds_to_close,train_markets,train_trades,train_coverage,train_pnl_dollars,train_cost_dollars,train_roi,train_fee_dollars,train_net_after_fees_dollars,train_net_roi_after_fees,train_net_after_fees_1c_entry_dollars,train_net_after_fees_1c_roundtrip_dollars,train_wins,train_losses,train_settled_count,train_exit_count,train_avg_entry_ask,train_avg_entry_edge,train_avg_entry_p_side,train_avg_entry_seconds_to_close,validation_markets,validation_trades,validation_coverage,validation_pnl_dollars,validation_cost_dollars,validation_roi,validation_fee_dollars,validation_net_after_fees_dollars,validation_net_roi_after_fees,validation_net_after_fees_1c_entry_dollars,validation_net_after_fees_1c_roundtrip_dollars,validation_wins,validation_losses,validation_settled_count,validation_exit_count,validation_avg_entry_ask,validation_avg_entry_edge,validation_avg_entry_p_side,validation_avg_entry_seconds_to_close,holdout_markets,holdout_trades,holdout_coverage,holdout_pnl_dollars,holdout_cost_dollars,holdout_roi,holdout_fee_dollars,holdout_net_after_fees_dollars,holdout_net_roi_after_fees,holdout_net_after_fees_1c_entry_dollars,holdout_net_after_fees_1c_roundtrip_dollars,holdout_wins,holdout_losses,holdout_settled_count,holdout_exit_count,holdout_avg_entry_ask,holdout_avg_entry_edge,holdout_avg_entry_p_side,holdout_avg_entry_seconds_to_close,all_markets,all_trades,all_coverage,all_pnl_dollars,all_cost_dollars,all_roi,all_fee_dollars,all_net_after_fees_dollars,all_net_roi_after_fees,all_net_after_fees_1c_entry_dollars,all_net_after_fees_1c_roundtrip_dollars,all_wins,all_losses,all_settled_count,all_exit_count,all_avg_entry_ask,all_avg_entry_edge,all_avg_entry_p_side,all_avg_entry_seconds_to_close,min_split_coverage,min_split_pnl_dollars,min_split_net_after_fees_dollars,min_split_net_after_fees_1c_roundtrip_dollars,all_splits_positive,all_splits_net_after_fees_positive,all_splits_net_after_fees_1c_roundtrip_positive,eligible_80,entry_surface,entry_model,exit_surface,exit_model,exit_floor,min_split_net_after_fees_1c_entry_dollars,all_splits_1c_entry_positive,positive_1c_days,total_days,block10_positive
v55_entry__v55_exit,edge0_ask100_p0.65_stc0-600,hold15_v55_prob48,0.0,100.0,0.65,600.0,0.0,223,205,0.9192825112107623,17.52,332.92,0.052625255316592574,6.39,11.129999999999999,0.03343145500420521,7.029999999999999,6.1499999999999995,174,31,161,44,81.2,3.188820742138968,0.8438882074213896,419.12041463414636,74,67,0.9054054054054054,7.34,106.74,0.06876522390856286,2.27,5.07,0.047498594716132665,3.7300000000000004,3.4300000000000006,54,13,52,15,79.65671641791045,2.9415902248011876,0.8259830664271163,504.48513432835824,75,61,0.8133333333333334,1.34,99.14,0.013516239661085335,2.06,-0.72,-0.0072624571313294325,-1.94,-2.26,49,12,45,16,81.26229508196721,3.1480618005497627,0.8441035688251697,423.7884918032787,372,333,0.8951612903225806,26.2,538.8,0.048626577579806984,10.72,15.479999999999999,0.028730512249443205,8.819999999999999,7.3199999999999985,277,56,258,75,80.90090090090091,3.131611312413524,0.8403251221331443,437.151012012012,0.8133333333333334,1.34,-0.72,-2.26,True,False,False,True,v55,v55_bookanchor_m10_v20_g05_book_plus2,v55,v55_bookanchor_m10_v20_g05_book_plus2,0.48,-1.94,False,3,5,6
v55_entry__v55_exit,edge0_ask100_p0.65_stc0-600,hold15_v55_prob50,0.0,100.0,0.65,600.0,0.0,223,205,0.9192825112107623,18.76,332.92,0.056349873843566024,6.42,12.340000000000002,0.03706596179262286,8.240000000000002,7.360000000000002,174,31,161,44,81.2,3.188820742138968,0.8438882074213896,419.12041463414636,74,67,0.9054054054054054,7.64,106.74,0.07157579164324528,2.27,5.369999999999999,0.050309162450815056,4.029999999999999,3.7299999999999995,54,13,52,15,79.65671641791045,2.9415902248011876,0.8259830664271163,504.48513432835824,75,61,0.8133333333333334,2.42,99.14,0.02440992535807948,2.06,0.3599999999999999,0.0036312285656647154,-0.8600000000000001,-1.1800000000000002,49,12,45,16,81.26229508196721,3.1480618005497627,0.8441035688251697,423.7884918032787,372,333,0.8951612903225806,28.82,538.8,0.05348923533778768,10.75,18.07,0.03353749072011879,11.41,9.91,277,56,258,75,80.90090090090091,3.131611312413524,0.8403251221331443,437.151012012012,0.8133333333333334,2.42,0.3599999999999999,-1.1800000000000002,True,True,False,True,v55,v55_bookanchor_m10_v20_g05_book_plus2,v55,v55_bookanchor_m10_v20_g05_book_plus2,0.5,-0.8600000000000001,False,4,5,7
v55_entry__v55_exit,edge0_ask100_p0.65_stc0-600,hold15_v55_prob52,0.0,100.0,0.65,600.0,0.0,223,205,0.9192825112107623,18.12,332.92,0.05442749008770876,6.57,11.55,0.034693019343986546,7.450000000000001,6.510000000000002,174,31,158,47,81.2,3.188820742138968,0.8438882074213896,419.12041463414636,74,67,0.9054054054054054,8.86,106.74,0.08300543376428705,2.3,6.56,0.061457747798388605,5.22,4.92,54,13,52,15,79.65671641791045,2.9415902248011876,0.8259830664271163,504.48513432835824,75,61,0.8133333333333334,4.24,99.14,0.042767803106717774,2.09,2.1500000000000004,0.02168650393383095,0.9300000000000004,0.6100000000000003,49,12,45,16,81.26229508196721,3.1480618005497627,0.8441035688251697,423.7884918032787,372,333,0.8951612903225806,31.22,538.8,0.05794357832219748,10.96,20.259999999999998,0.03760207869339272,13.599999999999998,12.039999999999997,277,56,255,78,80.90090090090091,3.131611312413524,0.8403251221331443,437.151012012012,0.8133333333333334,4.24,2.1500000000000004,0.6100000000000003,True,True,True,True,v55,v55_bookanchor_m10_v20_g05_book_plus2,v55,v55_bookanchor_m10_v20_g05_book_plus2,0.52,0.9300000000000004,True,5,5,8
v55_entry__v55_exit,edge0_ask100_p0.65_stc0-600,hold15_v55_prob54,0.0,100.0,0.65,600.0,0.0,223,205,0.9192825112107623,18.26,332.92,0.054848011534302535,6.61,11.650000000000002,0.03499339180583925,7.5500000000000025,6.5900000000000025,174,31,157,48,81.2,3.188820742138968,0.8438882074213896,419.12041463414636,74,67,0.9054054054054054,8.86,106.74,0.08300543376428705,2.3,6.56,0.061457747798388605,5.22,4.92,54,13,52,15,79.65671641791045,2.9415902248011876,0.8259830664271163,504.48513432835824,75,61,0.8133333333333334,3.7,99.14,0.0373209602582207,2.13,1.5700000000000003,0.01583619124470446,0.3500000000000003,0.010000000000000286,49,12,44,17,81.26229508196721,3.1480618005497627,0.8441035688251697,423.7884918032787,372,333,0.8951612903225806,30.82,538.8,0.05720118782479585,11.04,19.78,0.03671121009651077,13.120000000000001,11.520000000000001,277,56,253,80,80.90090090090091,3.131611312413524,0.8403251221331443,437.151012012012,0.8133333333333334,3.7,1.5700000000000003,0.010000000000000286,True,True,True,True,v55,v55_bookanchor_m10_v20_g05_book_plus2,v55,v55_bookanchor_m10_v20_g05_book_plus2,0.54,0.3500000000000003,True,5,5,8
v55_entry__v55_exit,edge0_ask100_p0.65_stc0-600,hold15_v55_prob56,0.0,100.0,0.65,600.0,0.0,223,205,0.9192825112107623,16.88,332.92,0.05070287156073531,6.74,10.139999999999999,0.030457767631863506,6.039999999999999,5.02,174,31,154,51,81.2,3.188820742138968,0.8438882074213896,419.12041463414636,74,67,0.9054054054054054,7.2,106.74,0.06745362563237775,2.44,4.76,0.044594341390294175,3.42,3.06,54,13,49,18,79.65671641791045,2.9415902248011876,0.8259830664271163,504.48513432835824,75,61,0.8133333333333334,4.52,99.14,0.04559209199112366,2.17,2.3499999999999996,0.023703853136978006,1.1299999999999997,0.7699999999999997,49,12,43,18,81.26229508196721,3.1480618005497627,0.8441035688251697,423.7884918032787,372,333,0.8951612903225806,28.6,538.8,0.05308092056421679,11.35,17.25,0.032015590200445435,10.59,8.85,277,56,246,87,80.90090090090091,3.131611312413524,0.8403251221331443,437.151012012012,0.8133333333333334,4.52,2.3499999999999996,0.7699999999999997,True,True,True,True,v55,v55_bookanchor_m10_v20_g05_book_plus2,v55,v55_bookanchor_m10_v20_g05_book_plus2,0.56,1.1299999999999997,True,4,5,7
v55_entry__v55_exit,edge0_ask100_p0.65_stc0-600,hold15_v55_prob58,0.0,100.0,0.65,600.0,0.0,223,205,0.9192825112107623,15.4,332.92,0.04625735912531539,6.92,8.48,0.025471584765108735,4.380000000000001,3.2600000000000007,174,31,149,56,81.2,3.188820742138968,0.8438882074213896,419.12041463414636,74,67,0.9054054054054054,6.86,106.74,0.06426831553307102,2.48,4.380000000000001,0.041034288926363134,3.040000000000001,2.660000000000001,54,13,48,19,79.65671641791045,2.9415902248011876,0.8259830664271163,504.48513432835824,75,61,0.8133333333333334,2.0,99.14,0.020173492031470647,2.29,-0.29000000000000004,-0.002925156344563244,-1.51,-1.93,49,12,40,21,81.26229508196721,3.1480618005497627,0.8441035688251697,423.7884918032787,372,333,0.8951612903225806,24.26,538.8,0.045025983667409064,11.69,12.570000000000002,0.023329621380846332,5.910000000000002,3.990000000000002,277,56,237,96,80.90090090090091,3.131611312413524,0.8403251221331443,437.151012012012,0.8133333333333334,2.0,-0.29000000000000004,-1.93,True,False,False,True,v55,v55_bookanchor_m10_v20_g05_book_plus2,v55,v55_bookanchor_m10_v20_g05_book_plus2,0.58,-1.51,False,4,5,6
v55_entry__v55_exit,edge0_ask100_p0.65_stc0-600,hold15_v55_prob60,0.0,100.0,0.65,600.0,0.0,223,205,0.9192825112107623,15.8,332.92,0.04745884897272618,7.17,8.63,0.02592214345788778,4.530000000000001,3.3100000000000014,174,31,144,61,81.2,3.188820742138968,0.8438882074213896,419.12041463414636,74,67,0.9054054054054054,5.02,106.74,0.04703016676035226,2.61,2.4099999999999997,0.022578227468615326,1.0699999999999996,0.6299999999999997,54,13,45,22,79.65671641791045,2.9415902248011876,0.8259830664271163,504.48513432835824,75,61,0.8133333333333334,1.02,99.14,0.01028848093605003,2.34,-1.3199999999999998,-0.013314504740770625,-2.54,-2.98,49,12,39,22,81.26229508196721,3.1480618005497627,0.8441035688251697,423.7884918032787,372,333,0.8951612903225806,21.84,538.8,0.04053452115812918,12.12,9.72,0.018040089086859692,3.0600000000000005,0.9600000000000004,277,56,228,105,80.90090090090091,3.131611312413524,0.8403251221331443,437.151012012012,0.8133333333333334,1.02,-1.3199999999999998,-2.98,True,False,False,True,v55,v55_bookanchor_m10_v20_g05_book_plus2,v55,v55_bookanchor_m10_v20_g05_book_plus2,0.6,-2.54,False,4,5,6
v55_entry__v66_bal_exit,edge0_ask100_p0.65_stc0-600,hold15_v66_bal_prob48,0.0,100.0,0.65,600.0,0.0,223,205,0.9192825112107623,16.06,332.92,0.04823981737354319,6.53,9.529999999999998,0.028625495614562048,5.429999999999998,4.509999999999998,174,31,159,46,81.2,3.188820742138968,0.8438882074213896,419.12041463414636,74,67,0.9054054054054054,7.9,106.74,0.07401161701330336,2.32,5.58,0.052276559865092755,4.24,3.9400000000000004,54,13,52,15,79.65671641791045,2.9415902248011876,0.8259830664271163,504.48513432835824,75,61,0.8133333333333334,2.36,99.14,0.023804720597135363,2.08,0.2799999999999998,0.0028242888844058887,-0.9400000000000002,-1.2600000000000002,49,12,45,16,81.26229508196721,3.1480618005497627,0.8441035688251697,423.7884918032787,372,333,0.8951612903225806,26.32,538.8,0.04884929472902747,10.93,15.39,0.02856347438752784,8.73,7.19,277,56,256,77,80.90090090090091,3.131611312413524,0.8403251221331443,437.151012012012,0.8133333333333334,2.36,0.2799999999999998,-1.2600000000000002,True,True,False,True,v55,v55_bookanchor_m10_v20_g05_book_plus2,v66_bal,v66_no_bookgap_g08_blend75,0.48,-0.9400000000000002,False,3,5,7
v55_entry__v66_bal_exit,edge0_ask100_p0.65_stc0-600,hold15_v66_bal_prob50,0.0,100.0,0.65,600.0,0.0,223,205,0.9192825112107623,16.46,332.92,0.04944130722095398,6.6,9.860000000000001,0.02961672473867596,5.760000000000002,4.820000000000002,174,31,158,47,81.2,3.188820742138968,0.8438882074213896,419.12041463414636,74,67,0.9054054054054054,8.6,106.74,0.08056960839422897,2.32,6.279999999999999,0.05883455124601836,4.9399999999999995,4.64,54,13,52,15,79.65671641791045,2.9415902248011876,0.8259830664271163,504.48513432835824,75,61,0.8133333333333334,3.82,99.14,0.03853136978010893,2.09,1.73,0.01745007060722211,0.51,0.19,49,12,45,16,81.26229508196721,3.1480618005497627,0.8441035688251697,423.7884918032787,372,333,0.8951612903225806,28.88,538.8,0.05360059391239792,11.01,17.869999999999997,0.033166295471417966,11.209999999999997,9.649999999999997,277,56,255,78,80.90090090090091,3.131611312413524,0.8403251221331443,437.151012012012,0.8133333333333334,3.82,1.73,0.19,True,True,True,True,v55,v55_bookanchor_m10_v20_g05_book_plus2,v66_bal,v66_no_bookgap_g08_blend75,0.5,0.51,True,3,5,7
v55_entry__v66_bal_exit,edge0_ask100_p0.65_stc0-600,hold15_v66_bal_prob52,0.0,100.0,0.65,600.0,0.0,223,205,0.9192825112107623,17.1,332.92,0.051363690976811247,6.72,10.380000000000003,0.03117866154030999,6.280000000000003,5.3000000000000025,174,31,156,49,81.2,3.188820742138968,0.8438882074213896,419.12041463414636,74,67,0.9054054054054054,8.06,106.74,0.07551058647180064,2.36,5.700000000000001,0.053400786958965725,4.360000000000001,4.040000000000001,54,13,51,16,79.65671641791045,2.9415902248011876,0.8259830664271163,504.48513432835824,75,61,0.8133333333333334,5.5,99.14,0.05547710308654428,2.11,3.39,0.03419406899334275,2.17,1.8499999999999999,49,12,45,16,81.26229508196721,3.1480618005497627,0.8441035688251697,423.7884918032787,372,333,0.8951612903225806,30.66,538.8,0.056904231625835196,11.19,19.47,0.0361358574610245,12.809999999999999,11.189999999999998,277,56,252,81,80.90090090090091,3.131611312413524,0.8403251221331443,437.151012012012,0.8133333333333334,5.5,3.39,1.8499999999999999,True,True,True,True,v55,v55_bookanchor_m10_v20_g05_book_plus2,v66_bal,v66_no_bookgap_g08_blend75,0.52,2.17,True,5,5,7
