model,entry_policy,exit_policy,entry_edge_floor_cents,entry_ask_cap_cents,entry_min_p_side,entry_max_seconds_to_close,entry_min_seconds_to_close,train_markets,train_trades,train_coverage,train_pnl_dollars,train_cost_dollars,train_roi,train_fee_dollars,train_net_after_fees_dollars,train_net_roi_after_fees,train_net_after_fees_1c_entry_dollars,train_net_after_fees_1c_roundtrip_dollars,train_wins,train_losses,train_settled_count,train_exit_count,train_avg_entry_ask,train_avg_entry_edge,train_avg_entry_p_side,train_avg_entry_seconds_to_close,validation_markets,validation_trades,validation_coverage,validation_pnl_dollars,validation_cost_dollars,validation_roi,validation_fee_dollars,validation_net_after_fees_dollars,validation_net_roi_after_fees,validation_net_after_fees_1c_entry_dollars,validation_net_after_fees_1c_roundtrip_dollars,validation_wins,validation_losses,validation_settled_count,validation_exit_count,validation_avg_entry_ask,validation_avg_entry_edge,validation_avg_entry_p_side,validation_avg_entry_seconds_to_close,holdout_markets,holdout_trades,holdout_coverage,holdout_pnl_dollars,holdout_cost_dollars,holdout_roi,holdout_fee_dollars,holdout_net_after_fees_dollars,holdout_net_roi_after_fees,holdout_net_after_fees_1c_entry_dollars,holdout_net_after_fees_1c_roundtrip_dollars,holdout_wins,holdout_losses,holdout_settled_count,holdout_exit_count,holdout_avg_entry_ask,holdout_avg_entry_edge,holdout_avg_entry_p_side,holdout_avg_entry_seconds_to_close,all_markets,all_trades,all_coverage,all_pnl_dollars,all_cost_dollars,all_roi,all_fee_dollars,all_net_after_fees_dollars,all_net_roi_after_fees,all_net_after_fees_1c_entry_dollars,all_net_after_fees_1c_roundtrip_dollars,all_wins,all_losses,all_settled_count,all_exit_count,all_avg_entry_ask,all_avg_entry_edge,all_avg_entry_p_side,all_avg_entry_seconds_to_close,min_split_coverage,min_split_pnl_dollars,min_split_net_after_fees_dollars,min_split_net_after_fees_1c_roundtrip_dollars,all_splits_positive,all_splits_net_after_fees_positive,all_splits_net_after_fees_1c_roundtrip_positive,eligible_80,exit_surface,exit_probability_floor,exit_min_hold_seconds,exit_margin_ceiling_sigma15,exit_margin_gate_side,min_split_net_after_fees_1c_entry_dollars,all_splits_1c_entry_positive,positive_1c_days,total_days,worst_1c_day_cents,block10_positive,block10_worst_cents
v55_entry__v55_margin_exit,edge0_ask100_p0.65_stc0-600,hold15_prob50,0.0,100.0,0.65,600.0,0.0,223,205,0.9192825112107623,18.76,332.92,0.056349873843566024,6.42,12.340000000000002,0.03706596179262286,8.240000000000002,7.360000000000002,174,31,161,44,81.2,3.188820742138968,0.8438882074213896,419.12041463414636,74,67,0.9054054054054054,7.64,106.74,0.07157579164324528,2.27,5.369999999999999,0.050309162450815056,4.029999999999999,3.7299999999999995,54,13,52,15,79.65671641791045,2.9415902248011876,0.8259830664271163,504.48513432835824,75,61,0.8133333333333334,2.42,99.14,0.02440992535807948,2.06,0.3599999999999999,0.0036312285656647154,-0.8600000000000001,-1.1800000000000002,49,12,45,16,81.26229508196721,3.1480618005497627,0.8441035688251697,423.7884918032787,372,333,0.8951612903225806,28.82,538.8,0.05348923533778768,10.75,18.07,0.03353749072011879,11.41,9.91,277,56,258,75,80.90090090090091,3.131611312413524,0.8403251221331443,437.151012012012,0.8133333333333334,2.42,0.3599999999999999,-1.1800000000000002,True,True,False,True,v55,0.5,15.0,,,-0.8600000000000001,False,4,5,-131.0,7,-213.0
v55_entry__v55_margin_exit,edge0_ask100_p0.65_stc0-600,hold15_prob50_marginltem0p25,0.0,100.0,0.65,600.0,0.0,223,205,0.9192825112107623,20.38,332.92,0.061215907725579714,5.52,14.86,0.044635347831310825,10.76,10.32,174,31,183,22,81.2,3.188820742138968,0.8438882074213896,419.12041463414636,74,67,0.9054054054054054,3.92,106.74,0.03672475173318344,1.93,1.99,0.018643432640059958,0.6499999999999999,0.5299999999999999,54,13,61,6,79.65671641791045,2.9415902248011876,0.8259830664271163,504.48513432835824,75,61,0.8133333333333334,-2.38,99.14,-0.02400645551745007,1.64,-4.02,-0.040548718983255995,-5.239999999999999,-5.339999999999999,49,12,56,5,81.26229508196721,3.1480618005497627,0.8441035688251697,423.7884918032787,372,333,0.8951612903225806,21.92,538.8,0.04068299925760951,9.09,12.830000000000002,0.023812175204157394,6.170000000000002,5.510000000000002,277,56,300,33,80.90090090090091,3.131611312413524,0.8403251221331443,437.151012012012,0.8133333333333334,-2.38,-4.02,-5.339999999999999,False,False,False,True,v55,0.5,15.0,-0.25,,-5.239999999999999,False,3,5,-262.0,6,-466.0
v55_entry__v55_margin_exit,edge0_ask100_p0.65_stc0-600,hold15_prob50_noside_marginltem0p25,0.0,100.0,0.65,600.0,0.0,223,205,0.9192825112107623,21.78,332.92,0.06542112219151748,5.78,16.0,0.04805959389643157,11.9,11.38,174,31,179,26,81.2,3.188820742138968,0.8438882074213896,419.12041463414636,74,67,0.9054054054054054,6.08,106.74,0.05696083942289676,1.96,4.12,0.03859846355630504,2.7800000000000002,2.66,54,13,61,6,79.65671641791045,2.9415902248011876,0.8259830664271163,504.48513432835824,75,61,0.8133333333333334,-0.34,99.14,-0.0034294936453500104,1.72,-2.06,-0.02077869679241477,-3.2800000000000002,-3.4000000000000004,49,12,55,6,81.26229508196721,3.1480618005497627,0.8441035688251697,423.7884918032787,372,333,0.8951612903225806,27.52,538.8,0.051076466221232374,9.46,18.06,0.03351893095768374,11.399999999999999,10.639999999999999,277,56,295,38,80.90090090090091,3.131611312413524,0.8403251221331443,437.151012012012,0.8133333333333334,-0.34,-2.06,-3.4000000000000004,False,False,False,True,v55,0.5,15.0,-0.25,no,-3.2800000000000002,False,4,5,-262.0,6,-390.0
v55_entry__v55_margin_exit,edge0_ask100_p0.65_stc0-600,hold15_prob50_yesside_marginltem0p25,0.0,100.0,0.65,600.0,0.0,223,205,0.9192825112107623,17.36,332.92,0.05214465937762826,6.16,11.2,0.033641715727502096,7.1,6.3,174,31,165,40,81.2,3.188820742138968,0.8438882074213896,419.12041463414636,74,67,0.9054054054054054,5.48,106.74,0.051339703953531955,2.24,3.24,0.030354131534569985,1.9000000000000001,1.6,54,13,52,15,79.65671641791045,2.9415902248011876,0.8259830664271163,504.48513432835824,75,61,0.8133333333333334,0.38,99.14,0.003832963485979423,1.98,-1.6,-0.01613879362517652,-2.8200000000000003,-3.12,49,12,46,15,81.26229508196721,3.1480618005497627,0.8441035688251697,423.7884918032787,372,333,0.8951612903225806,23.22,538.8,0.04309576837416481,10.38,12.839999999999998,0.023830734966592427,6.179999999999998,4.779999999999998,277,56,263,70,80.90090090090091,3.131611312413524,0.8403251221331443,437.151012012012,0.8133333333333334,0.38,-1.6,-3.12,True,False,False,True,v55,0.5,15.0,-0.25,yes,-2.8200000000000003,False,3,5,-131.0,4,-367.0
v55_entry__v55_margin_exit,edge0_ask100_p0.65_stc0-600,hold15_prob50_marginlte0p0,0.0,100.0,0.65,600.0,0.0,223,205,0.9192825112107623,20.62,332.92,0.06193680163402619,5.74,14.88,0.044695422323681365,10.780000000000001,10.260000000000002,174,31,179,26,81.2,3.188820742138968,0.8438882074213896,419.12041463414636,74,67,0.9054054054054054,6.96,106.74,0.06520517144463182,2.0,4.96,0.04646805321341578,3.62,3.48,54,13,60,7,79.65671641791045,2.9415902248011876,0.8259830664271163,504.48513432835824,75,61,0.8133333333333334,-0.7,99.14,-0.007060722211014726,1.79,-2.49,-0.025115997579180958,-3.71,-3.87,49,12,53,8,81.26229508196721,3.1480618005497627,0.8441035688251697,423.7884918032787,372,333,0.8951612903225806,26.88,538.8,0.049888641425389756,9.53,17.35,0.03220118782479585,10.690000000000001,9.870000000000001,277,56,292,41,80.90090090090091,3.131611312413524,0.8403251221331443,437.151012012012,0.8133333333333334,-0.7,-2.49,-3.87,False,False,False,True,v55,0.5,15.0,0.0,,-3.71,False,4,5,-262.0,6,-315.0
v55_entry__v55_margin_exit,edge0_ask100_p0.65_stc0-600,hold15_prob50_noside_marginlte0p0,0.0,100.0,0.65,600.0,0.0,223,205,0.9192825112107623,21.78,332.92,0.06542112219151748,5.78,16.0,0.04805959389643157,11.9,11.38,174,31,179,26,81.2,3.188820742138968,0.8438882074213896,419.12041463414636,74,67,0.9054054054054054,7.06,106.74,0.06614202735619262,2.0,5.06,0.04740490912497658,3.7199999999999998,3.5799999999999996,54,13,60,7,79.65671641791045,2.9415902248011876,0.8259830664271163,504.48513432835824,75,61,0.8133333333333334,-0.7,99.14,-0.007060722211014726,1.79,-2.49,-0.025115997579180958,-3.71,-3.87,49,12,53,8,81.26229508196721,3.1480618005497627,0.8441035688251697,423.7884918032787,372,333,0.8951612903225806,28.14,538.8,0.052227171492204905,9.57,18.57,0.03446547884187083,11.91,11.09,277,56,292,41,80.90090090090091,3.131611312413524,0.8403251221331443,437.151012012012,0.8133333333333334,-0.7,-2.49,-3.87,False,False,False,True,v55,0.5,15.0,0.0,no,-3.71,False,4,5,-262.0,6,-278.0
v55_entry__v55_margin_exit,edge0_ask100_p0.65_stc0-600,hold15_prob50_yesside_marginlte0p0,0.0,100.0,0.65,600.0,0.0,223,205,0.9192825112107623,17.6,332.92,0.052865553286074736,6.38,11.220000000000002,0.03370179021987265,7.120000000000003,6.240000000000003,174,31,161,44,81.2,3.188820742138968,0.8438882074213896,419.12041463414636,74,67,0.9054054054054054,7.54,106.74,0.07063893573168448,2.27,5.27,0.049372306539254264,3.9299999999999997,3.63,54,13,52,15,79.65671641791045,2.9415902248011876,0.8259830664271163,504.48513432835824,75,61,0.8133333333333334,2.42,99.14,0.02440992535807948,2.06,0.3599999999999999,0.0036312285656647154,-0.8600000000000001,-1.1800000000000002,49,12,45,16,81.26229508196721,3.1480618005497627,0.8441035688251697,423.7884918032787,372,333,0.8951612903225806,27.56,538.8,0.051150705270972534,10.71,16.849999999999998,0.0312731997030438,10.189999999999998,8.689999999999998,277,56,258,75,80.90090090090091,3.131611312413524,0.8403251221331443,437.151012012012,0.8133333333333334,2.42,0.3599999999999999,-1.1800000000000002,True,True,False,True,v55,0.5,15.0,0.0,yes,-0.8600000000000001,False,3,5,-131.0,7,-236.0
v55_entry__v55_margin_exit,edge0_ask100_p0.65_stc0-600,hold15_prob50_marginlte0p25,0.0,100.0,0.65,600.0,0.0,223,205,0.9192825112107623,23.46,332.92,0.07046737955064279,6.23,17.23,0.05175417517721975,13.13,12.370000000000001,174,31,167,38,81.2,3.188820742138968,0.8438882074213896,419.12041463414636,74,67,0.9054054054054054,9.1,106.74,0.08525388795203298,2.12,6.9799999999999995,0.06539254262694398,5.64,5.4399999999999995,54,13,57,10,79.65671641791045,2.9415902248011876,0.8259830664271163,504.48513432835824,75,61,0.8133333333333334,2.44,99.14,0.02461166027839419,2.03,0.41000000000000014,0.004135565866451484,-0.8099999999999998,-1.0899999999999999,49,12,47,14,81.26229508196721,3.1480618005497627,0.8441035688251697,423.7884918032787,372,333,0.8951612903225806,35.0,538.8,0.06495916852264291,10.38,24.619999999999997,0.045694135115070526,17.959999999999997,16.72,277,56,271,62,80.90090090090091,3.131611312413524,0.8403251221331443,437.151012012012,0.8133333333333334,2.44,0.41000000000000014,-1.0899999999999999,True,True,False,True,v55,0.5,15.0,0.25,,-0.8099999999999998,False,4,5,-120.0,8,-66.0
v55_entry__v55_margin_exit,edge0_ask100_p0.65_stc0-600,hold15_prob50_noside_marginlte0p25,0.0,100.0,0.65,600.0,0.0,223,205,0.9192825112107623,23.84,332.92,0.07160879490568305,6.24,17.6,0.052865553286074736,13.500000000000002,12.740000000000002,174,31,167,38,81.2,3.188820742138968,0.8438882074213896,419.12041463414636,74,67,0.9054054054054054,9.2,106.74,0.08619074386359378,2.12,7.079999999999999,0.06632939853850478,5.739999999999999,5.539999999999999,54,13,57,10,79.65671641791045,2.9415902248011876,0.8259830664271163,504.48513432835824,75,61,0.8133333333333334,2.44,99.14,0.02461166027839419,2.03,0.41000000000000014,0.004135565866451484,-0.8099999999999998,-1.0899999999999999,49,12,47,14,81.26229508196721,3.1480618005497627,0.8441035688251697,423.7884918032787,372,333,0.8951612903225806,35.48,538.8,0.06585003711952488,10.39,25.089999999999996,0.04656644394951744,18.429999999999996,17.189999999999998,277,56,271,62,80.90090090090091,3.131611312413524,0.8403251221331443,437.151012012012,0.8133333333333334,2.44,0.41000000000000014,-1.0899999999999999,True,True,False,True,v55,0.5,15.0,0.25,no,-0.8099999999999998,False,4,5,-120.0,8,-66.0
v55_entry__v55_margin_exit,edge0_ask100_p0.65_stc0-600,hold15_prob50_yesside_marginlte0p25,0.0,100.0,0.65,600.0,0.0,223,205,0.9192825112107623,18.38,332.92,0.05520845848852576,6.41,11.969999999999999,0.03595458368376787,7.869999999999999,6.989999999999999,174,31,161,44,81.2,3.188820742138968,0.8438882074213896,419.12041463414636,74,67,0.9054054054054054,7.54,106.74,0.07063893573168448,2.27,5.27,0.049372306539254264,3.9299999999999997,3.63,54,13,52,15,79.65671641791045,2.9415902248011876,0.8259830664271163,504.48513432835824,75,61,0.8133333333333334,2.42,99.14,0.02440992535807948,2.06,0.3599999999999999,0.0036312285656647154,-0.8600000000000001,-1.1800000000000002,49,12,45,16,81.26229508196721,3.1480618005497627,0.8441035688251697,423.7884918032787,372,333,0.8951612903225806,28.34,538.8,0.05259836674090572,10.74,17.6,0.03266518188567187,10.940000000000001,9.440000000000001,277,56,258,75,80.90090090090091,3.131611312413524,0.8403251221331443,437.151012012012,0.8133333333333334,2.42,0.3599999999999999,-1.1800000000000002,True,True,False,True,v55,0.5,15.0,0.25,yes,-0.8600000000000001,False,4,5,-131.0,7,-213.0
