dataset,candidate,slice,markets,wins,losses,accuracy,net_pnl_cents,net_per_market_cents,median_ask,median_edge
current,book_margin,split=holdout,66,45,21,0.6818181818181818,-38.0,-0.5757575757575758,65.0,-2.5
current,book_margin,split=train,194,138,56,0.711340206185567,794.0,4.092783505154639,63.0,-2.5
current,book_margin,split=validation,66,46,20,0.696969696969697,62.0,0.9393939393939394,65.0,-2.5
current,book_margin,side=no,165,116,49,0.703030303030303,408.0,2.4727272727272727,64.0,-2.5
current,book_margin,side=yes,161,113,48,0.7018633540372671,410.0,2.546583850931677,64.0,-2.5
current,book_margin,"score=(-1.001, 0.625]",148,102,46,0.6891891891891891,762.0,5.148648648648648,62.0,-2.5
current,book_margin,"score=(0.625, 0.65]",63,34,29,0.5396825396825397,-791.0,-12.555555555555555,64.0,-2.5
current,book_margin,"score=(0.65, 0.7]",66,51,15,0.7727272727272727,481.0,7.287878787878788,68.0,-2.5
current,book_margin,"score=(0.7, 0.8]",42,36,6,0.8571428571428571,360.0,8.571428571428571,75.0,-2.5
current,book_margin,"edge=(-3.0, 0.0]",273,198,75,0.7252747252747253,1285.0,4.706959706959707,64.0,-2.5
current,book_margin,"edge=(-5.0, -3.0]",53,31,22,0.5849056603773585,-467.0,-8.81132075471698,64.0,-3.0
current,book_margin,"ask=(60.0, 70.0]",277,187,90,0.6750902527075813,452.0,1.6317689530685922,63.0,-2.5
current,book_margin,"ask=(70.0, 80.0]",42,36,6,0.8571428571428571,360.0,8.571428571428571,75.0,-2.5
current,book_margin,"time=(-1.001, 600.0]",22,17,5,0.7727272727272727,213.0,9.681818181818182,63.5,-2.5
current,book_margin,"time=(600.0, 720.0]",46,31,15,0.6739130434782609,-16.0,-0.34782608695652173,64.0,-2.5
current,book_margin,"time=(720.0, 840.0]",174,129,45,0.7413793103448276,1131.0,6.5,64.0,-2.5
current,book_margin,"time=(840.0, 10000.0]",84,52,32,0.6190476190476191,-510.0,-6.071428571428571,64.0,-2.5
current,book_margin,"rv15_over_rv30=(-10.001, 0.8]",71,55,16,0.7746478873239436,705.0,9.929577464788732,64.0,-2.5
current,book_margin,"rv15_over_rv30=(0.8, 1.0]",100,67,33,0.67,6.0,0.06,63.0,-2.5
current,book_margin,"rv15_over_rv30=(1.0, 1.2]",116,81,35,0.6982758620689655,216.0,1.8620689655172413,64.0,-2.5
current,book_margin,"rv15_over_rv30=(1.2, 10.0]",39,26,13,0.6666666666666666,-109.0,-2.7948717948717947,67.0,-2.5
current,book_margin,"rv30_over_rv60=(-10.001, 0.8]",50,34,16,0.68,-5.0,-0.1,65.0,-2.5
current,book_margin,"rv30_over_rv60=(0.8, 1.0]",125,89,36,0.712,578.0,4.624,63.0,-2.5
current,book_margin,"rv30_over_rv60=(1.0, 1.2]",110,76,34,0.6909090909090909,96.0,0.8727272727272727,64.5,-2.5
current,book_margin,"rv30_over_rv60=(1.2, 10.0]",41,30,11,0.7317073170731707,149.0,3.6341463414634148,66.0,-2.5
current,book_margin,"rv15_over_rv60=(-10.001, 0.8]",99,74,25,0.7474747474747475,756.0,7.636363636363637,64.0,-2.5
current,book_margin,"rv15_over_rv60=(0.8, 1.0]",99,69,30,0.696969696969697,180.0,1.8181818181818181,64.0,-2.5
current,book_margin,"rv15_over_rv60=(1.0, 1.2]",69,44,25,0.6376811594202898,-216.0,-3.130434782608696,62.0,-2.5
current,book_margin,"rv15_over_rv60=(1.2, 10.0]",59,42,17,0.711864406779661,98.0,1.6610169491525424,66.0,-2.5
current,book_margin,"rv15_minus_rv30=(-10.0, 0.0]",78,50,28,0.6410256410256411,-228.0,-2.923076923076923,64.0,-2.5
current,book_margin,"rv15_minus_rv30=(-500.001, -10.0]",93,72,21,0.7741935483870968,939.0,10.096774193548388,64.0,-2.5
current,book_margin,"rv15_minus_rv30=(0.0, 10.0]",83,57,26,0.6867469879518072,97.0,1.1686746987951808,64.0,-2.5
current,book_margin,"rv15_minus_rv30=(10.0, 500.0]",72,50,22,0.6944444444444444,10.0,0.1388888888888889,66.0,-2.5
current,book_margin__rv15_over_rv30_le_0p8,split=holdout,29,19,10,0.6551724137931034,-177.0,-6.103448275862069,68.0,-2.5
current,book_margin__rv15_over_rv30_le_0p8,split=train,87,70,17,0.8045977011494253,641.0,7.367816091954023,68.0,-2.5
current,book_margin__rv15_over_rv30_le_0p8,split=validation,28,22,6,0.7857142857142857,146.0,5.214285714285714,67.0,-2.5
current,book_margin__rv15_over_rv30_le_0p8,side=no,78,60,18,0.7692307692307693,336.0,4.3076923076923075,67.5,-2.5
current,book_margin__rv15_over_rv30_le_0p8,side=yes,66,51,15,0.7727272727272727,274.0,4.151515151515151,68.0,-2.5
current,book_margin__rv15_over_rv30_le_0p8,"score=(-1.001, 0.625]",38,24,14,0.631578947368421,-27.0,-0.7105263157894737,62.0,-2.5
current,book_margin__rv15_over_rv30_le_0p8,"score=(0.625, 0.65]",20,12,8,0.6,-132.0,-6.6,64.5,-2.5
current,book_margin__rv15_over_rv30_le_0p8,"score=(0.65, 0.7]",33,30,3,0.9090909090909091,691.0,20.939393939393938,68.0,-2.5
current,book_margin__rv15_over_rv30_le_0p8,"score=(0.7, 0.8]",27,22,5,0.8148148148148148,123.0,4.555555555555555,75.0,-2.5
current,book_margin__rv15_over_rv30_le_0p8,"score=(0.8, 2.0]",26,23,3,0.8846153846153846,-45.0,-1.7307692307692308,89.0,-1.5
current,book_margin__rv15_over_rv30_le_0p8,"edge=(-3.0, 0.0]",120,94,26,0.7833333333333333,567.0,4.725,68.0,-2.5
current,book_margin__rv15_over_rv30_le_0p8,"edge=(-5.0, -3.0]",24,17,7,0.7083333333333334,43.0,1.7916666666666667,66.0,-3.0
current,book_margin__rv15_over_rv30_le_0p8,"ask=(60.0, 70.0]",91,66,25,0.7252747252747253,532.0,5.846153846153846,64.0,-2.5
current,book_margin__rv15_over_rv30_le_0p8,"ask=(70.0, 80.0]",27,22,5,0.8148148148148148,123.0,4.555555555555555,75.0,-2.5
current,book_margin__rv15_over_rv30_le_0p8,"ask=(80.0, 90.0]",17,16,1,0.9411764705882353,106.0,6.235294117647059,88.0,-1.5
current,book_margin__rv15_over_rv30_le_0p8,"time=(-1.001, 600.0]",64,51,13,0.796875,72.0,1.125,75.5,-2.5
current,book_margin__rv15_over_rv30_le_0p8,"time=(600.0, 720.0]",23,15,8,0.6521739130434783,-84.0,-3.652173913043478,65.0,-2.5
current,book_margin__rv15_over_rv30_le_0p8,"time=(720.0, 840.0]",42,33,9,0.7857142857142857,457.0,10.880952380952381,65.0,-2.5
current,book_margin__rv15_over_rv30_le_0p8,"time=(840.0, 10000.0]",15,12,3,0.8,165.0,11.0,66.0,-2.5
current,book_margin__rv15_over_rv30_le_0p8,"rv15_over_rv30=(-10.001, 0.8]",144,111,33,0.7708333333333334,610.0,4.236111111111111,68.0,-2.5
current,book_margin__rv15_over_rv30_le_0p8,"rv30_over_rv60=(-10.001, 0.8]",17,16,1,0.9411764705882353,388.0,22.823529411764707,66.0,-2.5
current,book_margin__rv15_over_rv30_le_0p8,"rv30_over_rv60=(0.8, 1.0]",51,38,13,0.7450980392156863,118.0,2.3137254901960786,67.0,-2.5
current,book_margin__rv15_over_rv30_le_0p8,"rv30_over_rv60=(1.0, 1.2]",52,39,13,0.75,93.0,1.7884615384615385,68.0,-2.5
current,book_margin__rv15_over_rv30_le_0p8,"rv30_over_rv60=(1.2, 10.0]",24,18,6,0.75,11.0,0.4583333333333333,71.5,-2.5
current,book_margin__rv15_over_rv30_le_0p8,"rv15_over_rv60=(-10.001, 0.8]",113,87,26,0.7699115044247787,585.0,5.176991150442478,67.0,-2.5
current,book_margin__rv15_over_rv30_le_0p8,"rv15_over_rv60=(0.8, 1.0]",29,23,6,0.7931034482758621,117.0,4.0344827586206895,72.0,-2.5
current,book_margin__rv15_over_rv30_le_0p8,"rv15_minus_rv30=(-10.0, 0.0]",15,13,2,0.8666666666666667,68.0,4.533333333333333,87.0,-2.5
current,book_margin__rv15_over_rv30_le_0p8,"rv15_minus_rv30=(-500.001, -10.0]",129,98,31,0.7596899224806202,542.0,4.2015503875969,67.0,-2.5
current,book_margin__rv15_over_rv30_le_1,split=holdout,53,35,18,0.660377358490566,-256.0,-4.830188679245283,65.0,-2.5
current,book_margin__rv15_over_rv30_le_1,split=train,161,119,42,0.7391304347826086,535.0,3.3229813664596275,65.0,-2.5
current,book_margin__rv15_over_rv30_le_1,split=validation,51,39,12,0.7647058823529411,281.0,5.509803921568627,66.0,-2.5
current,book_margin__rv15_over_rv30_le_1,side=no,146,106,40,0.726027397260274,264.0,1.8082191780821917,65.0,-2.5
current,book_margin__rv15_over_rv30_le_1,side=yes,119,87,32,0.7310924369747899,296.0,2.4873949579831933,65.0,-2.5
current,book_margin__rv15_over_rv30_le_1,"score=(-1.001, 0.625]",89,57,32,0.6404494382022472,24.0,0.2696629213483146,62.0,-2.5
current,book_margin__rv15_over_rv30_le_1,"score=(0.625, 0.65]",52,29,23,0.5576923076923077,-563.0,-10.826923076923077,65.0,-2.5
current,book_margin__rv15_over_rv30_le_1,"score=(0.65, 0.7]",49,44,5,0.8979591836734694,957.0,19.53061224489796,68.0,-2.5
current,book_margin__rv15_over_rv30_le_1,"score=(0.7, 0.8]",43,34,9,0.7906976744186046,83.0,1.930232558139535,75.0,-2.5
current,book_margin__rv15_over_rv30_le_1,"score=(0.8, 2.0]",32,29,3,0.90625,59.0,1.84375,86.0,-1.5
