2026-05-11 19:52:04,649 | INFO | Starting native passive recorder. run_id=RVTERMLOCK001 dataset=particle_spot_rv_terminal_oos_RVTERMLOCK001 ws_url=wss://api.elections.kalshi.com/trade-api/ws/v2
2026-05-11 19:52:05,089 | INFO | Watching market KXBTC15M-26MAY112000-00 close_time=2026-05-12T00:00:00Z status=active strike=81775.15
2026-05-11 20:00:38,150 | INFO | Watching market KXBTC15M-26MAY112015-15 close_time=2026-05-12T00:15:00Z status=active strike=81733.08
2026-05-11 20:02:38,500 | WARNING | Active market refresh failed inside recorder watch loop: 429 Too Many Requests: {"error":{"code":"too_many_requests","message":"too many requests"}}
2026-05-11 20:15:34,564 | INFO | Watching market KXBTC15M-26MAY112030-30 close_time=2026-05-12T00:30:00Z status=active strike=81613.91
2026-05-11 20:30:39,476 | INFO | Watching market KXBTC15M-26MAY112045-45 close_time=2026-05-12T00:45:00Z status=active strike=81547.95
2026-05-11 20:45:35,066 | INFO | Watching market KXBTC15M-26MAY112100-00 close_time=2026-05-12T01:00:00Z status=active strike=81482.94
2026-05-11 21:00:41,085 | INFO | Watching market KXBTC15M-26MAY112115-15 close_time=2026-05-12T01:15:00Z status=active strike=81532.59
2026-05-11 21:01:21,240 | WARNING | Active market refresh failed inside recorder watch loop: 429 Too Many Requests: {"error":{"code":"too_many_requests","message":"too many requests"}}
2026-05-11 21:15:40,353 | INFO | Watching market KXBTC15M-26MAY112130-30 close_time=2026-05-12T01:30:00Z status=active strike=81391.64
2026-05-11 21:16:10,613 | WARNING | Active market refresh failed inside recorder watch loop: 429 Too Many Requests: {"error":{"code":"too_many_requests","message":"too many requests"}}
