2026-05-15 17:32:09,131 | INFO | Starting native passive recorder. run_id=20260515T213208Z-be2778ad dataset=rv600_next_evidence_shadow_20260515T213152Z ws_url=wss://api.elections.kalshi.com/trade-api/ws/v2
2026-05-15 17:32:09,615 | INFO | Watching market KXBTC15M-26MAY151745-45 close_time=2026-05-15T21:45:00Z status=active strike=79101.48
2026-05-15 17:42:17,187 | WARNING | Active market refresh failed inside recorder watch loop: HTTPSConnectionPool(host='api.elections.kalshi.com', port=443): Read timed out. (read timeout=5.0)
2026-05-15 17:42:31,132 | WARNING | Native passive WS loop error for KXBTC15M-26MAY151745-45: no close frame received or sent
2026-05-15 17:44:51,496 | WARNING | Active market refresh failed inside recorder watch loop: HTTPSConnectionPool(host='api.elections.kalshi.com', port=443): Read timed out. (read timeout=5.0)
2026-05-15 17:44:53,546 | WARNING | Native passive WS loop error for KXBTC15M-26MAY151745-45: no close frame received or sent
2026-05-15 17:45:15,439 | WARNING | Active market refresh failed inside recorder watch loop: HTTPSConnectionPool(host='api.elections.kalshi.com', port=443): Read timed out. (read timeout=5.0)
2026-05-15 17:45:25,295 | WARNING | Active market refresh failed inside recorder watch loop: HTTPSConnectionPool(host='api.elections.kalshi.com', port=443): Read timed out. (read timeout=5.0)
2026-05-15 17:45:34,643 | WARNING | Active market refresh failed inside recorder watch loop: HTTPSConnectionPool(host='api.elections.kalshi.com', port=443): Read timed out. (read timeout=5.0)
2026-05-15 17:45:37,277 | INFO | Watching market KXBTC15M-26MAY151800-00 close_time=2026-05-15T22:00:00Z status=active strike=79081.75
2026-05-15 17:45:53,605 | WARNING | Active market refresh failed inside recorder watch loop: HTTPSConnectionPool(host='api.elections.kalshi.com', port=443): Max retries exceeded with url: /trade-api/v2/markets?series_ticker=KXBTC15M&status=open&limit=100 (Caused by SSLError(SSLWantReadError(2, 'The operation did not complete (read) (_ssl.c:2580)')))
2026-05-15 17:46:18,196 | WARNING | Active market refresh failed inside recorder watch loop: HTTPSConnectionPool(host='api.elections.kalshi.com', port=443): Read timed out. (read timeout=5.0)
2026-05-15 17:46:18,212 | WARNING | Native passive WS loop error for KXBTC15M-26MAY151800-00: no close frame received or sent
2026-05-15 17:46:41,159 | WARNING | Active market refresh failed inside recorder watch loop: HTTPSConnectionPool(host='api.elections.kalshi.com', port=443): Max retries exceeded with url: /trade-api/v2/markets?series_ticker=KXBTC15M&status=active&limit=100 (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x000001637F9A1250>, 'Connection to api.elections.kalshi.com timed out. (connect timeout=5.0)'))
2026-05-15 17:46:45,000 | WARNING | Native passive WS loop error for KXBTC15M-26MAY151800-00: no close frame received or sent
