pt_cents,sl_cents,trades,skipped,total_net_pnl_dollars,actual_net_pnl_dollars,delta_vs_actual_dollars,mean_net_pnl_dollars,std_net_pnl_dollars,sharpe_like,wins,losses,win_rate,exit_count,settlement_count,exit_rate,avg_hold_seconds
29,13,95,0,-2.79,-7.83,5.04,-0.029368,0.511304,-0.057438,26,69,0.2737,33,62,0.3474,277.55
30,13,95,0,-2.79,-7.83,5.04,-0.029368,0.511304,-0.057438,26,69,0.2737,33,62,0.3474,277.55
31,13,95,0,-2.79,-7.83,5.04,-0.029368,0.511304,-0.057438,26,69,0.2737,33,62,0.3474,277.55
32,13,95,0,-2.79,-7.83,5.04,-0.029368,0.511304,-0.057438,26,69,0.2737,33,62,0.3474,277.55
33,13,95,0,-2.79,-7.83,5.04,-0.029368,0.511304,-0.057438,26,69,0.2737,33,62,0.3474,277.55
28,13,95,0,-2.86,-7.83,4.97,-0.030105,0.510086,-0.05902,26,69,0.2737,34,61,0.3579,275.5
26,13,95,0,-2.89,-7.83,4.94,-0.030421,0.509595,-0.059696,26,69,0.2737,34,61,0.3579,274.87
27,13,95,0,-2.89,-7.83,4.94,-0.030421,0.509595,-0.059696,26,69,0.2737,34,61,0.3579,274.87
25,13,95,0,-2.95,-7.83,4.88,-0.031053,0.508666,-0.061047,26,69,0.2737,34,61,0.3579,274.66
21,13,95,0,-2.95,-7.83,4.88,-0.031053,0.502461,-0.061801,27,68,0.2842,41,54,0.4316,253.46
24,13,95,0,-3.0,-7.83,4.83,-0.031579,0.508147,-0.062145,26,69,0.2737,35,60,0.3684,274.07
18,29,95,0,-3.02,-7.83,4.81,-0.031789,0.574338,-0.05535,33,62,0.3474,38,57,0.4,282.4
18,56,95,0,-3.03,-7.83,4.8,-0.031895,0.709738,-0.044939,38,57,0.4,35,60,0.3684,311.01
18,57,95,0,-3.06,-7.83,4.77,-0.03221,0.710526,-0.045333,38,57,0.4,35,60,0.3684,311.02
20,13,95,0,-3.08,-7.83,4.75,-0.032421,0.500992,-0.064714,27,68,0.2842,41,54,0.4316,247.91
23,13,95,0,-3.09,-7.83,4.74,-0.032526,0.506931,-0.064163,26,69,0.2737,36,59,0.3789,270.56
18,58,95,0,-3.12,-7.83,4.71,-0.032842,0.712125,-0.046118,38,57,0.4,35,60,0.3684,311.03
29,14,95,0,-3.17,-7.83,4.66,-0.033368,0.515111,-0.064779,26,69,0.2737,32,63,0.3368,282.74
30,14,95,0,-3.17,-7.83,4.66,-0.033368,0.515111,-0.064779,26,69,0.2737,32,63,0.3368,282.74
31,14,95,0,-3.17,-7.83,4.66,-0.033368,0.515111,-0.064779,26,69,0.2737,32,63,0.3368,282.74
32,14,95,0,-3.17,-7.83,4.66,-0.033368,0.515111,-0.064779,26,69,0.2737,32,63,0.3368,282.74
