pt_cents,sl_cents,trades,skipped,total_net_pnl_dollars,actual_net_pnl_dollars,delta_vs_actual_dollars,mean_net_pnl_dollars,std_net_pnl_dollars,sharpe_like,wins,losses,win_rate,exit_count,settlement_count,exit_rate,avg_hold_seconds
29,13,95,0,-2.98,-7.83,4.85,-0.031368,0.48318,-0.064921,25,70,0.2632,34,61,0.3579,275.47
30,13,95,0,-2.98,-7.83,4.85,-0.031368,0.48318,-0.064921,25,70,0.2632,34,61,0.3579,275.47
31,13,95,0,-2.98,-7.83,4.85,-0.031368,0.48318,-0.064921,25,70,0.2632,34,61,0.3579,275.47
32,13,95,0,-2.98,-7.83,4.85,-0.031368,0.48318,-0.064921,25,70,0.2632,34,61,0.3579,275.47
33,13,95,0,-2.98,-7.83,4.85,-0.031368,0.48318,-0.064921,25,70,0.2632,34,61,0.3579,275.47
18,29,95,0,-3.02,-7.83,4.81,-0.031789,0.574338,-0.05535,33,62,0.3474,38,57,0.4,282.4
18,56,95,0,-3.03,-7.83,4.8,-0.031895,0.709738,-0.044939,38,57,0.4,35,60,0.3684,311.01
28,13,95,0,-3.05,-7.83,4.78,-0.032105,0.481889,-0.066624,25,70,0.2632,35,60,0.3684,273.42
18,57,95,0,-3.06,-7.83,4.77,-0.03221,0.710526,-0.045333,38,57,0.4,35,60,0.3684,311.02
26,13,95,0,-3.08,-7.83,4.75,-0.032421,0.481367,-0.067352,25,70,0.2632,35,60,0.3684,272.78
27,13,95,0,-3.08,-7.83,4.75,-0.032421,0.481367,-0.067352,25,70,0.2632,35,60,0.3684,272.78
18,58,95,0,-3.12,-7.83,4.71,-0.032842,0.712125,-0.046118,38,57,0.4,35,60,0.3684,311.03
25,13,95,0,-3.14,-7.83,4.69,-0.033053,0.480381,-0.068805,25,70,0.2632,35,60,0.3684,272.57
21,13,95,0,-3.14,-7.83,4.69,-0.033053,0.473805,-0.06976,26,69,0.2737,42,53,0.4421,251.38
29,16,95,0,-3.18,-7.83,4.65,-0.033474,0.501962,-0.066686,26,69,0.2737,29,66,0.3053,289.79
30,16,95,0,-3.18,-7.83,4.65,-0.033474,0.501962,-0.066686,26,69,0.2737,29,66,0.3053,289.79
31,16,95,0,-3.18,-7.83,4.65,-0.033474,0.501962,-0.066686,26,69,0.2737,29,66,0.3053,289.79
32,16,95,0,-3.18,-7.83,4.65,-0.033474,0.501962,-0.066686,26,69,0.2737,29,66,0.3053,289.79
33,16,95,0,-3.18,-7.83,4.65,-0.033474,0.501962,-0.066686,26,69,0.2737,29,66,0.3053,289.79
