pt_cents,sl_cents,trades,skipped,total_net_pnl_dollars,actual_net_pnl_dollars,delta_vs_actual_dollars,mean_net_pnl_dollars,std_net_pnl_dollars,sharpe_like,wins,losses,win_rate,exit_count,settlement_count,exit_rate,avg_hold_seconds
19,55,85,0,2.67,-6.64,9.31,0.031412,0.688791,0.045604,38,47,0.4471,33,52,0.3882,311.62
19,56,85,0,2.65,-6.64,9.29,0.031177,0.68941,0.045222,38,47,0.4471,33,52,0.3882,311.63
19,57,85,0,2.6,-6.64,9.24,0.030588,0.690978,0.044268,38,47,0.4471,33,52,0.3882,311.64
18,55,85,0,2.35,-6.64,8.99,0.027647,0.686441,0.040276,38,47,0.4471,33,52,0.3882,309.02
18,56,85,0,2.33,-6.64,8.97,0.027412,0.687061,0.039897,38,47,0.4471,33,52,0.3882,309.02
18,57,85,0,2.28,-6.64,8.92,0.026824,0.688631,0.038952,38,47,0.4471,33,52,0.3882,309.04
19,58,85,0,1.89,-6.64,8.53,0.022235,0.716827,0.031019,38,47,0.4471,32,53,0.3765,313.42
19,59,85,0,1.77,-6.64,8.41,0.020824,0.720627,0.028896,38,47,0.4471,32,53,0.3765,313.93
19,60,85,0,1.77,-6.64,8.41,0.020824,0.720627,0.028896,38,47,0.4471,32,53,0.3765,313.93
19,61,85,0,1.77,-6.64,8.41,0.020824,0.720627,0.028896,38,47,0.4471,32,53,0.3765,313.93
19,62,85,0,1.68,-6.64,8.32,0.019765,0.723543,0.027317,38,47,0.4471,32,53,0.3765,313.93
17,55,85,0,1.6,-6.64,8.24,0.018824,0.680361,0.027667,38,47,0.4471,35,50,0.4118,304.52
17,56,85,0,1.58,-6.64,8.22,0.018588,0.680983,0.027296,38,47,0.4471,35,50,0.4118,304.52
18,58,85,0,1.57,-6.64,8.21,0.018471,0.71452,0.02585,38,47,0.4471,32,53,0.3765,310.81
17,57,85,0,1.53,-6.64,8.17,0.018,0.68256,0.026371,38,47,0.4471,35,50,0.4118,304.54
18,59,85,0,1.45,-6.64,8.09,0.017059,0.718324,0.023748,38,47,0.4471,32,53,0.3765,311.32
18,60,85,0,1.45,-6.64,8.09,0.017059,0.718324,0.023748,38,47,0.4471,32,53,0.3765,311.32
18,61,85,0,1.45,-6.64,8.09,0.017059,0.718324,0.023748,38,47,0.4471,32,53,0.3765,311.32
19,63,85,0,1.43,-6.64,8.07,0.016824,0.732103,0.02298,38,47,0.4471,32,53,0.3765,314.16
18,62,85,0,1.36,-6.64,8.0,0.016,0.721244,0.022184,38,47,0.4471,32,53,0.3765,311.32
19,64,85,0,1.24,-6.64,7.88,0.014588,0.736479,0.019808,38,47,0.4471,32,53,0.3765,314.58
19,66,85,0,1.2,-6.64,7.84,0.014118,0.73778,0.019135,38,47,0.4471,30,55,0.3529,318.13
19,67,85,0,1.2,-6.64,7.84,0.014118,0.73778,0.019135,38,47,0.4471,30,55,0.3529,318.13
19,68,85,0,1.2,-6.64,7.84,0.014118,0.73778,0.019135,38,47,0.4471,30,55,0.3529,318.13
19,69,85,0,1.2,-6.64,7.84,0.014118,0.73778,0.019135,38,47,0.4471,30,55,0.3529,318.13
19,70,85,0,1.2,-6.64,7.84,0.014118,0.73778,0.019135,38,47,0.4471,30,55,0.3529,318.13
19,71,85,0,1.2,-6.64,7.84,0.014118,0.73778,0.019135,38,47,0.4471,30,55,0.3529,318.13
19,65,85,0,1.18,-6.64,7.82,0.013882,0.738435,0.0188,38,47,0.4471,32,53,0.3765,316.22
19,43,85,0,1.17,-6.64,7.81,0.013765,0.659603,0.020868,36,49,0.4235,35,50,0.4118,300.77
19,72,85,0,1.17,-6.64,7.81,0.013765,0.738858,0.01863,38,47,0.4471,30,55,0.3529,318.6
18,63,85,0,1.11,-6.64,7.75,0.013059,0.729816,0.017893,38,47,0.4471,32,53,0.3765,311.56
19,73,85,0,1.11,-6.64,7.75,0.013059,0.741053,0.017622,38,47,0.4471,30,55,0.3529,318.84
19,74,85,0,1.09,-6.64,7.73,0.012824,0.741542,0.017293,38,47,0.4471,30,55,0.3529,319.07
19,75,85,0,1.08,-6.64,7.72,0.012706,0.741669,0.017132,38,47,0.4471,29,56,0.3412,319.26
19,77,85,0,1.07,-6.64,7.71,0.012588,0.741919,0.016967,38,47,0.4471,28,57,0.3294,321.37
19,78,85,0,1.07,-6.64,7.71,0.012588,0.741919,0.016967,38,47,0.4471,28,57,0.3294,321.37
19,79,85,0,1.07,-6.64,7.71,0.012588,0.741919,0.016967,38,47,0.4471,28,57,0.3294,321.37
19,80,85,0,1.07,-6.64,7.71,0.012588,0.741919,0.016967,38,47,0.4471,28,57,0.3294,321.37
19,76,85,0,1.06,-6.64,7.7,0.012471,0.74217,0.016803,38,47,0.4471,29,56,0.3412,320.71
16,55,85,0,1.01,-6.64,7.65,0.011882,0.675735,0.017584,38,47,0.4471,35,50,0.4118,299.39
16,56,85,0,0.99,-6.64,7.63,0.011647,0.676359,0.01722,38,47,0.4471,35,50,0.4118,299.39
16,57,85,0,0.94,-6.64,7.58,0.011059,0.67794,0.016312,38,47,0.4471,35,50,0.4118,299.4
18,64,85,0,0.92,-6.64,7.56,0.010824,0.734194,0.014742,38,47,0.4471,32,53,0.3765,311.97
18,43,85,0,0.9,-6.64,7.54,0.010588,0.657436,0.016105,36,49,0.4235,35,50,0.4118,298.87
18,66,85,0,0.88,-6.64,7.52,0.010353,0.735497,0.014076,38,47,0.4471,30,55,0.3529,315.53
18,67,85,0,0.88,-6.64,7.52,0.010353,0.735497,0.014076,38,47,0.4471,30,55,0.3529,315.53
18,68,85,0,0.88,-6.64,7.52,0.010353,0.735497,0.014076,38,47,0.4471,30,55,0.3529,315.53
18,69,85,0,0.88,-6.64,7.52,0.010353,0.735497,0.014076,38,47,0.4471,30,55,0.3529,315.53
18,70,85,0,0.88,-6.64,7.52,0.010353,0.735497,0.014076,38,47,0.4471,30,55,0.3529,315.53
18,71,85,0,0.88,-6.64,7.52,0.010353,0.735497,0.014076,38,47,0.4471,30,55,0.3529,315.53
18,65,85,0,0.86,-6.64,7.5,0.010118,0.736152,0.013744,38,47,0.4471,32,53,0.3765,313.62
18,72,85,0,0.85,-6.64,7.49,0.01,0.736577,0.013576,38,47,0.4471,30,55,0.3529,316.0
17,58,85,0,0.82,-6.64,7.46,0.009647,0.708566,0.013615,38,47,0.4471,34,51,0.4,306.31
15,55,85,0,0.79,-6.64,7.43,0.009294,0.674379,0.013782,38,47,0.4471,37,48,0.4353,295.08
18,73,85,0,0.79,-6.64,7.43,0.009294,0.738774,0.012581,38,47,0.4471,30,55,0.3529,316.23
19,28,85,0,0.78,-6.64,7.42,0.009177,0.589223,0.015574,33,52,0.3882,36,49,0.4235,282.47
15,56,85,0,0.77,-6.64,7.41,0.009059,0.675004,0.01342,38,47,0.4471,37,48,0.4353,295.09
18,74,85,0,0.77,-6.64,7.41,0.009059,0.739264,0.012254,38,47,0.4471,30,55,0.3529,316.47
18,75,85,0,0.76,-6.64,7.4,0.008941,0.73939,0.012093,38,47,0.4471,29,56,0.3412,316.66
18,77,85,0,0.75,-6.64,7.39,0.008824,0.73964,0.01193,38,47,0.4471,28,57,0.3294,318.76
18,78,85,0,0.75,-6.64,7.39,0.008824,0.73964,0.01193,38,47,0.4471,28,57,0.3294,318.76
18,79,85,0,0.75,-6.64,7.39,0.008824,0.73964,0.01193,38,47,0.4471,28,57,0.3294,318.76
18,80,85,0,0.75,-6.64,7.39,0.008824,0.73964,0.01193,38,47,0.4471,28,57,0.3294,318.76
18,76,85,0,0.74,-6.64,7.38,0.008706,0.739892,0.011766,38,47,0.4471,29,56,0.3412,318.1
15,57,85,0,0.72,-6.64,7.36,0.008471,0.676585,0.01252,38,47,0.4471,37,48,0.4353,295.1
17,59,85,0,0.7,-6.64,7.34,0.008235,0.712384,0.01156,38,47,0.4471,34,51,0.4,306.82
17,60,85,0,0.7,-6.64,7.34,0.008235,0.712384,0.01156,38,47,0.4471,34,51,0.4,306.82
17,61,85,0,0.7,-6.64,7.34,0.008235,0.712384,0.01156,38,47,0.4471,34,51,0.4,306.82
21,55,85,0,0.66,-6.64,7.3,0.007765,0.720967,0.01077,36,49,0.4235,29,56,0.3412,322.76
19,44,85,0,0.63,-6.64,7.27,0.007412,0.673946,0.010998,36,49,0.4235,35,50,0.4118,303.05
19,45,85,0,0.63,-6.64,7.27,0.007412,0.673946,0.010998,36,49,0.4235,35,50,0.4118,303.05
19,46,85,0,0.61,-6.64,7.25,0.007177,0.674291,0.010643,36,49,0.4235,35,50,0.4118,303.05
17,62,85,0,0.61,-6.64,7.25,0.007177,0.715315,0.010033,38,47,0.4471,34,51,0.4,306.82
19,47,85,0,0.59,-6.64,7.23,0.006941,0.674643,0.010289,36,49,0.4235,35,50,0.4118,303.05
18,28,85,0,0.54,-6.64,7.18,0.006353,0.587069,0.010822,33,52,0.3882,36,49,0.4235,281.04
21,56,85,0,0.44,-6.64,7.08,0.005177,0.72765,0.007114,36,49,0.4235,29,56,0.3412,322.81
21,57,85,0,0.39,-6.64,7.03,0.004588,0.729115,0.006293,36,49,0.4235,29,56,0.3412,322.82
18,44,85,0,0.36,-6.64,7.0,0.004235,0.671795,0.006305,36,49,0.4235,35,50,0.4118,301.15
18,45,85,0,0.36,-6.64,7.0,0.004235,0.671795,0.006305,36,49,0.4235,35,50,0.4118,301.15
17,63,85,0,0.36,-6.64,7.0,0.004235,0.72392,0.005851,38,47,0.4471,34,51,0.4,307.06
18,46,85,0,0.34,-6.64,6.98,0.004,0.67214,0.005951,36,49,0.4235,35,50,0.4118,301.15
18,47,85,0,0.32,-6.64,6.96,0.003765,0.672492,0.005598,36,49,0.4235,35,50,0.4118,301.16
16,58,85,0,0.23,-6.64,6.87,0.002706,0.704033,0.003843,38,47,0.4471,34,51,0.4,301.18
17,43,85,0,0.18,-6.64,6.82,0.002118,0.651116,0.003252,36,49,0.4235,37,48,0.4353,294.84
17,64,85,0,0.17,-6.64,6.81,0.002,0.728307,0.002746,38,47,0.4471,34,51,0.4,307.47
10,55,85,0,0.14,-6.64,6.78,0.001647,0.60959,0.002702,40,45,0.4706,38,47,0.4471,265.68
19,48,85,0,0.14,-6.64,6.78,0.001647,0.684335,0.002407,36,49,0.4235,34,51,0.4,304.83
14,55,85,0,0.13,-6.64,6.77,0.001529,0.669681,0.002284,38,47,0.4471,37,48,0.4353,286.69
17,66,85,0,0.13,-6.64,6.77,0.001529,0.729614,0.002096,38,47,0.4471,32,53,0.3765,311.03
17,67,85,0,0.13,-6.64,6.77,0.001529,0.729614,0.002096,38,47,0.4471,32,53,0.3765,311.03
17,68,85,0,0.13,-6.64,6.77,0.001529,0.729614,0.002096,38,47,0.4471,32,53,0.3765,311.03
17,69,85,0,0.13,-6.64,6.77,0.001529,0.729614,0.002096,38,47,0.4471,32,53,0.3765,311.03
17,70,85,0,0.13,-6.64,6.77,0.001529,0.729614,0.002096,38,47,0.4471,32,53,0.3765,311.03
17,71,85,0,0.13,-6.64,6.77,0.001529,0.729614,0.002096,38,47,0.4471,32,53,0.3765,311.03
10,56,85,0,0.12,-6.64,6.76,0.001412,0.610277,0.002313,40,45,0.4706,38,47,0.4471,265.69
14,56,85,0,0.11,-6.64,6.75,0.001294,0.670307,0.001931,38,47,0.4471,37,48,0.4353,286.7
