entry_ts,exit_ts,market,side,entry_price_cents,exit_price_cents,entry_fee_cents,exit_fee_cents,net_pnl_cents,net_pnl_dollars,exit_reason,settlement_exit,hold_seconds,pt_cents,sl_cents,max_hold_seconds,sim_expected_net_cents,sim_sharpe_like,entry_fair_side_cents,entry_z_cents,entry_seconds_to_close
2026-05-01T19:36:32.795937+00:00,2026-05-01T19:40:37.558666+00:00,KXBTC15M-26MAY011545-45,yes,16.0,4.0,1.0,1.0,-14.0,-0.14,max_hold,False,244.763,25.0,55.0,240.0,23.0,999.0,45.5474,-25.0474,507.215
2026-05-01T19:51:18.243972+00:00,2026-05-01T19:55:50.442753+00:00,KXBTC15M-26MAY011600-00,yes,79.0,90.0,2.0,1.0,8.0,0.08,max_hold,False,272.199,25.0,55.0,240.0,20.0,999.0,99.5,-21.0,521.799
2026-05-02T01:36:03.286998+00:00,2026-05-02T01:42:02.628941+00:00,KXBTC15M-26MAY012145-45,no,15.0,14.0,1.0,1.0,-3.0,-0.03,max_hold,False,359.342,25.0,55.0,240.0,22.5,999.0,45.1012,19.6012,536.724
2026-05-03T13:50:36.684791+00:00,2026-05-03T13:57:00.761301+00:00,KXBTC15M-26MAY031000-00,no,23.0,21.0,2.0,2.0,-6.0,-0.06,max_hold,False,384.077,25.0,55.0,240.0,18.88,6.096544,36.2589,14.2589,563.352
2026-05-03T15:05:20.594225+00:00,2026-05-03T15:09:50.601149+00:00,KXBTC15M-26MAY031115-15,yes,77.0,58.0,2.0,2.0,-23.0,-0.23,max_hold,False,270.007,25.0,55.0,240.0,19.0,999.0,99.5,-23.5,579.44
2026-05-03T20:56:22.227815+00:00,2026-05-03T20:57:22.352448+00:00,KXBTC15M-26MAY031700-00,yes,1.0,0.0,1.0,1.0,-3.0,-0.03,max_hold,False,60.125,25.0,55.0,60.0,22.0,999.0,45.5308,-45.0308,217.772
2026-05-03T21:22:06.985733+00:00,2026-05-03T21:24:24.537222+00:00,KXBTC15M-26MAY031730-30,no,75.0,74.0,2.0,2.0,-5.0,-0.05,max_hold,False,137.551,25.0,55.0,120.0,20.0,999.0,99.5,25.0,473.044
2026-05-03T21:37:19.997058+00:00,2026-05-03T21:41:24.782501+00:00,KXBTC15M-26MAY031745-45,no,81.0,80.0,2.0,2.0,-5.0,-0.05,max_hold,False,244.785,25.0,55.0,240.0,19.92,7.876042,99.5,19.0,460.029
2026-05-03T21:53:26.829588+00:00,2026-05-03T21:57:34.881492+00:00,KXBTC15M-26MAY031800-00,yes,78.0,100.0,2.0,1.0,19.0,0.19,max_hold,False,248.052,25.0,55.0,240.0,20.0,999.0,99.5,-22.0,393.187
2026-05-04T08:05:42.588064+00:00,2026-05-04T08:10:23.649075+00:00,KXBTC15M-26MAY040415-15,no,82.0,81.0,2.0,2.0,-5.0,-0.05,max_hold,False,281.061,25.0,55.0,240.0,19.96,11.157979,99.5,18.0,557.449
