market,result,status,settlement_ts,close_time,watch_close_time,source
KXBTC15M-26APR010000-00,yes,finalized,2026-04-01T04:00:14.689418Z,2026-04-01T04:00:00Z,2026-04-01T04:00:00Z,C:\Users\organ\Desktop\KALSHI PROBABILITY MODEL BOT\stats\live_90_70\market_results.csv
KXBTC15M-26APR010015-15,no,finalized,2026-04-01T04:15:07.940606Z,2026-04-01T04:15:00Z,2026-04-01T04:15:00Z,C:\Users\organ\Desktop\KALSHI PROBABILITY MODEL BOT\stats\live_90_70\market_results.csv
KXBTC15M-26APR010030-30,yes,finalized,2026-04-01T04:30:07.93504Z,2026-04-01T04:30:00Z,2026-04-01T04:30:00Z,C:\Users\organ\Desktop\KALSHI PROBABILITY MODEL BOT\stats\live_90_70\market_results.csv
KXBTC15M-26APR010045-45,yes,finalized,2026-04-01T04:45:07.933184Z,2026-04-01T04:45:00Z,2026-04-01T04:45:00Z,C:\Users\organ\Desktop\KALSHI PROBABILITY MODEL BOT\stats\live_90_70\market_results.csv
KXBTC15M-26APR010100-00,yes,finalized,2026-04-01T05:00:07.988861Z,2026-04-01T05:00:00Z,2026-04-01T05:00:00Z,C:\Users\organ\Desktop\KALSHI PROBABILITY MODEL BOT\stats\live_90_70\market_results.csv
KXBTC15M-26APR010115-15,yes,finalized,2026-04-01T05:15:08.011222Z,2026-04-01T05:15:00Z,2026-04-01T05:15:00Z,C:\Users\organ\Desktop\KALSHI PROBABILITY MODEL BOT\stats\live_90_70\market_results.csv
KXBTC15M-26APR010130-30,yes,finalized,2026-04-01T05:30:07.887419Z,2026-04-01T05:30:00Z,2026-04-01T05:30:00Z,C:\Users\organ\Desktop\KALSHI PROBABILITY MODEL BOT\stats\live_90_70\market_results.csv
KXBTC15M-26APR010145-45,no,finalized,2026-04-01T05:45:07.890509Z,2026-04-01T05:45:00Z,2026-04-01T05:45:00Z,C:\Users\organ\Desktop\KALSHI PROBABILITY MODEL BOT\stats\live_90_70\market_results.csv
KXBTC15M-26APR010200-00,no,finalized,2026-04-01T06:00:07.940395Z,2026-04-01T06:00:00Z,2026-04-01T06:00:00Z,C:\Users\organ\Desktop\KALSHI PROBABILITY MODEL BOT\stats\live_90_70\market_results.csv
KXBTC15M-26APR010215-15,yes,finalized,2026-04-01T06:15:07.885765Z,2026-04-01T06:15:00Z,2026-04-01T06:15:00Z,C:\Users\organ\Desktop\KALSHI PROBABILITY MODEL BOT\stats\live_90_70\market_results.csv
