entry_ts,exit_ts,market,side,entry_price_cents,exit_price_cents,entry_fee_cents,exit_fee_cents,net_pnl_cents,net_pnl_dollars,exit_reason,settlement_exit,hold_seconds,pt_cents,sl_cents,max_hold_seconds,sim_expected_net_cents,sim_sharpe_like,entry_fair_side_cents,entry_z_cents,entry_seconds_to_close
2026-05-11T00:20:03.864048+00:00,2026-05-11T00:28:20.099337+00:00,KXBTC15M-26MAY102030-30,yes,5.0,14.0,1.0,1.0,7.0,0.07,max_hold,False,496.235,25.0,55.0,480.0,22.9444,11.953969,42.9393,-36.9393,596.142
2026-05-11T00:35:18.845507+00:00,2026-05-11T00:35:29.154821+00:00,KXBTC15M-26MAY102045-45,no,25.0,50.0,2.0,2.0,21.0,0.21,take_profit,False,10.309,25.0,55.0,480.0,18.4158,3.386063,48.1154,25.1154,581.154
2026-05-11T00:50:00.120144+00:00,2026-05-11T00:58:20.000882+00:00,KXBTC15M-26MAY102100-00,yes,37.0,36.0,2.0,2.0,-5.0,-0.05,max_hold,False,499.881,25.0,55.0,480.0,13.7429,0.771303,49.0441,-12.5441,599.88
2026-05-11T01:20:01.572988+00:00,2026-05-11T01:20:15.666401+00:00,KXBTC15M-26MAY102130-30,no,14.0,53.0,1.0,2.0,36.0,0.36,take_profit,False,14.093,25.0,55.0,480.0,21.2063,2.463314,43.5608,10.0608,598.429
2026-05-11T02:07:54.705925+00:00,2026-05-11T02:08:03.308019+00:00,KXBTC15M-26MAY102215-15,yes,18.0,48.0,2.0,2.0,26.0,0.26,take_profit,False,8.602,25.0,55.0,480.0,7.6564,0.350241,43.393,-10.393,425.294
2026-05-11T02:20:05.970997+00:00,2026-05-11T02:28:20.046380+00:00,KXBTC15M-26MAY102230-30,yes,19.0,4.0,2.0,1.0,-18.0,-0.18,max_hold,False,494.075,25.0,55.0,480.0,16.2894,1.487272,42.3428,-23.8428,594.03
2026-05-11T02:36:19.923391+00:00,2026-05-11T02:36:39.095313+00:00,KXBTC15M-26MAY102245-45,yes,28.0,52.0,2.0,2.0,20.0,0.2,take_profit,False,19.172,18.0,55.0,480.0,4.4852,0.249911,47.5859,-7.5859,520.078
2026-05-11T02:51:20.993409+00:00,2026-05-11T02:59:40.048394+00:00,KXBTC15M-26MAY102300-00,no,34.0,46.0,2.0,2.0,8.0,0.08,max_hold,False,499.055,25.0,55.0,480.0,18.4691,2.345139,46.0576,7.0576,519.01
2026-05-11T03:06:16.074311+00:00,2026-05-11T03:06:24.620188+00:00,KXBTC15M-26MAY102315-15,yes,18.0,51.0,2.0,2.0,29.0,0.29,take_profit,False,8.546,18.0,55.0,480.0,7.9284,0.612728,40.8621,-6.3621,523.926
2026-05-11T03:20:55.190901+00:00,2026-05-11T03:29:00.042640+00:00,KXBTC15M-26MAY102330-30,yes,28.0,2.0,2.0,1.0,-29.0,-0.29,max_hold,False,484.852,18.0,55.0,480.0,5.5371,0.41499,44.5478,-8.0478,544.815
2026-05-11T03:36:38.028838+00:00,2026-05-11T03:36:52.336727+00:00,KXBTC15M-26MAY102345-45,yes,23.0,49.0,2.0,2.0,22.0,0.22,take_profit,False,14.308,12.0,55.0,480.0,5.2299,0.734221,42.7831,-6.7831,501.971
2026-05-11T04:51:15.598184+00:00,2026-05-11T04:57:44.270752+00:00,KXBTC15M-26MAY110100-00,yes,32.0,95.0,2.0,1.0,60.0,0.6,take_profit,False,388.673,18.0,55.0,480.0,5.6033,0.49452,38.2858,-6.7858,531.844
2026-05-11T05:55:37.141400+00:00,2026-05-11T05:55:57.215112+00:00,KXBTC15M-26MAY110200-00,no,27.0,67.0,2.0,2.0,36.0,0.36,take_profit,False,20.074,25.0,20.0,480.0,21.0,999.0,45.8809,17.8809,262.874
2026-05-11T06:09:28.590480+00:00,2026-05-11T06:12:04.625086+00:00,KXBTC15M-26MAY110215-15,no,12.0,56.0,1.0,2.0,41.0,0.41,take_profit,False,156.035,25.0,35.0,240.0,14.0,999.0,37.1154,34.1154,331.425
2026-05-11T06:21:39.914846+00:00,2026-05-11T06:24:36.869601+00:00,KXBTC15M-26MAY110230-30,yes,40.0,87.0,2.0,1.0,44.0,0.44,take_profit,False,176.955,18.0,55.0,480.0,9.317,1.560821,46.3755,-7.8755,500.101
2026-05-11T07:50:21.221259+00:00,2026-05-11T07:58:40.001894+00:00,KXBTC15M-26MAY110400-00,no,27.0,42.0,2.0,2.0,11.0,0.11,max_hold,False,498.781,25.0,35.0,480.0,15.9315,1.684422,42.7741,10.2741,578.779
2026-05-11T08:50:44.695438+00:00,2026-05-11T08:59:00.098968+00:00,KXBTC15M-26MAY110500-00,no,42.0,44.0,2.0,2.0,-2.0,-0.02,max_hold,False,495.404,18.0,55.0,480.0,10.8809,1.453191,49.4594,7.4594,555.305
2026-05-11T09:23:51.607036+00:00,2026-05-11T09:24:04.767549+00:00,KXBTC15M-26MAY110530-30,yes,22.0,48.0,2.0,2.0,22.0,0.22,take_profit,False,13.161,25.0,35.0,480.0,18.5492,2.787843,42.7854,-7.7854,368.393
2026-05-11T09:36:25.244283+00:00,2026-05-11T09:42:49.972810+00:00,KXBTC15M-26MAY110545-45,yes,27.0,71.0,2.0,2.0,40.0,0.4,take_profit,False,384.729,25.0,35.0,480.0,17.405,2.215964,45.2658,-8.2658,514.756
2026-05-11T09:50:05.607925+00:00,2026-05-11T09:50:36.427429+00:00,KXBTC15M-26MAY110600-00,no,28.0,60.0,2.0,2.0,28.0,0.28,take_profit,False,30.82,25.0,35.0,480.0,19.9504,19.541952,46.8914,19.8914,594.408
2026-05-11T10:20:40.112579+00:00,2026-05-11T10:20:50.973961+00:00,KXBTC15M-26MAY110630-30,no,11.0,60.0,1.0,2.0,46.0,0.46,take_profit,False,10.861,25.0,55.0,480.0,17.3278,1.517161,41.4309,7.4309,559.903
2026-05-11T11:05:06.875914+00:00,2026-05-11T11:13:20.077593+00:00,KXBTC15M-26MAY110715-15,no,32.0,42.0,2.0,2.0,6.0,0.06,max_hold,False,493.202,25.0,55.0,480.0,13.2662,3.861693,46.3198,21.8198,593.124
2026-05-11T11:35:03.126980+00:00,2026-05-11T11:43:20.016902+00:00,KXBTC15M-26MAY110745-45,no,26.0,39.0,2.0,2.0,9.0,0.09,max_hold,False,496.89,25.0,55.0,480.0,20.4043,4.026216,48.8243,19.8243,596.873
