entry_ts,exit_ts,market,side,entry_price_cents,exit_price_cents,entry_fee_cents,exit_fee_cents,net_pnl_cents,net_pnl_dollars,exit_reason,settlement_exit,hold_seconds,pt_cents,sl_cents,max_hold_seconds,sim_expected_net_cents,sim_sharpe_like,entry_fair_side_cents,entry_z_cents,entry_seconds_to_close
2026-05-11T00:20:03.864048+00:00,2026-05-11T00:28:20.099337+00:00,KXBTC15M-26MAY102030-30,yes,5.0,14.0,1.0,1.0,7.0,0.07,max_hold,False,496.235,25.0,55.0,480.0,22.9444,11.953969,42.9393,-36.9393,596.142
2026-05-11T00:35:18.845507+00:00,2026-05-11T00:35:29.154821+00:00,KXBTC15M-26MAY102045-45,no,25.0,50.0,2.0,2.0,21.0,0.21,take_profit,False,10.309,25.0,55.0,480.0,18.4158,3.386063,48.1154,25.1154,581.154
2026-05-11T00:50:00.120144+00:00,2026-05-11T00:58:20.000882+00:00,KXBTC15M-26MAY102100-00,yes,37.0,36.0,2.0,2.0,-5.0,-0.05,max_hold,False,499.881,25.0,55.0,480.0,13.7429,0.771303,49.0441,-12.5441,599.88
2026-05-11T01:20:01.572988+00:00,2026-05-11T01:20:15.666401+00:00,KXBTC15M-26MAY102130-30,no,14.0,53.0,1.0,2.0,36.0,0.36,take_profit,False,14.093,25.0,55.0,480.0,21.2063,2.463314,43.5608,10.0608,598.429
2026-05-11T02:07:54.705925+00:00,2026-05-11T02:08:03.308019+00:00,KXBTC15M-26MAY102215-15,yes,18.0,48.0,2.0,2.0,26.0,0.26,take_profit,False,8.602,25.0,55.0,480.0,7.6564,0.350241,43.393,-10.393,425.294
2026-05-11T02:20:05.970997+00:00,2026-05-11T02:28:20.046380+00:00,KXBTC15M-26MAY102230-30,yes,19.0,4.0,2.0,1.0,-18.0,-0.18,max_hold,False,494.075,25.0,55.0,480.0,16.2894,1.487272,42.3428,-23.8428,594.03
2026-05-11T03:20:55.190901+00:00,2026-05-11T03:29:00.042640+00:00,KXBTC15M-26MAY102330-30,yes,28.0,2.0,2.0,1.0,-29.0,-0.29,max_hold,False,484.852,18.0,55.0,480.0,5.5371,0.41499,44.5478,-8.0478,544.815
2026-05-11T03:41:34.345850+00:00,2026-05-11T03:41:40.221151+00:00,KXBTC15M-26MAY102345-45,no,22.0,49.0,2.0,2.0,23.0,0.23,take_profit,False,5.875,25.0,20.0,480.0,9.497,71.142509,38.5914,28.0914,205.678
2026-05-11T04:51:55.632071+00:00,2026-05-11T04:57:44.270752+00:00,KXBTC15M-26MAY110100-00,yes,33.0,95.0,2.0,1.0,59.0,0.59,take_profit,False,348.639,18.0,55.0,480.0,7.1448,0.75503,40.7316,-8.7316,484.37
2026-05-11T05:55:37.141400+00:00,2026-05-11T05:55:57.215112+00:00,KXBTC15M-26MAY110200-00,no,27.0,67.0,2.0,2.0,36.0,0.36,take_profit,False,20.074,25.0,20.0,480.0,21.0,999.0,45.8809,17.8809,262.874
2026-05-11T06:09:28.590480+00:00,2026-05-11T06:12:04.625086+00:00,KXBTC15M-26MAY110215-15,no,12.0,56.0,1.0,2.0,41.0,0.41,take_profit,False,156.035,25.0,35.0,240.0,14.0,999.0,37.1154,34.1154,331.425
2026-05-11T07:10:54.532169+00:00,2026-05-11T07:10:59.910281+00:00,KXBTC15M-26MAY110315-15,yes,2.0,27.0,1.0,2.0,22.0,0.22,take_profit,False,5.378,25.0,55.0,480.0,18.8076,2.030791,24.0659,-9.5659,245.468
2026-05-11T07:50:21.221259+00:00,2026-05-11T07:58:40.001894+00:00,KXBTC15M-26MAY110400-00,no,27.0,42.0,2.0,2.0,11.0,0.11,max_hold,False,498.781,25.0,55.0,480.0,15.9539,1.708038,42.7741,10.2741,578.779
2026-05-11T09:27:44.960353+00:00,2026-05-11T09:27:51.223339+00:00,KXBTC15M-26MAY110530-30,no,30.0,50.0,2.0,2.0,16.0,0.16,take_profit,False,6.263,18.0,55.0,480.0,13.0186,3.015409,48.0141,8.0141,135.041
2026-05-11T09:36:25.244283+00:00,2026-05-11T09:42:49.972810+00:00,KXBTC15M-26MAY110545-45,yes,27.0,71.0,2.0,2.0,40.0,0.4,take_profit,False,384.729,25.0,35.0,480.0,17.1446,2.09724,45.2658,-8.2658,514.756
2026-05-11T09:50:05.607925+00:00,2026-05-11T09:50:36.427429+00:00,KXBTC15M-26MAY110600-00,no,28.0,60.0,2.0,2.0,28.0,0.28,take_profit,False,30.82,25.0,55.0,480.0,19.9694,28.104603,46.8914,19.8914,594.408
2026-05-11T11:05:06.875914+00:00,2026-05-11T11:13:20.077593+00:00,KXBTC15M-26MAY110715-15,no,32.0,42.0,2.0,2.0,6.0,0.06,max_hold,False,493.202,25.0,55.0,480.0,13.2754,5.083072,46.3198,21.8198,593.124
2026-05-11T11:35:03.126980+00:00,2026-05-11T11:43:20.016902+00:00,KXBTC15M-26MAY110745-45,no,26.0,39.0,2.0,2.0,9.0,0.09,max_hold,False,496.89,25.0,55.0,480.0,20.4955,4.629288,48.8243,19.8243,596.873
2026-05-11T11:50:14.559631+00:00,2026-05-11T11:58:19.998233+00:00,KXBTC15M-26MAY110800-00,yes,37.0,30.0,2.0,2.0,-11.0,-0.11,max_hold,False,485.439,25.0,55.0,480.0,18.3221,1.874777,47.771,-8.771,585.44
2026-05-11T12:20:02.958923+00:00,2026-05-11T12:28:20.031247+00:00,KXBTC15M-26MAY110830-30,no,39.0,41.0,2.0,2.0,-2.0,-0.02,max_hold,False,497.072,25.0,55.0,480.0,15.9607,1.290201,47.6868,8.6868,597.041
2026-05-11T16:27:33.944143+00:00,2026-05-11T16:27:39.937843+00:00,KXBTC15M-26MAY111230-30,no,8.0,38.0,1.0,2.0,27.0,0.27,take_profit,False,5.994,25.0,55.0,480.0,21.5963,7.033608,22.5432,15.5432,146.078
2026-05-11T16:35:34.328454+00:00,2026-05-11T16:43:40.030064+00:00,KXBTC15M-26MAY111245-45,no,22.0,31.0,2.0,2.0,5.0,0.05,max_hold,False,485.702,25.0,55.0,480.0,18.2061,2.481069,31.6013,8.1013,565.672
2026-05-11T19:12:34.270980+00:00,2026-05-11T19:12:56.716331+00:00,KXBTC15M-26MAY111515-15,no,8.0,50.0,1.0,2.0,39.0,0.39,take_profit,False,22.445,25.0,55.0,480.0,17.8494,4.99826,20.6552,17.1552,145.76
