entry_ts,exit_ts,market,side,entry_price_cents,exit_price_cents,entry_fee_cents,exit_fee_cents,net_pnl_cents,net_pnl_dollars,exit_reason,settlement_exit,hold_seconds,pt_cents,sl_cents,max_hold_seconds,sim_expected_net_cents,sim_sharpe_like,entry_fair_side_cents,entry_z_cents,entry_seconds_to_close
2026-05-01T19:36:32.795937+00:00,2026-05-01T19:40:37.558666+00:00,KXBTC15M-26MAY011545-45,yes,16.0,4.0,1.0,1.0,-14.0,-0.14,max_hold,False,244.763,25.0,55.0,240.0,23.0,999.0,45.5474,-25.0474,507.215
2026-05-01T19:51:18.243972+00:00,2026-05-01T19:55:03.038744+00:00,KXBTC15M-26MAY011600-00,yes,79.0,78.0,2.0,2.0,-5.0,-0.05,max_hold,False,224.795,25.0,55.0,120.0,20.0,999.0,99.5,-21.0,521.799
2026-05-02T00:05:02.719335+00:00,2026-05-02T00:09:52.354410+00:00,KXBTC15M-26MAY012015-15,no,24.0,23.0,2.0,2.0,-5.0,-0.05,max_hold,False,289.635,18.0,55.0,240.0,12.8783,4.323083,34.4152,10.9152,597.281
2026-05-02T01:36:03.286998+00:00,2026-05-02T01:42:02.628941+00:00,KXBTC15M-26MAY012145-45,no,15.0,14.0,1.0,1.0,-3.0,-0.03,max_hold,False,359.342,18.0,55.0,240.0,15.5,999.0,45.1012,19.6012,536.724
2026-05-02T05:21:08.311750+00:00,2026-05-02T05:26:57.104702+00:00,KXBTC15M-26MAY020130-30,yes,27.0,15.0,2.0,1.0,-15.0,-0.15,max_hold,False,348.793,25.0,55.0,240.0,19.8,4.954134,38.0926,-11.5926,531.715
2026-05-02T15:08:20.401074+00:00,2026-05-02T15:12:50.506275+00:00,KXBTC15M-26MAY021115-15,yes,87.0,86.0,1.0,1.0,-3.0,-0.03,max_hold,False,270.105,18.0,55.0,240.0,14.8783,4.994456,99.5,-13.0,399.623
2026-05-03T15:05:20.594225+00:00,2026-05-03T15:09:50.601149+00:00,KXBTC15M-26MAY031115-15,yes,77.0,58.0,2.0,2.0,-23.0,-0.23,max_hold,False,270.007,25.0,55.0,240.0,19.0,999.0,99.5,-23.5,579.44
2026-05-03T20:56:22.227815+00:00,2026-05-03T20:57:22.352448+00:00,KXBTC15M-26MAY031700-00,yes,1.0,0.0,1.0,1.0,-3.0,-0.03,max_hold,False,60.125,25.0,55.0,60.0,22.0,999.0,45.5308,-45.0308,217.772
2026-05-03T21:37:19.997058+00:00,2026-05-03T21:41:24.782501+00:00,KXBTC15M-26MAY031745-45,no,81.0,80.0,2.0,2.0,-5.0,-0.05,max_hold,False,244.785,25.0,55.0,240.0,20.0,999.0,99.5,19.0,460.029
2026-05-03T21:53:26.829588+00:00,2026-05-03T21:57:34.881492+00:00,KXBTC15M-26MAY031800-00,yes,78.0,100.0,2.0,1.0,19.0,0.19,max_hold,False,248.052,25.0,55.0,240.0,19.9333,8.631387,99.5,-22.0,393.187
2026-05-04T00:25:51.141420+00:00,2026-05-04T00:27:59.140331+00:00,KXBTC15M-26MAY032030-30,yes,1.0,0.0,1.0,1.0,-3.0,-0.03,max_hold,False,127.999,12.0,55.0,120.0,10.0,999.0,15.702,-14.702,248.859
2026-05-04T08:05:42.588064+00:00,2026-05-04T08:10:23.649075+00:00,KXBTC15M-26MAY040415-15,no,82.0,81.0,2.0,2.0,-5.0,-0.05,max_hold,False,281.061,25.0,55.0,240.0,19.9333,8.631387,99.5,18.0,557.449
2026-05-04T08:51:34.297217+00:00,2026-05-04T08:56:01.641318+00:00,KXBTC15M-26MAY040500-00,yes,15.0,14.0,1.0,1.0,-3.0,-0.03,max_hold,False,267.344,12.0,55.0,240.0,8.9442,4.624403,23.9058,-9.4058,505.741
2026-05-04T09:10:29.371799+00:00,2026-05-04T09:12:36.307416+00:00,KXBTC15M-26MAY040515-15,yes,54.0,83.0,2.0,1.0,26.0,0.26,take_profit,False,126.936,25.0,55.0,60.0,20.9998,3438.626246,99.5,-41.0,270.631
2026-05-04T09:26:03.580586+00:00,2026-05-04T09:28:05.768584+00:00,KXBTC15M-26MAY040530-30,no,19.0,18.0,2.0,2.0,-5.0,-0.05,max_hold,False,122.188,25.0,55.0,120.0,20.0,999.0,48.1168,29.6168,236.473
2026-05-04T09:39:45.023865+00:00,2026-05-04T09:40:47.922309+00:00,KXBTC15M-26MAY040545-45,no,12.0,11.0,1.0,1.0,-3.0,-0.03,max_hold,False,62.898,25.0,55.0,60.0,22.0,999.0,45.4495,33.9495,315.01
2026-05-04T13:35:33.923536+00:00,2026-05-04T13:38:27.664853+00:00,KXBTC15M-26MAY040945-45,yes,72.0,62.0,2.0,2.0,-14.0,-0.14,max_hold,False,173.741,25.0,55.0,120.0,18.0,999.0,99.5,-29.0,566.096
2026-05-04T13:53:03.464813+00:00,2026-05-04T13:55:27.791662+00:00,KXBTC15M-26MAY041000-00,yes,21.0,3.0,2.0,1.0,-21.0,-0.21,max_hold,False,144.327,25.0,55.0,120.0,20.0,999.0,47.2573,-26.7573,416.568
2026-05-04T15:05:03.132059+00:00,2026-05-04T15:09:05.282422+00:00,KXBTC15M-26MAY041115-15,yes,23.0,25.0,2.0,2.0,-2.0,-0.02,max_hold,False,242.15,18.0,55.0,240.0,11.8175,3.240375,36.4567,-14.4567,596.93
2026-05-04T15:52:32.689995+00:00,2026-05-04T15:55:06.436504+00:00,KXBTC15M-26MAY041200-00,no,86.0,87.0,1.0,1.0,-1.0,-0.01,max_hold,False,153.747,8.0,55.0,120.0,6.0,999.0,98.9383,12.4383,447.392
2026-05-04T16:07:50.655607+00:00,2026-05-04T16:12:51.629235+00:00,KXBTC15M-26MAY041215-15,yes,22.0,0.0,2.0,1.0,-25.0,-0.25,max_hold,False,300.974,25.0,55.0,240.0,20.0,999.0,40.9071,-19.4071,429.384
2026-05-04T21:35:36.688628+00:00,2026-05-04T21:42:48.473848+00:00,KXBTC15M-26MAY041745-45,no,19.0,18.0,2.0,2.0,-5.0,-0.05,max_hold,False,431.785,25.0,55.0,240.0,19.7333,4.277747,28.5067,10.0067,563.348
2026-05-04T21:50:01.833031+00:00,2026-05-04T21:52:29.480485+00:00,KXBTC15M-26MAY041800-00,yes,83.0,82.0,1.0,2.0,-4.0,-0.04,max_hold,False,147.647,8.0,55.0,120.0,5.0,999.0,99.5,-17.0,598.19
2026-05-05T01:24:58.426882+00:00,2026-05-05T01:27:54.657343+00:00,KXBTC15M-26MAY042130-30,no,21.0,20.0,2.0,2.0,-5.0,-0.05,max_hold,False,176.23,18.0,55.0,120.0,12.9392,6.140081,30.6355,10.1355,301.66
2026-05-05T02:06:20.233467+00:00,2026-05-05T02:08:51.989576+00:00,KXBTC15M-26MAY042215-15,no,22.0,21.0,2.0,2.0,-5.0,-0.05,max_hold,False,151.756,25.0,55.0,120.0,14.5,999.0,35.0558,19.0558,519.767
2026-05-05T03:36:57.422240+00:00,2026-05-05T03:39:50.321094+00:00,KXBTC15M-26MAY042345-45,no,25.0,22.0,2.0,2.0,-7.0,-0.07,max_hold,False,172.899,25.0,55.0,120.0,18.0,999.0,47.243,23.743,482.605
2026-05-05T04:10:31.270425+00:00,2026-05-05T04:11:05.344280+00:00,KXBTC15M-26MAY050015-15,yes,12.0,4.0,1.0,1.0,-10.0,-0.1,max_hold,False,34.074,25.0,35.0,30.0,21.0,999.0,99.5,-88.5,268.73
2026-05-05T05:10:20.877436+00:00,2026-05-05T05:11:30.298707+00:00,KXBTC15M-26MAY050115-15,yes,21.0,82.0,2.0,2.0,57.0,0.57,take_profit,False,69.421,25.0,55.0,480.0,12.1333,0.482928,42.1335,-19.6335,279.123
2026-05-05T11:24:14.740795+00:00,2026-05-05T11:27:11.843554+00:00,KXBTC15M-26MAY050730-30,yes,16.0,70.0,1.0,2.0,51.0,0.51,take_profit,False,177.103,25.0,55.0,480.0,11.5333,0.42734,30.388,-14.888,345.315
2026-05-05T13:20:47.675639+00:00,2026-05-05T13:25:05.974554+00:00,KXBTC15M-26MAY050930-30,no,71.0,75.0,2.0,2.0,0.0,0.0,max_hold,False,258.299,25.0,55.0,240.0,19.5333,1.819293,95.637,20.137,552.335
2026-05-05T18:20:15.726472+00:00,2026-05-05T18:28:16.659515+00:00,KXBTC15M-26MAY051430-30,yes,21.0,45.0,2.0,2.0,20.0,0.2,max_hold,False,480.933,25.0,55.0,480.0,7.6667,0.257041,45.7556,-12.7556,584.275
2026-05-05T19:35:09.435744+00:00,2026-05-05T19:35:29.422237+00:00,KXBTC15M-26MAY051545-45,no,17.0,59.0,1.0,2.0,39.0,0.39,take_profit,False,19.986,25.0,55.0,480.0,22.7333,4.92808,41.5213,22.0213,590.568
2026-05-05T19:56:21.390927+00:00,2026-05-05T19:56:28.849389+00:00,KXBTC15M-26MAY051600-00,yes,16.0,48.0,1.0,2.0,29.0,0.29,take_profit,False,7.458,8.0,55.0,480.0,5.9438,3.260315,40.6239,-8.6239,218.609
2026-05-05T20:06:48.362723+00:00,2026-05-05T20:07:02.552607+00:00,KXBTC15M-26MAY051615-15,no,27.0,76.0,2.0,2.0,45.0,0.45,take_profit,False,14.19,8.0,55.0,480.0,4.0,999.0,40.6031,8.6031,491.637
2026-05-05T20:20:03.264118+00:00,2026-05-05T20:20:23.257493+00:00,KXBTC15M-26MAY051630-30,yes,18.0,36.0,2.0,2.0,14.0,0.14,take_profit,False,19.993,8.0,55.0,480.0,4.0,999.0,46.9297,-19.9297,596.743
2026-05-05T20:35:04.697301+00:00,2026-05-05T20:35:11.152977+00:00,KXBTC15M-26MAY051645-45,no,13.0,51.0,1.0,2.0,35.0,0.35,take_profit,False,6.456,12.0,55.0,480.0,9.5826,2.69727,46.3779,14.3779,595.303
2026-05-05T21:06:25.648607+00:00,2026-05-05T21:14:30.076816+00:00,KXBTC15M-26MAY051715-15,no,17.0,17.0,1.0,1.0,-2.0,-0.02,max_hold,False,484.428,12.0,55.0,480.0,9.2821,1.957631,40.4477,8.9477,514.353
2026-05-05T21:24:17.103423+00:00,2026-05-05T21:24:37.102955+00:00,KXBTC15M-26MAY051730-30,yes,12.0,49.0,1.0,2.0,34.0,0.34,take_profit,False,20.0,8.0,55.0,480.0,5.8537,3.254283,39.1436,-8.6436,342.897
2026-05-05T21:35:00.250138+00:00,2026-05-05T21:43:18.287002+00:00,KXBTC15M-26MAY051745-45,yes,21.0,20.0,2.0,2.0,-5.0,-0.05,max_hold,False,498.037,12.0,55.0,480.0,7.6799,2.527857,36.5222,-12.5222,599.75
2026-05-05T21:50:14.914356+00:00,2026-05-05T21:58:24.088688+00:00,KXBTC15M-26MAY051800-00,no,17.0,20.0,1.0,2.0,0.0,0.0,max_hold,False,489.174,8.0,55.0,480.0,6.0,999.0,46.3884,19.3884,585.087
2026-05-05T22:06:03.529100+00:00,2026-05-05T22:14:10.016090+00:00,KXBTC15M-26MAY051815-15,no,17.0,16.0,1.0,1.0,-3.0,-0.03,max_hold,False,486.487,18.0,55.0,480.0,5.887,3.447359,45.1228,37.6228,536.471
2026-05-05T22:25:00.570494+00:00,2026-05-05T22:25:21.134190+00:00,KXBTC15M-26MAY051830-30,no,45.0,79.0,2.0,2.0,30.0,0.3,take_profit,False,20.564,25.0,55.0,480.0,9.8021,1.612169,64.2239,29.2239,299.43
2026-05-05T22:35:16.946021+00:00,2026-05-05T22:43:20.190906+00:00,KXBTC15M-26MAY051845-45,yes,22.0,21.0,2.0,2.0,-5.0,-0.05,max_hold,False,483.245,18.0,55.0,480.0,12.8362,6.187335,40.3402,-18.8402,583.054
2026-05-05T22:50:29.738719+00:00,2026-05-05T22:58:31.079568+00:00,KXBTC15M-26MAY051900-00,no,23.0,20.0,2.0,2.0,-7.0,-0.07,max_hold,False,481.341,25.0,55.0,480.0,14.4774,1.546861,47.3384,26.8384,570.274
2026-05-05T23:20:11.410008+00:00,2026-05-05T23:20:31.425568+00:00,KXBTC15M-26MAY051930-30,yes,17.0,43.0,1.0,2.0,23.0,0.23,take_profit,False,20.016,12.0,55.0,480.0,9.8789,4.307799,49.5264,-19.5264,588.59
2026-05-05T23:43:50.009026+00:00,2026-05-05T23:44:10.008712+00:00,KXBTC15M-26MAY051945-45,no,13.0,26.0,1.0,2.0,10.0,0.1,take_profit,False,20.0,12.0,55.0,480.0,4.0,999.0,37.665,30.665,69.991
2026-05-05T23:53:18.238127+00:00,2026-05-05T23:53:38.249352+00:00,KXBTC15M-26MAY052000-00,yes,36.0,49.0,2.0,2.0,9.0,0.09,take_profit,False,20.011,8.0,55.0,480.0,4.0,999.0,55.5951,-13.0951,401.762
