entry_ts,exit_ts,market,side,entry_price_cents,exit_price_cents,entry_fee_cents,exit_fee_cents,net_pnl_cents,net_pnl_dollars,exit_reason,settlement_exit,hold_seconds,pt_cents,sl_cents,max_hold_seconds,sim_expected_net_cents,sim_sharpe_like,entry_fair_side_cents,entry_z_cents,entry_seconds_to_close
2026-05-01T23:11:14.302037+00:00,2026-05-01T23:12:03.642875+00:00,KXBTC15M-26MAY011915-15,no,14.0,24.0,1.0,2.0,7.0,0.07,take_profit,False,49.341,8.0,35.0,120.0,5.7044,1.604965,45.4709,26.9709,225.71
2026-05-02T00:10:02.878965+00:00,2026-05-02T00:12:17.692978+00:00,KXBTC15M-26MAY012015-15,no,18.0,23.0,2.0,2.0,1.0,0.01,max_hold,False,134.814,8.0,35.0,120.0,3.5969,0.867722,40.2125,22.2125,297.124
2026-05-04T09:10:35.985278+00:00,2026-05-04T09:12:36.307416+00:00,KXBTC15M-26MAY040515-15,no,15.0,25.0,1.0,2.0,7.0,0.07,take_profit,False,120.322,8.0,35.0,120.0,5.4356,1.110362,46.411,19.911,264.017
2026-05-04T09:26:34.100786+00:00,2026-05-04T09:28:05.768584+00:00,KXBTC15M-26MAY040530-30,no,19.0,18.0,2.0,2.0,-5.0,-0.05,max_hold,False,91.668,8.0,35.0,60.0,3.285,1.082766,47.9309,24.4309,205.899
2026-05-04T15:55:50.428682+00:00,2026-05-04T15:56:03.000601+00:00,KXBTC15M-26MAY041200-00,no,15.0,87.0,1.0,1.0,70.0,0.7,take_profit,False,12.572,8.0,35.0,120.0,4.6294,0.612671,35.3971,10.3971,249.571
2026-05-05T19:41:29.648037+00:00,2026-05-05T19:41:36.397079+00:00,KXBTC15M-26MAY051545-45,no,5.0,59.0,1.0,2.0,51.0,0.51,take_profit,False,6.749,8.0,35.0,120.0,5.9194,3.181109,34.614,21.614,210.352
2026-05-05T20:10:07.798561+00:00,2026-05-05T20:10:27.840535+00:00,KXBTC15M-26MAY051615-15,no,18.0,76.0,2.0,2.0,54.0,0.54,take_profit,False,20.042,8.0,35.0,240.0,4.0,999.0,47.5378,25.0378,292.201
2026-05-05T21:56:01.781992+00:00,2026-05-05T21:56:07.145641+00:00,KXBTC15M-26MAY051800-00,no,0.0,20.0,1.0,2.0,17.0,0.17,take_profit,False,5.364,8.0,35.0,240.0,5.9463,3.912511,40.9711,40.4711,238.222
2026-05-05T22:27:04.548362+00:00,2026-05-05T22:27:23.844261+00:00,KXBTC15M-26MAY051830-30,no,4.0,79.0,1.0,2.0,72.0,0.72,take_profit,False,19.296,8.0,35.0,240.0,4.9632,0.813285,47.1941,28.1941,175.452
2026-05-06T00:56:30.621493+00:00,2026-05-06T00:56:44.852814+00:00,KXBTC15M-26MAY052100-00,no,11.0,79.0,1.0,2.0,65.0,0.65,take_profit,False,14.231,8.0,35.0,240.0,6.0,999.0,43.7837,29.2837,209.38
2026-05-06T01:25:16.114563+00:00,2026-05-06T01:29:30.006699+00:00,KXBTC15M-26MAY052130-30,no,3.0,10.0,1.0,1.0,5.0,0.05,max_hold,False,253.892,8.0,35.0,240.0,5.4655,1.189094,42.2304,35.2304,283.891
2026-05-06T01:42:09.290626+00:00,2026-05-06T01:42:22.107289+00:00,KXBTC15M-26MAY052145-45,no,4.0,21.0,1.0,2.0,14.0,0.14,take_profit,False,12.817,8.0,35.0,240.0,4.2378,0.513464,28.8712,22.8712,170.709
2026-05-06T01:55:06.477981+00:00,2026-05-06T01:55:26.470166+00:00,KXBTC15M-26MAY052200-00,no,5.0,22.0,1.0,2.0,14.0,0.14,take_profit,False,19.992,8.0,35.0,240.0,4.7653,0.679924,40.0851,30.5851,293.524
2026-05-06T02:41:27.079765+00:00,2026-05-06T02:41:46.714052+00:00,KXBTC15M-26MAY052245-45,no,11.0,79.0,1.0,2.0,65.0,0.65,take_profit,False,19.634,8.0,35.0,240.0,3.0765,0.291479,45.0849,28.5849,212.92
2026-05-06T02:55:25.500708+00:00,2026-05-06T02:55:45.510672+00:00,KXBTC15M-26MAY052300-00,no,16.0,39.0,1.0,2.0,20.0,0.2,take_profit,False,20.01,8.0,35.0,240.0,3.0537,0.311464,46.728,25.728,274.5
2026-05-06T05:55:01.677746+00:00,2026-05-06T05:55:13.061493+00:00,KXBTC15M-26MAY060200-00,no,6.0,20.0,1.0,2.0,11.0,0.11,take_profit,False,11.384,8.0,35.0,240.0,5.6641,1.511174,45.5488,34.0488,298.322
2026-05-06T06:25:19.497221+00:00,2026-05-06T06:29:30.026135+00:00,KXBTC15M-26MAY060230-30,no,17.0,21.0,1.0,2.0,1.0,0.01,max_hold,False,250.529,8.0,35.0,240.0,4.0385,0.453825,47.4311,21.4311,280.503
2026-05-06T06:40:30.313665+00:00,2026-05-06T06:40:39.297072+00:00,KXBTC15M-26MAY060245-45,no,12.0,20.0,1.0,2.0,5.0,0.05,take_profit,False,8.983,8.0,35.0,240.0,4.5206,0.58002,45.346,28.346,269.687
2026-05-06T06:55:02.673819+00:00,2026-05-06T06:59:10.050662+00:00,KXBTC15M-26MAY060300-00,no,16.0,19.0,1.0,2.0,0.0,0.0,max_hold,False,247.377,8.0,35.0,240.0,3.2434,0.318777,48.0194,24.0194,297.327
2026-05-06T08:42:19.207277+00:00,2026-05-06T08:42:28.192197+00:00,KXBTC15M-26MAY060445-45,no,1.0,24.0,1.0,2.0,20.0,0.2,take_profit,False,8.985,8.0,35.0,240.0,3.1143,0.314277,19.8315,18.8315,160.794
2026-05-06T08:55:28.076778+00:00,2026-05-06T08:55:33.871742+00:00,KXBTC15M-26MAY060500-00,no,11.0,81.0,1.0,2.0,67.0,0.67,take_profit,False,5.795,8.0,35.0,240.0,4.944,0.766234,47.4812,31.9812,271.924
2026-05-06T10:10:06.113228+00:00,2026-05-06T10:10:16.956816+00:00,KXBTC15M-26MAY060615-15,no,17.0,43.0,1.0,2.0,23.0,0.23,take_profit,False,10.844,8.0,35.0,240.0,4.1371,0.478444,46.4111,17.9111,293.888
2026-05-06T10:55:05.287544+00:00,2026-05-06T10:55:19.193492+00:00,KXBTC15M-26MAY060700-00,no,16.0,77.0,1.0,2.0,58.0,0.58,take_profit,False,13.906,8.0,35.0,240.0,4.3047,0.516329,47.4163,29.9163,294.714
2026-05-06T14:40:03.086123+00:00,2026-05-06T14:44:10.042372+00:00,KXBTC15M-26MAY061045-45,no,17.0,18.0,1.0,2.0,-2.0,-0.02,max_hold,False,246.956,8.0,35.0,240.0,5.9194,3.181109,44.5981,25.5981,296.916
2026-05-06T18:26:02.179289+00:00,2026-05-06T18:26:22.183764+00:00,KXBTC15M-26MAY061430-30,no,15.0,26.0,1.0,2.0,8.0,0.08,take_profit,False,20.004,8.0,35.0,240.0,5.1331,0.851664,46.9018,28.9018,237.821
2026-05-06T19:40:04.293699+00:00,2026-05-06T19:40:16.492648+00:00,KXBTC15M-26MAY061545-45,no,5.0,17.0,1.0,1.0,10.0,0.1,take_profit,False,12.199,8.0,35.0,240.0,5.3717,1.060556,41.1241,35.6241,295.707
2026-05-06T19:56:17.709535+00:00,2026-05-06T19:56:37.699753+00:00,KXBTC15M-26MAY061600-00,no,12.0,59.0,1.0,2.0,44.0,0.44,take_profit,False,19.99,8.0,35.0,240.0,3.2686,0.333248,45.58,9.58,222.29
2026-05-06T20:10:02.279347+00:00,2026-05-06T20:10:14.792118+00:00,KXBTC15M-26MAY061615-15,no,1.0,10.0,1.0,1.0,7.0,0.07,take_profit,False,12.513,8.0,35.0,240.0,4.6915,0.697486,39.8178,35.8178,297.722
2026-05-06T20:26:32.309736+00:00,2026-05-06T20:26:52.308411+00:00,KXBTC15M-26MAY061630-30,no,17.0,32.0,1.0,2.0,12.0,0.12,take_profit,False,19.999,8.0,35.0,240.0,4.4396,0.649463,45.9117,25.9117,207.691
2026-05-06T22:40:09.113647+00:00,2026-05-06T22:40:19.448336+00:00,KXBTC15M-26MAY061845-45,no,6.0,26.0,1.0,2.0,17.0,0.17,take_profit,False,10.335,8.0,35.0,240.0,5.4243,1.103661,31.0703,14.5703,290.888
2026-05-06T23:55:11.632766+00:00,2026-05-06T23:55:31.633226+00:00,KXBTC15M-26MAY062000-00,no,6.0,17.0,1.0,1.0,9.0,0.09,take_profit,False,20.0,8.0,35.0,240.0,5.6901,1.590873,32.4249,21.4249,288.368
