entry_ts,exit_ts,market,side,entry_price_cents,exit_price_cents,entry_fee_cents,exit_fee_cents,net_pnl_cents,net_pnl_dollars,exit_reason,settlement_exit,hold_seconds,pt_cents,sl_cents,max_hold_seconds,sim_expected_net_cents,sim_sharpe_like,entry_fair_side_cents,entry_z_cents,entry_seconds_to_close
2026-05-01T23:11:14.302037+00:00,2026-05-01T23:12:03.642875+00:00,KXBTC15M-26MAY011915-15,no,14.0,24.0,1.0,2.0,7.0,0.07,take_profit,False,49.341,8.0,35.0,60.0,5.7511,1.781713,45.4709,26.9709,225.71
2026-05-02T00:10:02.878965+00:00,2026-05-02T00:12:17.692978+00:00,KXBTC15M-26MAY012015-15,no,18.0,23.0,2.0,2.0,1.0,0.01,max_hold,False,134.814,8.0,35.0,60.0,3.6448,0.948969,40.2125,22.2125,297.124
2026-05-02T01:36:03.286998+00:00,2026-05-02T01:38:50.465007+00:00,KXBTC15M-26MAY012145-45,no,15.0,14.0,1.0,1.0,-3.0,-0.03,max_hold,False,167.178,8.0,35.0,60.0,4.6937,0.81139,45.1012,19.6012,536.724
2026-05-02T03:35:15.115827+00:00,2026-05-02T03:36:15.222622+00:00,KXBTC15M-26MAY012345-45,no,13.0,12.0,1.0,1.0,-3.0,-0.03,max_hold,False,60.107,8.0,35.0,60.0,4.0112,0.643749,26.9794,14.4794,584.917
2026-05-02T21:35:01.952850+00:00,2026-05-02T21:36:20.620325+00:00,KXBTC15M-26MAY021745-45,no,14.0,13.0,1.0,1.0,-3.0,-0.03,max_hold,False,78.667,8.0,35.0,60.0,4.4938,0.979312,32.9442,19.4442,598.072
2026-05-03T11:51:12.272650+00:00,2026-05-03T11:52:05.342158+00:00,KXBTC15M-26MAY030800-00,no,14.0,26.0,1.0,2.0,9.0,0.09,take_profit,False,53.07,8.0,35.0,60.0,5.2744,0.952008,49.8419,16.3419,527.74
2026-05-04T08:08:26.022413+00:00,2026-05-04T08:10:23.649075+00:00,KXBTC15M-26MAY040415-15,no,67.0,81.0,2.0,2.0,10.0,0.1,take_profit,False,117.627,8.0,35.0,60.0,3.9194,2.106296,99.5,30.5,393.978
2026-05-04T09:10:35.985278+00:00,2026-05-04T09:12:36.307416+00:00,KXBTC15M-26MAY040515-15,no,15.0,25.0,1.0,2.0,7.0,0.07,take_profit,False,120.322,8.0,35.0,60.0,5.7313,1.6907,46.411,19.911,264.017
2026-05-04T09:26:34.100786+00:00,2026-05-04T09:28:05.768584+00:00,KXBTC15M-26MAY040530-30,no,19.0,18.0,2.0,2.0,-5.0,-0.05,max_hold,False,91.668,8.0,35.0,60.0,3.3119,1.166629,47.9309,24.4309,205.899
2026-05-04T09:39:45.023865+00:00,2026-05-04T09:40:47.922309+00:00,KXBTC15M-26MAY040545-45,no,12.0,11.0,1.0,1.0,-3.0,-0.03,max_hold,False,62.898,8.0,35.0,60.0,4.9463,3.254531,45.4495,33.9495,315.01
2026-05-04T13:37:25.879201+00:00,2026-05-04T13:38:27.664853+00:00,KXBTC15M-26MAY040945-45,no,22.0,28.0,2.0,2.0,2.0,0.02,max_hold,False,61.786,8.0,35.0,60.0,3.6237,0.904604,47.3934,22.8934,454.121
2026-05-04T15:52:32.689995+00:00,2026-05-04T15:53:38.484143+00:00,KXBTC15M-26MAY041200-00,no,86.0,87.0,1.0,1.0,-1.0,-0.01,max_hold,False,65.794,8.0,35.0,60.0,5.1865,0.888364,98.9383,12.4383,447.392
2026-05-04T22:51:01.817718+00:00,2026-05-04T22:54:46.071901+00:00,KXBTC15M-26MAY041900-00,no,21.0,21.0,2.0,2.0,-4.0,-0.04,max_hold,False,224.254,8.0,35.0,60.0,3.5969,0.867722,47.7165,21.2165,538.182
