entry_ts,exit_ts,market,side,entry_price_cents,exit_price_cents,entry_fee_cents,exit_fee_cents,net_pnl_cents,net_pnl_dollars,exit_reason,settlement_exit,hold_seconds,pt_cents,sl_cents,max_hold_seconds,sim_expected_net_cents,sim_sharpe_like,entry_fair_side_cents,entry_z_cents,entry_seconds_to_close
2026-05-01T23:11:14.302037+00:00,2026-05-01T23:12:03.642875+00:00,KXBTC15M-26MAY011915-15,no,14.0,24.0,1.0,2.0,7.0,0.07,take_profit,False,49.341,8.0,35.0,60.0,5.785,1.906789,45.4709,26.9709,225.71
2026-05-02T00:10:02.878965+00:00,2026-05-02T00:12:17.692978+00:00,KXBTC15M-26MAY012015-15,no,18.0,23.0,2.0,2.0,1.0,0.01,max_hold,False,134.814,8.0,35.0,120.0,3.5969,0.867722,40.2125,22.2125,297.124
2026-05-02T01:36:03.286998+00:00,2026-05-02T01:38:50.465007+00:00,KXBTC15M-26MAY012145-45,no,15.0,14.0,1.0,1.0,-3.0,-0.03,max_hold,False,167.178,8.0,35.0,120.0,4.9894,1.070827,45.1012,19.6012,536.724
2026-05-02T03:35:15.115827+00:00,2026-05-02T03:38:19.400922+00:00,KXBTC15M-26MAY012345-45,no,13.0,12.0,1.0,1.0,-3.0,-0.03,max_hold,False,184.285,8.0,35.0,120.0,3.7906,0.533034,26.9794,14.4794,584.917
2026-05-03T11:51:12.272650+00:00,2026-05-03T11:52:05.342158+00:00,KXBTC15M-26MAY030800-00,no,14.0,26.0,1.0,2.0,9.0,0.09,take_profit,False,53.07,8.0,35.0,120.0,5.5163,1.215963,49.8419,16.3419,527.74
2026-05-04T08:08:26.022413+00:00,2026-05-04T08:10:23.649075+00:00,KXBTC15M-26MAY040415-15,no,67.0,81.0,2.0,2.0,10.0,0.1,take_profit,False,117.627,8.0,35.0,60.0,3.8925,1.812166,99.5,30.5,393.978
2026-05-04T09:10:35.985278+00:00,2026-05-04T09:12:36.307416+00:00,KXBTC15M-26MAY040515-15,no,15.0,25.0,1.0,2.0,7.0,0.07,take_profit,False,120.322,8.0,35.0,120.0,5.6238,1.403868,46.411,19.911,264.017
2026-05-04T09:12:36.307416+00:00,2026-05-04T09:13:05.712922+00:00,KXBTC15M-26MAY040515-15,no,17.0,25.0,1.0,2.0,5.0,0.05,take_profit,False,29.406,8.0,35.0,60.0,5.8119,2.04727,44.9524,25.4524,143.693
2026-05-04T09:13:05.712922+00:00,2026-05-04T09:13:36.175359+00:00,KXBTC15M-26MAY040515-15,no,17.0,25.0,1.0,2.0,5.0,0.05,take_profit,False,30.462,8.0,35.0,60.0,5.8925,2.743272,47.6366,29.6366,114.312
2026-05-04T09:39:45.023865+00:00,2026-05-04T09:40:47.922309+00:00,KXBTC15M-26MAY040545-45,no,12.0,11.0,1.0,1.0,-3.0,-0.03,max_hold,False,62.898,8.0,35.0,60.0,4.9463,3.254531,45.4495,33.9495,315.01
