entry_ts,exit_ts,market,side,entry_price_cents,exit_price_cents,entry_fee_cents,exit_fee_cents,net_pnl_cents,net_pnl_dollars,exit_reason,settlement_exit,hold_seconds,pt_cents,sl_cents,max_hold_seconds,sim_expected_net_cents,sim_sharpe_like,entry_fair_side_cents,entry_z_cents,entry_seconds_to_close
2026-05-01T23:11:14.302037+00:00,2026-05-01T23:12:03.642875+00:00,KXBTC15M-26MAY011915-15,no,14.0,24.0,1.0,2.0,7.0,0.07,take_profit,False,49.341,8.0,35.0,60.0,5.785,1.906789,45.4709,26.9709,225.71
2026-05-03T11:51:12.272650+00:00,2026-05-03T11:52:05.342158+00:00,KXBTC15M-26MAY030800-00,no,14.0,26.0,1.0,2.0,9.0,0.09,take_profit,False,53.07,8.0,35.0,120.0,5.4356,1.110362,49.8419,16.3419,527.74
2026-05-04T09:10:35.985278+00:00,2026-05-04T09:12:36.307416+00:00,KXBTC15M-26MAY040515-15,no,15.0,25.0,1.0,2.0,7.0,0.07,take_profit,False,120.322,8.0,35.0,120.0,5.6506,1.463363,46.411,19.911,264.017
2026-05-04T09:12:36.307416+00:00,2026-05-04T09:13:05.712922+00:00,KXBTC15M-26MAY040515-15,no,17.0,25.0,1.0,2.0,5.0,0.05,take_profit,False,29.406,8.0,35.0,60.0,5.8656,2.443232,44.9524,25.4524,143.693
2026-05-04T09:13:05.712922+00:00,2026-05-04T09:13:36.175359+00:00,KXBTC15M-26MAY040515-15,no,17.0,25.0,1.0,2.0,5.0,0.05,take_profit,False,30.462,8.0,35.0,60.0,5.9194,3.181109,47.6366,29.6366,114.312
2026-05-04T15:52:32.689995+00:00,2026-05-04T15:55:06.436504+00:00,KXBTC15M-26MAY041200-00,no,86.0,87.0,1.0,1.0,-1.0,-0.01,max_hold,False,153.747,8.0,35.0,120.0,5.1937,0.890197,98.9383,12.4383,447.392
2026-05-04T15:56:03.000601+00:00,2026-05-04T15:58:13.435576+00:00,KXBTC15M-26MAY041200-00,no,15.0,87.0,1.0,1.0,70.0,0.7,take_profit,False,130.435,8.0,35.0,120.0,5.2744,0.952008,39.1559,14.6559,237.011
2026-05-05T19:41:29.648037+00:00,2026-05-05T19:41:36.397079+00:00,KXBTC15M-26MAY051545-45,no,5.0,59.0,1.0,2.0,51.0,0.51,take_profit,False,6.749,8.0,35.0,120.0,5.8656,2.443232,34.614,21.614,210.352
2026-05-05T19:41:36.397079+00:00,2026-05-05T19:41:49.654580+00:00,KXBTC15M-26MAY051545-45,no,5.0,59.0,1.0,2.0,51.0,0.51,take_profit,False,13.258,8.0,35.0,120.0,5.8388,2.220833,36.8382,24.8382,203.603
2026-05-05T19:41:49.654580+00:00,2026-05-05T19:41:56.404467+00:00,KXBTC15M-26MAY051545-45,no,4.0,59.0,1.0,2.0,52.0,0.52,take_profit,False,6.75,8.0,35.0,120.0,5.8925,2.743272,33.3233,21.3233,190.347
2026-05-05T19:41:56.404467+00:00,2026-05-05T19:42:02.374918+00:00,KXBTC15M-26MAY051545-45,no,4.0,59.0,1.0,2.0,52.0,0.52,take_profit,False,5.97,8.0,35.0,120.0,5.9463,3.912511,35.7815,25.2815,183.598
2026-05-05T19:42:02.374918+00:00,2026-05-05T19:42:09.657192+00:00,KXBTC15M-26MAY051545-45,no,4.0,59.0,1.0,2.0,52.0,0.52,take_profit,False,7.282,8.0,35.0,120.0,5.8925,2.743272,37.0897,26.0897,177.625
