entry_ts,exit_ts,market,side,entry_price_cents,exit_price_cents,entry_fee_cents,exit_fee_cents,net_pnl_cents,net_pnl_dollars,exit_reason,settlement_exit,hold_seconds,pt_cents,sl_cents,max_hold_seconds,sim_expected_net_cents,sim_sharpe_like,entry_fair_side_cents,entry_z_cents,entry_seconds_to_close
2026-05-02T01:36:03.286998+00:00,2026-05-02T01:42:02.628941+00:00,KXBTC15M-26MAY012145-45,no,15.0,14.0,1.0,1.0,-3.0,-0.03,max_hold,False,359.342,25.0,55.0,240.0,22.5,999.0,45.1012,19.6012,536.724
2026-05-03T13:50:36.684791+00:00,2026-05-03T13:57:00.761301+00:00,KXBTC15M-26MAY031000-00,no,23.0,21.0,2.0,2.0,-6.0,-0.06,max_hold,False,384.077,25.0,55.0,240.0,18.8667,5.779124,36.2589,14.2589,563.352
2026-05-03T21:22:06.985733+00:00,2026-05-03T21:24:24.537222+00:00,KXBTC15M-26MAY031730-30,no,75.0,74.0,2.0,2.0,-5.0,-0.05,max_hold,False,137.551,25.0,55.0,120.0,19.9333,8.631387,99.5,25.0,473.044
2026-05-03T21:37:19.997058+00:00,2026-05-03T21:41:24.782501+00:00,KXBTC15M-26MAY031745-45,no,81.0,80.0,2.0,2.0,-5.0,-0.05,max_hold,False,244.785,25.0,55.0,240.0,20.0,999.0,99.5,19.0,460.029
2026-05-04T08:05:42.588064+00:00,2026-05-04T08:10:23.649075+00:00,KXBTC15M-26MAY040415-15,no,82.0,81.0,2.0,2.0,-5.0,-0.05,max_hold,False,281.061,25.0,55.0,240.0,19.9333,8.631387,99.5,18.0,557.449
2026-05-04T09:26:03.580586+00:00,2026-05-04T09:28:05.768584+00:00,KXBTC15M-26MAY040530-30,no,19.0,18.0,2.0,2.0,-5.0,-0.05,max_hold,False,122.188,25.0,55.0,120.0,20.0,999.0,48.1168,29.6168,236.473
2026-05-04T15:52:32.689995+00:00,2026-05-04T15:58:13.435576+00:00,KXBTC15M-26MAY041200-00,no,86.0,87.0,1.0,1.0,-1.0,-0.01,max_hold,False,340.746,25.0,55.0,240.0,22.7333,4.92808,98.9383,12.4383,447.392
2026-05-04T21:35:36.688628+00:00,2026-05-04T21:42:48.473848+00:00,KXBTC15M-26MAY041745-45,no,19.0,18.0,2.0,2.0,-5.0,-0.05,max_hold,False,431.785,25.0,55.0,240.0,19.6,3.47207,28.5067,10.0067,563.348
2026-05-04T22:51:01.817718+00:00,2026-05-04T22:54:46.071901+00:00,KXBTC15M-26MAY041900-00,no,21.0,21.0,2.0,2.0,-4.0,-0.04,max_hold,False,224.254,25.0,55.0,120.0,21.0,999.0,47.7165,21.2165,538.182
2026-05-05T02:06:20.233467+00:00,2026-05-05T02:13:16.047401+00:00,KXBTC15M-26MAY042215-15,no,22.0,21.0,2.0,2.0,-5.0,-0.05,max_hold,False,415.814,25.0,55.0,240.0,14.5,999.0,35.0558,19.0558,519.767
2026-05-05T03:36:57.422240+00:00,2026-05-05T03:39:50.321094+00:00,KXBTC15M-26MAY042345-45,no,25.0,22.0,2.0,2.0,-7.0,-0.07,max_hold,False,172.899,25.0,55.0,120.0,18.0,999.0,47.243,23.743,482.605
2026-05-05T13:20:47.675639+00:00,2026-05-05T13:25:05.974554+00:00,KXBTC15M-26MAY050930-30,no,71.0,75.0,2.0,2.0,0.0,0.0,max_hold,False,258.299,25.0,55.0,240.0,19.5333,1.819293,95.637,20.137,552.335
2026-05-05T18:52:36.442081+00:00,2026-05-05T18:56:36.574368+00:00,KXBTC15M-26MAY051500-00,no,54.0,54.0,2.0,2.0,-4.0,-0.04,max_hold,False,240.132,25.0,55.0,240.0,17.8,1.134967,70.4052,8.9052,443.559
2026-05-05T19:35:09.435744+00:00,2026-05-05T19:35:29.422237+00:00,KXBTC15M-26MAY051545-45,no,17.0,59.0,1.0,2.0,39.0,0.39,take_profit,False,19.986,25.0,55.0,480.0,22.6,4.00351,41.5213,22.0213,590.568
2026-05-05T20:06:48.362723+00:00,2026-05-05T20:07:02.552607+00:00,KXBTC15M-26MAY051615-15,no,27.0,76.0,2.0,2.0,45.0,0.45,take_profit,False,14.19,25.0,55.0,480.0,18.7196,2.344817,40.6031,8.6031,491.637
2026-05-05T20:35:04.697301+00:00,2026-05-05T20:35:11.152977+00:00,KXBTC15M-26MAY051645-45,no,13.0,51.0,1.0,2.0,35.0,0.35,take_profit,False,6.456,25.0,55.0,480.0,19.0513,1.881061,46.3779,14.3779,595.303
2026-05-05T21:06:07.729755+00:00,2026-05-05T21:14:10.061599+00:00,KXBTC15M-26MAY051715-15,no,17.0,17.0,1.0,1.0,-2.0,-0.02,max_hold,False,482.332,25.0,55.0,480.0,17.5463,1.539688,34.0433,9.5433,532.272
2026-05-05T21:50:14.914356+00:00,2026-05-05T21:58:24.088688+00:00,KXBTC15M-26MAY051800-00,no,17.0,20.0,1.0,2.0,0.0,0.0,max_hold,False,489.174,25.0,55.0,480.0,22.3135,5.317017,46.3884,19.3884,585.087
2026-05-05T22:06:03.529100+00:00,2026-05-05T22:14:10.016090+00:00,KXBTC15M-26MAY051815-15,no,17.0,16.0,1.0,1.0,-3.0,-0.03,max_hold,False,486.487,25.0,55.0,480.0,12.6961,3.633057,45.1228,37.6228,536.471
