market_ticker,y_yes_win,binary_result,settlement_ts_utc,label_available_ts_utc,settlement_price,strike,label_source,market_status
KXBTC15M-26MAY110530-30,0,no,2026-05-11T09:30:16.046Z,2026-05-11T10:33:47.421Z,80907.03,80911.28,kalshi_public_market_result,finalized
KXBTC15M-26MAY110600-00,1,yes,2026-05-11T10:00:15.850Z,2026-05-11T10:33:47.421Z,80952.28,80911.59,kalshi_public_market_result,finalized
KXBTC15M-26MAY110615-15,1,yes,2026-05-11T10:15:15.849Z,2026-05-11T10:33:47.421Z,81023.99,80952.28,kalshi_public_market_result,finalized
KXBTC15M-26MAY110630-30,1,yes,2026-05-11T10:30:15.853Z,2026-05-11T10:37:28.512Z,81174.1,81023.99,kalshi_public_market_result,finalized
KXBTC15M-26MAY110645-45,0,no,2026-05-11T10:45:15.844Z,2026-05-11T10:48:14.453Z,81063.03,81174.1,kalshi_public_market_result,finalized
KXBTC15M-26MAY110700-00,0,no,2026-05-11T11:00:15.847Z,2026-05-11T11:00:49.887Z,80947.47,81063.03,kalshi_public_market_result,finalized
KXBTC15M-26MAY110715-15,1,yes,2026-05-11T11:15:15.847Z,2026-05-11T11:17:36.764Z,80958.91,80947.47,kalshi_public_market_result,finalized
KXBTC15M-26MAY110730-30,1,yes,2026-05-11T11:30:15.849Z,2026-05-11T11:31:45.867Z,81095.41,80958.91,kalshi_public_market_result,finalized
KXBTC15M-26MAY110745-45,1,yes,2026-05-11T11:45:15.847Z,2026-05-11T11:46:56.290Z,81145.1,81095.41,kalshi_public_market_result,finalized
KXBTC15M-26MAY110800-00,1,yes,2026-05-11T12:00:15.846Z,2026-05-11T12:01:24.931Z,81176.19,81145.1,kalshi_public_market_result,finalized
KXBTC15M-26MAY110815-15,0,no,2026-05-11T12:15:15.849Z,2026-05-11T12:16:25.998Z,81087.33,81176.19,kalshi_public_market_result,finalized
KXBTC15M-26MAY110830-30,1,yes,2026-05-11T12:30:15.849Z,2026-05-11T12:31:09.817Z,81281.83,81087.33,kalshi_public_market_result,finalized
KXBTC15M-26MAY110845-45,0,no,2026-05-11T12:45:15.854Z,2026-05-11T12:46:29.897Z,81152.74,81281.83,kalshi_public_market_result,finalized
KXBTC15M-26MAY110900-00,0,no,2026-05-11T13:00:15.849Z,2026-05-11T13:01:27.709Z,81056.58,81152.74,kalshi_public_market_result,finalized
