market,result,status,settlement_ts,close_time,watch_close_time,watch_status,first_seen_ts,last_seen_ts,heartbeat_count,source
KXBTC15M-26APR051515-15,yes,finalized,2026-04-05T19:15:13.484019Z,2026-04-05T19:15:00Z,2026-04-05T19:15:00Z,active,2026-04-05 15:06:23,2026-04-05 15:15:11,36,kalshi_api
KXBTC15M-26APR051530-30,yes,finalized,2026-04-05T19:30:13.488037Z,2026-04-05T19:30:00Z,2026-04-05T19:30:00Z,active,2026-04-05 15:15:22,2026-04-05 15:30:06,59,kalshi_api
KXBTC15M-26APR051545-45,no,finalized,2026-04-05T19:45:13.494402Z,2026-04-05T19:45:00Z,2026-04-05T19:45:00Z,active,2026-04-05 15:30:21,2026-04-05 20:05:06,15,kalshi_api
KXBTC15M-26APR052015-15,yes,finalized,2026-04-06T00:15:13.549794Z,2026-04-06T00:15:00Z,2026-04-06T00:15:00Z,active,2026-04-05 20:05:10,2026-04-05 20:15:07,40,kalshi_api
KXBTC15M-26APR052030-30,no,finalized,2026-04-06T00:30:13.490502Z,2026-04-06T00:30:00Z,2026-04-06T00:30:00Z,active,2026-04-05 20:15:07,2026-04-05 20:30:09,60,kalshi_api
KXBTC15M-26APR052045-45,yes,finalized,2026-04-06T00:45:13.590728Z,2026-04-06T00:45:00Z,2026-04-06T00:45:00Z,active,2026-04-05 20:30:22,2026-04-05 20:45:11,60,kalshi_api
KXBTC15M-26APR052100-00,no,finalized,2026-04-06T01:00:13.484512Z,2026-04-06T01:00:00Z,2026-04-06T01:00:00Z,active,2026-04-05 20:45:21,2026-04-05 21:00:27,61,kalshi_api
KXBTC15M-26APR052115-15,no,finalized,2026-04-06T01:15:13.560009Z,2026-04-06T01:15:00Z,2026-04-06T01:15:00Z,active,2026-04-05 21:00:37,2026-04-05 21:14:59,58,kalshi_api
KXBTC15M-26APR052130-30,yes,finalized,2026-04-06T01:30:13.486963Z,2026-04-06T01:30:00Z,2026-04-06T01:30:00Z,active,2026-04-05 21:15:06,2026-04-05 21:30:16,61,kalshi_api
KXBTC15M-26APR052145-45,no,finalized,2026-04-06T01:45:13.721203Z,2026-04-06T01:45:00Z,2026-04-06T01:45:00Z,active,2026-04-05 21:30:21,2026-04-05 21:45:17,60,kalshi_api
KXBTC15M-26APR052200-00,yes,finalized,2026-04-06T02:00:13.59765Z,2026-04-06T02:00:00Z,2026-04-06T02:00:00Z,active,2026-04-05 21:45:21,2026-04-05 22:00:34,61,kalshi_api
KXBTC15M-26APR052215-15,yes,finalized,2026-04-06T02:15:13.494379Z,2026-04-06T02:15:00Z,2026-04-06T02:15:00Z,active,2026-04-05 22:00:36,2026-04-05 22:14:51,57,kalshi_api
KXBTC15M-26APR052230-30,yes,finalized,2026-04-06T02:30:13.491518Z,2026-04-06T02:30:00Z,2026-04-06T02:30:00Z,active,2026-04-05 22:15:06,2026-04-05 22:30:08,61,kalshi_api
KXBTC15M-26APR052245-45,no,finalized,2026-04-06T02:45:13.54235Z,2026-04-06T02:45:00Z,2026-04-06T02:45:00Z,active,2026-04-05 22:30:21,2026-04-05 22:45:10,60,kalshi_api
KXBTC15M-26APR052300-00,yes,finalized,2026-04-06T03:00:13.483847Z,2026-04-06T03:00:00Z,2026-04-06T03:00:00Z,active,2026-04-05 22:45:21,2026-04-05 23:00:27,61,kalshi_api
