entry_ts,market,side,qty,entry_trigger_cents,entry_fill_cents_assumed,entry_fill_cents_actual,entry_fill_cents_used,entry_fee_cents,total_fees_dollars,entry_notional_dollars,exit_ts,exit_trigger_cents,exit_fill_cents_assumed,exit_fill_cents_actual,exit_fill_cents_used,exit_fee_cents,exit_notional_dollars,outcome,resolution_source,result,gross_pnl_dollars,net_pnl_dollars,net_pnl_percent,gross_pnl_percent,market_status,market_result,settlement_ts
2026-03-24 01:28:49,KXBTC15M-26MAR240130-30,no,10,92,92,,92,0,0.0,9.2,,,,,,0,,win,kalshi_api,no,0.8,0.8,8.6957,8.6957,finalized,no,2026-03-24T05:30:10.819045Z
2026-03-24 01:38:26,KXBTC15M-26MAR240145-45,yes,10,90,90,,90,0,0.0,9.0,,,,,,0,,win,kalshi_api,yes,1.0,1.0,11.1111,11.1111,finalized,yes,2026-03-24T05:45:10.805296Z
2026-03-24 01:55:16,KXBTC15M-26MAR240200-00,no,10,90,90,,90,0,0.0,9.0,,,,,,0,,win,kalshi_api,no,1.0,1.0,11.1111,11.1111,finalized,no,2026-03-24T06:00:10.813417Z
2026-03-24 02:05:47,KXBTC15M-26MAR240215-15,yes,10,90,90,,90,0,0.0,9.0,,,,,,0,,win,kalshi_api,yes,1.0,1.0,11.1111,11.1111,finalized,yes,2026-03-24T06:15:10.809504Z
2026-03-24 02:22:30,KXBTC15M-26MAR240230-30,yes,10,90,90,,90,0,0.0,9.0,2026-03-24 02:25:04,66,63.0,,63.0,0,6.3,exited_before_settlement,bot_exit_signal_heartbeat_confirmed,,-2.7,-2.7,-30.0,-30.0,,,
2026-03-24 02:35:40,KXBTC15M-26MAR240245-45,yes,10,90,90,,90,0,0.0,9.0,,,,,,0,,win,kalshi_api,yes,1.0,1.0,11.1111,11.1111,finalized,yes,2026-03-24T06:45:10.804133Z
2026-03-24 02:56:36,KXBTC15M-26MAR240300-00,yes,10,90,90,,90,0,0.0,9.0,,,,,,0,,win,kalshi_api,yes,1.0,1.0,11.1111,11.1111,finalized,yes,2026-03-24T07:08:37.806196Z
2026-03-24 03:06:03,KXBTC15M-26MAR240315-15,yes,10,92,92,,92,0,0.0,9.2,,,,,,0,,win,kalshi_api,yes,0.8,0.8,8.6957,8.6957,finalized,yes,2026-03-24T07:15:10.804772Z
2026-03-24 03:22:33,KXBTC15M-26MAR240330-30,yes,10,90,90,,90,0,0.0,9.0,,,,,,0,,win,kalshi_api,yes,1.0,1.0,11.1111,11.1111,finalized,yes,2026-03-24T07:30:10.807708Z
2026-03-24 03:37:16,KXBTC15M-26MAR240345-45,no,10,90,90,,90,0,0.0,9.0,2026-03-24 03:44:14,70,66.0,,66.0,0,6.6,exited_before_settlement,bot_exit_signal_heartbeat_confirmed,,-2.4,-2.4,-26.6667,-26.6667,,,
2026-03-24 03:51:47,KXBTC15M-26MAR240400-00,yes,10,90,90,,90,0,0.0,9.0,,,,,,0,,win,kalshi_api,yes,1.0,1.0,11.1111,11.1111,finalized,yes,2026-03-24T08:00:10.804066Z
2026-03-24 04:08:05,KXBTC15M-26MAR240415-15,no,10,90,90,,90,0,0.0,9.0,,,,,,0,,win,kalshi_api,no,1.0,1.0,11.1111,11.1111,finalized,no,2026-03-24T08:15:10.798573Z
2026-03-24 04:19:06,KXBTC15M-26MAR240430-30,no,10,90,90,,90,0,0.0,9.0,,,,,,0,,win,kalshi_api,no,1.0,1.0,11.1111,11.1111,finalized,no,2026-03-24T08:30:10.795617Z
2026-03-24 04:36:38,KXBTC15M-26MAR240445-45,yes,10,90,90,,90,0,0.0,9.0,,,,,,0,,win,kalshi_api,yes,1.0,1.0,11.1111,11.1111,finalized,yes,2026-03-24T08:45:10.803206Z
2026-03-24 04:51:51,KXBTC15M-26MAR240500-00,no,10,90,90,,90,0,0.0,9.0,2026-03-24 04:53:07,70,69.0,,69.0,0,6.9,exited_before_settlement,bot_exit_signal_heartbeat_confirmed,,-2.1,-2.1,-23.3333,-23.3333,,,
2026-03-24 05:13:07,KXBTC15M-26MAR240515-15,no,10,90,90,,90,0,0.0,9.0,,,,,,0,,win,kalshi_api,no,1.0,1.0,11.1111,11.1111,finalized,no,2026-03-24T09:15:10.809385Z
2026-03-24 05:19:54,KXBTC15M-26MAR240530-30,yes,10,90,90,,90,0,0.0,9.0,,,,,,0,,win,kalshi_api,yes,1.0,1.0,11.1111,11.1111,finalized,yes,2026-03-24T09:30:10.807422Z
2026-03-24 05:40:00,KXBTC15M-26MAR240545-45,yes,10,92,92,,92,0,0.0,9.2,,,,,,0,,win,kalshi_api,yes,0.8,0.8,8.6957,8.6957,finalized,yes,2026-03-24T09:45:10.800098Z
2026-03-24 05:54:44,KXBTC15M-26MAR240600-00,yes,10,90,90,,90,0,0.0,9.0,,,,,,0,,win,kalshi_api,yes,1.0,1.0,11.1111,11.1111,finalized,yes,2026-03-24T10:00:10.813783Z
2026-03-24 06:11:22,KXBTC15M-26MAR240615-15,no,10,90,91,,91,0,0.0,9.1,,,,,,0,,win,kalshi_api,no,0.9,0.9,9.8901,9.8901,finalized,no,2026-03-24T10:15:10.803564Z
2026-03-24 06:20:14,KXBTC15M-26MAR240630-30,no,10,90,90,,90,0,0.0,9.0,2026-03-24 06:22:17,70,69.0,,69.0,0,6.9,exited_before_settlement,bot_exit_signal_heartbeat_confirmed,,-2.1,-2.1,-23.3333,-23.3333,,,
2026-03-24 06:39:40,KXBTC15M-26MAR240645-45,yes,10,91,91,,91,0,0.0,9.1,,,,,,0,,win,kalshi_api,yes,0.9,0.9,9.8901,9.8901,finalized,yes,2026-03-24T10:45:10.803655Z
2026-03-24 06:57:30,KXBTC15M-26MAR240700-00,yes,10,90,90,,90,0,0.0,9.0,,,,,,0,,win,kalshi_api,yes,1.0,1.0,11.1111,11.1111,finalized,yes,2026-03-24T11:00:10.803447Z
2026-03-24 07:02:40,KXBTC15M-26MAR240715-15,no,10,90,90,,90,0,0.0,9.0,,,,,,0,,win,kalshi_api,no,1.0,1.0,11.1111,11.1111,finalized,no,2026-03-24T11:15:10.797625Z
2026-03-24 07:25:08,KXBTC15M-26MAR240730-30,no,10,91,92,,92,0,0.0,9.2,,,,,,0,,win,kalshi_api,no,0.8,0.8,8.6957,8.6957,finalized,no,2026-03-24T11:30:10.806411Z
