entry_ts,market,side,qty,entry_trigger_cents,entry_fill_cents_assumed,entry_fill_cents_actual,entry_fill_cents_used,entry_notional_dollars,exit_ts,exit_trigger_cents,exit_fill_cents_assumed,exit_fill_cents_actual,exit_fill_cents_used,exit_notional_dollars,outcome,resolution_source,result,gross_pnl_dollars,gross_pnl_percent,market_status,market_result,settlement_ts
2026-03-15 22:13:28,KXBTC15M-26MAR152215-15,no,2,90,90,,90,1.8,,,,,,,win,kalshi_api,no,0.2,11.1111,finalized,no,2026-03-16T02:15:19.658653Z
2026-03-15 22:20:18,KXBTC15M-26MAR152230-30,no,2,90,90,,90,1.8,,,,,,,win,kalshi_api,no,0.2,11.1111,finalized,no,2026-03-16T02:30:19.654497Z
2026-03-15 22:44:17,KXBTC15M-26MAR152245-45,yes,2,96,97,,97,1.94,,,,,,,win,kalshi_api,yes,0.06,3.0928,finalized,yes,2026-03-16T02:45:19.651999Z
2026-03-15 22:52:41,KXBTC15M-26MAR152300-00,yes,2,91,91,,91,1.82,,,,,,,win,kalshi_api,yes,0.18,9.8901,finalized,yes,2026-03-16T03:00:19.657058Z
2026-03-15 23:14:23,KXBTC15M-26MAR152315-15,no,2,91,91,,91,1.82,,,,,,,win,kalshi_api,no,0.18,9.8901,finalized,no,2026-03-16T03:15:19.66202Z
2026-03-15 23:21:15,KXBTC15M-26MAR152330-30,yes,2,92,92,,92,1.84,,,,,,,win,kalshi_api,yes,0.16,8.6957,finalized,yes,2026-03-16T03:30:19.710433Z
2026-03-15 23:30:45,KXBTC15M-26MAR152345-45,yes,2,90,90,,90,1.8,,,,,,,win,kalshi_api,yes,0.2,11.1111,finalized,yes,2026-03-16T03:45:19.702516Z
2026-03-15 23:56:20,KXBTC15M-26MAR160000-00,no,5,90,90,,90,4.5,,,,,,,win,kalshi_api,no,0.5,11.1111,finalized,no,2026-03-16T04:00:36.661747Z
2026-03-16 00:05:54,KXBTC15M-26MAR160015-15,yes,5,90,90,,90,4.5,2026-03-16 00:06:42,78,74,,74,3.7,exited_before_settlement,bot_exit_signal,,-0.8,-17.7778,,,
2026-03-16 00:21:31,KXBTC15M-26MAR160030-30,yes,5,90,90,,90,4.5,2026-03-16 00:25:19,78,77,,77,3.85,exited_before_settlement,bot_exit_signal,,-0.65,-14.4444,,,
