entry_ts,market,side,qty,entry_trigger_cents,entry_fill_cents_assumed,entry_fill_cents_actual,entry_fill_cents_used,entry_fee_cents,total_fees_dollars,entry_notional_dollars,exit_ts,exit_trigger_cents,exit_fill_cents_assumed,exit_fill_cents_actual,exit_fill_cents_used,exit_fee_cents,exit_notional_dollars,outcome,resolution_source,result,gross_pnl_dollars,net_pnl_dollars,net_pnl_percent,gross_pnl_percent,market_status,market_result,settlement_ts
2026-04-23 13:05:22,KXBTC15M-26APR231315-15,no,2,90,90,,90,0,0.0,1.8,,,,,,0,,win,kalshi_api,no,0.2,0.2,11.1111,11.1111,finalized,no,2026-04-23T17:15:14.82824Z
2026-04-23 13:19:31,KXBTC15M-26APR231330-30,no,2,90,90,,90,0,0.0,1.8,,,,,,0,,win,kalshi_api,no,0.2,0.2,11.1111,11.1111,finalized,no,2026-04-23T17:30:14.975602Z
2026-04-23 13:36:50,KXBTC15M-26APR231345-45,no,2,92,92,,92,0,0.0,1.84,,,,,,0,,win,kalshi_api,no,0.16,0.16,8.6957,8.6957,finalized,no,2026-04-23T17:45:14.172731Z
2026-04-23 13:52:36,KXBTC15M-26APR231400-00,yes,2,90,90,,90,0,0.0,1.8,,,,,,0,,win,kalshi_api,yes,0.2,0.2,11.1111,11.1111,finalized,yes,2026-04-23T18:00:14.17447Z
2026-04-23 14:06:41,KXBTC15M-26APR231415-15,yes,2,92,92,,92,0,0.0,1.84,,,,,,0,,win,kalshi_api,yes,0.16,0.16,8.6957,8.6957,finalized,yes,2026-04-23T18:15:14.877911Z
2026-04-23 14:25:13,KXBTC15M-26APR231430-30,no,2,90,90,,90,0,0.0,1.8,,,,,,0,,win,kalshi_api,no,0.2,0.2,11.1111,11.1111,finalized,no,2026-04-23T18:30:14.321367Z
2026-04-23 14:36:45,KXBTC15M-26APR231445-45,yes,2,91,91,,91,0,0.0,1.82,,,,,,0,,win,kalshi_api,yes,0.18,0.18,9.8901,9.8901,finalized,yes,2026-04-23T18:45:14.270167Z
2026-04-23 14:49:42,KXBTC15M-26APR231500-00,no,2,90,90,,90,0,0.0,1.8,,,,,,0,,win,kalshi_api,no,0.2,0.2,11.1111,11.1111,finalized,no,2026-04-23T19:00:14.22289Z
2026-04-23 15:12:33,KXBTC15M-26APR231515-15,no,2,92,92,,92,0,0.0,1.84,2026-04-23 15:13:37,78,77.0,,77.0,0,1.54,exited_before_settlement,bot_exit_signal,,-0.3,-0.3,-16.3043,-16.3043,,,
2026-04-23 15:21:02,KXBTC15M-26APR231530-30,yes,2,90,90,,90,0,0.0,1.8,,,,,,0,,win,kalshi_api,yes,0.2,0.2,11.1111,11.1111,finalized,yes,2026-04-23T19:30:14.074799Z
2026-04-23 15:34:19,KXBTC15M-26APR231545-45,no,2,90,90,,90,0,0.0,1.8,,,,,,0,,win,kalshi_api,no,0.2,0.2,11.1111,11.1111,finalized,no,2026-04-23T19:45:14.076335Z
2026-04-23 15:53:03,KXBTC15M-26APR231600-00,yes,2,90,91,,91,0,0.0,1.82,,,,,,0,,win,kalshi_api,yes,0.18,0.18,9.8901,9.8901,finalized,yes,2026-04-23T20:00:14.070245Z
