market,result,status,settlement_ts,close_time,watch_close_time,watch_status,first_seen_ts,last_seen_ts,heartbeat_count,source
KXBTC15M-26APR250045-45,no,finalized,2026-04-25T04:45:09.932509Z,2026-04-25T04:45:00Z,2026-04-25T04:45:00Z,active,2026-04-25 00:32:18,2026-04-25 00:45:20,61,kalshi_api
KXBTC15M-26APR250100-00,yes,finalized,2026-04-25T05:00:09.864613Z,2026-04-25T05:00:00Z,2026-04-25T05:00:00Z,active,2026-04-25 00:45:29,2026-04-25 01:00:22,120,kalshi_api
KXBTC15M-26APR250115-15,no,finalized,2026-04-25T05:15:09.929772Z,2026-04-25T05:15:00Z,2026-04-25T05:15:00Z,active,2026-04-25 01:00:29,2026-04-25 01:15:10,118,kalshi_api
KXBTC15M-26APR250130-30,yes,finalized,2026-04-25T05:30:09.96576Z,2026-04-25T05:30:00Z,2026-04-25T05:30:00Z,active,2026-04-25 01:15:14,2026-04-25 01:30:11,120,kalshi_api
KXBTC15M-26APR250145-45,yes,finalized,2026-04-25T05:45:09.940245Z,2026-04-25T05:45:00Z,2026-04-25T05:45:00Z,active,2026-04-25 01:30:14,2026-04-25 01:45:13,120,kalshi_api
KXBTC15M-26APR250200-00,no,finalized,2026-04-25T06:00:09.864042Z,2026-04-25T06:00:00Z,2026-04-25T06:00:00Z,active,2026-04-25 01:45:14,2026-04-25 09:58:32,36,kalshi_api
KXBTC15M-26APR251000-00,yes,finalized,2026-04-25T14:00:09.864699Z,2026-04-25T14:00:00Z,2026-04-25T14:00:00Z,active,2026-04-25 09:58:36,2026-04-25 10:00:01,12,kalshi_api
KXBTC15M-26APR251015-15,no,finalized,2026-04-25T14:15:09.863081Z,2026-04-25T14:15:00Z,2026-04-25T14:15:00Z,active,2026-04-25 10:00:14,2026-04-25 10:15:18,122,kalshi_api
KXBTC15M-26APR251030-30,yes,finalized,2026-04-25T14:30:09.870225Z,2026-04-25T14:30:00Z,2026-04-25T14:30:00Z,active,2026-04-25 10:15:29,2026-04-25 10:30:35,122,kalshi_api
KXBTC15M-26APR251045-45,no,finalized,2026-04-25T14:45:09.86732Z,2026-04-25T14:45:00Z,2026-04-25T14:45:00Z,active,2026-04-25 10:30:44,2026-04-25 10:45:07,116,kalshi_api
KXBTC15M-26APR251100-00,no,finalized,2026-04-25T15:00:09.867042Z,2026-04-25T15:00:00Z,2026-04-25T15:00:00Z,active,2026-04-25 10:45:14,2026-04-25 11:00:24,122,kalshi_api
KXBTC15M-26APR251115-15,yes,finalized,2026-04-25T15:15:09.867609Z,2026-04-25T15:15:00Z,2026-04-25T15:15:00Z,active,2026-04-25 11:00:29,2026-04-25 11:15:26,120,kalshi_api
KXBTC15M-26APR251130-30,yes,finalized,2026-04-25T15:30:09.867517Z,2026-04-25T15:30:00Z,2026-04-25T15:30:00Z,active,2026-04-25 11:15:29,2026-04-25 11:30:27,120,kalshi_api
KXBTC15M-26APR251145-45,no,finalized,2026-04-25T15:45:09.867825Z,2026-04-25T15:45:00Z,2026-04-25T15:45:00Z,active,2026-04-25 11:30:29,2026-04-25 11:45:00,116,kalshi_api
KXBTC15M-26APR251200-00,no,finalized,2026-04-25T16:00:09.862638Z,2026-04-25T16:00:00Z,2026-04-25T16:00:00Z,active,2026-04-25 11:45:14,2026-04-25 12:00:02,120,kalshi_api
KXBTC15M-26APR251215-15,yes,finalized,2026-04-25T16:15:11.417921Z,2026-04-25T16:15:00Z,2026-04-25T16:15:00Z,active,2026-04-25 12:00:14,2026-04-25 12:15:04,120,kalshi_api
KXBTC15M-26APR251230-30,no,finalized,2026-04-25T16:30:09.868518Z,2026-04-25T16:30:00Z,2026-04-25T16:30:00Z,active,2026-04-25 12:15:14,2026-04-25 12:30:20,122,kalshi_api
KXBTC15M-26APR251245-45,no,finalized,2026-04-25T16:45:09.869422Z,2026-04-25T16:45:00Z,2026-04-25T16:45:00Z,active,2026-04-25 12:30:29,2026-04-25 12:45:38,122,kalshi_api
KXBTC15M-26APR251300-00,yes,finalized,2026-04-25T17:00:09.868691Z,2026-04-25T17:00:00Z,2026-04-25T17:00:00Z,active,2026-04-25 12:45:44,2026-04-25 13:00:09,116,kalshi_api
